日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2019-01-01,宜蘭,18.6,1.37,7.45,8.81,27.89,15.08,6.06,90.72,1.85
2019-01-08,宜蘭,19.95,1.01,7.2,8.21,27.33,14.72,6.98,84.1,1.58
2019-01-15,宜蘭,18.04,0.78,5.16,5.96,38.03,21.95,10.76,75.74,1.75
2019-01-22,宜蘭,16.07,0.56,5.54,6.08,38.66,37.69,16.66,69.62,2.4
2019-01-29,宜蘭,18.92,0.87,6.46,7.33,34.49,24.94,11.91,77.24,1.51
2019-02-05,宜蘭,19.49,0.69,3.65,4.36,33.39,24.74,14.06,79.59,1.55
2019-02-12,宜蘭,19.92,0.93,4.66,5.6,31.94,17.67,7.46,83.35,1.7
2019-02-19,宜蘭,19.45,0.81,5.45,6.27,34.81,22.86,8.25,82.48,1.57
2019-02-26,宜蘭,19.74,0.74,6.62,7.35,35.81,39.58,15.99,80.4,1.52
2019-03-05,宜蘭,17.9,0.67,6.83,7.51,43.61,24.77,13.81,78.61,1.52
2019-03-12,宜蘭,19.67,0.73,6.88,7.6,48.54,36.0,17.31,69.37,1.87
2019-03-19,宜蘭,20.49,1.16,6.64,7.81,35.39,27.59,13.98,81.5,1.75
2019-03-26,宜蘭,20.69,0.58,5.49,6.08,43.5,32.97,16.34,81.69,1.61
2019-04-02,宜蘭,23.36,0.89,5.45,6.36,36.78,25.91,14.6,78.65,1.95
2019-04-09,宜蘭,22.2,0.46,4.9,5.33,40.74,25.54,12.6,81.96,1.34
2019-04-16,宜蘭,24.26,0.71,5.08,5.79,37.71,25.87,10.7,79.18,1.76
2019-04-23,宜蘭,26.62,0.76,4.37,5.15,34.8,28.03,10.72,80.46,1.89
2019-04-30,宜蘭,22.05,0.49,4.01,4.53,42.48,26.47,11.28,81.26,1.42
2019-05-07,宜蘭,24.285,0.74,5.585,6.34,31.31,24.485,10.274999999999999,82.71000000000001,1.795
2019-05-14,宜蘭,26.52,0.99,7.16,8.15,20.14,22.5,9.27,84.16,2.17
2019-05-21,宜蘭,24.29,0.82,5.16,5.99,37.48,39.11,16.86,75.76,2.5
2019-05-28,宜蘭,25.29,0.73,4.59,5.32,30.97,24.21,14.92,84.1,2.5
2019-06-04,宜蘭,28.5,1.21,5.47,6.68,21.09,26.05,13.04,77.88,2.7
2019-06-11,宜蘭,25.5,0.68,5.24,5.92,38.52,20.2,10.21,81.12,2.39
2019-06-18,宜蘭,28.46,0.9,5.57,6.48,27.09,23.42,9.98,80.95,2.39
2019-06-25,宜蘭,28.94,0.88,4.07,4.93,21.68,17.36,7.62,78.69,2.56
2019-07-02,宜蘭,29.81,0.67,4.55,5.23,23.56,24.78,12.2,75.26,3.13
2019-07-09,宜蘭,29.94,0.6,4.36,4.95,24.93,11.74,12.47,73.38,2.92
2019-07-16,宜蘭,29.47,0.79,3.87,4.66,18.16,15.99,7.51,78.52,2.17
2019-07-23,宜蘭,29.7,0.92,3.86,4.78,20.09,19.26,8.56,76.05,2.01
2019-07-30,宜蘭,29.92,1.25,3.12,4.36,14.1,11.88,5.44,74.52,2.12
2019-08-06,宜蘭,29.68,0.88,2.74,3.63,18.89,17.55,7.08,76.45,1.91
2019-08-13,宜蘭,28.73,0.58,3.71,4.27,31.61,25.61,14.97,80.37,2.02
2019-08-20,宜蘭,28.57,0.86,3.25,4.12,24.33,20.03,13.11,81.0,1.73
2019-08-27,宜蘭,29.41,1.6,4.25,5.84,13.17,17.99,6.91,76.73,1.94
2019-09-03,宜蘭,27.26,1.38,3.61,4.99,20.46,14.55,5.95,81.05,1.83
2019-09-10,宜蘭,28.42,0.96,4.03,4.96,20.74,16.96,7.81,75.35,1.82
2019-09-17,宜蘭,25.99,0.63,3.51,4.14,49.26,21.48,9.68,66.52,1.86
2019-09-24,宜蘭,24.58,1.02,4.28,5.3,24.51,13.89,5.67,86.09,1.77
2019-10-01,宜蘭,27.13,0.98,3.35,4.33,27.02,21.89,11.48,77.41,1.91
2019-10-08,宜蘭,25.03,0.67,4.52,5.19,39.83,27.92,14.24,76.13,1.77
2019-10-15,宜蘭,22.9,0.61,4.52,5.14,38.96,23.45,11.03,74.145,1.75
2019-10-22,宜蘭,23.08,0.53,3.85,4.38,41.35,23.41,10.61,72.16,1.6
2019-10-29,宜蘭,21.65,0.61,5.04,5.65,36.76,25.65,11.05,85.08,1.84
2019-11-05,宜蘭,21.27,0.57,4.43,5.01,41.25,24.43,10.31,84.2,1.86
2019-11-12,宜蘭,21.91,0.79,6.67,7.46,35.41,30.82,14.35,83.32,1.51
2019-11-19,宜蘭,21.33,0.84,5.41,6.24,28.06,16.56,6.36,82.44,1.89
2019-11-26,宜蘭,19.18,0.66,5.35,6.02,31.86,17.0,7.09,82.2,1.62
2019-12-03,宜蘭,15.83,0.7,5.15,5.85,35.43,18.49,8.75,77.96,1.72
2019-12-10,宜蘭,20.28,1.02,6.69,7.71,34.13,26.04,12.18,74.12,1.64
2019-12-17,宜蘭,20.62,1.13,6.44,7.56,25.72,12.38,5.69,84.75,1.9
2019-12-24,宜蘭,19.11,1.25,7.41,8.65,26.62,16.61,7.33,81.68,1.89
