日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2019-01-01,臺東,22.39,2.91,5.72,8.6,20.53,11.19,5.4,81.73,1.07
2019-01-08,臺東,23.64,2.54,5.22,7.75,21.78,10.85,5.95,77.63,1.15
2019-01-15,臺東,20.91,1.36,5.76,7.11,27.16,15.14,9.08,76.05,1.03
2019-01-22,臺東,19.56,1.63,5.61,7.23,30.62,23.29,13.96,72.31,1.21
2019-01-29,臺東,21.81,2.14,5.74,7.87,23.72,16.8,8.26,77.8,1.12
2019-02-05,臺東,23.19,1.78,5.05,6.82,22.58,16.92,7.58,78.72,1.25
2019-02-12,臺東,23.67,2.04,4.78,6.81,21.15,11.75,4.13,78.14,1.17
2019-02-19,臺東,23.96,2.05,4.59,6.63,23.12,19.93,7.23,76.73,1.21
2019-02-26,臺東,24.2,1.75,4.78,6.52,24.34,19.24,6.94,76.8,1.11
2019-03-05,臺東,21.48,1.51,5.45,6.96,29.17,16.28,7.62,83.79,0.94
2019-03-12,臺東,22.04,1.48,5.03,6.5,33.53,31.39,14.6,71.24,1.06
2019-03-19,臺東,24.2,2.14,4.93,7.07,23.54,18.32,8.29,76.64,1.04
2019-03-26,臺東,24.57,1.31,5.27,6.56,27.87,22.15,11.6,76.85,1.23
2019-04-02,臺東,25.47,1.82,3.98,5.79,26.17,15.78,11.3,77.88,1.04
2019-04-09,臺東,25.64,1.67,4.02,5.69,28.33,19.45,9.91,77.0,1.29
2019-04-16,臺東,25.67,1.51,5.78,7.28,22.98,19.48,11.07,82.32,1.23
2019-04-23,臺東,28.6,1.55,4.62,6.16,20.84,23.88,12.3,76.11,1.19
2019-04-30,臺東,24.7,1.28,4.66,5.92,29.15,24.94,10.84,79.32,1.12
2019-05-07,臺東,26.11,3.51,4.49,7.98,23.04,11.15,6.26,81.11,1.24
2019-05-14,臺東,28.48,2.56,4.82,7.37,16.16,19.32,11.48,82.41,1.11
2019-05-21,臺東,25.47,1.81,4.77,6.56,27.12,24.83,11.32,83.73,1.17
2019-05-28,臺東,28.31,2.19,4.02,6.2,20.75,15.6,5.72,81.99,0.95
2019-06-04,臺東,29.83,2.59,3.88,6.46,13.61,18.51,5.91,79.44,1.27
2019-06-11,臺東,27.37,2.99,5.52,8.49,26.89,16.05,5.9,85.57,1.1
2019-06-18,臺東,30.56,2.01,4.53,6.53,23.72,21.21,8.83,77.96,1.25
2019-06-25,臺東,30.27,2.48,3.64,6.11,18.85,22.17,3.73,79.74,1.24
2019-07-02,臺東,30.67,1.86,4.24,6.09,21.44,23.13,6.72,77.07,1.19
2019-07-09,臺東,31.13,2.31,4.02,6.31,21.12,24.53,10.1,75.14,1.36
2019-07-16,臺東,30.65,2.3,3.29,5.58,18.26,21.75,6.11,79.33,1.12
2019-07-23,臺東,30.71,2.31,2.92,5.23,17.4,14.01,6.45,78.29,1.29
2019-07-30,臺東,29.66,4.1,2.96,7.05,13.52,11.13,4.25,78.23,1.09
2019-08-06,臺東,30.52,1.64,3.83,5.42,21.71,27.81,9.43,72.68,1.13
2019-08-13,臺東,28.98,1.98,5.52,7.47,22.38,24.8,9.97,80.44,1.1
2019-08-20,臺東,28.33,2.79,3.93,6.72,20.58,19.37,5.17,84.2,1.18
2019-08-27,臺東,28.85,3.03,3.46,6.49,11.06,13.41,4.19,81.42,1.28
2019-09-03,臺東,28.24,2.54,4.41,6.95,16.7,16.28,3.24,80.57,1.12
2019-09-10,臺東,28.92,2.09,3.27,5.36,20.68,22.88,5.68,76.92,1.07
2019-09-17,臺東,27.7,1.31,4.43,5.73,41.23,37.62,8.91,76.99,1.12
2019-09-24,臺東,27.02,2.09,3.61,5.7,25.8,20.72,5.54,77.4,1.57
2019-10-01,臺東,27.2,1.38,4.81,6.15,24.66,25.78,12.86,78.09,1.84
2019-10-08,臺東,26.4,0.59,4.42,4.95,41.13,30.05,13.79,75.51,1.73
2019-10-15,臺東,25.25,0.8,4.02,4.77,42.61,31.42,10.72,70.96,1.74
2019-10-22,臺東,25.02,0.62,4.49,5.03,38.11,23.97,12.12,75.42,1.67
2019-10-29,臺東,25.92,0.74,3.87,4.56,34.88,22.39,9.26,78.91,1.35
2019-11-05,臺東,23.94,0.77,4.72,5.42,40.96,22.86,9.08,69.6,1.45
2019-11-12,臺東,24.64,0.6,4.59,5.13,41.43,33.92,11.68,63.49,1.24
2019-11-19,臺東,25.55,0.87,4.23,5.06,30.5,23.08,5.49,70.42,1.31
2019-11-26,臺東,23.28,0.77,4.47,5.17,34.13,16.27,5.17,69.26,1.26
2019-12-03,臺東,19.81,0.96,5.14,6.07,36.12,15.38,5.11,67.46,1.35
2019-12-10,臺東,22.09,1.02,5.36,6.34,36.64,24.08,10.62,66.79,1.37
2019-12-17,臺東,23.68,1.14,5.31,6.4,26.27,12.89,4.13,74.7,1.24
2019-12-24,臺東,21.48,0.88,5.0,5.82,29.74,11.5,4.09,75.96,1.13
