日期,埔里,線西,大里,二林,沙鹿,彰化,忠明,豐原,西屯,竹山,南投,萬里,菜寮,中壢,陽明,龍潭,士林,永和,三重,松山,林口,汐止,新店,淡水,桃園,大園,土城,大同,萬華,中山,板橋,古亭,新莊,基隆,觀音,平鎮,頭份,新竹,湖口,苗栗,三義,竹東,宜蘭,冬山,關山,臺東,花蓮,楠梓,屏東,橋頭,大寮,小港,林園,前鎮,仁武,前金,鳳山,美濃,左營,潮州,恆春,復興,新營,臺西,新港,崙背,斗六,安南,臺南,麥寮,善化,朴子,嘉義
2015-01-01,16.89,16.77,19.4,17.01,16.98,16.93,17.59,15.83,17.05,16.46,17.96,16.12,16.68,16.04,10.33,15.67,16.65,17.07,17.05,16.1,15.02,15.9,16.86,NaN,15.29,16.1,17.06,NaN,16.94,17.25,16.71,16.86,16.32,16.66,15.95,15.95,16.11,16.32,16.61,15.87,14.51,16.07,17.16,16.45,16.26,19.08,17.26,19.11,19.99,18.95,19.37,20.21,19.68,20.15,19.54,19.75,20.09,19.7,19.22,19.14,20.14,20.29,17.8,17.12,16.73,17.09,18.81,18.08,18.55,17.36,18.45,18.79,18.55
2015-01-08,16.97,16.83,18.95,16.87,16.85,16.61,17.26,15.73,17.04,16.43,18.11,17.07,16.89,16.14,9.25,15.59,16.91,17.08,17.19,16.61,14.91,16.72,16.85,NaN,15.73,16.53,16.86,NaN,16.97,17.3,16.87,16.96,16.44,17.36,16.77,16.1,16.58,16.76,17.01,15.98,14.41,16.14,16.13,15.9,15.71,18.18,16.21,18.49,19.4,18.33,18.83,19.66,19.29,19.4,18.79,18.96,19.48,19.35,18.68,18.82,19.49,19.55,17.38,16.92,16.6,16.88,18.57,17.61,17.92,17.25,18.32,18.79,17.93
2015-01-15,16.71,16.52,17.55,16.63,16.27,16.21,16.67,15.07,16.54,16.01,17.45,16.86,16.88,15.98,9.0,15.36,17.01,17.32,17.27,16.59,14.74,16.54,17.01,NaN,15.55,16.18,16.79,NaN,17.06,17.43,16.93,17.12,16.86,16.99,16.42,15.99,16.1,16.46,16.81,15.64,13.65,15.82,16.58,16.25,15.73,18.48,16.77,18.02,19.18,17.95,18.47,19.01,18.98,18.71,18.2,18.28,18.87,19.26,18.21,18.57,19.37,18.89,16.92,16.79,16.12,16.49,18.02,17.11,17.53,17.15,17.99,18.07,17.55
2015-01-22,16.48,16.85,17.65,16.88,17.04,16.81,17.59,15.71,17.2,16.59,17.81,16.2,16.96,16.29,10.64,15.54,16.94,17.38,17.31,16.59,15.23,16.17,17.15,NaN,15.54,15.8,16.61,NaN,17.26,17.58,17.1,17.21,16.31,16.59,15.94,16.05,16.43,16.61,16.68,15.92,14.66,16.44,17.15,16.49,16.54,19.13,17.33,19.36,20.26,19.16,19.52,20.27,19.93,20.11,19.6,19.72,20.27,19.82,19.62,19.39,20.31,20.12,18.07,17.14,16.8,16.85,18.54,18.3,18.88,17.32,18.8,18.77,18.36
2015-01-29,17.73,16.55,18.59,16.97,16.57,16.34,16.83,15.5,16.71,17.01,18.23,16.4,16.58,16.21,9.7,15.08,16.8,16.76,16.92,15.99,14.4,15.73,16.59,NaN,15.22,15.54,16.48,NaN,16.79,17.04,16.47,16.68,14.33,16.1,15.55,15.35,15.96,15.87,16.04,15.65,14.0,16.32,16.17,15.88,16.78,19.48,16.76,18.61,19.73,18.57,19.02,19.5,19.43,19.12,18.51,18.57,19.6,19.93,18.43,19.21,19.89,19.13,17.61,16.74,16.64,16.88,18.41,17.71,18.24,17.2,18.57,18.62,17.93
2015-02-05,14.54,14.3,15.53,14.8,13.88,13.81,14.33,12.41,14.22,14.04,15.18,14.16,13.75,12.78,6.65,11.91,13.84,13.86,14.17,13.47,11.76,13.35,13.51,NaN,12.42,13.22,13.3,NaN,14.1,14.32,13.62,13.8,13.8,13.85,13.39,12.6,13.24,13.38,13.41,12.93,11.22,12.87,13.58,13.46,13.47,17.06,14.08,15.89,17.26,15.85,16.54,17.18,17.05,16.83,16.12,16.38,17.25,17.02,16.15,16.69,17.98,16.88,15.02,14.67,14.03,14.42,15.42,15.24,15.44,15.4,16.23,16.17,15.43
2015-02-12,18.35,18.04,19.77,18.12,18.61,18.45,19.27,17.66,18.82,18.86,20.02,17.65,18.67,18.0,12.17,17.49,18.67,18.73,19.03,18.3,16.93,18.15,19.74,NaN,18.74,17.58,18.63,NaN,18.96,19.19,18.94,18.92,18.83,18.18,16.93,17.97,17.46,17.93,18.46,17.13,16.84,17.9,18.43,17.84,17.41,20.08,18.04,20.82,22.21,20.59,21.11,21.68,21.7,21.42,21.05,21.12,21.82,21.77,20.77,20.94,21.42,21.63,19.6,18.56,18.64,18.29,19.98,19.85,20.53,18.41,18.05,20.29,20.16
2015-02-19,19.92,19.41,20.9,19.67,20.1,19.52,20.11,18.58,19.73,20.65,21.38,18.33,18.98,18.79,13.88,17.68,19.08,19.37,19.35,19.18,17.22,19.4,21.18,NaN,18.97,17.48,19.32,NaN,19.51,19.76,19.23,19.68,19.19,19.17,17.33,17.67,18.24,18.23,18.36,18.27,18.23,18.78,19.79,19.37,19.37,21.58,19.36,22.26,23.15,22.14,22.3,22.8,22.88,22.48,22.22,22.07,22.96,23.19,22.06,22.41,22.64,22.62,20.97,20.02,19.7,19.58,21.08,21.1,22.68,19.47,19.87,21.64,21.16
2015-02-26,21.17,18.79,21.03,20.0,18.95,19.05,19.43,18.27,19.12,20.39,21.38,16.39,17.35,16.02,11.92,15.6,17.47,17.27,17.68,16.98,15.36,16.76,18.19,NaN,17.15,15.87,17.52,NaN,17.65,18.01,17.41,17.64,17.47,16.83,15.79,15.73,16.76,16.51,16.61,16.87,16.61,17.21,18.85,18.02,19.88,22.04,19.05,22.47,23.6,22.29,22.73,23.24,23.04,22.91,22.44,22.2,23.47,23.61,22.17,22.87,22.85,22.95,20.99,19.9,19.77,19.42,21.15,21.3,21.93,19.35,21.69,21.81,21.43
2015-03-05,20.01,17.66,20.03,18.64,17.6,17.74,17.88,16.8,17.87,18.73,19.74,16.08,16.12,15.14,10.05,14.6,16.46,15.61,16.43,15.71,14.32,15.62,16.13,NaN,15.85,15.29,16.04,NaN,16.27,16.68,16.09,15.93,16.35,16.21,15.29,15.02,16.18,15.86,15.92,16.1,14.77,16.16,16.6,16.34,18.43,21.05,17.78,20.96,22.73,20.83,21.88,22.36,22.29,21.78,21.14,20.91,22.17,22.45,20.86,22.47,22.1,21.86,19.48,18.67,18.3,18.16,19.61,19.9,20.42,18.37,20.77,20.36,19.87
