日期,竹山,忠明,二林,沙鹿,豐原,西屯,彰化,埔里,南投,線西,大里,大同,三重,古亭,中山,基隆,萬里,觀音,平鎮,新店,永和,淡水,龍潭,陽明,菜寮,中壢,林口,士林,土城,板橋,桃園,汐止,松山,新莊,大園,萬華,苗栗,三義,湖口,頭份,新竹,竹東,冬山,宜蘭,臺東,關山,花蓮,林園,復興,恆春,美濃,潮州,鳳山,前鎮,前金,屏東,小港,楠梓,大寮,橋頭,左營,仁武,臺西,崙背,臺南,嘉義,新港,麥寮,斗六,新營,安南,朴子,善化
2016-01-01,19.59,20.51,20.2,20.15,19.18,20.77,19.28,19.11,20.42,19.53,20.85,NaN,19.98,19.02,19.86,18.48,19.32,18.77,18.46,19.13,19.24,NaN,18.29,13.76,19.91,18.8,17.53,19.48,19.5,19.68,18.76,19.32,19.22,19.67,19.09,20.26,18.75,17.57,18.8,19.24,19.17,19.65,20.18,19.83,22.17,21.62,21.22,22.8,21.88,23.51,21.63,21.49,21.85,21.54,21.47,21.97,21.96,21.02,21.7,21.45,21.17,21.24,19.15,19.95,20.45,20.65,19.17,20.12,20.2,20.34,20.87,21.2,21.45
2016-01-08,16.83,17.32,18.07,16.31,15.98,17.62,16.36,17.56,17.49,17.05,18.78,NaN,17.48,16.36,17.35,16.05,17.05,16.49,15.57,16.3,16.44,NaN,15.07,9.85,15.77,15.82,14.75,16.97,16.58,16.89,15.77,16.64,16.37,16.9,16.6,17.63,16.15,13.95,16.02,16.1,16.38,16.27,17.41,17.09,19.95,17.83,18.85,19.99,19.55,21.06,19.23,19.27,19.45,19.28,19.05,19.48,19.68,18.4,19.25,18.5,18.69,18.62,17.16,17.37,17.81,18.06,16.77,18.49,17.64,17.87,18.15,18.9,19.38
2016-01-15,16.77,17.05,17.54,16.07,15.9,17.39,15.95,17.69,17.33,16.62,18.27,NaN,16.46,15.65,16.5,15.55,16.39,16.02,15.14,15.79,15.42,NaN,14.69,9.64,15.08,15.31,14.37,16.15,16.02,16.1,15.13,16.02,15.77,16.12,16.2,16.69,15.84,13.69,15.62,16.02,15.95,15.81,16.81,16.3,19.78,17.45,18.35,20.29,19.62,21.64,19.34,19.28,19.42,19.28,19.18,19.6,19.65,18.53,19.43,18.64,18.77,18.76,16.87,16.95,17.61,17.86,16.4,17.99,17.45,17.7,17.96,18.54,19.11
2016-01-22,12.47,13.0,14.06,12.07,11.39,13.25,11.66,13.53,12.95,12.75,14.83,NaN,13.48,12.7,13.61,13.3,13.74,12.44,11.73,12.69,12.71,NaN,11.24,7.72,11.76,11.94,11.06,13.14,12.9,12.97,11.71,13.29,12.95,12.96,12.73,13.68,11.71,9.75,11.93,11.72,12.09,11.81,13.79,13.25,16.15,14.11,14.81,15.8,15.37,17.65,15.26,15.04,15.15,15.09,15.24,15.36,15.34,14.45,15.09,14.26,14.48,14.65,13.35,13.21,13.62,13.5,12.55,14.5,13.22,13.58,14.27,14.96,15.14
2016-01-29,15.78,15.99,16.62,15.36,14.8,16.2,15.7,17.02,16.39,15.7,17.47,NaN,16.65,15.46,16.48,15.23,16.03,15.08,14.49,15.47,15.34,NaN,14.21,7.69,14.8,14.55,13.76,16.21,15.82,15.83,14.73,15.74,15.42,15.93,15.32,16.58,14.92,12.96,14.7,15.26,15.14,15.4,16.92,16.24,20.06,18.33,18.42,19.76,18.91,21.46,18.76,19.05,18.62,18.71,18.4,19.1,19.1,17.84,18.77,17.91,18.12,18.0,16.04,15.6,16.73,16.68,15.64,16.65,16.52,16.88,17.27,17.64,16.83
2016-02-05,14.48,15.67,14.5,13.73,13.7,14.95,14.83,14.7,15.09,14.27,16.6,NaN,15.65,14.97,16.0,15.35,15.71,14.0,14.46,14.82,14.96,NaN,13.55,8.91,13.67,14.19,13.75,15.34,14.38,15.03,13.77,15.36,15.21,14.75,14.37,16.01,13.8,12.3,13.77,13.91,13.82,13.95,16.01,15.94,18.17,16.27,17.14,17.96,17.98,19.45,17.15,17.02,17.7,17.72,17.5,17.58,17.9,16.71,17.48,16.54,17.04,17.05,14.53,13.93,15.7,15.92,14.33,15.34,15.44,15.4,16.09,16.37,15.63
2016-02-12,17.5,18.4,17.52,16.67,16.82,17.69,18.23,17.83,18.27,17.64,19.21,NaN,17.08,16.43,17.3,15.7,16.31,15.73,15.86,16.35,16.46,NaN,15.12,10.25,15.24,15.72,14.65,16.61,16.52,16.73,15.41,16.49,16.38,16.51,16.08,17.42,16.39,14.92,15.83,16.35,16.03,15.98,17.36,16.81,19.58,17.46,17.8,21.0,20.78,20.31,20.02,20.23,20.49,20.45,20.22,20.7,20.85,19.87,20.4,19.7,20.01,19.89,18.17,17.18,18.67,18.8,17.87,18.36,18.55,18.6,19.19,19.79,18.23
2016-02-19,16.92,16.82,16.11,14.74,15.42,16.3,16.57,17.49,17.39,15.95,18.26,NaN,15.69,14.99,15.79,15.3,15.72,14.3,14.09,15.01,15.04,NaN,13.25,9.18,14.01,13.96,13.23,15.52,15.21,15.19,13.95,15.51,15.02,15.33,14.71,15.98,14.83,12.85,14.05,14.96,14.53,14.7,16.28,16.37,19.53,17.39,18.24,20.6,20.26,20.46,20.04,20.03,20.05,19.92,19.67,20.44,20.43,19.71,19.93,19.02,19.18,19.2,16.65,15.82,17.87,18.02,16.4,17.19,17.68,17.59,18.43,18.55,17.74
2016-02-26,17.69,18.11,16.59,15.73,16.34,17.31,17.4,17.24,18.07,16.76,18.9,NaN,17.46,16.54,17.37,15.99,15.86,16.05,16.46,16.42,16.59,NaN,14.98,10.08,15.81,16.28,15.36,16.81,16.86,16.91,16.13,16.69,16.39,17.11,16.51,17.63,15.98,14.21,16.2,16.37,16.36,16.19,16.3,16.82,19.61,17.49,18.04,20.45,20.45,20.51,20.24,19.66,20.25,20.1,19.71,20.61,20.48,22.07,19.98,19.2,19.38,19.48,17.03,16.46,18.22,18.99,17.14,17.38,18.21,18.22,18.74,19.05,17.99
2016-03-04,20.43,21.34,19.52,19.11,19.57,20.46,21.0,19.65,21.08,19.86,21.53,NaN,20.39,20.16,20.85,18.73,18.34,17.64,18.66,20.1,20.23,NaN,18.31,13.82,19.58,18.64,18.05,19.79,20.14,20.32,18.87,19.98,20.01,20.11,18.05,20.93,18.79,17.96,18.43,18.9,18.73,19.57,20.14,20.83,22.14,20.77,20.94,23.41,23.75,22.73,23.24,22.71,23.73,23.32,23.22,23.68,23.68,25.66,23.16,22.68,22.76,22.95,20.46,19.42,22.14,22.07,20.52,19.82,21.29,21.62,22.29,22.32,20.43
2016-03-11,16.03,16.33,16.12,15.65,15.08,16.22,16.07,16.42,16.43,16.1,17.58,NaN,15.97,15.34,16.12,15.1,15.48,15.25,14.74,15.26,15.27,NaN,13.43,9.59,16.91,14.58,14.14,15.59,15.48,15.55,14.38,15.19,15.26,15.58,15.36,16.26,14.74,13.52,14.73,15.08,14.96,15.08,16.24,16.32,19.02,17.45,17.87,20.51,20.1,21.01,19.52,19.92,19.92,19.63,19.43,20.01,20.17,19.67,19.67,18.91,18.87,19.03,16.91,16.01,17.63,17.24,16.1,17.15,16.73,17.39,18.32,18.36,17.7
2016-03-18,19.34,19.43,18.42,19.01,18.35,19.11,19.43,19.15,19.82,18.98,20.21,NaN,18.64,18.08,18.67,17.58,17.82,17.57,17.51,17.99,18.03,NaN,16.55,12.55,19.32,17.31,16.74,18.31,18.35,18.36,17.34,17.8,17.92,18.37,17.89,18.83,17.69,16.77,17.39,17.99,17.66,18.1,19.12,19.21,21.83,20.31,20.55,23.65,23.52,22.95,23.15,23.11,23.34,23.1,22.93,23.34,23.47,22.41,23.04,22.52,22.58,22.6,19.77,18.82,20.99,20.61,19.54,19.37,20.14,20.71,21.41,20.76,20.85
2016-03-25,17.39,18.6,16.85,16.2,16.48,17.74,17.97,16.68,17.91,17.32,19.04,NaN,16.91,16.15,16.95,15.19,15.09,15.69,15.94,15.95,16.23,NaN,14.78,8.37,16.96,15.78,14.65,16.1,17.2,16.54,15.65,15.5,16.0,16.41,16.04,16.93,16.17,15.05,16.08,16.4,16.25,15.97,16.64,17.18,18.54,16.52,17.73,19.98,20.26,20.04,19.61,19.32,20.07,19.85,19.69,19.96,20.08,19.32,19.55,18.93,19.38,19.38,17.64,16.67,18.47,18.98,17.42,17.7,18.26,18.28,18.84,18.11,18.64
2016-04-01,24.69,25.85,22.77,23.36,23.89,24.61,25.77,23.51,25.57,24.24,24.76,NaN,24.53,24.13,24.75,21.82,21.19,22.7,23.74,24.04,24.33,NaN,22.88,16.44,24.8,23.61,22.55,24.14,24.19,24.59,23.86,23.3,23.89,24.54,23.18,24.97,23.6,23.16,23.45,23.9,23.47,23.67,23.88,24.47,24.92,23.92,24.26,26.23,26.85,25.42,26.38,25.82,26.93,26.44,26.47,26.8,26.68,26.93,26.15,26.2,26.23,26.3,24.24,24.79,25.89,26.4,24.94,23.17,25.54,25.93,26.42,24.96,24.62
2016-04-08,24.29,24.9,22.4,22.9,23.3,23.88,24.83,22.4,24.78,23.58,24.24,NaN,22.85,22.4,22.88,20.73,20.66,21.57,21.7,22.21,22.47,NaN,20.86,16.86,23.36,21.64,20.83,22.49,22.57,22.71,22.01,21.57,22.04,22.7,21.81,23.08,22.41,21.9,21.82,22.48,22.14,22.14,22.25,22.91,25.38,24.6,23.8,26.05,26.4,25.92,25.68,25.66,26.56,26.02,26.31,26.38,26.33,26.08,26.04,26.1,25.9,25.93,23.96,24.56,25.33,25.74,24.36,23.12,24.82,25.14,25.75,24.27,25.29
2016-04-15,24.23,25.5,22.81,23.52,23.82,24.33,25.43,23.63,25.1,24.19,24.79,NaN,23.95,23.2,23.85,22.23,21.95,22.82,23.05,23.14,23.25,NaN,22.0,17.83,24.28,23.0,21.9,23.53,23.05,23.64,24.08,22.49,22.98,23.73,23.25,23.99,23.58,22.66,23.05,23.87,23.26,23.67,22.67,23.34,25.85,25.19,24.59,27.48,27.76,26.7,26.7,27.01,27.95,27.27,27.43,27.64,27.67,27.13,27.83,26.85,27.08,27.25,24.55,25.07,26.08,26.13,24.73,24.61,25.21,25.62,26.63,24.75,25.65
2016-04-22,25.96,27.57,24.52,25.38,25.63,26.17,27.74,23.65,26.87,26.46,26.11,NaN,26.06,25.44,26.18,24.2,23.77,24.86,25.25,25.24,25.68,NaN,24.25,19.49,26.43,25.3,23.96,25.57,25.33,26.11,25.43,24.71,25.42,26.01,25.28,26.32,25.92,24.51,25.22,26.02,25.45,25.09,24.54,25.48,26.86,25.71,26.11,27.92,28.6,27.23,27.3,27.54,28.92,28.17,28.3,28.49,28.4,28.52,28.58,27.89,28.33,28.12,26.26,26.59,27.64,27.94,26.64,26.1,27.07,27.57,28.23,26.6,26.94
2016-04-29,25.08,26.88,23.83,24.74,24.94,25.46,27.21,23.29,25.95,25.88,25.54,NaN,26.14,25.32,26.08,24.69,23.93,25.1,25.23,25.16,25.49,NaN,23.95,18.91,26.5,25.2,24.13,25.4,25.04,25.85,25.04,24.66,25.22,25.71,25.5,26.26,25.36,23.71,25.21,25.77,25.47,24.94,24.3,24.99,26.18,24.89,25.42,27.86,28.67,26.69,27.28,27.57,28.72,28.25,28.21,28.33,28.32,28.27,27.97,27.81,28.22,28.0,25.68,25.86,27.33,27.32,25.95,25.61,26.46,26.74,27.53,26.12,26.46
