日期,南投,線西,二林,大里,西屯,埔里,竹山,彰化,沙鹿,豐原,忠明,觀音,菜寮,中壢,新莊,新店,古亭,松山,陽明,板橋,永和,三重,土城,大園,士林,萬里,大同,平鎮,桃園,富貴角,林口,萬華,基隆,汐止,淡水,中山,龍潭,湖口,頭份,新竹,竹東,三義,苗栗,宜蘭,冬山,臺東,花蓮,關山,美濃,左營,前鎮,復興,橋頭,前金,楠梓,恆春,鳳山,潮州,大寮,屏東,林園,仁武,小港,麥寮,新港,崙背,朴子,安南,善化,新營,斗六,臺南,嘉義,臺西
2017-01-01,20.48,20.71,21.34,21.74,21.95,20.07,20.0,20.61,21.24,19.6,21.86,20.89,23.25,21.27,22.4,21.82,22.36,22.1,15.93,22.57,22.49,22.84,22.15,20.99,22.4,20.58,NaN,21.33,21.7,NaN,20.29,22.93,21.08,20.77,28.67,22.77,20.01,20.99,20.85,20.69,20.3,18.74,20.3,21.93,21.24,23.43,22.47,21.46,21.99,22.23,22.65,22.93,21.17,22.37,21.88,23.41,22.96,22.21,22.23,22.71,23.14,22.01,22.8,21.33,19.98,21.01,21.43,21.3,21.65,21.12,21.99,20.79,21.14,20.88
2017-01-08,19.23,18.86,19.86,19.48,19.95,19.59,18.95,18.68,18.54,18.09,19.58,17.83,19.33,17.61,18.41,17.98,18.14,17.99,11.15,18.59,18.18,18.89,18.42,17.55,18.37,17.46,NaN,17.58,17.78,NaN,16.35,18.78,17.32,16.72,28.67,18.71,16.35,17.91,18.49,18.03,17.88,15.66,17.82,18.23,17.64,21.16,19.51,18.63,21.52,21.63,22.09,22.3,20.46,21.64,21.17,22.18,22.47,21.92,21.93,22.42,22.81,21.32,22.41,19.99,18.57,19.37,20.22,20.27,20.92,19.67,20.28,19.64,19.83,19.17
2017-01-15,17.48,17.27,18.12,17.45,18.38,18.46,17.34,16.92,16.77,16.14,17.96,16.41,17.61,15.68,16.73,16.4,16.75,16.61,9.59,17.02,16.79,17.24,16.92,16.14,16.95,16.39,NaN,15.86,15.93,NaN,14.64,17.34,15.94,15.6,28.67,17.21,14.49,16.18,16.67,16.24,16.02,13.93,16.21,16.68,16.12,20.21,18.38,17.6,19.94,21.26,20.35,20.66,18.76,19.96,19.48,20.99,20.77,20.47,20.24,20.65,21.3,19.67,20.88,18.74,16.97,17.74,18.84,18.7,19.75,18.12,18.76,17.88,18.39,17.51
2017-01-22,17.19,16.83,17.51,17.35,18.15,17.55,16.98,16.54,16.23,16.04,17.77,16.24,17.24,15.52,16.71,16.16,16.47,16.2,8.93,16.9,16.53,17.17,16.73,15.62,16.8,15.86,NaN,15.7,16.0,NaN,14.48,17.34,15.34,14.96,28.67,17.05,14.42,16.38,16.46,16.11,15.71,13.61,15.85,15.93,15.49,19.55,17.82,16.85,19.21,20.38,19.52,19.82,17.81,19.1,18.62,20.41,19.98,19.58,19.26,19.96,20.39,18.73,19.96,17.51,16.54,17.17,18.18,18.05,19.57,17.44,18.2,17.1,17.77,16.86
2017-01-29,19.27,18.29,18.85,18.79,20.04,19.76,18.67,18.46,18.07,17.79,19.74,17.39,19.24,17.68,18.54,18.11,18.23,18.06,11.63,18.63,18.33,18.98,18.32,17.14,18.56,17.24,NaN,17.89,17.92,NaN,16.48,18.85,17.05,16.91,28.67,18.86,16.7,18.34,18.34,17.93,17.77,16.19,17.95,17.92,17.38,21.05,20.07,18.76,20.59,22.01,21.04,21.32,19.36,20.68,20.27,20.92,21.39,21.04,20.88,21.34,21.75,20.38,21.4,18.32,18.58,18.71,19.7,19.67,20.61,19.1,20.01,18.68,19.4,18.12
2017-02-05,16.57,16.11,16.93,16.69,17.43,16.57,15.85,15.89,15.57,14.89,17.21,15.03,16.32,14.54,15.61,15.3,15.7,15.67,7.73,15.98,15.77,16.27,15.83,14.48,15.69,14.64,NaN,14.64,14.85,NaN,13.28,16.17,15.0,15.35,28.67,16.18,13.37,15.45,15.51,15.06,14.65,12.77,15.19,16.01,15.29,18.55,17.61,16.39,18.6,19.83,18.94,19.12,17.1,18.47,17.79,19.49,19.23,19.12,18.58,19.13,19.87,18.07,19.47,16.68,16.15,16.54,17.52,17.36,18.61,16.76,17.59,16.26,16.9,15.99
2017-02-12,18.0,17.38,17.88,17.87,19.14,17.16,17.44,17.43,17.18,16.48,18.93,17.29,18.85,17.46,18.31,17.77,18.3,18.08,11.07,18.42,18.42,18.91,18.05,17.13,18.36,16.77,NaN,17.65,17.7,17.32,16.47,18.93,16.96,17.39,28.67,18.96,16.26,18.12,17.57,17.43,17.12,15.05,16.95,17.66,16.75,19.42,18.23,17.17,19.56,21.18,20.32,20.55,18.41,19.95,19.45,20.01,20.61,19.46,19.83,20.51,20.96,19.61,20.6,17.59,17.45,17.8,18.61,18.62,19.46,18.11,19.24,17.8,18.49,17.26
2017-02-19,19.01,18.07,18.81,18.5,19.31,19.88,18.64,18.06,18.12,17.47,19.24,16.14,19.74,16.76,17.93,17.9,18.08,17.96,11.92,18.57,18.09,18.34,18.2,16.29,17.73,17.49,NaN,16.86,17.14,16.05,16.49,18.53,16.99,17.33,28.67,18.45,16.12,17.17,17.0,16.73,17.24,15.72,16.86,18.48,17.86,22.02,20.1,19.57,22.58,23.83,22.9,23.24,21.22,22.54,22.22,22.68,23.3,23.14,22.71,23.21,23.63,22.18,23.27,18.63,18.97,18.8,20.17,20.97,21.64,19.99,20.35,20.24,19.76,18.8
2017-02-26,17.49,17.05,17.89,17.38,15.87,17.86,17.1,16.91,16.33,16.05,17.92,15.56,16.52,14.92,15.92,15.55,15.87,15.84,8.77,16.49,15.87,16.35,16.19,15.15,15.83,15.08,NaN,15.23,14.93,15.17,14.23,16.43,15.08,15.29,28.67,16.35,14.03,16.21,15.84,15.68,15.19,13.61,15.51,16.12,15.74,19.51,17.71,16.83,20.58,21.04,20.7,21.46,18.95,20.29,19.93,20.76,21.02,20.8,20.39,21.11,21.49,19.9,20.99,17.61,17.4,17.93,18.82,19.12,20.2,18.23,18.9,18.21,18.41,17.3
2017-03-05,18.76,18.56,19.03,18.47,18.3,19.04,18.36,18.3,18.1,17.46,18.92,16.74,18.07,16.29,17.17,16.68,17.04,16.92,10.45,17.78,17.08,17.44,17.18,16.45,17.26,16.01,NaN,16.55,16.3,16.03,15.48,17.51,15.6,16.21,28.67,17.5,15.18,17.4,16.91,16.67,16.16,15.42,16.83,16.73,16.54,20.42,18.4,18.06,21.18,21.67,21.95,22.76,20.16,21.83,21.23,22.16,22.29,21.87,21.58,22.05,22.79,21.26,22.27,18.84,19.04,19.1,20.14,20.34,21.05,19.64,20.15,19.62,19.61,19.19
