日期,西屯,大里,沙鹿,南投,彰化,忠明,竹山,豐原,二林,線西,埔里,板橋,觀音,龍潭,林口,萬華,永和,淡水,士林,平鎮,桃園,三重,古亭,大同,大園,松山,汐止,中山,土城,新店,基隆,中壢,萬里,陽明,富貴角,新莊,菜寮,頭份,三義,湖口,苗栗,竹東,新竹,宜蘭,冬山,花蓮,臺東,關山,復興,林園,前鎮,美濃,大寮,恆春,橋頭,楠梓,前金,小港,鳳山,潮州,屏東,左營,仁武,新營,新港,臺西,斗六,麥寮,崙背,臺南,嘉義,安南,朴子,善化
2018-01-01,17.94,18.8,18.2,19.71,18.84,19.1,18.51,17.41,18.36,18.98,18.39,19.36,18.14,17.18,16.76,19.59,19.93,18.78,19.85,18.08,17.93,19.57,19.04,NaN,18.64,18.59,19.05,19.12,19.28,19.28,18.46,18.05,18.19,12.72,18.17,19.2,19.06,17.82,15.68,17.64,18.43,18.14,18.24,18.0,17.62,19.25,20.49,18.79,20.8,21.22,21.32,20.32,21.22,21.24,20.24,19.49,20.45,21.31,21.26,21.54,21.07,19.68,20.23,19.0,18.21,18.05,19.16,19.2,18.54,19.19,17.63,19.8,19.07,19.83
2018-01-08,13.26,14.1,12.99,14.38,14.34,14.39,13.41,12.22,13.83,14.49,12.98,13.93,12.93,11.76,11.27,14.17,14.69,12.39,14.11,12.86,11.98,14.27,13.49,NaN,13.35,13.16,13.52,13.87,13.73,13.38,13.17,12.75,13.05,6.54,13.59,13.52,13.55,12.8,10.42,12.32,13.64,12.7,13.19,13.11,12.88,15.07,16.24,13.95,16.63,17.11,16.72,15.86,16.75,17.69,15.93,14.92,15.89,17.07,16.86,17.29,16.67,15.41,15.76,14.26,13.42,14.08,14.24,15.14,13.86,14.63,12.98,15.22,14.5,15.4
2018-01-15,19.48,20.35,19.52,21.13,19.96,20.67,19.42,18.9,19.28,19.81,19.11,19.98,18.06,18.27,17.67,20.19,20.73,19.49,20.63,18.98,18.72,20.34,19.56,NaN,18.95,18.96,19.17,19.82,19.73,19.73,18.34,19.07,17.76,14.2,17.92,19.94,19.77,18.7,16.87,18.3,19.2,19.26,18.94,18.92,18.29,20.13,21.32,19.67,21.88,22.27,22.01,21.76,22.46,21.55,22.48,20.89,21.33,22.39,22.6,22.47,22.56,20.69,21.45,20.45,19.33,18.66,20.43,19.74,19.52,20.41,18.7,21.05,20.2,21.18
2018-01-22,17.57,19.02,17.02,19.73,18.35,18.62,18.53,17.36,18.1,18.63,19.54,17.8,16.47,16.08,14.97,17.84,18.05,17.18,18.33,16.86,16.66,18.15,17.41,NaN,16.98,16.73,16.9,17.63,17.88,17.7,16.31,16.89,16.04,10.69,16.07,17.73,17.52,17.38,14.79,16.48,17.67,17.62,17.39,16.84,16.14,19.15,20.47,18.93,21.19,21.91,21.63,21.33,21.81,21.43,21.12,19.84,20.41,21.87,21.77,22.61,22.07,20.28,20.44,19.27,17.94,17.43,18.92,18.73,18.16,19.27,18.1,19.72,18.76,19.94
2018-01-29,12.35,13.65,11.67,14.06,13.37,13.26,12.77,11.13,13.33,13.79,13.59,12.52,11.4,10.36,9.57,12.96,11.61,11.51,13.1,11.22,10.59,12.8,12.22,NaN,11.6,11.81,12.28,12.46,12.43,12.37,11.96,10.89,12.22,6.18,12.12,12.19,12.16,11.45,9.32,10.42,12.19,11.46,11.61,12.65,12.35,15.88,17.54,15.5,16.34,17.14,16.5,16.05,16.65,18.35,15.48,14.81,15.65,16.76,16.63,18.11,16.56,15.59,15.53,14.18,12.98,13.16,13.88,14.57,13.35,14.29,13.26,14.89,14.19,15.41
2018-02-05,12.92,13.95,12.33,14.14,13.71,13.8,12.94,11.85,13.52,14.06,13.4,13.02,12.27,10.83,10.49,13.34,12.1,12.36,13.43,11.81,11.26,13.22,12.59,NaN,12.79,12.3,12.74,12.8,12.78,12.73,12.55,11.67,12.81,6.77,12.89,12.82,12.62,11.94,10.03,11.3,12.16,11.89,12.39,12.65,12.53,14.99,16.32,14.43,15.86,16.83,16.0,15.79,16.39,17.44,14.96,14.28,15.12,16.36,16.18,16.83,16.31,15.07,15.12,13.89,13.02,13.08,14.01,14.05,13.5,13.86,13.19,14.62,14.15,14.48
2018-02-12,18.28,19.57,17.21,20.34,19.05,19.69,18.83,17.66,18.22,18.33,18.66,18.58,16.29,16.86,15.77,18.64,19.24,16.79,18.5,17.24,17.06,18.61,18.4,NaN,17.07,17.67,17.66,18.4,18.09,18.45,16.66,17.32,15.91,12.19,16.06,18.27,17.99,17.0,16.28,16.72,17.02,17.83,17.55,17.77,17.26,18.51,19.75,18.03,21.28,21.53,21.48,20.83,21.48,20.68,20.81,20.3,20.98,21.7,21.88,21.22,21.63,20.66,20.86,19.65,18.5,17.28,19.91,17.71,18.52,19.86,19.33,20.3,19.34,19.83
2018-02-19,18.05,19.64,17.16,20.51,18.94,19.42,19.23,17.81,18.57,18.8,20.25,17.87,15.3,15.66,14.67,18.06,18.0,16.2,17.93,15.78,16.23,17.84,17.68,NaN,16.18,17.12,17.31,17.71,17.85,17.99,16.28,15.87,15.83,12.82,15.52,17.52,17.26,16.22,15.2,15.21,16.64,16.83,16.36,18.8,18.21,20.08,21.79,20.31,22.64,23.12,22.8,22.43,23.18,22.74,21.81,21.16,21.83,23.31,23.14,23.24,23.13,21.41,21.78,19.91,18.76,18.3,20.08,18.43,18.87,20.38,19.53,20.76,19.63,20.79
2018-02-26,20.95,22.08,20.33,23.13,21.62,22.43,21.4,20.47,20.97,21.12,21.38,21.17,19.12,19.39,18.52,21.21,21.4,19.45,20.97,19.83,19.8,20.88,20.89,NaN,19.73,20.3,20.55,20.71,21.42,21.05,19.69,19.84,18.67,15.45,18.72,20.81,20.37,19.23,19.06,19.14,19.94,19.67,19.74,21.01,20.42,22.06,23.75,22.07,24.54,24.56,24.67,24.44,24.82,24.29,24.18,23.78,24.06,25.02,25.43,24.77,25.09,23.64,24.01,22.67,21.35,20.63,22.66,20.55,21.41,23.24,22.02,23.54,22.19,23.48
2018-03-05,17.55,19.26,17.12,19.66,18.9,19.11,18.21,17.11,18.52,18.78,18.36,17.99,16.58,15.91,14.96,18.09,17.8,16.65,18.51,16.77,16.82,18.18,17.52,NaN,16.7,16.86,17.12,17.74,18.24,17.69,16.55,16.9,16.28,10.8,16.3,17.79,17.7,16.83,14.76,15.97,17.7,16.85,17.12,18.01,17.34,19.27,20.69,19.01,21.54,21.77,21.66,21.26,22.08,21.57,21.02,20.43,20.86,21.93,22.21,21.67,21.78,20.73,20.8,19.5,18.47,18.25,19.61,18.34,18.65,20.07,19.09,20.44,19.4,20.83
