日期,大里,彰化,沙鹿,二林,竹山,埔里,南投,豐原,線西,西屯,忠明,菜寮,富貴角,大同,觀音,士林,龍潭,萬里,陽明,板橋,林口,平鎮,汐止,基隆,永和,古亭,三重,松山,淡水,土城,中山,新莊,大園,中壢,新店,萬華,桃園,三義,頭份,竹東,湖口,新竹,苗栗,宜蘭,冬山,臺東,關山,花蓮,左營,復興,前金,仁武,鳳山,潮州,小港,橋頭,屏東,美濃,林園,恆春,楠梓,前鎮,大寮,麥寮,善化,斗六,臺西,新港,嘉義,臺南,朴子,安南,崙背,新營
2019-01-01,20.54,20.49,19.73,19.72,20.13,20.18,20.68,18.49,19.39,19.39,19.69,19.1,18.45,NaN,17.71,20.0,17.5,18.94,13.86,19.41,17.0,18.05,18.78,18.47,18.81,18.88,19.63,18.36,18.6,19.32,18.96,19.48,18.73,18.52,21.42,19.51,17.74,16.85,18.92,20.14,17.75,19.17,19.67,18.6,18.93,22.39,19.97,20.67,21.72,22.56,21.61,21.66,22.31,22.42,23.59,21.44,23.03,22.52,22.88,23.42,21.17,22.56,22.2,19.26,21.08,20.9,19.25,19.75,20.27,20.88,20.77,20.9,19.62,20.86
2019-01-08,21.72,21.16,20.87,20.09,21.0,21.36,21.82,19.74,19.6,20.23,20.76,20.42,19.32,NaN,18.36,20.92,18.55,19.87,14.32,20.9,17.72,18.85,19.95,19.16,21.62,20.31,20.9,19.66,19.53,20.67,20.3,20.93,19.4,19.46,21.66,20.71,18.86,17.84,19.53,21.21,18.64,20.06,20.22,19.95,19.87,23.64,21.14,21.44,23.15,23.77,22.78,22.88,23.69,23.63,24.83,22.71,24.43,23.97,23.86,23.55,22.49,23.71,23.62,19.13,21.9,21.88,19.09,20.29,21.12,21.82,21.31,21.78,19.99,21.62
2019-01-15,18.9,17.53,17.6,17.61,18.07,18.29,18.4,16.62,17.32,17.53,17.97,18.01,17.61,NaN,16.12,18.57,15.92,17.79,11.33,18.58,15.4,16.49,17.32,17.22,18.42,17.77,18.57,17.2,16.72,17.92,17.94,18.16,16.84,16.98,18.75,18.39,16.36,14.81,16.55,17.84,16.17,17.55,16.65,18.04,17.97,20.91,18.51,19.92,20.47,20.89,19.92,19.8,20.51,20.95,21.79,19.54,21.11,20.81,21.25,21.47,19.12,20.85,20.48,17.13,19.19,18.85,16.94,17.58,18.16,18.91,18.7,19.02,17.41,18.85
2019-01-22,17.38,15.71,16.03,16.44,16.57,16.12,17.11,15.0,16.45,16.2,17.03,16.79,15.72,NaN,15.46,17.34,14.47,16.72,9.15,17.43,14.26,15.62,16.16,15.95,17.88,16.58,17.34,15.9,15.31,16.7,16.74,16.94,15.8,16.14,16.16,17.05,15.14,13.23,15.18,15.04,15.41,16.57,15.52,16.07,16.23,19.56,17.0,17.88,18.79,19.56,18.42,18.35,19.17,19.22,20.42,18.03,19.92,19.38,19.82,20.13,17.53,19.36,19.03,16.15,17.68,17.34,15.93,16.07,16.72,17.39,17.22,17.72,16.16,17.2
2019-01-29,20.5,18.46,19.45,19.12,19.95,19.12,20.58,18.47,18.98,19.49,20.08,19.43,16.3,NaN,16.91,19.88,17.69,18.38,13.42,20.82,17.35,18.09,18.95,18.26,20.52,19.49,19.99,18.9,17.96,19.28,19.61,19.75,17.76,18.75,19.16,19.77,18.18,17.12,17.24,17.87,17.29,18.38,19.43,18.92,18.76,21.81,19.44,20.2,22.68,23.27,22.44,22.3,23.05,22.39,23.55,21.88,23.27,22.58,23.03,22.16,21.63,23.19,22.57,18.8,20.95,20.94,18.85,19.65,20.36,21.1,20.75,21.46,19.29,21.04
2019-02-05,20.91,19.27,19.96,20.27,20.44,20.48,21.02,18.69,19.95,19.68,20.04,18.67,15.74,NaN,16.89,19.18,16.56,17.29,12.73,20.12,15.79,17.05,17.6,16.72,18.58,18.25,19.19,17.62,17.14,18.67,18.53,18.88,16.82,17.44,18.04,18.77,17.17,16.62,17.6,17.67,16.91,18.23,19.22,19.49,19.43,23.19,21.27,21.11,22.81,23.42,22.45,22.43,23.19,23.06,23.91,22.35,23.69,23.15,23.48,23.08,21.86,23.25,22.94,19.91,21.58,21.53,20.14,20.51,21.01,21.98,21.54,22.61,20.33,21.58
2019-02-12,21.61,19.81,20.51,20.94,21.21,21.05,21.67,19.48,20.43,20.44,20.83,19.43,17.83,NaN,17.83,19.99,17.53,18.44,13.92,21.85,16.96,18.19,18.62,17.69,20.2,19.54,19.96,18.59,18.22,19.85,19.37,19.88,17.66,18.55,19.2,19.71,18.45,17.19,18.42,18.45,17.79,18.99,20.82,19.92,19.69,23.67,21.85,21.23,23.51,24.17,22.93,23.23,24.01,23.87,24.31,23.19,24.67,24.19,24.23,23.49,22.7,24.04,23.73,20.33,22.43,22.11,20.36,21.09,21.56,22.58,22.26,22.92,20.86,22.33
2019-02-19,20.9,18.32,19.37,19.82,20.48,20.63,21.07,18.74,19.28,19.66,19.9,18.62,18.11,NaN,17.22,19.22,17.08,18.2,13.43,19.99,16.51,17.64,18.27,17.61,18.4,19.14,19.13,18.05,17.75,19.07,18.63,19.12,17.69,18.06,18.53,19.11,17.76,16.87,17.76,17.94,17.53,18.74,18.64,19.45,19.35,23.96,21.42,21.0,23.74,24.19,23.02,23.3,24.02,23.91,24.16,23.0,24.43,23.98,24.98,24.18,22.77,24.15,23.58,19.48,22.12,21.32,19.66,20.24,21.03,22.29,21.47,22.12,19.84,21.72
2019-02-26,21.94,19.01,20.38,20.95,21.36,20.99,22.04,19.71,20.44,20.77,21.14,19.54,18.66,NaN,18.09,19.64,17.88,18.8,13.96,19.32,17.31,18.5,19.0,18.24,19.37,20.08,20.12,18.94,18.72,19.89,19.53,19.96,18.59,18.99,19.28,19.88,18.78,17.9,18.59,18.6,18.11,19.4,19.32,19.74,19.66,24.2,21.89,21.68,23.5,24.17,22.89,23.21,23.93,23.72,24.17,23.16,24.46,24.35,24.98,23.46,22.79,24.0,23.57,20.38,22.29,22.39,20.56,21.23,21.66,22.65,22.34,22.93,20.94,22.4
2019-03-05,18.73,15.96,18.15,18.25,18.49,18.01,18.57,16.86,18.15,18.17,17.84,16.97,17.31,NaN,16.27,17.16,15.34,17.29,11.14,16.92,15.11,16.0,16.98,16.64,15.57,17.48,17.52,16.66,19.3,17.33,17.06,17.42,16.75,16.36,16.88,17.6,16.29,15.06,16.07,15.88,15.77,17.02,17.13,17.9,17.78,21.48,19.03,18.84,22.03,22.74,21.56,21.6,22.33,22.59,22.66,21.07,22.71,21.74,23.44,22.19,20.77,22.56,21.92,18.31,20.05,19.79,18.56,18.63,19.04,20.2,19.84,20.54,18.23,19.8
2019-03-12,21.56,19.09,20.19,20.93,20.88,19.55,21.46,19.09,20.92,20.94,21.15,20.11,19.62,NaN,18.77,20.13,18.2,18.83,12.93,20.69,17.92,19.18,19.6,18.89,20.04,20.71,20.61,19.6,19.88,20.23,20.19,20.45,19.81,19.55,19.95,20.57,19.82,17.75,18.97,18.78,18.78,19.95,19.54,19.67,19.8,22.04,19.45,20.43,23.34,24.1,22.87,22.96,23.77,23.28,23.89,22.72,24.01,23.27,24.67,22.12,22.4,23.82,23.27,20.54,21.64,22.46,20.78,21.23,21.5,22.34,21.95,22.66,20.89,22.09
2019-03-19,22.47,20.09,21.66,21.67,21.66,21.25,22.38,20.43,21.68,21.82,22.0,20.88,20.02,NaN,19.32,20.82,19.16,20.08,14.69,22.27,18.56,19.72,20.22,19.64,20.09,21.31,21.42,20.23,19.82,21.06,20.84,21.27,20.45,20.18,20.56,21.2,20.6,19.02,20.08,19.86,19.48,20.52,20.83,20.49,20.47,24.2,22.21,21.98,24.22,25.07,23.83,23.86,24.72,24.04,24.76,23.61,24.96,24.04,24.93,23.96,23.25,24.76,24.16,21.15,22.25,23.16,21.37,21.78,22.18,23.16,22.41,23.33,21.55,22.8
2019-03-26,23.44,22.28,22.29,22.76,22.73,22.11,23.46,21.38,22.51,21.37,23.01,21.48,20.73,NaN,20.24,21.38,20.04,20.77,14.89,23.43,19.34,20.76,20.82,20.28,20.71,21.94,22.02,20.83,20.65,21.67,21.48,21.82,21.17,21.18,21.18,21.83,21.22,19.79,21.25,20.79,20.72,21.78,21.73,20.69,20.94,24.57,22.05,22.23,25.12,25.74,24.49,24.69,25.43,24.93,25.61,24.65,25.94,25.44,25.46,24.41,24.28,25.48,25.0,22.23,23.67,24.33,22.49,23.03,23.15,24.29,23.58,24.7,22.75,23.91
2019-04-02,23.7,22.52,22.95,22.96,23.14,22.66,23.9,21.65,22.82,22.84,23.41,23.13,22.12,NaN,21.96,22.71,21.22,22.21,16.94,24.07,20.91,21.93,22.73,21.96,22.47,23.61,23.63,22.66,21.92,23.01,23.14,23.35,22.0,22.43,22.68,23.54,22.94,20.55,21.84,21.49,21.74,22.65,22.37,23.36,23.22,25.47,23.86,23.47,25.11,26.05,24.7,24.89,25.78,25.55,25.6,24.92,26.51,26.11,25.87,24.73,24.49,25.73,25.4,22.41,23.94,24.52,22.63,23.37,23.42,24.54,23.89,24.91,23.04,24.28
2019-04-09,24.83,23.53,23.41,24.16,24.64,23.93,25.01,22.66,23.64,23.43,24.18,22.82,21.79,NaN,21.68,22.6,21.04,22.0,16.25,24.1,20.38,21.79,22.29,21.69,21.82,23.29,23.34,22.33,21.78,22.88,22.85,23.06,21.76,22.2,22.36,23.17,22.86,20.76,22.2,21.9,21.71,22.96,22.62,22.2,22.26,25.64,23.81,23.75,26.56,27.46,26.19,26.33,27.15,26.52,26.98,26.41,27.68,27.1,26.95,25.63,26.13,27.14,26.69,23.51,25.46,25.87,23.76,24.77,24.98,25.86,25.21,26.31,24.23,25.68
2019-04-16,24.94,23.85,24.94,24.55,24.32,22.63,24.94,23.15,24.36,24.43,24.69,24.29,23.26,NaN,23.15,23.99,22.76,23.13,18.56,26.01,22.24,23.28,23.96,23.24,23.23,24.88,24.78,23.85,23.16,24.37,24.35,24.61,23.68,23.68,24.01,24.59,24.29,22.07,23.24,23.15,22.98,24.05,23.99,24.26,24.38,25.67,23.76,24.26,26.33,27.08,25.9,26.08,26.59,25.93,26.47,25.93,26.8,26.3,26.67,26.22,25.62,26.7,26.14,23.92,25.36,26.04,24.4,24.93,24.93,25.85,25.35,26.27,24.52,26.12
2019-04-23,28.04,26.91,27.51,27.2,26.99,25.92,28.04,26.07,27.13,26.91,28.02,27.46,25.07,NaN,25.61,26.99,25.87,25.86,20.47,30.01,24.97,26.24,26.72,25.79,27.17,27.84,27.8,26.67,25.85,27.5,27.34,27.63,26.16,26.83,26.95,27.22,27.75,24.71,26.66,26.66,25.8,27.29,26.58,26.62,26.62,28.6,27.48,26.86,28.47,29.15,27.91,28.18,28.91,27.81,28.39,28.25,29.12,28.73,28.51,27.63,28.02,28.77,28.11,26.12,27.15,28.65,26.57,27.45,27.39,28.17,27.82,28.55,27.04,28.66
2019-04-30,24.15,23.03,24.06,23.51,23.24,22.03,23.96,22.03,23.53,23.34,23.84,23.32,22.93,NaN,22.48,23.09,21.29,22.73,16.07,26.83,20.96,22.34,22.57,22.28,22.26,23.55,23.72,22.46,22.28,23.38,23.14,23.56,22.82,22.68,22.82,23.51,23.09,20.53,22.55,21.82,22.14,23.41,22.73,22.05,22.2,24.7,22.76,22.97,25.45,26.14,25.04,24.95,25.41,24.7,25.25,24.85,25.44,25.0,25.51,24.3,24.4,25.8,24.81,23.13,24.31,25.0,23.55,24.01,24.02,24.83,24.6,25.21,23.52,24.79
2019-05-07,25.29,23.65,24.1,24.32,24.64,24.01,25.2,23.21,23.93,24.24,24.78,23.64,22.59,NaN,22.32,23.66,21.89,22.55,17.66,24.7,21.46,22.7,22.85,22.19,22.6,23.84,24.06,22.72,22.72,23.74,23.44,23.92,22.82,23.14,23.32,23.76,23.41,21.55,22.85,22.82,22.55,23.77,23.21,24.285,22.84,26.11,24.27,24.34,26.55,27.69,26.03,26.4,27.13,26.53,26.52,26.46,27.53,27.12,27.13,25.94,26.0,27.17,26.74,22.04,25.06,26.02,24.02,24.7,24.79,25.82,25.1,26.11,24.26,25.41
2019-05-14,27.61,26.87,27.75,27.74,26.89,24.18,27.54,26.07,28.02,27.08,27.7,27.92,26.27,NaN,26.56,27.4,26.29,26.47,21.2,30.19,25.76,26.77,27.34,26.47,27.36,28.29,28.28,27.42,26.4,27.96,27.83,28.06,26.92,27.37,27.37,27.93,27.43,24.88,27.63,26.71,26.68,28.19,27.47,26.52,26.51,28.48,26.93,26.68,29.51,29.96,28.83,28.97,29.4,28.3,29.21,29.17,29.13,28.11,29.34,28.01,28.85,29.57,28.87,29.48,27.77,29.13,28.07,28.43,27.82,29.21,28.76,29.51,28.98,28.97
2019-05-21,26.35,25.26,25.7,26.01,25.57,24.06,26.24,24.6,26.01,25.52,26.3,26.55,25.17,NaN,25.62,26.51,24.43,24.95,19.16,27.68,24.22,25.4,25.75,25.17,25.84,26.75,26.89,25.65,25.33,26.28,26.28,26.73,25.61,25.81,25.73,26.38,25.65,23.12,25.29,24.73,25.45,26.39,25.09,24.29,24.31,25.47,23.59,24.14,27.75,28.08,27.07,27.15,27.49,26.66,27.58,27.39,27.36,26.92,27.26,25.17,26.93,27.75,26.73,27.44,26.6,27.34,25.92,26.47,26.23,27.41,26.86,27.85,26.88,27.24
2019-05-28,27.84,26.87,26.93,27.23,26.53,25.11,27.62,26.32,27.14,26.64,27.75,27.07,25.62,NaN,26.29,27.55,25.6,25.7,20.08,27.5,24.67,25.92,26.4,25.47,26.43,27.28,27.49,26.42,25.62,26.73,26.92,27.43,25.76,26.49,26.45,26.84,26.58,24.26,27.25,26.09,25.89,27.18,26.28,25.29,25.75,28.31,26.36,26.09,29.26,29.67,28.73,28.75,29.28,28.38,29.23,29.0,29.44,28.49,29.11,27.49,28.72,29.29,28.58,26.9,27.84,28.77,26.95,27.58,27.41,28.45,27.97,28.68,28.11,28.54
