日期,埔里,線西,大里,二林,沙鹿,彰化,忠明,豐原,西屯,竹山,南投,萬里,菜寮,中壢,陽明,龍潭,士林,永和,三重,松山,林口,汐止,新店,淡水,桃園,大園,土城,大同,萬華,中山,板橋,古亭,新莊,基隆,觀音,平鎮,頭份,新竹,湖口,苗栗,三義,竹東,宜蘭,冬山,關山,臺東,花蓮,楠梓,屏東,橋頭,大寮,小港,林園,前鎮,仁武,前金,鳳山,美濃,左營,潮州,恆春,復興,新營,臺西,新港,崙背,斗六,安南,臺南,麥寮,善化,朴子,嘉義
2015-01-01,2.84,5.07,10.04,4.09,4.57,4.67,18.8,2.93,12.85,2.47,6.43,1.99,23.82,27.73,0.79,6.32,13.89,19.11,84.4,21.93,5.31,20.74,8.85,7.45,9.85,8.34,18.2,55.05,15.15,28.03,19.02,11.88,21.45,11.54,4.35,6.46,5.95,8.01,6.31,7.3,1.56,3.62,1.67,4.77,2.0,2.08,1.58,5.88,2.66,3.15,5.18,7.51,2.44,6.5,5.33,3.12,4.44,1.91,4.26,1.78,1.1,9.59,4.8,2.22,5.14,3.32,3.82,5.74,3.88,3.03,3.24,2.86,4.98
2015-01-08,1.69,3.15,6.5,2.23,3.26,4.27,6.56,2.56,5.52,2.11,4.78,1.26,2.27,14.42,0.49,1.83,3.06,7.34,57.84,4.73,1.76,2.63,2.07,1.34,2.04,3.21,1.65,37.66,4.98,8.41,3.7,3.58,2.32,1.1,1.22,1.52,2.94,2.11,1.81,4.26,1.41,1.81,1.34,4.38,1.59,1.95,1.98,5.04,2.1,5.16,4.76,9.28,3.27,5.85,6.12,3.59,5.85,1.75,3.65,1.98,3.33,8.46,3.07,2.22,3.28,1.96,2.5,3.55,2.87,2.25,2.97,2.59,3.86
2015-01-15,2.16,2.5,6.7,1.73,1.79,3.47,3.77,1.9,2.54,3.31,5.47,2.5,3.59,15.28,0.75,2.84,2.91,10.95,69.15,5.69,1.59,5.48,2.9,1.8,2.72,4.21,2.92,37.3,6.11,10.34,4.47,4.81,3.91,2.01,1.13,2.26,3.87,2.29,1.66,4.8,1.56,1.9,1.34,3.73,1.01,1.66,1.71,4.74,2.72,4.08,5.87,10.57,4.76,5.6,6.67,3.68,7.77,1.76,3.37,2.23,1.32,8.05,3.76,1.0,2.43,1.82,3.64,3.42,2.83,2.24,3.32,1.63,5.77
2015-01-22,2.6,2.68,6.99,2.08,3.38,2.86,10.1,2.71,6.86,2.67,4.35,1.62,12.81,23.04,0.79,4.17,6.42,18.37,82.56,12.2,2.43,14.84,3.97,2.62,4.95,6.41,11.55,49.85,11.95,17.33,8.2,8.95,13.31,4.92,2.27,3.8,3.82,3.52,3.38,4.79,1.67,3.01,1.24,3.84,1.08,1.81,1.21,4.86,2.15,3.73,3.56,6.23,2.76,5.58,4.17,2.95,3.86,1.15,3.81,1.77,0.98,6.39,3.56,1.87,3.08,2.07,4.04,4.32,2.94,2.91,2.5,2.11,3.38
2015-01-29,2.24,2.28,4.03,1.96,2.21,2.97,4.0,2.38,2.91,2.42,4.13,1.16,3.51,14.39,1.09,3.35,3.42,9.94,64.44,6.45,1.79,5.57,3.78,2.17,2.28,3.76,2.58,45.58,7.68,10.37,5.01,5.97,4.02,3.1,0.98,1.83,3.25,2.11,1.99,3.87,1.81,2.1,1.44,3.48,1.95,1.81,1.53,3.48,2.25,3.7,3.48,8.91,4.37,5.44,4.72,3.31,4.62,1.99,3.0,2.24,1.03,6.53,2.25,0.89,1.84,1.83,1.92,2.68,1.99,2.28,2.21,1.77,3.33
2015-02-05,2.12,2.98,5.76,2.21,2.1,4.3,6.96,2.12,3.89,2.48,4.33,1.58,6.47,23.81,0.8,4.56,5.53,17.77,79.33,11.85,2.83,14.19,5.22,4.38,5.46,5.89,7.66,54.71,10.37,14.95,8.06,8.99,8.06,4.52,2.39,4.66,5.46,5.44,3.38,5.16,1.88,2.93,1.39,4.61,0.92,1.74,1.97,4.73,1.88,4.4,4.12,8.26,3.69,6.43,6.75,4.19,5.03,2.19,3.83,2.48,1.57,8.67,3.92,1.55,2.73,2.31,3.45,3.61,3.54,2.56,2.88,2.18,4.31
2015-02-12,1.8,2.92,6.67,1.9,4.08,4.17,12.92,2.22,8.66,2.17,4.35,1.29,4.59,21.65,0.8,4.5,3.05,12.79,62.0,9.52,2.46,11.38,3.44,2.05,3.21,3.83,6.69,37.4,7.2,11.85,6.07,5.89,6.79,2.89,1.38,3.17,4.53,4.55,4.75,7.3,1.64,2.02,1.04,3.76,1.9,1.71,3.73,4.61,1.3,3.47,2.83,4.39,2.18,4.59,4.1,2.54,3.22,1.59,3.05,1.3,1.79,5.78,4.01,1.57,2.75,1.78,3.62,5.2,2.76,2.61,2.95,1.92,3.07
2015-02-19,2.33,1.8,4.64,1.68,2.33,2.32,4.62,3.46,3.57,2.76,3.83,2.05,5.58,19.44,1.13,3.69,3.35,19.48,59.89,9.09,2.87,5.83,5.28,3.29,4.51,2.13,6.86,29.72,8.75,12.98,5.98,7.45,7.43,3.48,0.97,3.88,3.07,2.9,1.87,3.24,2.42,2.79,1.13,2.44,1.99,1.92,1.78,3.31,1.59,3.02,2.71,7.27,2.4,5.06,2.98,2.86,3.77,1.69,2.77,1.73,1.39,6.52,2.36,1.89,2.31,1.59,2.44,2.52,1.83,2.02,2.12,1.75,2.98
2015-02-26,1.89,2.31,4.92,1.98,2.26,2.73,4.55,3.42,3.65,2.72,3.35,2.05,10.37,21.55,1.08,3.83,10.5,17.22,66.38,9.38,2.25,7.42,4.93,6.12,6.09,6.75,7.82,44.34,11.39,14.46,9.04,7.93,11.54,4.61,1.95,5.73,3.71,5.47,3.33,4.03,2.52,2.65,1.15,2.76,2.03,1.86,2.65,3.78,2.4,3.57,3.7,7.7,3.04,5.12,4.88,3.49,4.72,1.77,3.06,1.98,1.58,5.19,2.82,1.8,3.1,3.23,3.01,3.73,2.62,2.65,2.69,2.66,2.84
2015-03-05,1.71,2.22,5.96,1.81,2.06,3.19,4.88,3.19,3.16,3.83,4.81,1.63,3.13,16.11,0.48,3.28,2.96,10.05,52.92,6.35,2.13,2.37,3.24,1.75,2.24,3.31,1.97,46.76,6.3,9.03,3.87,5.42,3.37,1.48,0.92,2.07,2.59,2.49,1.8,2.74,1.81,2.2,1.29,2.62,2.07,1.62,3.09,4.03,1.85,3.97,4.69,9.79,3.99,6.8,6.29,4.43,6.75,1.76,3.75,2.0,1.86,7.18,2.59,1.24,2.44,1.51,3.34,3.02,2.47,2.09,2.58,1.76,5.48
