日期,竹山,忠明,二林,沙鹿,豐原,西屯,彰化,埔里,南投,線西,大里,大同,三重,古亭,中山,基隆,萬里,觀音,平鎮,新店,永和,淡水,龍潭,陽明,菜寮,中壢,林口,士林,土城,板橋,桃園,汐止,松山,新莊,大園,萬華,苗栗,三義,湖口,頭份,新竹,竹東,冬山,宜蘭,臺東,關山,花蓮,林園,復興,恆春,美濃,潮州,鳳山,前鎮,前金,屏東,小港,楠梓,大寮,橋頭,左營,仁武,臺西,崙背,臺南,嘉義,新港,麥寮,斗六,新營,安南,朴子,善化
2016-01-01,4.87,17.34,2.61,6.56,3.82,13.04,10.12,5.82,8.32,3.81,14.89,59.17,76.68,17.37,26.44,9.6,2.58,2.03,8.35,13.55,31.96,5.43,8.28,0.82,13.68,27.83,7.62,11.22,16.92,17.35,11.38,16.74,17.69,15.59,5.02,20.71,7.14,3.34,4.19,7.08,9.24,5.47,7.44,3.41,2.37,1.86,2.59,3.95,15.62,2.4,1.83,2.0,8.71,12.23,5.53,3.91,15.91,7.11,10.57,6.78,6.3,9.46,1.47,3.01,5.9,7.9,2.52,2.71,7.63,6.35,7.32,2.8,3.13
2016-01-08,2.08,4.81,1.62,1.79,2.01,2.94,3.53,2.37,5.93,1.9,5.56,46.3,72.82,6.26,11.84,3.58,1.44,1.38,3.1,3.47,14.4,2.72,3.11,0.7,5.65,15.57,3.06,3.73,4.75,6.26,3.7,4.9,6.34,5.81,4.4,8.1,3.42,1.9,2.05,2.62,2.97,2.91,4.05,1.37,2.0,1.78,2.78,5.04,10.39,1.75,2.12,1.77,5.68,7.24,3.6,2.74,9.69,3.71,11.22,3.64,3.79,6.2,1.0,1.91,2.54,3.13,2.35,2.26,2.77,3.02,2.06,1.53,2.16
2016-01-15,4.06,6.81,1.89,1.95,2.43,3.98,4.93,2.29,9.19,2.35,11.06,47.37,81.2,8.68,14.69,3.27,1.12,1.61,2.46,4.88,19.39,2.3,3.38,0.84,7.06,16.15,3.21,4.62,6.45,6.71,3.63,6.29,8.31,6.31,3.88,10.21,4.33,2.07,1.73,2.68,4.39,3.26,4.14,2.09,2.42,2.36,4.7,5.19,14.42,2.12,2.13,1.72,8.14,9.57,5.14,3.21,13.6,5.97,13.18,6.61,5.64,10.37,1.14,2.26,5.09,6.31,2.39,1.75,4.86,4.22,3.38,2.35,3.88
2016-01-22,3.28,11.16,1.96,3.01,3.19,8.98,5.37,3.2,7.88,2.51,11.81,63.06,89.98,16.11,22.54,4.98,2.2,3.27,8.22,10.05,29.75,5.13,6.86,0.9,14.27,30.24,7.0,10.85,10.84,12.86,7.86,16.68,17.09,14.2,6.02,17.71,6.31,2.52,4.55,6.12,8.0,4.31,4.66,2.02,2.94,2.56,3.91,4.09,10.78,2.08,1.69,1.91,5.78,6.79,4.49,3.26,10.98,4.78,11.11,4.3,3.36,7.59,1.3,2.22,3.32,4.29,2.49,2.9,4.05,4.08,2.67,2.04,2.15
2016-01-29,2.52,7.75,1.92,2.31,2.12,4.08,4.98,5.15,7.56,2.72,9.84,54.22,86.35,8.92,15.84,3.76,1.3,1.63,3.51,4.66,17.99,4.05,3.52,0.43,9.1,15.17,3.25,5.59,5.87,8.37,3.64,6.17,9.19,6.87,5.09,11.66,4.12,1.61,1.8,2.59,2.45,2.78,3.8,1.8,2.3,1.78,3.14,6.91,12.23,1.77,2.27,2.3,7.67,8.46,5.91,3.58,9.04,6.1,10.49,5.03,5.86,7.95,1.38,2.31,3.38,4.12,2.19,1.95,4.1,3.22,2.2,2.07,2.28
2016-02-05,1.48,7.37,1.57,2.72,1.52,3.76,2.21,3.13,3.61,1.76,3.91,39.76,64.85,5.31,11.45,1.77,1.44,1.27,2.53,3.81,16.3,2.69,2.9,0.55,5.93,15.0,1.76,3.53,6.78,5.15,1.96,4.75,6.73,4.74,2.05,7.59,3.04,1.21,1.92,1.78,3.26,2.09,2.28,1.07,2.01,1.59,1.52,2.54,8.26,2.83,1.26,1.28,2.65,6.52,2.41,1.53,3.83,2.09,5.83,1.59,2.64,2.37,1.45,1.45,2.1,2.45,1.78,1.65,2.06,1.96,1.38,1.79,1.77
2016-02-12,2.18,5.61,1.8,2.37,2.54,3.69,3.81,2.86,6.15,2.67,7.93,46.78,64.31,5.99,14.61,5.9,1.79,2.27,3.29,3.78,10.62,5.83,3.83,0.5,8.5,19.04,3.41,5.24,7.5,8.23,4.22,12.44,10.54,7.91,4.25,9.48,3.49,1.81,2.52,2.66,3.47,2.71,3.0,1.23,2.11,1.47,3.18,5.6,12.06,1.77,2.25,2.02,7.28,8.63,5.18,3.28,10.81,4.64,8.75,4.4,4.92,7.44,1.72,2.19,4.0,5.35,3.84,3.34,3.92,4.16,4.24,3.2,2.72
2016-02-19,2.13,6.46,1.82,2.96,3.25,4.3,3.85,1.71,5.23,2.52,7.06,34.18,70.64,4.58,12.22,2.11,1.54,1.63,2.69,2.44,15.5,1.96,2.77,0.62,4.7,15.52,2.28,3.52,3.27,3.58,3.06,4.74,6.79,4.08,3.05,5.4,3.63,2.01,2.72,3.27,3.87,3.12,3.22,1.23,1.79,1.67,2.05,3.97,5.69,1.81,1.96,1.58,5.08,4.3,2.6,2.55,7.17,3.98,5.62,3.5,2.56,4.68,1.65,1.72,2.91,2.62,2.31,2.11,2.95,2.75,2.22,1.76,2.15
2016-02-26,3.51,7.07,1.97,3.36,3.34,4.25,3.63,2.38,5.62,2.99,6.7,43.16,64.81,5.61,9.39,2.9,1.62,2.67,2.45,2.89,10.4,2.7,3.23,0.47,7.0,18.19,2.66,4.6,5.21,6.62,2.67,8.11,7.55,6.3,4.96,8.08,4.2,1.68,2.48,3.31,3.64,2.18,2.95,1.35,1.49,1.55,1.82,3.5,5.52,1.71,1.36,1.61,4.23,4.17,2.92,2.14,5.59,3.55,4.31,3.01,2.54,4.36,1.7,2.11,2.73,2.77,2.26,2.69,3.62,2.82,2.45,2.1,2.25
2016-03-04,2.25,8.29,2.91,2.75,2.66,6.73,4.94,3.14,4.99,3.52,6.19,46.12,80.71,9.43,22.75,7.38,2.59,2.13,8.87,5.46,21.49,5.78,6.09,0.61,16.85,25.75,8.22,10.6,15.04,13.43,10.79,14.9,11.79,19.5,7.29,14.97,5.83,1.78,5.07,4.97,5.69,3.18,4.44,1.35,1.94,1.66,1.68,3.26,8.0,1.53,1.82,1.92,4.71,6.1,3.3,2.65,7.85,5.42,6.19,4.32,4.04,5.56,1.63,2.86,3.31,3.03,2.94,3.11,2.82,3.87,3.54,2.59,3.0
