日期,南投,線西,二林,大里,西屯,埔里,竹山,彰化,沙鹿,豐原,忠明,觀音,菜寮,中壢,新莊,新店,古亭,松山,陽明,板橋,永和,三重,土城,大園,士林,萬里,大同,平鎮,桃園,富貴角,林口,萬華,基隆,汐止,淡水,中山,龍潭,湖口,頭份,新竹,竹東,三義,苗栗,宜蘭,冬山,臺東,花蓮,關山,美濃,左營,前鎮,復興,橋頭,前金,楠梓,恆春,鳳山,潮州,大寮,屏東,林園,仁武,小港,麥寮,新港,崙背,朴子,安南,善化,新營,斗六,臺南,嘉義,臺西
2017-01-01,6.53,3.25,3.25,11.46,7.34,2.36,1.79,4.33,4.59,2.92,9.68,2.12,5.31,23.3,6.59,4.41,6.68,8.83,0.73,6.64,15.76,65.63,7.12,4.74,4.3,2.79,33.89,4.3,5.95,NaN,4.79,7.76,4.19,9.91,3.03,11.86,5.09,4.04,3.79,5.3,3.15,1.75,5.4,1.78,4.64,1.97,2.17,1.98,2.15,2.93,5.2,6.5,5.29,2.18,6.36,0.96,4.49,1.83,4.09,2.56,2.35,7.31,7.34,2.31,3.97,2.87,2.13,3.88,3.64,3.39,4.51,3.89,4.78,2.27
2017-01-08,5.83,2.52,2.35,7.15,4.59,2.92,2.76,3.23,2.15,2.41,5.22,1.2,3.02,13.8,3.16,2.74,4.15,4.88,0.65,3.85,7.08,57.27,3.0,3.4,2.47,1.52,33.35,2.24,3.13,NaN,3.0,5.72,1.4,3.5,1.86,9.07,2.67,1.87,2.75,2.52,1.97,1.57,3.66,1.29,2.97,1.9,1.8,1.72,2.17,3.31,4.75,6.27,4.54,3.5,4.58,1.22,5.73,2.5,4.84,2.49,3.99,6.93,8.28,2.79,2.52,2.72,2.19,3.28,3.37,2.92,3.81,3.06,5.41,1.61
2017-01-15,6.85,2.37,1.79,6.72,3.26,2.34,2.75,3.58,1.76,2.5,5.32,1.34,4.48,15.4,4.19,3.19,5.54,7.41,0.65,4.36,13.18,69.3,3.6,3.46,2.89,2.12,36.96,3.23,3.34,NaN,3.92,7.45,2.6,6.77,2.57,11.87,3.19,2.7,2.31,2.54,2.3,1.87,3.38,1.85,4.16,2.43,2.02,1.66,2.11,2.97,4.89,7.28,4.15,3.43,3.93,1.27,5.13,2.34,4.06,2.34,3.79,5.39,6.95,2.28,2.05,2.42,1.78,2.74,3.59,3.1,4.32,2.74,4.6,1.22
2017-01-22,4.75,1.88,1.48,4.39,2.41,1.96,2.04,2.73,1.66,2.13,3.79,0.98,3.0,13.05,2.74,2.14,3.27,3.89,0.47,3.83,5.39,58.01,2.37,2.7,1.85,1.45,25.39,1.87,2.53,NaN,2.14,5.12,3.06,4.49,1.44,6.44,2.44,1.84,2.15,2.11,2.09,1.57,3.24,1.21,2.08,2.01,2.4,2.18,2.04,2.44,4.08,5.35,3.03,2.87,3.4,1.68,5.78,1.84,3.72,2.14,2.95,5.31,6.33,2.18,2.19,2.34,1.62,2.08,2.61,2.61,3.13,2.33,4.39,1.09
2017-01-29,3.52,1.97,1.58,3.24,1.52,1.93,1.32,1.88,1.01,1.8,3.23,0.8,4.49,12.47,5.15,2.85,4.75,7.34,0.57,4.23,10.52,55.55,5.12,2.53,3.72,2.23,23.97,1.76,3.33,NaN,3.15,7.38,4.4,8.56,3.38,11.83,2.36,1.76,1.66,3.24,1.55,1.59,2.15,1.18,2.09,2.29,1.47,1.54,1.73,1.5,3.81,5.07,2.64,2.01,2.36,1.37,3.42,1.5,2.68,1.78,2.69,3.17,4.74,2.08,1.91,2.2,1.66,1.85,2.12,2.06,2.34,1.59,3.84,1.17
2017-02-05,3.51,1.81,1.61,3.65,2.36,1.69,1.92,1.76,1.45,1.49,3.01,1.03,2.64,14.33,2.85,2.54,3.51,4.31,0.52,3.02,10.7,62.16,2.81,2.49,2.04,1.68,20.39,2.12,2.28,NaN,2.64,4.63,3.17,4.21,1.59,7.77,2.2,1.43,1.67,1.8,1.33,1.76,2.99,1.05,2.8,2.23,1.71,1.61,2.08,2.89,4.98,6.38,3.63,2.91,3.68,1.45,5.04,1.98,3.64,2.17,3.71,5.38,6.4,1.66,1.6,1.98,1.48,1.94,2.56,1.94,2.63,1.94,4.81,1.2
2017-02-12,4.43,3.54,2.78,5.64,7.2,2.32,1.44,4.28,3.13,2.74,10.32,2.01,5.97,21.36,9.45,3.06,4.7,8.12,0.49,6.4,10.49,59.16,5.76,3.7,4.71,1.43,42.17,3.64,4.92,0.31,4.28,5.99,3.98,7.68,3.19,9.59,2.99,3.92,3.02,4.02,1.84,1.65,4.61,1.14,2.92,1.93,2.11,2.0,2.08,3.07,4.03,6.23,4.08,3.0,5.3,1.59,3.37,1.23,3.14,2.1,2.13,6.33,6.44,2.72,2.95,2.48,2.16,4.14,3.18,2.53,3.79,2.76,4.75,1.91
2017-02-19,4.76,3.46,2.31,6.42,5.76,3.01,2.48,3.41,3.66,2.5,8.89,2.04,7.72,21.16,8.94,4.01,7.32,8.47,0.66,8.28,15.49,72.85,5.4,4.58,4.42,1.59,44.77,4.02,4.61,0.68,4.57,10.51,2.82,6.34,2.32,17.48,3.44,2.43,3.01,4.4,2.6,2.6,4.06,1.84,3.2,1.85,1.92,1.67,2.36,3.17,4.52,6.66,3.9,3.39,4.44,1.5,5.35,1.98,4.96,2.69,3.52,4.98,7.16,2.39,2.86,1.94,2.29,3.53,2.53,2.78,3.33,2.49,4.29,2.02
2017-02-26,3.92,1.79,1.32,3.58,2.38,1.75,2.08,2.39,1.49,2.44,3.79,3.28,8.14,22.17,8.84,3.87,7.02,8.56,0.52,8.14,14.43,64.92,6.91,6.61,2.48,1.3,36.02,4.69,5.51,1.09,4.25,8.68,3.93,6.48,2.33,13.88,3.52,3.83,2.71,4.4,3.1,1.67,3.18,1.06,2.3,1.56,1.74,1.26,1.41,1.44,2.73,4.29,2.48,1.86,2.84,1.25,3.01,1.65,2.69,1.53,2.18,3.46,4.06,2.84,1.94,1.65,1.75,2.16,2.03,2.2,2.52,1.46,2.05,1.43
2017-03-05,4.28,2.67,2.18,4.78,6.55,1.95,2.29,3.06,3.64,2.37,7.23,2.52,7.24,19.39,6.7,3.08,5.76,8.23,0.6,9.29,10.8,58.72,4.68,5.83,3.0,1.61,44.7,2.83,3.65,1.33,3.98,8.92,4.24,6.11,3.37,10.88,2.58,2.48,2.85,3.88,2.55,2.68,5.22,1.36,3.38,2.02,2.21,1.09,2.33,3.08,4.69,6.57,3.72,3.34,4.82,1.15,5.19,3.19,4.42,2.62,3.37,5.35,6.18,2.77,2.11,2.25,1.71,2.49,1.99,2.01,2.41,1.81,3.32,1.8
