日期,西屯,大里,沙鹿,南投,彰化,忠明,竹山,豐原,二林,線西,埔里,板橋,觀音,龍潭,林口,萬華,永和,淡水,士林,平鎮,桃園,三重,古亭,大同,大園,松山,汐止,中山,土城,新店,基隆,中壢,萬里,陽明,富貴角,新莊,菜寮,頭份,三義,湖口,苗栗,竹東,新竹,宜蘭,冬山,花蓮,臺東,關山,復興,林園,前鎮,美濃,大寮,恆春,橋頭,楠梓,前金,小港,鳳山,潮州,屏東,左營,仁武,新營,新港,臺西,斗六,麥寮,崙背,臺南,嘉義,安南,朴子,善化
2018-01-01,7.78,8.64,5.62,5.44,3.89,10.42,4.09,2.95,2.29,3.2,4.7,3.97,1.43,3.6,2.55,5.04,9.16,1.11,1.93,5.03,3.4,60.08,4.42,29.04,3.63,5.13,3.34,9.2,3.95,2.49,2.0,23.81,1.47,0.73,0.38,3.16,4.17,3.75,1.18,3.45,5.35,2.53,3.01,1.33,3.47,1.67,1.77,1.65,9.12,4.46,7.32,1.42,5.31,0.6,4.9,7.33,4.37,10.84,7.1,2.65,2.66,3.85,7.22,2.77,2.99,1.65,3.84,2.38,2.48,3.7,4.34,3.03,2.36,2.98
2018-01-08,4.18,7.31,2.95,5.27,2.39,7.34,2.39,2.15,1.68,2.82,2.76,6.92,1.09,3.0,4.83,9.39,13.79,3.96,6.05,4.13,4.37,78.51,8.32,46.94,4.78,7.96,9.69,14.12,4.76,4.33,3.42,22.11,1.01,0.75,0.11,10.17,9.27,2.57,1.27,1.64,3.65,1.96,1.69,0.76,2.93,1.61,1.56,1.09,8.48,3.47,5.41,1.37,4.92,0.52,4.09,5.93,3.39,7.02,5.21,1.82,2.01,3.03,6.06,2.77,2.68,1.62,2.56,2.24,2.17,3.25,2.91,3.54,2.35,2.52
2018-01-15,5.6,8.24,3.42,4.71,5.04,9.28,2.74,3.34,2.58,3.38,3.53,9.85,2.61,4.44,5.83,9.02,13.36,4.27,5.41,6.96,7.54,57.6,8.32,44.69,5.36,12.34,12.03,11.59,9.73,4.67,4.45,23.48,1.52,0.39,0.32,11.53,7.45,3.57,1.63,2.82,4.43,3.12,4.23,1.41,4.52,2.04,1.8,1.56,7.78,2.27,5.74,1.77,4.32,0.52,4.16,5.48,3.6,9.89,5.62,2.24,2.62,2.84,6.25,2.82,2.26,1.26,2.76,1.7,2.48,4.06,3.68,3.1,1.75,2.99
2018-01-22,1.96,4.76,1.43,4.7,2.02,2.78,2.51,3.08,1.75,1.91,2.23,2.86,1.34,2.07,2.41,5.33,7.24,1.33,1.34,3.01,2.56,51.79,4.0,24.76,3.23,5.3,3.68,8.62,1.76,2.12,1.47,13.64,0.96,0.23,0.09,2.79,2.6,1.79,1.48,1.44,3.42,2.06,1.22,0.75,2.44,1.27,1.37,1.11,5.72,2.99,3.91,1.35,3.43,0.6,3.43,4.8,3.11,6.85,4.96,1.78,1.45,2.68,4.08,1.69,1.92,0.95,3.12,1.37,1.68,3.16,3.09,2.05,1.84,2.38
2018-01-29,1.11,5.97,1.37,4.65,2.04,2.84,3.23,1.99,1.38,1.58,1.39,3.63,0.63,1.98,2.49,6.54,8.6,1.43,2.28,3.35,2.75,66.93,4.84,43.64,4.41,4.35,3.25,8.76,1.67,2.56,1.18,12.12,1.31,0.14,0.06,4.01,2.69,1.68,1.06,1.04,2.45,1.71,1.25,0.91,1.82,1.73,2.17,0.79,7.55,4.69,5.41,1.51,5.61,0.72,3.69,5.39,3.75,6.64,4.99,2.14,2.47,3.06,5.4,2.25,1.79,0.98,2.95,2.17,1.86,2.72,3.16,2.08,1.7,2.38
2018-02-05,4.75,12.28,4.15,9.84,6.49,9.66,4.61,3.32,2.13,3.17,3.31,7.8,1.62,2.62,3.5,13.08,22.63,1.86,5.46,2.92,3.8,79.52,14.27,57.35,3.82,14.14,13.14,17.0,8.85,10.73,6.56,21.36,1.12,0.11,0.2266666666666666,6.76,7.14,2.65,1.64,1.52,4.61,2.56,1.86,1.49,2.85,2.37,3.67,1.14,10.47,4.29,7.53,1.7,4.63,0.66,4.46,6.28,4.79,8.24,6.43,2.29,2.12,3.72,7.14,2.84,2.04,1.45,4.66,2.3,2.43,2.99,5.97,2.47,1.96,2.62
2018-02-12,3.82,3.76,2.01,3.1,1.51,6.08,1.88,2.16,1.24,1.6,1.48,7.42,1.41,3.21,2.94,9.53,10.86,2.36,3.0,5.06,3.74,61.01,5.17,30.47,3.09,8.1,7.91,13.88,7.52,3.06,3.78,21.26,1.48,0.26,0.3933333333333333,3.51,11.11,2.41,1.07,1.63,2.8,1.78,2.16,0.83,2.7,1.08,1.75,0.99,6.03,1.62,3.85,1.23,3.44,0.65,2.66,4.87,2.73,3.82,3.09,1.96,1.77,2.28,2.97,1.47,1.29,1.58,1.93,1.86,1.32,3.2,1.68,1.97,1.4,1.68
2018-02-19,2.56,4.87,2.09,3.97,2.48,6.44,2.07,2.0,1.76,2.08,1.8,4.81,1.02,4.03,2.67,5.61,14.38,1.46,2.89,3.22,4.5,56.86,5.36,26.43,2.77,6.06,5.17,9.92,6.24,4.82,3.1,15.94,1.24,0.37,0.56,4.43,3.99,2.26,1.45,1.41,3.15,3.52,2.75,0.75,2.22,1.09,2.95,1.09,6.27,2.06,5.38,1.38,3.35,0.7,3.14,4.38,3.59,5.03,3.39,1.94,1.66,2.78,3.8,1.45,1.88,0.85,3.07,1.66,1.83,2.28,2.46,2.04,2.07,2.0
2018-02-26,10.45,7.61,3.82,3.95,3.6,14.65,2.19,2.99,2.3,3.11,2.15,21.34,2.48,4.62,5.0,21.56,29.27,6.4,12.2,6.11,8.44,81.7,13.9,48.49,5.49,16.28,15.81,27.71,16.02,9.07,6.52,27.91,1.78,0.3,0.484,18.39,19.12,3.7,1.96,3.63,6.63,3.21,5.39,1.12,3.09,1.31,2.25,1.38,5.84,2.75,5.09,1.47,3.17,0.77,3.39,5.33,4.71,4.93,3.53,1.9,1.91,3.83,3.4,2.81,3.22,1.63,3.57,2.64,2.36,4.47,3.4,3.77,2.33,3.36
2018-03-05,1.68,3.64,1.73,2.52,1.25,2.78,2.5,2.41,1.66,2.2,2.23,4.73,1.0,2.11,2.57,4.85,9.43,1.85,2.96,2.9,3.31,56.1,5.46,29.55,3.1,5.28,4.26,7.98,3.23,2.89,1.96,17.56,1.29,0.36,0.408,5.44,3.24,1.81,1.16,1.36,2.62,1.83,1.3,0.9,2.38,1.06,1.86,1.08,4.63,3.14,3.88,1.7,3.45,0.57,2.39,4.59,2.76,4.17,3.59,1.6,1.98,1.85,3.25,2.275,2.03,1.45,2.21,1.84,1.75,3.08,2.02,2.36,0.99,1.72
