日期,埔里,線西,大里,二林,沙鹿,彰化,忠明,豐原,西屯,竹山,南投,萬里,菜寮,中壢,陽明,龍潭,士林,永和,三重,松山,林口,汐止,新店,淡水,桃園,大園,土城,大同,萬華,中山,板橋,古亭,新莊,基隆,觀音,平鎮,頭份,新竹,湖口,苗栗,三義,竹東,宜蘭,冬山,關山,臺東,花蓮,楠梓,屏東,橋頭,大寮,小港,林園,前鎮,仁武,前金,鳳山,美濃,左營,潮州,恆春,復興,新營,臺西,新港,崙背,斗六,安南,臺南,麥寮,善化,朴子,嘉義
2015-01-01,17.19,17.96,26.68,15.14,18.76,21.75,27.61,14.37,21.76,17.33,21.54,6.95,24.12,30.52,3.62,17.27,19.07,23.86,40.52,24.92,16.04,20.41,17.8,15.0,21.93,21.51,22.59,35.38,27.48,29.8,24.88,22.47,25.38,14.49,17.38,19.92,17.45,20.82,16.68,20.64,10.36,17.03,9.0,10.37,4.84,6.75,10.13,24.23,20.56,21.09,24.48,33.59,21.8,31.54,30.03,24.13,28.73,12.4,24.17,15.37,1.16,33.01,19.52,13.3,14.79,15.77,19.25,18.26,23.85,13.5,15.89,15.19,21.45
2015-01-08,15.31,16.56,25.15,14.31,17.12,19.76,23.91,13.74,18.29,18.0,22.19,4.74,15.76,25.97,2.58,10.35,9.59,16.0,36.71,19.13,10.76,17.2,12.14,6.68,12.24,14.08,13.08,33.04,22.37,24.37,17.88,15.92,15.33,7.12,11.76,14.2,15.79,13.84,9.23,18.2,9.93,12.09,9.47,11.76,5.06,6.42,12.7,23.78,20.0,21.75,24.11,30.73,22.02,24.88,28.67,22.86,27.62,12.02,22.6,16.36,1.76,27.74,16.92,10.72,13.16,14.96,22.63,16.62,20.46,12.37,15.65,13.25,21.15
2015-01-15,14.48,14.72,22.84,13.82,13.79,18.02,19.59,11.71,13.37,17.79,21.6,7.0,18.52,28.03,2.74,14.47,12.41,18.95,41.25,21.39,11.92,19.39,14.18,8.05,15.88,17.26,15.34,32.64,24.03,25.93,19.6,18.26,18.75,10.25,12.95,17.22,15.54,16.22,11.84,16.96,8.66,12.58,8.6,10.56,5.32,6.66,11.88,23.7,21.99,22.44,25.82,33.31,25.31,26.22,28.57,24.79,29.67,13.56,23.89,17.94,2.84,28.41,17.8,9.27,13.78,15.36,20.43,16.47,19.84,12.54,17.33,13.39,21.86
2015-01-22,16.71,18.76,27.5,15.55,19.79,22.02,28.23,16.37,22.14,19.85,23.06,7.09,28.83,37.0,3.34,20.03,20.76,29.52,46.45,30.23,18.37,25.88,19.94,14.9,25.14,24.16,24.83,42.58,32.17,34.51,29.86,27.44,31.62,15.6,19.44,24.48,20.87,21.62,17.1,23.2,12.14,18.07,9.97,12.77,4.99,7.35,8.93,26.52,21.61,24.2,27.94,33.49,23.13,31.12,29.82,27.32,28.49,14.36,26.74,15.69,2.62,34.08,21.26,12.23,17.34,17.62,21.43,19.61,23.95,14.13,19.04,15.91,22.6
2015-01-29,15.08,10.02,19.45,10.36,11.5,14.13,17.0,11.8,12.12,16.63,19.21,4.73,16.89,23.87,1.58,13.45,11.11,18.06,31.97,19.42,9.49,16.79,14.63,6.54,12.74,11.26,16.06,29.07,21.65,21.9,20.46,18.19,16.96,9.45,7.59,14.74,13.3,14.32,8.99,14.89,9.7,13.04,7.75,8.27,4.47,5.29,10.04,19.24,16.46,18.39,23.08,29.31,25.22,23.97,24.06,20.55,25.23,11.72,19.4,16.3,1.94,26.13,13.75,6.55,10.42,11.69,17.22,12.27,15.27,9.33,14.51,10.28,17.5
2015-02-05,16.16,14.36,21.57,12.93,13.54,17.51,19.69,11.36,14.77,17.74,20.65,5.73,23.29,31.49,3.31,17.34,17.52,24.72,41.63,23.81,14.97,22.57,18.13,12.36,20.14,18.18,19.04,36.3,28.25,29.46,25.83,22.64,24.65,12.3,14.58,21.31,17.17,19.26,14.37,16.18,8.39,13.53,8.86,10.5,5.73,7.3,11.65,23.43,19.68,22.51,27.1,32.89,27.09,29.62,28.45,24.56,30.16,12.59,23.63,17.71,2.26,30.41,17.02,10.66,12.32,14.86,18.98,15.32,19.85,13.41,17.1,13.36,20.75
2015-02-12,18.08,18.85,30.16,15.03,20.68,24.39,30.22,16.43,25.37,17.0,22.67,6.33,24.76,35.92,3.08,21.2,15.1,25.22,46.6,25.8,15.61,21.29,16.46,13.02,20.75,22.29,20.5,40.33,29.17,31.5,25.44,22.06,23.58,12.78,17.56,22.92,19.72,23.0,18.17,24.96,12.0,16.24,9.35,11.62,5.32,8.4,12.67,25.59,20.09,23.4,25.49,33.62,18.49,29.22,29.01,26.35,29.31,11.59,25.99,14.74,1.91,32.04,20.8,11.92,14.32,16.79,23.37,20.31,24.77,12.7,17.82,14.67,23.21
2015-02-19,14.65,13.1,19.61,11.79,14.8,15.71,21.18,14.79,16.7,15.05,17.48,8.14,20.75,26.6,3.17,15.49,16.07,24.48,35.66,21.71,14.35,17.2,17.37,12.35,19.16,12.24,18.9,30.17,24.56,25.84,21.63,20.9,20.85,14.48,10.44,17.53,14.99,16.69,10.97,17.76,9.4,13.91,6.52,7.24,3.84,6.38,7.51,14.38,13.8,13.39,17.94,24.16,14.49,20.27,18.1,17.03,20.4,9.0,16.06,11.75,2.4,21.95,13.56,8.76,11.31,12.42,16.57,11.78,15.13,9.01,11.15,11.3,16.06
2015-02-26,12.95,13.74,21.34,13.19,13.62,16.78,19.34,15.72,16.07,17.09,19.05,6.54,18.48,26.81,2.6,14.8,16.46,20.57,35.3,20.12,12.45,15.65,15.53,10.69,16.22,15.63,17.07,29.89,24.13,24.96,21.06,18.44,19.96,11.11,10.12,18.29,14.82,15.41,11.55,16.7,10.06,13.17,7.06,8.21,4.404999999999999,5.83,9.48,18.2,17.01,17.78,21.72,25.51,16.86,23.33,22.2,19.67,24.09,10.24,19.3,13.37,1.59,25.02,15.71,8.71,11.99,15.26,18.08,15.83,18.62,10.97,15.69,13.64,18.11
2015-03-05,16.46,15.95,24.42,15.85,15.22,18.94,20.96,15.58,17.98,21.28,23.86,4.67,18.12,26.96,1.39,15.68,13.52,18.79,33.96,20.38,13.12,15.69,16.39,9.03,15.74,11.58,15.97,33.84,23.25,24.87,20.5,18.9,19.1,8.19,9.3,19.09,16.66,17.9,10.43,18.09,10.18,12.38,7.98,8.35,4.97,5.89,12.86,22.99,20.15,22.6,27.36,33.53,25.87,28.89,27.96,24.14,29.88,13.41,22.82,17.27,1.47,30.92,19.1,9.32,14.19,16.37,20.71,17.3,20.73,11.67,17.82,14.5,23.27
2015-03-12,14.16,13.43,21.84,11.03,18.05,18.63,22.77,15.47,21.02,15.78,16.16,9.8,29.84,35.81,4.99,21.42,24.9,37.63,43.29,30.71,22.43,26.68,26.17,17.69,30.38,18.49,27.9,39.49,35.39,35.87,31.1,30.09,32.11,19.83,12.21,26.89,18.45,23.31,17.21,19.89,11.51,15.89,7.49,11.5,3.45,6.36,6.02,23.0,17.64,19.02,18.99,23.52,14.18,23.28,23.67,22.12,22.86,10.54,21.99,11.72,1.62,24.8,16.66,10.91,12.07,12.47,17.31,17.64,19.97,10.39,14.61,12.61,15.98
2015-03-19,14.77,13.39,22.04,12.0,14.21,17.0,18.46,16.22,15.67,17.39,19.72,5.29,18.38,25.76,3.05,14.31,13.01,19.56,37.38,20.17,12.47,14.89,15.76,8.24,15.44,11.89,15.86,35.01,23.82,24.55,20.39,18.56,18.62,7.27,11.22,17.4,15.03,14.82,10.35,15.83,9.57,11.1,6.97,10.83,3.3,4.8,9.8,17.39,15.76,16.84,19.95,25.19,17.65,21.93,21.35,18.09,22.71,10.26,17.18,12.51,1.86,23.25,15.62,9.15,11.73,13.53,18.0,13.71,16.01,11.54,13.44,13.14,16.74
2015-03-26,13.88,15.05,21.56,11.02,17.83,18.52,21.68,15.31,19.49,15.95,17.2,8.82,29.45,35.95,4.2,20.03,21.16,31.18,44.52,27.28,20.5,24.51,20.85,17.38,25.26,22.95,26.52,40.58,32.85,33.67,30.47,27.05,29.52,16.18,18.59,26.22,18.33,21.95,19.7,19.82,11.2,13.66,9.18,9.78,3.06,6.16,6.26,19.6,15.19,16.09,16.4,22.84,12.69,21.95,21.12,23.3,21.03,10.0,19.41,10.87,2.02,22.59,8.93,9.38,11.42,12.21,17.63,15.49,17.89,10.71,14.35,12.86,15.97
2015-04-02,11.7,8.24,12.87,8.08,11.25,10.92,11.82,10.11,10.53,11.31,10.33,7.49,16.98,23.98,4.7,12.16,14.99,21.32,33.15,19.39,13.93,16.68,14.61,12.14,16.04,11.2,17.14,28.28,22.09,24.24,20.43,18.29,18.07,10.83,9.59,16.32,10.82,12.22,10.63,12.15,8.86,9.32,5.58,7.51,2.55,5.66,4.21,15.37,13.51,12.9,13.28,18.73,10.97,16.07,16.47,15.32,17.54,7.82,14.4,9.97,1.68,16.1,12.88,6.16,9.09,8.87,13.55,11.47,12.39,7.67,11.34,10.08,9.99
2015-04-09,13.15,14.81,20.66,14.3,14.96,17.16,19.26,11.3,15.26,16.52,21.06,4.93,25.91,36.41,2.3,17.46,18.78,27.94,44.05,27.22,17.01,23.24,18.31,13.74,22.8,19.78,23.38,42.4,29.89,33.1,30.65,24.85,26.17,12.89,16.68,21.95,17.1,20.37,15.15,18.08,8.8,11.14,7.36,9.01,3.22,5.63,10.65,20.04,15.35,18.24,18.34,24.25,19.48,22.59,22.51,19.09,22.01,11.12,19.56,13.83,2.72,23.87,18.46,9.79,12.18,14.38,17.61,14.08,16.2,12.18,15.29,13.35,16.79
2015-04-16,10.15,12.08,17.0,10.73,14.66,12.25,16.29,10.69,15.62,12.38,14.73,7.89,23.61,27.71,3.93,13.21,17.22,28.16,39.64,26.88,19.13,23.66,18.55,16.05,22.12,17.06,21.22,36.72,27.46,30.47,26.31,24.85,26.41,13.57,17.26,17.64,13.74,15.56,13.16,12.75,7.87,10.42,7.1,10.64,2.94,5.27,7.58,16.16,12.11,12.32,15.41,19.22,8.29,17.64,16.17,14.97,15.56,7.27,12.45,9.6,2.13,17.41,11.92,7.62,10.45,11.14,13.67,11.81,12.59,8.53,11.54,9.91,10.71
2015-04-23,10.63,9.47,16.94,9.09,13.08,12.39,15.81,13.71,13.77,12.75,15.12,8.04,17.87,26.96,2.88,13.68,12.07,20.7,38.02,19.84,14.27,18.11,13.34,7.6,15.9,14.82,17.14,32.0,22.53,23.72,19.8,17.89,18.04,11.96,13.2,16.09,13.4,15.05,11.44,14.3,10.07,10.79,6.94,9.26,2.74,5.37,8.27,12.83,12.96,12.11,19.1,22.1,12.57,20.09,17.8,12.88,15.115,7.08,14.17,10.25,2.33,20.24,12.17,6.9,7.16,8.95,12.71,10.79,11.7,7.59,9.43,8.75,12.05
