日期,竹山,忠明,二林,沙鹿,豐原,西屯,彰化,埔里,南投,線西,大里,大同,三重,古亭,中山,基隆,萬里,觀音,平鎮,新店,永和,淡水,龍潭,陽明,菜寮,中壢,林口,士林,土城,板橋,桃園,汐止,松山,新莊,大園,萬華,苗栗,三義,湖口,頭份,新竹,竹東,冬山,宜蘭,臺東,關山,花蓮,林園,復興,恆春,美濃,潮州,鳳山,前鎮,前金,屏東,小港,楠梓,大寮,橋頭,左營,仁武,臺西,崙背,臺南,嘉義,新港,麥寮,斗六,新營,安南,朴子,善化
2016-01-01,16.38,23.14,12.89,16.73,14.4,19.28,19.81,14.87,18.97,17.29,24.61,32.57,36.39,26.39,29.55,17.68,7.91,12.73,22.29,21.96,27.88,14.55,19.16,2.15,23.46,28.68,16.32,19.12,22.82,28.68,21.54,23.37,26.86,25.65,16.91,29.06,19.93,11.75,14.21,19.49,19.67,14.74,12.98,10.54,6.44,4.82,10.85,23.48,29.2,2.15,9.68,13.77,26.11,27.19,21.19,17.4,32.58,19.12,25.56,20.12,21.93,24.89,10.13,13.49,22.07,20.42,13.95,10.94,21.86,18.99,18.28,12.53,16.66
2016-01-08,15.67,18.35,11.11,13.71,10.06,14.9,17.56,13.86,19.7,14.61,20.71,32.15,37.91,22.12,26.91,10.59,4.07,10.31,19.68,17.48,22.73,9.77,15.76,2.24,20.56,27.93,11.37,15.07,19.49,25.27,17.6,18.15,22.22,22.33,15.61,25.49,16.73,10.42,9.7,15.1,15.55,12.25,11.12,8.12,5.98,5.15,11.94,25.0,27.91,2.75,9.85,14.24,25.26,26.88,21.41,17.63,30.53,18.53,25.83,19.1,21.18,24.2,9.02,13.53,19.17,19.69,12.14,10.66,18.91,17.3,14.4,12.84,15.83
2016-01-15,18.95,22.49,13.66,16.96,12.25,18.69,19.94,14.34,23.39,17.4,26.17,34.09,38.77,23.18,29.43,12.42,4.7,12.06,18.17,18.83,24.18,11.62,16.28,2.49,22.23,27.36,13.99,16.95,20.95,25.22,17.35,20.42,24.5,22.85,16.25,27.87,19.47,11.27,11.44,20.28,17.85,13.16,10.04,9.52,6.48,6.54,12.51,27.97,33.35,2.58,10.07,15.04,28.49,31.34,25.55,18.74,34.85,22.01,29.02,23.08,25.25,27.51,10.14,16.28,24.37,24.5,15.46,12.51,22.56,21.35,18.87,15.07,20.26
2016-01-22,16.78,19.79,11.22,13.11,10.81,15.74,17.12,15.94,19.83,12.99,22.88,31.58,36.72,22.92,25.78,9.4,4.98,13.37,19.99,18.69,25.1,11.49,15.6,2.01,20.65,28.73,14.44,14.96,19.51,24.66,17.7,18.03,20.97,23.28,15.8,25.56,16.52,10.51,12.79,16.65,17.04,11.93,10.25,8.57,6.54,5.62,9.3,24.06,28.28,2.59,10.86,13.74,26.73,28.03,22.34,19.73,31.8,20.27,27.56,20.08,21.48,26.41,8.73,12.41,18.13,18.51,12.0,9.91,18.37,16.93,13.53,10.85,15.32
2016-01-29,17.58,18.6,11.84,13.28,10.08,14.9,16.43,12.92,20.39,14.05,20.84,31.51,38.17,22.27,26.74,9.4,3.82,8.53,18.23,18.31,21.81,8.65,15.09,1.72,21.96,25.26,11.28,12.83,19.26,24.11,15.75,16.54,22.14,22.93,13.7,25.18,18.51,12.29,9.06,15.06,14.57,12.27,9.48,8.62,6.58,5.19,11.3,27.72,28.35,1.79,11.35,15.52,24.32,26.12,21.49,16.46,29.75,18.95,25.72,19.66,21.73,23.41,7.89,12.59,18.29,19.55,11.46,10.28,19.31,17.35,14.53,11.48,15.06
2016-02-05,12.51,20.06,9.66,15.66,7.7,16.37,15.01,11.86,16.4,12.29,18.85,35.22,41.43,20.6,26.93,10.44,5.44,12.45,17.75,17.36,27.24,15.78,16.0,2.84,22.17,28.16,10.38,15.18,21.77,22.0,17.98,17.22,20.95,20.38,14.71,25.77,16.38,7.51,12.1,14.57,16.67,11.27,9.36,7.14,7.67,5.1,7.95,17.03,27.23,2.08,8.95,10.98,19.16,24.08,18.33,13.95,22.09,14.44,18.22,14.22,19.7,18.27,8.73,11.89,17.95,17.15,10.81,8.65,14.7,15.83,13.47,11.69,13.11
2016-02-12,14.01,19.29,11.78,13.45,11.45,15.82,15.06,11.52,18.57,14.37,21.01,30.27,34.24,18.16,26.3,14.3,6.93,16.12,16.49,14.92,18.48,14.71,14.26,2.58,20.73,25.54,15.03,14.12,17.1,21.8,16.47,20.52,22.36,21.0,17.1,24.3,14.65,8.88,12.03,15.63,15.59,10.63,8.42,6.96,6.07,4.44,10.52,20.56,27.51,2.44,9.22,13.52,23.79,23.41,21.07,15.58,27.0,17.95,22.46,18.33,21.28,21.5,9.94,12.82,20.1,24.99,12.65,12.5,17.99,16.66,16.27,13.06,15.39
2016-02-19,20.48,22.48,13.66,15.27,13.85,17.57,18.77,13.63,22.1,15.35,25.37,31.61,40.01,20.04,28.37,9.42,4.57,9.59,15.74,15.51,22.2,7.47,12.78,3.23,18.74,24.97,10.01,11.9,17.28,20.19,15.45,18.62,22.11,18.78,13.24,24.47,15.42,10.47,9.94,15.8,14.13,10.87,10.46,7.57,5.71,4.68,8.55,24.6,30.87,2.61,11.25,16.94,27.8,26.81,21.46,18.58,33.37,18.99,28.62,20.39,21.04,24.59,10.07,14.44,20.25,22.93,13.09,12.95,20.31,17.94,14.93,13.96,16.45
2016-02-26,18.44,25.01,14.21,19.32,14.06,20.05,20.47,15.32,21.27,17.82,26.77,35.03,42.22,20.34,28.52,11.14,4.02,18.87,18.31,16.05,21.21,13.32,16.25,2.28,22.51,30.39,13.47,15.88,19.78,23.64,17.16,21.25,23.15,21.83,22.01,27.41,20.66,11.14,15.49,20.17,20.67,11.85,8.49,7.96,5.46,3.76,8.66,21.34,29.33,2.48,11.42,12.54,24.94,25.76,19.57,18.24,29.59,20.64,23.91,20.73,20.58,23.88,8.74,15.9,19.9,22.1,13.0,10.29,21.19,17.84,15.14,12.45,15.49
2016-03-04,16.45,23.83,12.75,19.16,13.93,20.75,20.48,16.67,18.37,16.73,24.1,34.85,41.37,24.48,32.26,18.32,8.4,15.48,24.17,19.59,27.92,18.89,19.94,3.9,27.96,31.4,19.76,23.19,27.13,30.15,27.91,20.12,25.23,29.34,22.63,30.31,20.93,12.54,15.64,19.57,21.48,16.49,10.37,7.68,5.37,3.3,6.79,18.28,31.17,2.59,10.49,12.09,23.96,27.13,20.56,18.03,30.16,21.28,22.51,19.5,21.77,23.77,11.56,13.08,21.79,18.97,12.3,11.3,18.88,18.41,17.35,12.13,16.07
