日期,南投,線西,二林,大里,西屯,埔里,竹山,彰化,沙鹿,豐原,忠明,觀音,菜寮,中壢,新莊,新店,古亭,松山,陽明,板橋,永和,三重,土城,大園,士林,萬里,大同,平鎮,桃園,富貴角,林口,萬華,基隆,汐止,淡水,中山,龍潭,湖口,頭份,新竹,竹東,三義,苗栗,宜蘭,冬山,臺東,花蓮,關山,美濃,左營,前鎮,復興,橋頭,前金,楠梓,恆春,鳳山,潮州,大寮,屏東,林園,仁武,小港,麥寮,新港,崙背,朴子,安南,善化,新營,斗六,臺南,嘉義,臺西
2017-01-01,17.9,15.27,12.4,24.41,21.89,13.19,14.43,19.4,18.13,13.96,23.98,12.23,21.4,28.5,20.78,18.14,23.07,24.11,2.58,24.18,24.7,38.67,20.07,17.44,14.53,8.08,31.95,19.53,20.67,NaN,16.19,25.42,14.11,22.03,12.49,27.55,16.49,13.92,16.54,19.13,12.21,10.27,16.57,8.69,10.81,5.9,6.74,3.96,10.21,19.91,27.2,28.83,19.37,19.1,21.79,1.39,25.78,14.71,23.1,18.46,20.05,16.61,31.44,9.66,12.27,11.72,10.8,16.05,14.97,17.09,17.56,20.74,17.22,8.86
2017-01-08,22.07,16.51,14.52,22.96,14.23,15.96,19.1,17.18,13.78,12.22,18.68,11.19,16.16,25.17,16.86,14.47,17.73,19.58,2.17,20.0,16.93,35.63,15.07,15.58,10.99,4.44,29.17,16.69,16.14,NaN,12.31,22.69,7.33,15.25,7.19,23.63,13.58,9.53,16.48,15.84,10.84,10.37,16.13,7.67,10.18,6.36,9.2,5.42,12.01,22.3,28.31,29.9,22.33,22.05,21.76,1.88,28.29,16.79,26.25,21.06,23.51,25.84,33.76,12.52,13.23,14.87,13.08,17.07,17.85,18.24,19.25,21.05,19.53,9.16
2017-01-15,19.12,12.19,11.81,20.14,11.93,13.2,17.8,14.89,11.51,9.07,16.76,8.97,17.43,24.46,16.55,15.31,19.43,21.06,1.88,19.28,20.3,36.58,16.19,16.01,10.95,4.76,28.79,16.18,14.72,NaN,11.93,23.56,10.39,17.55,6.84,24.97,13.06,8.81,15.23,13.94,10.33,7.97,13.37,7.7,9.24,5.62,8.82,4.91,11.16,23.88,26.61,28.62,21.18,21.74,21.03,1.28,26.25,18.02,24.34,18.92,25.56,27.28,31.13,10.21,10.99,12.14,11.87,15.32,17.3,16.34,16.31,18.45,17.57,7.43
2017-01-22,18.96,13.84,12.78,20.83,12.49,15.91,17.27,15.61,11.79,9.57,17.01,9.69,15.03,21.72,14.71,11.43,14.72,16.83,1.73,17.51,14.73,38.57,12.39,14.15,7.72,3.55,27.9,12.02,12.66,NaN,8.92,20.39,8.58,15.28,5.45,21.99,9.87,8.13,14.18,11.44,7.44,6.39,13.93,6.18,7.1,5.91,9.06,4.8,12.07,23.23,26.09,28.45,20.46,22.2,19.96,1.06,29.05,17.28,24.43,19.96,23.73,26.26,29.76,9.54,11.91,13.55,12.14,14.6,16.07,16.84,15.45,17.55,17.53,6.77
2017-01-29,15.37,9.37,9.6,16.2,9.99,12.63,13.94,11.98,8.46,8.07,13.69,8.14,15.64,20.42,15.5,12.53,16.53,19.06,2.17,17.36,17.34,32.76,14.83,13.43,11.67,5.95,25.41,12.2,14.24,NaN,10.95,20.44,10.79,16.71,9.13,22.66,9.79,8.01,10.95,19.5,7.66,6.59,9.88,6.1,5.24,5.67,5.72,3.72,9.3,18.65,23.06,25.0,16.35,17.94,15.61,0.91,23.67,16.51,21.91,17.35,21.45,20.55,27.88,7.43,8.8,9.53,9.12,11.18,11.76,12.8,11.98,14.44,12.61,6.09
2017-02-05,18.73,12.39,11.67,19.46,11.38,12.9,16.17,14.52,11.34,9.17,16.04,9.54,13.58,23.82,12.98,12.85,16.03,16.22,2.77,15.41,18.03,38.41,12.73,13.26,8.59,4.52,24.01,13.24,12.62,NaN,8.34,19.31,8.82,14.22,6.79,21.12,10.66,8.35,14.33,13.69,8.57,7.94,12.34,5.97,8.52,5.85,7.4,4.52,10.62,22.72,25.66,26.38,20.18,21.61,19.88,1.57,25.84,17.56,22.88,18.2,23.56,25.11,29.77,10.3,10.82,11.8,10.9,14.45,15.25,15.74,16.64,17.16,17.19,7.49
2017-02-12,19.11,18.02,14.1,26.55,20.26,14.69,15.06,20.77,17.41,15.86,23.97,16.48,21.96,29.77,23.36,13.7,18.67,24.83,2.55,25.2,21.29,43.43,18.11,17.95,15.1,5.39,37.15,17.06,20.05,3.64,16.48,25.96,13.64,23.06,12.82,28.55,13.64,14.3,15.64,17.5,10.48,8.95,17.1,7.31,8.76,5.52,8.89,4.18,9.0,22.73,29.28,31.26,21.04,22.16,21.6,0.97,25.35,13.93,24.06,18.32,18.86,27.97,33.34,10.88,12.5,13.52,11.41,16.74,14.96,16.75,16.58,19.7,17.72,9.16
2017-02-19,18.52,15.62,12.27,22.79,17.76,14.36,17.32,17.41,15.62,12.69,21.37,12.09,23.79,29.49,25.2,19.14,23.72,22.39,2.9,26.25,24.33,40.78,21.89,15.92,18.3,6.25,33.92,19.96,19.65,4.4,14.98,28.03,12.03,18.7,10.45,29.6,16.89,11.31,15.39,17.29,13.82,11.89,15.46,8.72,10.32,5.61,10.47,4.75,10.93,20.78,23.73,25.27,19.0,20.02,19.46,1.3,23.53,16.54,22.64,17.98,18.29,23.41,27.07,11.81,12.54,13.8,11.3,15.68,14.68,16.18,15.54,17.55,17.54,10.5
2017-02-26,20.62,16.72,12.95,25.12,16.11,13.36,18.48,18.3,14.6,11.7,20.81,17.83,23.1,35.02,23.16,18.3,23.97,24.18,2.57,26.45,24.99,45.06,21.91,20.97,15.59,5.7,37.27,21.27,20.6,3.21,17.12,28.41,12.36,20.19,12.58,30.11,16.81,14.77,18.16,19.86,12.97,8.66,17.11,7.45,9.45,5.63,9.29,5.04,10.94,20.56,23.64,26.31,18.89,19.04,18.92,1.51,23.51,15.92,20.34,15.88,20.29,23.3,26.35,11.71,11.33,12.81,10.67,15.0,15.18,16.0,16.74,17.82,19.25,9.07
2017-03-05,21.01,17.91,14.39,24.19,20.28,14.32,18.37,19.19,18.32,13.19,23.47,17.92,24.77,34.01,23.79,19.04,25.18,27.8,3.38,28.55,25.89,46.35,20.85,20.95,16.41,8.01,44.98,19.41,20.34,4.52,18.2,29.98,17.32,23.56,14.69,31.43,17.76,14.44,18.97,21.01,13.2,11.67,17.35,9.15,11.4,6.32,12.31,5.11,12.65,24.49,25.79,27.87,20.65,22.44,21.77,2.0,24.38,14.28,23.55,18.51,20.73,25.01,28.65,13.53,13.53,15.08,13.17,17.88,16.04,16.97,16.18,19.53,20.02,11.46
