日期,西屯,大里,沙鹿,南投,彰化,忠明,竹山,豐原,二林,線西,埔里,板橋,觀音,龍潭,林口,萬華,永和,淡水,士林,平鎮,桃園,三重,古亭,大同,大園,松山,汐止,中山,土城,新店,基隆,中壢,萬里,陽明,富貴角,新莊,菜寮,頭份,三義,湖口,苗栗,竹東,新竹,宜蘭,冬山,花蓮,臺東,關山,復興,林園,前鎮,美濃,大寮,恆春,橋頭,楠梓,前金,小港,鳳山,潮州,屏東,左營,仁武,新營,新港,臺西,斗六,麥寮,崙背,臺南,嘉義,安南,朴子,善化
2018-01-01,20.71,23.14,18.0,22.2,18.74,23.89,16.53,14.49,11.83,15.4,15.34,17.01,12.38,13.87,10.22,20.84,15.76,6.04,8.46,15.85,13.59,32.21,16.14,28.11,14.3,17.79,14.94,21.76,14.69,12.45,9.15,24.93,5.58,2.14,2.78,14.73,16.41,17.31,10.73,12.05,18.27,12.35,17.08,8.14,9.64,8.86,6.06,5.02,27.81,21.17,24.78,10.94,24.86,1.88,19.47,19.44,19.96,30.8,25.77,15.26,19.3,21.39,22.22,17.48,13.25,9.64,17.72,11.6,12.4,17.99,21.4,17.08,10.12,15.64
2018-01-08,13.61,17.64,11.97,19.34,14.68,17.56,13.52,8.17,10.34,13.17,12.71,19.59,13.58,12.94,14.26,22.86,18.93,11.72,13.58,19.19,18.03,35.73,18.85,31.54,17.11,18.78,18.09,25.3,16.07,14.94,10.14,27.26,3.41,2.06,2.34,21.27,21.68,13.61,7.45,12.39,13.73,8.09,14.08,6.65,8.63,8.01,5.77,4.97,26.27,23.79,24.31,9.53,21.82,2.29,18.78,17.4,19.71,29.23,25.04,14.09,17.08,20.51,22.81,15.74,11.74,10.28,16.17,11.5,12.72,16.18,19.03,16.17,10.04,14.04
2018-01-15,20.44,26.86,15.35,24.29,19.08,23.55,17.36,15.53,12.74,16.22,17.42,22.88,12.9,17.61,17.46,24.81,21.15,11.66,14.24,22.57,20.32,36.69,21.59,34.1,17.25,25.71,18.9,27.65,19.91,17.63,15.23,30.3,7.34,1.43,4.16,21.28,21.29,17.36,11.58,12.79,16.92,13.34,18.3,9.08,10.89,9.66,6.36,4.76,32.68,22.8,29.95,11.99,27.67,2.32,20.99,20.8,21.19,37.17,30.99,13.84,22.5,23.76,24.36,19.33,14.1,8.25,18.94,8.88,14.03,19.47,21.93,17.04,9.99,16.79
2018-01-22,14.62,21.18,11.12,21.3,15.4,17.4,16.04,12.2,11.03,12.46,14.52,15.47,10.11,10.87,10.96,19.28,14.05,5.57,7.81,14.85,13.06,30.94,15.51,26.16,13.06,17.42,14.94,21.05,12.49,11.28,8.32,21.87,3.7,1.33,2.52,12.7,13.69,12.65,9.36,8.46,13.45,8.78,12.03,5.88,7.36,8.59,5.63,4.42,26.92,24.66,24.45,9.94,24.7,1.8,19.23,17.7,20.95,30.95,26.97,14.1,17.81,21.74,21.06,15.56,11.97,6.33,19.78,7.69,11.95,15.49,20.54,14.26,9.26,15.25
2018-01-29,11.12,18.08,10.71,19.36,14.39,16.11,14.47,9.24,10.0,11.82,12.24,21.01,9.11,12.92,10.32,24.15,19.53,7.23,10.91,18.85,13.16,35.52,20.61,32.13,12.3,18.32,14.04,24.43,18.42,16.37,6.04,24.11,2.76,1.95,2.79,18.45,18.55,11.8,9.26,7.61,13.14,8.99,12.9,6.97,6.34,8.49,6.71,5.38,25.1,26.04,22.99,10.26,22.85,2.02,18.8,16.92,20.0,26.52,24.15,15.74,17.43,20.5,20.94,15.55,11.56,8.06,15.22,10.49,11.37,15.51,17.89,15.18,9.43,15.23
2018-02-05,16.65,23.38,14.46,24.07,18.21,19.99,18.16,10.77,13.0,15.28,12.29,26.0,12.29,14.65,13.68,29.91,23.44,9.67,16.95,20.78,17.9,40.36,24.78,36.34,15.4,26.47,23.13,29.0,23.4,20.5,14.5,29.07,4.5,1.27,2.81,23.05,23.12,14.13,8.98,11.44,15.18,11.21,15.68,8.69,8.08,10.75,8.08,5.22,28.52,27.42,25.44,10.16,22.77,1.78,21.19,18.98,22.58,30.38,26.29,15.12,16.69,22.43,23.25,18.97,14.51,10.23,19.01,11.94,13.83,18.21,22.27,17.11,11.87,17.69
2018-02-12,17.71,20.45,14.74,18.25,16.81,22.29,12.52,10.32,11.16,14.62,11.61,23.09,14.43,15.59,15.98,26.46,23.14,11.7,14.2,28.66,19.62,40.21,19.43,33.14,18.33,22.88,20.07,27.65,20.16,14.46,15.76,30.8,7.04,1.51,2.83,16.26,22.15,15.53,8.17,13.39,15.25,10.75,17.81,7.01,7.79,7.11,6.53,4.64,23.75,14.87,21.75,7.86,18.15,1.61,15.21,14.9,17.53,23.88,21.57,10.65,16.23,17.52,18.56,16.4,12.45,10.24,15.3,9.74,11.71,18.38,17.47,15.66,10.27,12.94
2018-02-19,17.31,21.79,14.9,19.59,17.75,22.1,14.89,11.37,12.38,15.1,13.42,21.37,9.09,15.57,11.84,24.43,23.96,8.5,13.72,20.94,17.76,35.66,21.34,30.28,12.85,21.69,17.41,24.95,19.34,18.0,14.17,27.72,5.11,1.37,2.85,17.02,17.59,14.89,10.12,9.96,15.95,13.01,15.88,6.09,7.58,7.24,6.62,4.31,26.03,19.59,24.76,8.46,20.55,1.63,17.38,16.12,19.11,27.78,22.22,11.32,17.03,19.61,18.89,16.12,13.24,8.79,17.63,9.39,13.04,17.41,18.85,14.8,10.44,14.44
2018-02-26,24.1,23.44,18.92,18.19,19.68,26.94,12.4,14.74,12.44,15.85,13.01,32.58,15.42,18.67,19.92,34.88,32.92,15.38,19.88,22.05,26.19,43.93,29.86,39.53,18.49,29.99,25.67,34.12,25.59,23.15,17.68,31.09,8.68,2.68,2.726,30.68,28.18,15.83,11.61,15.29,15.9,13.84,19.85,7.27,10.18,6.51,6.03,3.46,24.87,17.28,23.61,7.69,18.41,1.68,16.07,16.88,18.36,26.2,21.82,10.13,15.07,20.45,18.11,16.74,13.18,10.26,17.8,10.07,12.32,19.75,18.03,16.35,10.61,13.63
2018-03-05,13.21,16.32,11.96,16.32,14.21,16.84,13.37,8.25,10.37,12.75,9.97,17.59,10.6,11.98,10.01,20.82,17.09,7.07,8.72,15.89,14.63,34.59,17.19,28.45,13.79,18.48,15.75,20.54,14.16,12.4,9.51,25.2,4.39,2.35,2.602,16.29,14.94,12.36,8.36,9.44,12.9,8.51,13.65,5.28,7.94,5.9,5.53,3.77,21.95,17.94,21.17,9.14,20.64,1.71,16.03,15.2,16.07,23.75,20.83,12.43,16.24,17.69,18.11,16.075,10.96,9.0,14.71,10.46,11.7,15.4,16.87,13.76,10.53,12.82
