日期,大里,彰化,沙鹿,二林,竹山,埔里,南投,豐原,線西,西屯,忠明,菜寮,富貴角,大同,觀音,士林,龍潭,萬里,陽明,板橋,林口,平鎮,汐止,基隆,永和,古亭,三重,松山,淡水,土城,中山,新莊,大園,中壢,新店,萬華,桃園,三義,頭份,竹東,湖口,新竹,苗栗,宜蘭,冬山,臺東,關山,花蓮,左營,復興,前金,仁武,鳳山,潮州,小港,橋頭,屏東,美濃,林園,恆春,楠梓,前鎮,大寮,麥寮,善化,斗六,臺西,新港,嘉義,臺南,朴子,安南,崙背,新營
2019-01-01,21.44,17.74,14.59,12.28,16.84,15.13,20.92,14.59,13.82,15.71,17.92,14.9,3.0,26.38,9.18,9.02,13.15,4.9,2.29,18.54,11.7,15.35,14.81,10.41,17.83,17.13,29.23,18.19,7.99,15.88,21.41,15.63,14.09,22.7,15.51,19.15,13.99,9.72,13.44,11.17,10.24,13.65,14.59,7.45,8.61,5.72,3.74,8.46,21.82,28.54,21.12,23.62,28.6,16.42,30.3,21.22,18.26,9.51,23.04,1.93,21.18,28.26,24.66,7.52,15.26,17.93,6.76,13.44,20.87,17.46,10.72,15.25,13.03,16.61
2019-01-08,22.03,17.45,13.65,12.13,18.61,16.83,21.4,14.97,13.48,16.65,18.47,17.13,3.77,28.09,8.02,13.13,14.69,5.6,1.94,20.72,12.08,17.35,17.23,13.27,20.71,19.37,31.59,20.52,8.82,17.56,24.04,18.68,14.66,25.54,15.37,21.52,16.25,10.82,14.66,11.49,11.24,15.74,16.01,7.2,8.79,5.22,4.17,7.96,20.07,28.87,19.24,22.12,27.64,14.43,31.6,20.11,17.97,8.96,20.98,1.9,20.82,28.85,24.56,8.26,14.54,17.83,7.45,12.59,20.82,17.8,10.64,15.55,11.92,16.11
2019-01-15,20.56,17.43,13.79,10.52,15.92,13.29,18.58,13.35,12.62,15.17,18.9,19.63,3.36,33.75,9.14,12.85,15.46,4.54,1.92,23.34,12.19,20.92,17.94,9.69,21.23,19.74,39.9,22.31,7.33,18.86,26.98,20.83,14.72,29.04,17.14,24.9,18.88,11.88,14.26,11.02,11.24,14.78,15.35,5.16,7.94,5.76,4.47,7.0,17.93,24.6,18.18,20.56,24.65,15.59,26.77,18.35,15.86,9.58,21.53,1.91,17.8,24.73,21.78,8.65,14.48,16.41,7.52,11.52,19.25,16.72,10.62,14.65,12.25,14.91
2019-01-22,22.7,20.0,13.64,13.69,14.5,15.96,19.82,12.35,16.56,14.37,19.6,18.91,2.42,33.85,11.9,9.36,13.92,3.65,2.23,20.75,13.24,19.2,19.83,9.37,17.25,16.39,41.11,20.28,10.46,15.36,25.39,19.64,16.78,29.0,14.56,22.59,15.5,8.98,14.41,9.62,11.08,15.06,16.75,5.54,8.33,5.61,4.8,8.83,19.85,27.81,19.44,23.5,28.46,16.23,32.31,20.72,17.22,9.41,23.53,2.25,20.11,27.19,24.72,10.42,15.86,18.42,7.37,12.94,22.13,18.7,11.32,16.78,13.18,16.99
2019-01-29,23.13,21.03,17.21,13.93,13.58,16.15,20.32,15.18,16.81,20.78,23.62,22.46,6.03,34.5,14.34,16.64,14.69,7.56,2.51,24.64,14.86,20.43,20.65,16.18,22.42,19.98,39.76,24.85,14.29,20.18,27.41,23.2,18.08,30.0,15.12,25.22,21.09,10.54,15.74,11.24,13.71,18.06,16.73,6.46,7.22,5.74,4.59,6.73,20.11,25.8,19.14,22.24,23.71,13.19,25.61,19.06,16.65,8.69,15.7,2.08,19.86,27.75,23.7,11.74,12.13,15.7,9.84,14.59,19.86,20.54,11.7,18.29,15.03,16.83
2019-02-05,13.53,11.4,9.17,9.26,10.3,12.96,14.2,8.04,9.39,10.52,12.66,12.74,2.8,25.17,5.68,8.9,9.04,4.05,1.42,14.39,6.9,12.25,9.6,9.41,12.05,10.54,26.82,13.37,6.38,9.92,16.9,11.01,8.81,20.42,9.03,14.8,10.84,7.07,9.36,7.35,6.23,9.51,10.92,3.65,3.47,5.05,3.02,6.58,12.28,16.9,11.91,13.49,17.11,10.86,16.86,11.4,11.93,6.54,15.06,2.55,11.53,16.78,14.77,7.84,8.08,9.97,6.57,10.26,13.08,12.41,9.58,11.46,10.24,10.7
2019-02-12,20.24,16.9,11.63,11.21,14.77,14.5,17.87,12.47,12.61,14.69,18.35,15.44,1.74,28.34,5.99,11.78,12.99,4.28,1.6,18.18,9.24,17.8,15.05,9.86,18.23,16.93,31.22,17.54,7.39,14.81,21.67,15.98,12.52,24.99,14.72,20.16,14.36,8.48,12.81,10.08,8.33,13.33,13.56,4.66,6.13,4.78,2.39,7.14,16.02,21.04,15.95,17.74,20.77,10.4,23.24,16.23,13.37,7.03,15.09,1.49,16.22,21.64,16.4,8.92,11.76,15.36,7.24,11.34,18.49,15.03,8.98,14.63,10.89,14.25
2019-02-19,21.17,18.37,13.4,11.75,15.53,14.14,19.08,13.68,13.8,15.8,20.6,17.33,2.14,31.12,7.2,14.14,14.98,3.69,2.31,21.52,12.4,20.49,15.07,7.63,21.25,19.02,34.08,17.62,8.57,18.06,23.26,18.21,15.93,28.29,15.96,22.15,17.61,10.06,14.76,11.87,11.13,15.52,14.87,5.45,7.14,4.59,2.82,9.77,14.42,18.16,13.69,16.28,19.16,9.32,19.91,14.31,12.75,7.08,13.41,1.59,16.06,19.09,15.2,10.37,11.65,15.94,9.66,11.9,17.49,15.2,10.7,14.51,11.99,14.5
2019-02-26,20.32,17.28,14.98,11.96,13.19,14.64,17.54,14.71,14.36,16.13,19.99,18.44,2.71,32.83,7.48,14.21,14.89,4.53,2.45,21.06,13.09,19.05,17.0,9.93,21.04,18.85,36.96,19.88,10.01,18.44,25.08,17.77,13.45,29.81,14.98,22.33,17.18,10.08,15.95,11.44,11.04,15.99,16.44,6.62,8.97,4.78,2.16,7.08,14.31,17.88,13.24,16.15,20.22,9.93,21.29,14.09,13.37,7.1,14.78,1.69,14.87,19.21,15.69,9.97,9.71,12.49,8.62,10.42,15.15,13.75,8.75,12.09,11.59,12.24
2019-03-05,23.87,19.42,14.95,12.49,15.44,14.42,21.16,11.15,15.54,16.9,22.04,21.01,3.19,37.87,12.32,13.9,14.59,4.54,1.67,23.1,14.95,20.37,20.09,11.7,23.99,21.71,38.39,24.06,10.6,18.91,29.09,20.33,17.57,30.48,17.56,25.77,18.37,10.08,15.55,11.8,11.69,17.39,15.8,6.83,8.7,5.45,3.89,10.12,19.32,23.41,19.03,20.07,21.73,11.55,26.04,17.45,14.41,7.9,17.38,2.1,19.49,24.03,18.19,12.39,12.73,18.26,9.7,12.85,19.77,19.63,12.57,17.13,13.48,16.85
2019-03-12,22.06,20.48,18.12,10.18,13.61,13.27,19.06,14.91,15.49,20.48,25.4,18.72,3.01,39.11,11.54,11.08,16.28,6.15,2.47,19.36,12.12,18.49,18.83,11.23,21.63,18.27,44.28,18.27,7.97,16.95,25.99,19.75,16.4,33.92,12.96,23.48,16.91,11.27,16.13,11.76,13.28,17.83,17.23,6.88,9.81,5.03,3.68,6.79,17.28,21.87,15.99,18.13,21.54,11.57,23.41,16.68,15.0,7.42,14.65,1.89,18.23,22.63,19.2,11.53,13.41,14.37,11.05,12.18,17.43,17.32,11.19,16.24,12.24,15.57
2019-03-19,19.32,15.76,15.34,10.23,13.17,14.27,16.76,14.76,13.15,16.6,19.24,18.57,3.51,37.04,9.75,13.08,13.82,5.77,2.77,22.53,12.13,18.97,17.94,11.27,22.34,20.35,37.46,20.52,9.12,18.96,25.58,20.43,15.7,29.88,15.97,22.6,17.79,11.12,14.44,10.77,11.23,15.46,14.91,6.64,8.36,4.93,3.22,7.54,17.28,20.79,15.4,19.12,20.56,11.82,22.81,14.94,13.7,7.77,14.7,2.52,17.41,21.08,18.07,9.82,11.8,14.13,8.92,11.91,16.59,16.84,10.7,15.48,10.38,15.06
2019-03-26,16.63,12.92,12.54,9.11,10.59,11.65,15.26,11.72,10.62,12.66,16.07,18.13,3.27,35.03,8.04,11.57,11.02,4.97,3.12,20.63,11.42,14.93,17.58,10.54,19.26,16.97,37.67,19.41,8.91,16.35,25.44,17.72,12.59,26.95,12.06,22.35,15.09,7.99,11.81,9.04,9.0,11.74,11.37,5.49,8.54,5.27,2.85,6.93,11.88,16.61,12.29,14.8,17.76,10.62,19.67,11.98,11.7,6.95,11.77,1.78,13.73,18.02,15.5,8.87,9.02,11.59,6.92,9.94,14.05,12.29,8.7,10.95,9.49,12.13
2019-04-02,16.23,13.6,13.45,8.88,10.98,11.8,14.08,12.18,9.8,13.63,15.63,19.84,3.4,35.47,7.21,15.36,12.86,7.35,2.04,21.27,13.07,15.8,18.95,14.35,27.0,21.17,39.96,22.74,13.38,19.29,27.13,19.98,11.62,29.89,15.31,23.71,17.6,8.08,12.06,9.6,9.15,12.86,12.8,5.45,8.32,3.98,3.07,6.38,10.71,15.44,10.52,13.75,17.12,9.69,17.87,11.31,11.75,6.95,12.26,2.19,11.74,16.61,15.6,8.13,8.08,12.3,6.89,10.11,12.53,12.33,8.21,11.1,8.4,11.61
2019-04-09,15.21,12.89,11.05,8.91,10.42,11.03,14.68,10.21,9.51,11.37,13.79,16.31,2.97,33.59,8.0,12.49,10.93,5.85,2.24,19.53,11.44,15.35,17.39,10.82,19.85,17.92,35.23,19.08,8.53,16.58,23.36,16.51,13.46,25.14,13.35,21.02,14.32,8.2,11.4,8.41,9.18,10.67,11.13,4.9,5.84,4.02,2.72,5.88,10.58,14.8,10.85,13.23,15.76,8.47,17.65,11.8,11.26,6.47,9.6,1.88,12.1,16.34,14.45,8.05,8.2,11.29,6.29,9.66,12.1,11.5,8.06,11.48,8.87,11.33
