日期,埔里,線西,大里,二林,沙鹿,彰化,忠明,豐原,西屯,竹山,南投,萬里,菜寮,中壢,陽明,龍潭,士林,永和,三重,松山,林口,汐止,新店,淡水,桃園,大園,土城,大同,萬華,中山,板橋,古亭,新莊,基隆,觀音,平鎮,頭份,新竹,湖口,苗栗,三義,竹東,宜蘭,冬山,關山,臺東,花蓮,楠梓,屏東,橋頭,大寮,小港,林園,前鎮,仁武,前金,鳳山,美濃,左營,潮州,恆春,復興,新營,臺西,新港,崙背,斗六,安南,臺南,麥寮,善化,朴子,嘉義
2015-01-01,20.08,23.08,36.75,19.2,23.29,26.43,46.33,17.33,34.61,19.79,27.91,8.96,47.95,58.3,4.42,23.61,32.95,42.95,124.89,46.84,21.36,41.19,26.67,22.44,31.76,29.86,40.78,90.4,42.69,57.83,43.9,34.37,46.88,26.03,21.71,26.36,23.37,28.83,23.02,27.92,11.94,20.64,10.66,15.13,6.82,8.83,11.69,30.11,23.24,24.3,29.63,41.03,24.24,38.01,35.36,27.28,33.16,14.28,28.47,17.14,2.26,42.57,24.31,15.52,19.91,19.09,23.09,23.99,27.7,16.5,19.15,18.01,26.4
2015-01-08,16.99,19.75,31.64,16.53,20.43,24.02,30.42,16.3,23.82,20.1,26.94,6.0,18.0,40.35,3.06,12.16,12.65,23.3,94.52,23.84,12.44,19.82,14.19,8.0,14.29,17.27,14.7,70.71,27.36,32.79,21.5,19.47,17.64,8.21,12.96,15.73,18.7,15.96,11.05,22.42,11.34,13.91,10.77,16.16,6.66,8.37,14.7,28.87,22.12,26.87,28.9,39.97,25.29,30.69,34.79,26.42,33.48,13.77,26.28,18.32,5.09,36.21,19.94,12.95,16.41,16.93,25.22,20.19,23.36,14.63,18.61,15.83,25.01
2015-01-15,16.64,17.25,29.52,15.57,15.56,21.45,23.35,13.57,15.9,21.1,27.1,9.52,22.2,43.38,3.5,17.26,15.3,29.93,110.41,27.04,13.53,24.92,17.06,9.83,18.64,21.45,18.24,69.97,30.12,36.3,24.1,23.05,22.63,12.25,14.04,19.5,19.42,18.49,13.52,21.77,10.21,14.47,9.95,14.29,6.31,8.28,13.63,28.46,24.67,26.47,31.68,43.87,30.05,31.81,35.24,28.52,37.43,15.31,27.28,20.14,4.15,36.45,21.51,10.28,16.19,17.21,24.07,19.9,22.71,14.79,20.58,15.03,27.55
2015-01-22,19.32,21.42,34.49,17.62,23.23,24.88,38.32,19.11,28.94,22.5,27.42,8.73,41.59,60.05,4.11,24.21,27.18,47.86,129.08,42.41,20.75,40.67,23.92,17.57,30.08,30.56,36.31,92.37,44.14,51.83,38.04,36.39,44.88,20.52,21.71,28.26,24.7,25.13,20.45,27.96,13.82,21.05,11.24,16.6,6.06,9.15,10.14,31.37,23.75,27.91,31.5,39.73,25.86,36.7,34.01,30.29,32.41,15.57,30.55,17.51,3.6,40.45,24.85,14.12,20.43,19.73,25.47,23.92,26.8,16.99,21.55,18.06,25.98
2015-01-29,17.31,12.32,23.42,12.33,13.69,17.16,21.0,14.17,15.01,19.08,23.31,5.89,20.42,38.3,2.66,16.87,14.54,27.95,96.43,25.83,11.3,22.35,18.38,8.73,15.0,15.0,18.64,74.63,29.3,32.27,25.43,24.2,20.9,12.54,8.63,16.57,16.51,16.39,10.97,18.77,11.54,15.14,9.15,11.74,6.41,7.08,11.54,22.74,18.73,22.14,26.56,38.24,29.6,29.45,28.81,23.84,29.86,13.73,22.38,18.51,2.97,32.63,16.02,7.43,12.24,13.52,19.11,14.97,17.18,11.64,16.68,12.07,20.84
2015-02-05,18.3,17.33,27.35,15.12,15.6,21.82,26.65,13.47,18.64,20.16,24.94,7.28,29.76,55.27,4.09,21.83,23.05,42.5,120.99,35.66,17.83,36.78,23.32,16.74,25.61,24.06,26.72,90.92,38.64,44.41,33.9,31.67,32.7,16.83,16.97,25.99,22.62,24.72,17.76,21.37,10.24,16.45,10.23,15.09,6.66,9.03,13.66,28.15,21.58,26.96,31.17,41.18,30.77,36.04,35.24,28.72,35.22,14.73,27.44,20.19,3.83,39.1,20.89,12.16,15.06,17.13,22.4,18.94,23.38,15.95,19.94,15.53,25.02
2015-02-12,19.92,21.74,36.85,16.93,24.8,28.53,43.15,18.63,34.04,19.16,27.01,7.62,29.34,57.57,3.89,25.68,18.13,38.03,108.59,35.35,18.04,32.64,19.9,15.02,23.97,26.12,27.18,77.75,36.36,43.35,31.5,27.97,30.42,15.65,18.97,26.05,24.24,27.57,22.95,32.3,13.65,18.3,10.37,15.33,7.2,10.1,16.38,30.18,21.37,26.88,28.32,38.04,20.69,33.82,33.11,28.91,32.51,13.21,29.06,16.07,3.7,37.82,24.84,13.51,17.1,18.59,27.0,25.52,27.48,15.25,20.75,16.56,26.26
2015-02-19,17.0,14.91,24.28,13.42,17.15,18.0,25.73,18.23,20.29,17.82,21.32,10.2,26.3,46.09,4.31,19.18,19.4,43.92,95.47,30.78,17.19,22.99,22.66,15.62,23.67,14.38,25.78,59.9,33.37,38.8,27.6,28.35,28.27,17.96,11.38,21.45,18.06,19.55,12.82,21.03,11.86,16.71,7.66,9.69,5.83,8.29,9.27,17.69,15.44,16.43,20.64,31.36,16.86,25.33,21.09,19.9,24.16,10.67,18.85,13.5,3.79,28.46,15.87,10.65,13.7,13.96,18.97,14.3,16.94,11.03,13.33,13.02,19.02
2015-02-26,14.83,16.01,26.25,15.17,15.91,19.53,23.9,19.15,19.75,19.86,22.34,8.57,28.83,48.37,3.67,18.6,27.04,37.76,101.75,29.51,14.71,23.06,20.49,16.82,22.33,22.44,24.9,74.21,35.48,39.43,30.12,26.34,31.51,15.78,12.06,23.98,18.47,20.88,14.88,20.74,12.58,15.82,8.22,10.98,6.4350000000000005,7.69,12.16,21.91,19.4,21.35,25.39,33.23,19.89,28.48,27.11,23.19,28.76,12.01,22.35,15.33,3.17,30.18,18.58,10.5,15.13,18.51,21.1,19.57,21.24,13.59,18.35,16.29,21.02
2015-03-05,18.15,18.11,30.34,17.68,17.29,22.15,25.86,18.77,21.13,25.09,28.63,6.32,21.25,43.04,1.87,18.96,16.53,28.83,86.93,26.75,15.27,18.05,19.67,10.76,18.04,14.88,17.96,80.54,29.58,33.88,24.42,24.33,22.47,9.65,10.24,21.15,19.21,20.39,12.21,20.86,11.96,14.57,9.27,10.97,7.04,7.49,15.93,27.0,21.94,26.56,32.09,43.34,29.8,35.73,34.2,28.54,36.59,15.16,26.56,19.26,3.34,38.08,21.7,10.54,16.63,17.92,24.07,20.34,23.13,13.77,20.42,16.22,28.76
