日期,竹山,忠明,二林,沙鹿,豐原,西屯,彰化,埔里,南投,線西,大里,大同,三重,古亭,中山,基隆,萬里,觀音,平鎮,新店,永和,淡水,龍潭,陽明,菜寮,中壢,林口,士林,土城,板橋,桃園,汐止,松山,新莊,大園,萬華,苗栗,三義,湖口,頭份,新竹,竹東,冬山,宜蘭,臺東,關山,花蓮,林園,復興,恆春,美濃,潮州,鳳山,前鎮,前金,屏東,小港,楠梓,大寮,橋頭,左營,仁武,臺西,崙背,臺南,嘉義,新港,麥寮,斗六,新營,安南,朴子,善化
2016-01-01,21.07,40.51,15.54,23.31,18.24,32.34,29.9,20.62,27.22,21.08,39.49,91.74,113.08,43.74,55.92,27.29,10.47,14.6,30.67,35.52,59.85,20.02,27.43,2.97,37.06,56.61,23.94,30.33,39.74,46.06,32.92,40.08,44.55,41.22,21.9,49.79,27.12,15.06,18.28,26.52,28.96,20.08,20.43,13.96,8.8,6.66,13.44,27.35,44.83,4.54,11.51,15.77,34.82,39.41,26.77,21.27,48.49,26.24,36.12,26.88,28.22,34.33,11.6,16.46,28.03,27.97,16.48,13.6,29.52,25.35,24.58,15.33,19.83
2016-01-08,17.74,23.2,12.74,15.5,11.94,17.87,21.07,16.23,25.63,16.51,26.32,78.39,110.79,28.41,38.74,14.16,5.49,11.63,22.71,20.96,37.14,12.49,18.85,2.94,26.22,43.48,14.42,18.76,24.23,31.55,21.39,23.07,28.59,28.1,20.03,33.68,20.14,12.3,11.75,17.64,18.51,15.13,15.18,9.5,7.96,6.93,14.69,30.06,38.27,4.49,12.01,15.98,30.96,34.08,24.98,20.45,40.17,22.21,37.0,22.82,24.91,30.4,10.03,15.44,21.72,22.54,14.41,12.84,21.72,20.35,16.39,14.33,17.87
2016-01-15,23.0,29.3,15.53,18.91,14.65,22.64,24.8,16.61,32.58,19.69,37.27,81.55,119.93,31.85,43.99,15.7,5.82,13.68,20.64,23.73,43.57,13.92,19.64,3.33,29.32,43.55,17.17,21.53,27.39,31.92,20.96,26.6,32.8,29.1,20.07,38.1,23.81,13.36,13.09,22.9,22.21,16.37,14.19,11.61,8.9,8.9,17.23,33.1,47.78,4.68,12.17,16.74,36.6,40.88,30.69,21.89,48.5,28.01,42.19,29.71,30.81,37.9,11.3,18.6,29.46,30.71,17.82,14.14,27.37,25.67,22.24,17.39,24.05
2016-01-22,20.07,30.97,13.14,16.09,13.98,24.74,22.44,19.12,27.67,15.46,34.65,94.75,126.66,39.02,48.27,14.34,7.16,16.6,28.17,28.68,54.83,16.6,22.42,2.9,34.91,59.02,21.45,25.84,30.33,37.53,25.56,34.65,38.05,37.46,21.82,43.27,22.84,13.01,17.32,22.75,24.9,16.18,14.91,10.57,9.48,8.18,13.19,28.12,39.01,4.66,12.56,15.65,32.46,34.82,26.82,22.98,42.78,25.04,38.69,24.37,24.81,34.02,10.01,14.67,21.48,22.79,14.5,12.83,22.4,20.98,15.97,12.91,17.36
2016-01-29,20.11,26.31,13.75,15.6,12.17,18.93,21.41,18.06,27.86,16.72,30.69,85.71,124.51,31.18,42.58,13.16,5.11,10.14,21.72,22.94,39.79,12.67,18.56,2.13,31.07,40.43,14.49,18.34,25.13,32.38,19.34,22.69,31.37,29.73,18.77,36.84,22.65,13.83,10.81,17.63,16.94,15.02,13.29,10.42,8.92,6.95,14.46,34.56,40.49,3.54,13.61,17.85,31.96,34.56,27.4,20.02,38.81,25.0,36.2,24.6,27.59,31.37,9.25,14.89,21.7,23.66,13.63,12.24,23.37,20.55,16.45,13.5,17.29
2016-02-05,13.96,27.38,11.21,18.37,9.23,20.11,17.2,14.94,20.0,14.0,22.74,74.97,106.29,25.94,38.36,12.18,6.86,13.67,20.33,21.17,43.56,18.5,18.9,3.39,27.91,43.15,12.13,18.73,28.52,27.14,19.91,21.97,27.61,25.09,16.74,33.35,19.4,8.72,13.93,16.35,19.96,13.29,11.69,8.19,9.66,6.69,9.4,19.55,35.51,4.89,10.19,12.24,21.83,30.56,20.72,15.49,25.91,16.58,24.02,15.77,22.3,20.6,10.16,13.37,20.01,19.61,12.6,10.27,16.7,17.81,14.78,13.46,14.85
2016-02-12,16.17,24.89,13.56,15.76,13.94,19.52,18.9,14.41,24.7,17.03,28.93,77.09,98.54,24.12,40.88,20.19,8.7,18.4,19.77,18.65,29.13,20.54,18.05,3.07,29.24,44.6,18.41,19.35,24.59,30.02,20.7,32.99,32.88,28.87,21.33,33.73,18.13,10.7,14.54,18.24,19.06,13.29,11.38,8.21,8.16,5.88,13.73,26.15,39.58,4.2,11.44,15.52,31.07,32.04,26.27,18.84,37.7,22.62,31.28,22.7,26.19,28.92,11.66,14.97,24.13,30.13,16.51,15.87,21.87,20.81,20.51,16.28,18.02
2016-02-19,22.52,28.92,15.5,18.16,17.1,21.88,22.57,15.35,27.31,17.77,32.46,65.74,110.62,24.59,40.6,11.46,6.12,11.18,18.43,17.94,37.69,9.39,15.51,3.85,23.42,40.53,12.29,15.42,20.56,23.74,18.48,23.37,28.88,22.83,16.26,29.91,19.04,12.51,12.57,19.04,17.99,14.0,13.67,8.78,7.47,6.35,10.58,28.31,36.54,4.42,13.18,18.56,32.89,30.88,24.02,21.09,39.88,23.01,34.26,23.86,23.55,29.22,11.69,16.18,23.11,25.62,15.41,15.02,23.28,20.68,17.18,15.74,18.62
2016-02-26,21.93,32.1,16.17,22.69,17.38,24.33,24.1,17.65,26.83,20.83,33.47,78.26,107.03,25.91,37.81,14.02,5.65,21.49,20.75,18.94,31.65,15.99,19.49,2.74,29.45,48.58,16.11,20.45,24.98,30.26,19.8,29.33,30.73,28.16,26.9,35.46,24.86,12.78,17.84,23.45,24.27,14.03,11.45,9.29,6.97,5.31,10.47,24.79,34.6,4.18,12.7,14.14,29.18,29.97,22.46,20.41,35.04,24.16,28.25,23.75,23.08,28.21,10.44,18.01,22.6,24.88,15.25,12.92,24.8,20.64,17.47,14.56,17.79
2016-03-04,18.7,32.11,15.67,21.88,16.5,27.56,25.37,19.75,23.35,20.23,30.29,80.99,122.1,33.91,54.98,25.73,10.98,17.6,33.01,25.05,49.41,24.68,26.04,4.51,44.82,57.12,28.0,33.76,42.15,43.56,38.73,35.04,36.99,48.88,29.62,45.28,26.73,14.31,20.39,24.52,27.2,19.63,14.82,9.02,7.3,4.95,8.48,21.54,39.12,4.11,12.28,14.0,28.67,33.27,23.81,20.66,37.83,26.67,28.64,23.82,25.79,29.29,13.17,15.88,25.12,21.99,15.27,14.42,21.74,22.24,20.41,14.75,19.02
2016-03-11,28.01,39.3,16.67,22.43,20.4,31.05,30.29,20.29,36.24,21.2,42.95,104.4,133.99,42.3,60.6,26.05,8.43,19.0,32.97,33.3,55.23,29.91,26.43,3.23,50.09,67.47,22.89,37.19,36.06,43.2,32.3,36.42,44.01,44.39,27.64,52.79,30.01,15.25,21.1,30.16,34.07,21.91,15.14,11.84,8.86,6.26,13.33,30.46,50.47,4.21,12.87,18.29,38.73,43.94,33.68,23.54,54.81,29.42,35.81,28.37,32.77,38.86,15.27,17.17,30.4,30.56,17.94,17.93,28.93,26.47,22.53,17.54,23.13
2016-03-18,23.02,36.74,14.86,22.67,18.29,30.19,26.73,17.79,27.21,21.22,36.53,104.23,135.08,45.17,66.45,23.54,12.03,16.32,28.03,31.98,60.25,23.85,22.17,3.34,49.42,54.04,22.04,33.94,41.46,48.73,31.34,39.88,53.2,43.62,27.97,54.38,25.5,14.92,16.0,24.75,26.49,20.51,16.06,10.9,12.31,6.39,11.73,22.32,37.12,4.38,10.79,15.12,27.57,31.05,25.46,18.69,36.11,24.39,28.51,22.58,26.25,27.48,11.92,15.86,24.39,23.22,15.17,14.54,24.23,20.18,18.95,14.5,16.89
2016-03-25,16.28,30.71,14.81,20.96,13.27,24.16,23.41,14.34,22.26,20.45,27.95,93.42,121.47,35.75,52.59,20.53,8.15,21.28,26.66,24.07,46.89,21.04,23.32,4.08,42.83,57.39,25.28,27.1,38.05,40.65,31.57,38.58,41.41,43.22,29.5,42.76,22.78,10.99,20.72,23.04,25.87,15.82,14.54,8.96,9.16,6.22,9.96,21.33,37.38,4.53,11.29,13.19,26.91,31.46,24.22,18.81,36.48,24.9,29.33,22.08,25.26,29.99,14.04,14.86,23.17,19.12,15.4,15.43,20.02,20.53,18.63,15.08,16.23
