日期,南投,線西,二林,大里,西屯,埔里,竹山,彰化,沙鹿,豐原,忠明,觀音,菜寮,中壢,新莊,新店,古亭,松山,陽明,板橋,永和,三重,土城,大園,士林,萬里,大同,平鎮,桃園,富貴角,林口,萬華,基隆,汐止,淡水,中山,龍潭,湖口,頭份,新竹,竹東,三義,苗栗,宜蘭,冬山,臺東,花蓮,關山,美濃,左營,前鎮,復興,橋頭,前金,楠梓,恆春,鳳山,潮州,大寮,屏東,林園,仁武,小港,麥寮,新港,崙背,朴子,安南,善化,新營,斗六,臺南,嘉義,臺西
2017-01-01,24.41,18.5,15.67,35.84,29.28,15.55,16.24,23.67,22.69,16.84,33.68,14.33,26.7,51.76,27.34,22.53,29.74,32.95,3.3,30.84,40.47,104.24,27.19,22.16,18.8,10.85,65.9,23.78,26.66,NaN,20.98,33.17,18.28,31.9,15.4,39.45,21.57,17.75,20.34,24.43,15.36,12.03,21.93,10.47,15.41,7.85,8.93,5.82,12.35,22.86,32.4,35.2,24.66,21.25,28.17,2.34,30.27,16.5,27.14,21.09,22.39,23.94,38.73,11.96,16.24,14.63,12.92,19.99,18.62,20.46,22.06,24.65,21.92,11.09
2017-01-08,27.92,19.08,16.88,30.07,18.79,18.87,21.86,20.4,15.98,14.62,23.87,12.32,19.19,38.9,19.98,17.2,21.83,24.48,2.81,23.92,24.04,92.94,18.1,18.99,13.47,5.95,62.5,18.87,19.24,NaN,15.27,28.34,8.75,18.72,9.07,32.57,16.22,11.4,19.21,18.29,12.83,11.94,19.79,8.92,13.15,8.26,10.96,7.02,14.14,25.62,33.01,36.15,26.87,25.51,26.35,2.74,34.03,19.26,31.07,23.54,27.51,32.61,42.08,15.33,15.78,17.57,15.23,20.36,21.07,21.13,23.0,24.1,24.91,10.78
2017-01-15,25.88,14.54,13.55,26.84,15.18,15.26,20.41,18.41,13.27,11.56,22.05,10.35,21.92,39.9,20.76,18.52,24.98,28.44,2.52,23.63,33.46,105.91,19.78,19.5,13.81,6.87,65.75,19.44,18.06,NaN,15.83,31.03,12.95,24.33,9.43,36.85,16.28,11.47,17.55,16.45,12.6,9.82,16.74,9.54,13.38,8.03,10.81,6.57,13.3,26.83,31.54,35.91,25.33,25.14,24.92,2.55,31.38,20.4,28.41,21.29,29.32,32.41,38.09,12.5,13.02,14.55,13.65,18.11,20.91,19.47,20.6,21.17,22.14,8.64
2017-01-22,23.71,15.64,14.26,24.85,14.93,17.9,19.31,18.35,13.47,11.74,20.78,10.7,18.05,34.79,17.44,13.56,17.97,20.69,2.18,21.34,20.11,96.55,14.77,16.77,9.56,4.99,53.32,13.9,15.15,NaN,11.06,25.48,11.64,19.74,6.88,28.4,12.31,9.95,16.28,13.55,9.5,7.93,17.16,7.36,9.17,7.91,11.44,6.98,14.12,25.52,30.06,33.88,23.48,25.05,23.33,2.73,34.78,19.1,28.15,22.09,26.64,31.23,36.21,11.76,14.09,15.87,13.75,16.61,18.68,19.43,18.57,19.87,21.98,7.87
2017-01-29,18.9,11.34,11.14,19.4,11.46,14.56,15.27,13.81,9.45,9.88,16.93,8.94,20.11,32.86,20.63,15.35,21.31,26.43,2.74,21.6,27.84,88.32,19.95,15.95,15.35,8.2,49.39,13.95,17.54,NaN,14.06,27.84,15.19,25.27,12.51,34.53,12.18,9.74,12.6,22.72,9.19,8.18,12.01,7.25,7.33,7.95,7.15,5.25,11.05,19.9,26.82,30.07,19.01,19.91,17.95,2.28,27.08,18.01,24.54,19.08,24.16,23.67,32.64,9.52,10.7,11.72,10.78,12.99,13.86,14.86,14.24,16.05,16.44,7.28
2017-02-05,22.26,14.19,13.29,23.08,13.73,14.58,18.04,16.27,12.77,10.67,19.03,10.59,16.2,38.06,15.81,15.39,19.52,20.53,3.28,18.39,28.73,100.53,15.54,15.71,10.62,6.19,44.38,15.36,14.91,NaN,10.97,23.91,11.99,18.46,8.36,28.89,12.86,9.68,15.95,15.5,9.87,9.69,15.3,7.01,11.32,8.09,9.09,6.11,12.71,25.41,30.59,32.77,23.85,24.52,23.54,3.01,30.9,19.48,26.47,20.38,27.26,30.55,36.14,11.95,12.42,13.75,12.38,16.15,17.81,17.65,19.22,18.88,22.01,8.67
2017-02-12,23.57,21.57,16.87,32.1,27.46,17.06,16.46,25.0,20.57,18.24,34.27,18.51,27.93,51.12,32.77,16.75,23.33,32.91,3.03,31.55,31.8,102.57,23.84,21.68,19.8,6.81,79.29,20.72,24.93,3.93,20.72,31.93,17.63,30.78,16.01,38.15,16.62,18.21,18.67,21.47,12.22,10.57,21.72,8.45,11.67,7.45,10.98,6.16,11.09,25.77,33.36,37.52,25.13,25.11,26.82,2.55,28.66,15.15,27.23,20.4,20.98,34.3,39.73,13.53,15.42,16.0,13.56,20.9,18.13,19.29,20.36,22.01,22.45,11.08
2017-02-19,23.27,19.08,14.62,28.98,23.48,17.41,19.78,20.75,19.22,15.19,30.21,14.12,31.52,50.7,34.15,23.16,31.02,30.85,3.55,34.48,39.88,113.65,27.3,20.53,22.67,7.84,78.67,23.95,24.27,5.07,19.48,38.53,14.84,25.04,12.74,46.98,20.3,13.72,18.44,21.67,16.41,14.48,19.53,10.55,13.5,7.47,12.33,6.36,13.27,23.83,28.21,31.95,22.87,23.44,23.91,2.8,28.82,18.48,27.66,20.68,21.79,28.36,34.03,14.12,15.34,15.74,13.57,19.24,17.14,18.97,18.88,19.89,21.77,12.49
2017-02-26,24.54,18.47,14.25,28.56,18.47,15.12,20.57,20.6,16.13,14.15,24.65,21.11,31.21,57.23,32.01,22.16,30.99,32.72,3.09,34.6,39.42,109.95,28.78,27.52,18.06,7.0,73.32,25.87,26.12,4.31,21.39,37.07,16.29,26.72,14.89,43.95,20.34,18.36,20.84,24.27,16.09,10.35,20.3,8.5,11.77,7.21,11.02,6.25,12.31,21.72,26.32,30.61,21.35,20.87,21.75,2.75,26.57,17.56,23.07,17.4,22.49,25.97,30.29,14.57,13.29,14.46,12.42,17.16,17.21,18.18,19.23,19.06,21.25,10.52
2017-03-05,25.27,20.56,16.57,28.93,26.79,16.3,20.62,22.09,21.93,15.53,30.69,20.43,32.02,53.43,30.46,22.09,30.94,36.02,3.98,37.89,36.67,105.09,25.49,26.75,19.4,9.62,89.72,22.24,23.99,5.86,22.14,38.88,21.54,29.63,18.03,42.36,20.28,16.93,21.6,24.88,15.76,14.38,22.6,10.5,14.76,8.32,14.5,6.17,14.93,26.86,30.48,34.33,24.28,25.74,26.61,3.16,29.56,17.44,27.94,21.07,24.14,30.18,34.71,16.3,15.65,17.29,14.87,20.38,18.04,19.0,18.57,20.61,23.31,13.26
