日期,西屯,大里,沙鹿,南投,彰化,忠明,竹山,豐原,二林,線西,埔里,板橋,觀音,龍潭,林口,萬華,永和,淡水,士林,平鎮,桃園,三重,古亭,大同,大園,松山,汐止,中山,土城,新店,基隆,中壢,萬里,陽明,富貴角,新莊,菜寮,頭份,三義,湖口,苗栗,竹東,新竹,宜蘭,冬山,花蓮,臺東,關山,復興,林園,前鎮,美濃,大寮,恆春,橋頭,楠梓,前金,小港,鳳山,潮州,屏東,左營,仁武,新營,新港,臺西,斗六,麥寮,崙背,臺南,嘉義,安南,朴子,善化
2018-01-01,28.5,31.77,23.62,27.63,22.63,34.31,20.63,17.41,14.12,18.58,20.03,20.97,13.8,17.48,12.76,25.86,24.91,7.16,10.39,20.88,16.97,92.28,20.55,57.13,17.93,22.92,18.26,30.95,18.63,14.93,11.16,48.73,7.06,2.86,3.01,17.89,20.58,21.06,11.89,15.5,23.62,14.87,20.06,9.47,13.11,10.5,7.82,6.67,36.94,25.63,32.09,12.35,30.17,2.5,24.37,26.77,24.33,41.64,32.86,17.91,21.96,25.24,29.44,20.26,16.24,11.29,21.55,13.97,14.88,21.7,25.73,20.1,12.47,18.6
2018-01-08,17.79,24.95,14.91,24.61,17.07,24.9,15.9,10.29,12.01,16.0,15.46,26.5,14.66,15.93,19.09,32.25,32.72,15.68,19.63,23.32,22.39,114.24,27.16,78.48,21.89,26.73,27.78,39.41,20.82,19.27,13.54,49.36,4.42,2.81,2.35,31.43,30.95,16.18,8.73,14.02,17.37,10.04,15.73,7.4,11.55,9.63,7.33,6.05,34.74,27.26,29.71,10.89,26.74,2.83,22.87,23.34,23.09,36.25,30.25,15.9,19.1,23.52,28.86,18.51,14.4,11.9,18.72,13.73,14.88,19.42,21.94,19.7,12.38,16.55
2018-01-15,26.03,35.1,18.77,29.0,24.11,32.83,20.09,18.86,15.32,19.61,20.93,32.72,15.52,22.04,23.29,33.82,34.51,15.92,19.63,29.52,27.85,94.28,29.9,78.78,22.6,38.04,30.93,39.23,29.63,22.29,19.67,53.77,8.86,1.75,4.41,32.81,28.74,20.92,13.2,15.6,21.35,16.47,22.49,10.48,15.41,11.69,8.15,6.32,40.45,25.06,35.69,13.78,32.0,2.85,25.16,26.29,24.79,47.05,36.6,16.09,25.12,26.58,30.6,22.16,16.36,9.51,21.7,10.58,16.51,23.53,25.6,20.13,11.74,19.77
2018-01-22,16.59,25.94,12.55,26.0,17.42,20.18,18.54,15.27,12.78,14.37,16.75,18.32,11.43,12.94,13.36,24.6,21.29,6.9,9.11,17.85,15.62,82.72,19.51,50.91,16.29,22.71,18.58,29.67,14.25,13.4,9.79,35.51,4.66,1.48,2.52,15.48,16.29,14.43,10.83,9.89,16.88,10.83,13.22,6.63,9.79,9.84,7.01,5.54,32.64,27.65,28.35,11.29,28.13,2.42,22.65,22.5,24.06,37.79,31.93,15.87,19.25,24.41,25.13,17.24,13.89,7.27,22.89,9.05,13.63,18.64,23.63,16.31,11.1,17.64
2018-01-29,12.17,24.04,12.07,24.01,16.42,18.94,17.7,11.21,11.37,13.38,13.64,24.63,9.7,14.91,12.8,30.68,28.13,8.66,13.18,22.2,15.91,102.45,25.45,75.76,16.7,22.67,17.28,33.19,20.09,18.93,7.22,36.22,4.06,1.96,2.78,22.49,21.24,13.48,10.32,8.66,15.59,10.7,14.15,7.89,8.16,10.21,8.87,6.16,32.64,30.72,28.4,11.77,28.46,2.76,22.49,22.31,23.76,33.16,29.15,17.87,19.9,23.56,26.35,17.79,13.35,9.05,18.17,12.65,13.23,18.23,21.05,17.25,11.12,17.62
2018-02-05,21.36,35.66,18.62,33.9,24.69,29.66,22.77,14.1,15.11,18.43,15.6,33.78,13.92,17.26,17.16,42.99,46.06,11.51,22.4,23.67,21.7,119.87,39.05,93.68,19.21,40.62,36.07,45.99,32.24,31.23,21.05,50.42,5.63,1.16,2.9666666666666663,28.29,30.25,16.78,10.62,12.96,19.79,13.76,17.53,10.18,10.93,13.12,11.74,6.36,38.98,31.71,32.96,11.85,27.4,2.46,25.64,25.26,27.38,38.62,32.71,17.42,18.8,26.14,30.38,21.82,16.55,11.67,23.66,14.24,16.25,21.19,28.24,19.57,13.82,20.31
2018-02-12,21.49,24.21,16.75,21.34,18.32,28.37,14.39,12.48,12.41,16.23,13.09,30.5,15.83,18.79,18.92,35.99,34.0,14.05,17.18,33.7,23.36,101.22,24.59,63.6,21.4,30.97,27.97,41.52,27.69,17.52,19.53,52.05,8.52,1.66,3.1533333333333333,19.76,33.26,17.94,9.24,15.02,18.05,12.52,19.93,7.86,10.49,8.19,8.27,5.63,29.77,16.47,25.6,9.09,21.58,2.27,17.86,19.78,20.26,27.69,24.66,12.61,18.0,19.78,21.53,17.88,13.74,11.82,17.23,11.6,13.02,21.58,19.12,17.63,11.65,14.62
2018-02-19,19.83,26.64,16.99,23.56,20.23,28.54,16.95,13.35,14.14,17.18,15.2,26.17,10.09,19.6,14.52,30.02,38.34,9.96,16.62,24.16,22.25,92.52,26.69,56.71,15.61,27.76,22.57,34.86,25.58,22.81,17.25,43.66,6.36,1.68,3.34,21.44,21.58,17.15,11.56,11.38,19.11,16.5,18.61,6.85,9.8,8.32,9.57,5.39,32.3,21.64,30.13,9.83,23.89,2.33,20.52,20.5,22.7,32.81,25.6,13.25,18.67,22.37,22.69,17.56,15.12,9.65,20.69,11.04,14.85,19.68,21.3,16.84,12.5,16.44
2018-02-26,34.52,31.04,22.74,22.14,23.26,41.59,14.59,17.71,14.73,18.96,15.15,53.92,17.88,23.3,24.93,56.43,62.18,21.79,32.08,28.15,34.62,125.62,43.74,88.02,23.97,46.26,41.48,61.84,41.6,32.21,24.19,59.0,10.46,2.84,3.13,49.06,47.29,19.53,13.56,18.91,22.53,17.04,25.24,8.38,13.27,7.83,8.28,4.83,30.71,20.04,28.7,9.15,21.58,2.45,19.46,22.21,23.07,31.11,25.34,12.03,16.99,24.27,21.51,19.56,16.4,11.88,21.36,12.7,14.67,24.22,21.43,20.12,12.91,16.99
2018-03-05,14.82,19.95,13.69,18.84,15.43,19.61,15.85,10.66,12.04,14.95,12.19,22.31,11.6,14.09,12.57,25.67,26.52,8.9,11.68,18.79,17.94,90.68,22.65,58.0,16.84,23.75,19.99,28.52,17.4,15.29,11.47,42.75,5.68,2.62,2.92,21.71,18.18,14.18,9.52,10.82,15.52,10.32,14.89,6.18,10.31,6.95,7.39,4.83,26.58,21.07,25.05,10.84,24.08,2.31,18.42,19.79,18.82,27.92,24.42,14.02,18.21,19.54,21.37,18.355,12.99,10.46,16.92,12.29,13.44,18.47,18.89,16.14,11.51,14.54
2018-03-12,29.54,27.64,23.95,21.08,21.84,34.11,16.0,15.65,15.58,20.17,15.82,37.28,19.61,23.47,26.11,36.36,48.69,19.91,24.81,30.39,33.16,112.47,30.74,72.93,29.87,36.03,38.8,44.57,35.65,21.03,21.85,55.49,8.86,3.32,2.71,37.43,39.42,18.24,10.74,23.71,20.0,16.26,26.21,7.21,10.08,7.04,7.47,4.75,30.39,17.21,27.25,8.62,24.08,2.26,20.11,22.38,18.2,28.86,21.54,12.97,16.22,20.33,25.5,17.15,16.62,15.06,17.79,14.24,14.21,19.73,18.83,20.37,12.72,14.4
2018-03-19,20.79,19.12,17.08,17.3,15.98,25.04,14.66,11.14,13.7,17.71,13.09,20.95,13.82,17.67,14.69,24.72,30.63,11.78,14.77,20.51,21.03,88.0,21.33,59.66,19.58,21.78,22.21,29.97,21.92,15.39,13.03,52.15,6.94,2.47,2.5,21.29,19.96,16.02,8.78,14.88,17.14,12.15,17.17,6.4,10.66,8.01,8.19,4.57,23.39,15.34,21.31,9.42,18.97,2.95,16.95,20.72,16.92,24.1,19.43,11.9,14.82,17.48,18.45,15.38,14.8,13.19,15.35,13.61,22.6,16.69,16.39,17.75,11.28,13.81
2018-03-26,20.16,19.64,17.13,18.15,15.24,22.15,12.9,12.4,11.36,14.63,13.26,20.89,13.34,16.56,14.54,22.99,23.93,7.9,11.83,19.74,18.14,81.12,17.59,55.29,17.52,18.62,19.51,25.93,18.15,12.19,10.54,48.36,6.19,2.51,2.29,20.54,17.86,13.62,8.54,15.61,15.32,10.92,18.0,6.32,10.8,6.39,6.82,4.04,22.29,11.58,19.05,7.76,19.67,2.16,15.76,19.35,13.54,23.71,16.69,9.52,14.53,14.8,17.13,13.83,13.4,12.07,13.49,11.84,13.88,15.99,14.43,15.43,9.41,11.26
2018-04-02,16.66,17.06,14.38,16.58,12.1,17.96,11.7,10.89,8.59,12.3,12.19,21.49,15.34,14.75,15.79,21.21,26.02,11.9,12.8,17.8,18.87,78.55,17.82,54.2,18.43,19.28,21.12,25.08,20.49,12.29,12.68,45.37,6.07,3.45,4.11,20.47,18.46,10.98,7.29,13.56,11.41,9.29,16.19,6.46,9.06,6.18,7.27,4.85,18.58,11.7,17.11,7.56,16.23,2.25,13.11,13.99,11.97,21.22,15.86,10.81,12.85,11.76,14.25,11.67,11.12,10.81,12.74,10.93,11.74,12.32,14.02,11.7,9.28,10.69
2018-04-09,15.42,17.1,17.21,13.53,10.47,18.28,10.97,12.61,9.75,11.98,12.64,36.87,16.33,19.56,24.7,32.42,39.99,19.99,22.53,25.23,31.28,92.8,27.51,77.99,23.99,30.81,33.69,39.0,35.45,20.33,20.64,52.95,9.62,4.3,5.31,40.01,31.74,13.74,10.91,16.77,13.88,11.58,19.34,6.63,12.24,5.51,7.55,4.61,21.5,9.31,20.26,7.58,15.5,2.58,14.45,18.89,15.68,18.72,18.83,9.91,13.85,15.41,17.58,13.01,12.59,11.31,12.08,11.63,10.22,13.82,12.26,14.81,11.86,11.3
2018-04-16,19.39,22.81,19.62,18.89,17.41,22.5,13.45,13.76,11.64,15.25,12.24,22.28,16.71,16.04,19.61,25.38,23.61,11.06,12.36,21.67,20.1,85.88,19.0,61.66,22.69,22.03,22.81,28.62,19.97,12.32,12.2,49.83,6.54,2.47,3.11,22.11,20.42,16.8,9.59,15.54,15.5,12.74,18.34,6.34,8.76,8.24,7.08,4.4,21.49,12.68,19.26,8.72,19.02,2.13,16.78,16.36,15.28,24.14,19.33,10.83,14.77,15.41,18.1,13.74,13.66,11.7,14.9,12.49,11.84,13.67,16.45,13.0,11.52,12.92
2018-04-23,18.7,21.46,17.37,19.03,15.63,21.34,14.24,14.14,11.89,14.29,12.79,25.96,16.17,16.71,19.33,23.77,26.63,12.21,14.02,19.88,23.95,75.12,21.32,62.19,22.29,23.03,22.44,28.28,22.09,15.71,12.8,49.78,7.9,4.11,4.13,23.08,18.63,18.41,11.39,15.16,16.12,12.63,19.07,6.88,12.31,6.19,7.77,4.9,16.75,7.93,15.56,7.4,15.68,2.18,11.77,15.1,10.47,18.54,15.7,10.05,14.02,10.53,12.43,12.72,11.38,11.32,15.72,10.55,11.15,12.76,14.9,11.96,11.48,11.91
2018-04-30,14.99,16.9,14.37,16.14,11.71,17.87,11.55,14.04,8.96,10.49,10.31,25.25,11.07,14.48,19.53,24.19,31.03,12.55,14.93,16.89,19.27,75.33,21.15,58.12,15.51,24.26,23.67,30.73,22.11,16.4,12.47,47.92,7.96,4.7,4.67,24.41,18.37,13.78,10.88,12.78,13.73,10.23,16.34,7.66,9.94,5.89,7.63,4.42,16.92,7.45,16.62,7.76,13.39,2.21,11.59,14.64,12.01,18.91,16.76,8.13,12.44,10.83,13.8,10.65,10.06,9.01,12.06,10.53,8.6,10.52,11.3,10.28,9.36,10.32
2018-05-07,16.82,18.7,14.02,17.82,14.11,18.61,11.38,12.16,9.16,11.45,11.05,25.35,9.7,12.91,17.41,24.86,27.23,11.32,13.67,16.66,18.32,76.22,21.23,56.02,14.03,24.38,22.23,29.01,18.94,15.17,13.66,46.68,6.6,4.82,3.43,23.31,19.0,13.33,8.99,11.1,12.22,9.92,14.16,6.56,9.77,7.48,7.26,5.59,16.78,5.53,17.1,6.11,14.46,2.12,10.85,15.03,10.65,21.49,16.45,7.87,13.79,10.71,11.88,12.77,10.36,10.99,14.81,12.66,8.55,11.96,14.0,12.04,10.84,11.64
2018-05-14,12.11,13.3,12.74,12.49,9.54,14.24,8.98,13.31,9.43,7.87,9.73,24.8,8.29,12.92,19.21,24.77,35.72,14.4,17.51,18.41,20.76,78.8,24.31,48.99,12.6,24.31,24.71,29.59,24.24,18.67,15.55,49.56,9.49,5.11,5.69,24.92,19.94,13.81,9.91,13.88,11.18,9.51,14.89,6.37,9.22,4.68,7.04,4.57,16.0,4.8,15.18,7.19,12.61,2.15,12.17,15.31,10.63,15.88,17.25,7.84,12.3,10.64,12.55,9.61,9.42,8.03,10.89,8.96,6.84,9.49,10.03,11.32,9.36,10.49
2018-05-21,14.69,16.49,14.41,14.17,13.55,17.13,9.63,12.13,8.66,10.39,10.15,21.5,11.53,14.45,16.56,23.48,32.76,11.6,14.58,17.55,18.24,78.51,22.82,49.39,15.63,24.9,22.58,31.03,19.42,15.14,14.21,45.36,7.16,3.68,3.61,21.78,17.96,13.34,9.23,13.46,11.48,9.38,13.74,5.45,10.05,6.1,6.94,5.22,13.04,6.91,12.37,6.05,13.87,2.46,11.09,13.51,7.68,16.78,13.51,8.18,11.91,8.25,11.25,9.17,9.15,7.85,12.11,9.73,7.51,9.24,11.23,9.92,8.52,9.07
2018-05-28,11.33,14.09,10.91,13.68,10.12,13.64,9.92,12.7,8.81,8.74,9.68,19.98,7.68,11.73,13.94,20.09,24.99,9.77,13.09,16.37,14.29,64.45,18.42,54.42,13.13,18.95,20.44,23.38,16.1,13.12,12.36,38.85,7.07,4.7,3.3,17.3,15.35,11.88,9.37,9.26,10.88,8.48,12.09,5.56,10.66,5.07,6.64,3.86,15.11,7.07,14.8,5.78,11.4,2.4,11.39,13.25,10.05,16.81,14.96,7.49,11.76,9.97,12.16,9.51,8.41,8.35,11.24,8.44,7.63,9.02,10.68,8.87,8.42,8.84
2018-06-04,13.6,14.26,14.37,12.22,11.79,15.83,8.92,12.23,8.34,10.45,10.12,20.13,11.58,13.25,15.77,20.79,21.26,9.68,11.58,16.44,16.59,63.0,18.13,50.02,17.46,16.46,14.69,23.12,15.76,13.21,8.52,40.42,5.53,3.11,1.63,15.81,14.41,12.52,9.57,12.19,13.99,9.58,16.36,4.45,9.71,5.5,6.35,3.63,15.99,7.71,14.49,4.74,11.35,2.22,11.42,14.42,9.88,16.2,13.46,7.71,11.22,10.66,11.19,8.53,9.0,11.66,9.76,8.85,8.67,9.59,9.52,11.16,8.92,9.42
2018-06-11,13.26,16.15,12.41,14.99,13.21,15.57,9.22,10.98,9.68,10.92,9.75,19.55,10.37,13.44,12.59,22.67,21.89,8.27,11.63,17.8,14.57,73.22,18.67,58.84,17.35,17.84,16.24,25.31,14.63,11.92,9.33,44.02,4.65,2.06,1.61,14.66,15.76,14.03,7.69,11.81,13.07,8.5,15.88,4.89,7.77,6.34,7.35,4.31,17.02,5.18,16.08,4.05,10.03,2.34,11.83,15.73,12.91,20.67,13.44,6.475,11.09,12.92,12.09,9.14,10.99,9.98,12.35,9.28,10.22,12.01,12.43,11.57,9.21,8.77
