日期,大里,彰化,沙鹿,二林,竹山,埔里,南投,豐原,線西,西屯,忠明,菜寮,富貴角,大同,觀音,士林,龍潭,萬里,陽明,板橋,林口,平鎮,汐止,基隆,永和,古亭,三重,松山,淡水,土城,中山,新莊,大園,中壢,新店,萬華,桃園,三義,頭份,竹東,湖口,新竹,苗栗,宜蘭,冬山,臺東,關山,花蓮,左營,復興,前金,仁武,鳳山,潮州,小港,橋頭,屏東,美濃,林園,恆春,楠梓,前鎮,大寮,麥寮,善化,斗六,臺西,新港,嘉義,臺南,朴子,安南,崙背,新營
2019-01-01,27.98,20.38,17.94,14.28,21.7,19.42,26.94,21.33,15.97,18.6,23.88,18.54,3.11,57.93,10.48,11.64,17.36,6.02,2.67,22.81,14.51,18.99,19.79,14.45,28.23,21.88,82.8,25.09,9.52,19.34,30.46,19.63,18.43,43.97,19.09,24.83,16.78,12.2,17.93,14.44,12.84,17.16,19.29,8.81,12.15,8.6,5.65,10.24,25.2,36.45,26.37,30.16,35.41,18.21,40.95,26.19,20.18,11.76,26.29,2.59,26.25,36.76,29.99,10.78,17.99,22.17,7.94,16.54,24.24,21.17,13.02,17.77,15.96,18.85
2019-01-08,29.94,22.69,17.45,14.67,22.85,19.83,27.28,19.47,16.59,21.93,26.65,23.72,3.95,62.34,8.94,18.52,18.95,7.41,2.35,27.41,15.45,22.15,26.26,18.47,36.28,26.91,89.71,28.43,11.28,23.84,37.37,25.22,18.41,46.16,20.15,30.44,20.32,12.9,17.73,15.57,13.69,18.82,21.16,8.21,12.46,7.75,6.33,9.29,22.5,36.39,23.28,27.64,32.31,15.74,39.44,23.48,19.5,11.02,23.29,2.52,24.66,35.54,28.32,10.27,17.69,22.45,8.72,15.65,24.24,21.86,13.04,18.92,14.9,19.16
2019-01-15,24.42,19.82,15.8,11.83,18.69,15.5,21.4,15.81,14.27,17.85,23.54,25.33,3.51,70.69,10.03,16.47,19.33,5.79,2.49,31.09,15.32,25.21,24.3,12.13,33.17,26.16,109.27,30.09,9.39,25.53,39.03,27.73,18.55,49.66,22.85,34.64,22.82,13.54,16.69,13.2,13.21,17.26,17.86,5.96,10.56,7.11,5.66,8.05,20.21,30.19,22.01,24.03,28.52,16.88,33.48,20.6,17.15,11.57,24.36,2.58,20.88,30.59,24.81,10.79,15.95,19.2,8.86,12.92,21.3,18.88,11.88,16.06,13.95,16.4
2019-01-22,28.55,22.98,15.32,15.26,16.97,18.12,24.24,14.67,18.02,15.45,23.91,24.41,2.44,62.22,12.98,11.65,16.9,4.7,2.56,25.38,15.74,21.63,24.91,11.54,22.56,19.46,99.52,24.15,12.31,20.38,32.2,24.84,20.67,46.5,17.79,26.62,18.33,10.37,18.01,11.85,12.56,16.92,21.83,6.08,10.65,7.23,7.1,9.78,22.34,33.38,23.26,27.47,32.75,18.67,40.79,23.48,18.63,11.15,25.74,2.86,23.98,33.25,28.65,12.36,18.06,21.97,8.16,14.36,24.85,21.52,12.8,19.1,15.17,19.45
2019-01-29,28.3,24.51,19.85,16.47,16.61,17.75,23.68,17.89,19.08,26.38,31.86,30.8,6.75,67.31,15.9,21.27,17.85,8.68,3.11,32.95,18.21,25.71,32.91,20.84,33.45,25.48,98.99,35.97,17.18,29.4,40.03,34.02,21.92,54.79,18.23,33.04,26.22,12.65,19.33,13.54,17.33,21.97,20.8,7.33,9.95,7.87,6.56,7.79,22.49,30.38,22.37,26.34,25.96,15.96,29.62,21.79,17.82,10.19,16.96,2.75,23.45,33.35,28.43,13.56,14.99,18.61,11.64,16.99,22.47,23.54,13.67,21.0,17.46,19.05
2019-02-05,15.37,12.35,10.23,10.96,12.76,14.49,16.36,9.31,10.39,11.21,14.48,15.19,2.84,48.6,6.68,10.86,10.69,5.1,1.97,16.08,8.22,13.92,12.7,11.12,16.38,12.34,64.05,17.77,7.53,11.59,21.72,13.45,10.75,33.8,10.54,17.42,12.8,8.02,10.95,9.02,7.18,10.22,12.78,4.36,4.57,6.82,4.23,7.65,13.63,20.16,14.44,14.84,18.87,12.95,19.77,12.52,12.91,7.87,16.52,3.23,12.79,20.37,16.96,9.14,10.15,12.18,8.17,11.63,14.26,14.3,11.02,12.23,12.73,11.59
2019-02-12,24.36,19.53,13.35,12.97,17.22,16.26,21.97,15.16,14.31,16.76,21.87,18.51,1.79,57.01,8.41,14.2,15.11,5.46,1.95,20.88,11.72,20.35,19.22,11.9,28.1,20.24,80.18,22.69,8.84,16.68,29.62,19.85,15.87,40.78,17.52,24.77,16.54,9.96,14.95,12.51,9.72,14.62,15.8,5.6,8.26,6.81,3.84,8.49,17.93,25.07,19.04,21.07,23.75,12.09,28.89,18.06,14.66,8.51,16.52,2.16,18.42,26.31,18.46,10.16,14.43,18.41,8.39,12.93,20.77,17.13,10.43,16.2,12.91,15.68
2019-02-19,25.07,21.69,16.34,13.74,19.05,15.75,22.66,16.36,16.02,18.87,27.6,20.96,2.19,63.62,9.61,17.4,18.51,4.8,2.82,25.47,15.75,24.55,19.95,9.06,32.79,23.26,86.32,23.29,10.03,21.97,32.67,22.86,20.17,48.27,19.21,28.07,21.48,11.9,18.8,14.68,14.12,20.19,19.13,6.27,9.27,6.63,4.19,11.1,17.03,22.93,17.97,19.91,22.62,10.49,25.87,16.81,14.28,8.68,15.01,1.96,19.28,24.6,17.73,12.8,14.43,19.25,11.1,13.58,20.02,17.74,12.74,17.46,14.34,16.28
2019-02-26,22.84,19.04,16.43,13.67,15.72,16.0,20.05,16.75,15.52,17.8,23.21,21.15,2.74,56.71,8.39,16.45,17.16,5.57,2.84,24.72,15.25,21.4,22.24,11.79,29.45,22.98,90.56,25.58,11.55,22.43,33.43,21.32,15.91,47.36,18.32,26.72,20.0,11.65,18.43,13.76,12.3,17.33,19.03,7.35,11.49,6.52,4.18,7.93,15.94,22.17,16.35,19.36,22.53,10.99,26.36,15.66,14.57,8.42,16.05,2.21,17.28,23.48,17.67,11.6,12.31,14.76,10.0,11.84,16.82,16.04,10.08,13.29,13.29,13.1
2019-03-05,29.38,22.22,16.91,13.94,18.65,16.41,25.21,13.41,17.03,18.82,26.77,25.0,3.28,75.09,13.91,16.62,16.82,5.65,2.22,27.41,17.67,23.14,25.23,13.37,36.36,26.75,94.7,31.11,12.21,21.96,37.99,23.96,20.95,52.68,20.98,31.68,21.17,11.61,17.43,14.3,13.1,18.9,18.49,7.51,10.77,6.96,5.34,11.34,22.1,28.89,23.58,23.53,25.32,13.24,32.37,20.07,16.18,9.27,20.02,2.58,22.93,30.94,21.5,14.45,15.15,21.88,11.3,14.41,22.9,22.81,14.7,19.58,15.32,18.4
