日期,埔里,線西,大里,二林,沙鹿,彰化,忠明,豐原,西屯,竹山,南投,萬里,菜寮,中壢,陽明,龍潭,士林,永和,三重,松山,林口,汐止,新店,淡水,桃園,大園,土城,大同,萬華,中山,板橋,古亭,新莊,基隆,觀音,平鎮,頭份,新竹,湖口,苗栗,三義,竹東,宜蘭,冬山,關山,臺東,花蓮,楠梓,屏東,橋頭,大寮,小港,林園,前鎮,仁武,前金,鳳山,美濃,左營,潮州,恆春,復興,新營,臺西,新港,崙背,斗六,安南,臺南,麥寮,善化,朴子,嘉義
2015-01-01,28.37,29.47,21.42,29.37,30.0,23.23,21.33,31.23,24.3,27.29,21.48,37.89,22.48,19.9,43.49,31.18,29.85,23.96,NaN,23.57,31.99,23.28,28.96,28.89,25.96,29.43,26.19,NaN,20.74,20.08,22.23,23.61,24.18,28.09,30.0,26.47,29.05,26.58,31.38,22.9,35.3,28.89,33.56,29.89,26.65,30.63,28.35,29.33,31.93,31.24,21.58,25.78,36.54,24.76,25.78,32.24,24.5,34.29,32.49,35.14,43.87,20.33,26.68,36.29,27.44,26.52,26.12,29.61,29.01,33.61,26.35,30.61,24.06
2015-01-08,32.02,30.05,25.62,30.08,29.19,24.58,24.06,32.76,27.72,29.1,23.0,48.96,31.32,28.05,47.8,42.07,42.48,34.67,NaN,33.46,40.55,33.3,39.4,40.03,38.2,40.57,37.24,NaN,28.36,27.92,30.53,32.67,35.34,42.88,40.47,35.35,34.46,36.55,42.03,24.47,36.08,34.25,35.18,30.4,32.52,35.52,27.93,28.2,32.92,28.91,27.65,26.7,34.57,28.22,26.16,30.8,25.19,35.74,31.71,36.21,49.62,22.4,28.1,37.66,29.64,26.94,26.39,32.43,30.8,34.42,28.7,33.39,23.85
2015-01-15,32.63,34.79,25.64,34.68,35.43,29.83,28.54,32.99,33.79,27.89,23.5,45.08,28.43,24.48,46.9,36.84,39.71,31.74,NaN,30.16,39.21,29.77,35.8,36.9,33.45,36.09,34.02,NaN,26.26,25.58,29.62,30.42,31.95,37.8,37.89,31.33,33.2,33.62,38.25,28.79,37.38,33.79,36.27,32.61,32.71,36.89,31.03,27.06,30.02,28.38,25.45,22.98,30.95,25.93,23.82,28.14,21.25,34.52,28.99,31.31,48.87,20.36,29.02,42.95,31.92,29.38,28.03,32.95,31.29,38.05,27.79,35.36,24.78
2015-01-22,27.25,35.17,26.3,35.07,34.51,30.71,26.42,34.63,30.78,29.42,24.23,42.75,21.5,20.66,51.3,34.43,33.15,24.29,NaN,24.07,37.65,21.95,31.9,34.81,28.48,32.26,28.37,NaN,21.93,20.86,24.86,24.27,22.69,32.57,35.36,28.77,32.73,33.06,36.56,26.23,40.3,32.9,40.47,35.55,34.73,37.34,36.02,32.99,38.07,36.15,30.87,30.14,38.0,30.81,30.82,34.17,30.78,40.18,35.22,40.62,51.54,25.44,30.46,43.99,31.11,29.09,28.9,34.69,34.03,39.94,29.99,35.33,28.16
2015-01-29,30.35,29.28,23.32,28.61,28.1,24.03,21.54,24.62,26.36,23.68,21.66,38.13,21.32,19.26,40.17,27.56,31.06,24.46,NaN,22.94,33.43,23.4,25.69,31.11,27.82,31.94,25.54,NaN,20.25,20.71,22.34,22.12,24.63,29.84,32.88,25.1,26.71,26.06,31.5,23.18,27.25,26.44,30.49,27.54,29.23,32.87,25.97,25.81,31.06,26.04,25.74,22.56,27.55,22.87,22.07,26.91,20.4,31.98,26.27,35.58,43.1,18.35,26.04,36.31,27.27,24.42,23.56,29.94,28.34,31.62,25.4,29.65,21.42
2015-02-05,29.24,32.59,28.06,33.36,33.96,29.19,26.72,33.23,33.46,26.92,25.07,43.41,22.83,19.2,47.12,30.76,33.64,22.93,NaN,26.79,36.83,24.49,28.32,31.82,27.71,33.22,27.4,NaN,21.42,21.53,22.76,23.87,24.71,32.34,34.15,25.19,30.21,28.4,32.77,28.14,36.02,31.36,35.38,32.99,30.64,36.57,28.19,27.78,33.5,28.94,26.75,24.47,30.99,24.3,25.67,30.73,23.72,34.17,30.54,35.37,49.9,21.27,30.42,39.23,31.73,28.38,28.52,33.85,31.97,34.78,30.23,34.01,25.81
2015-02-12,43.59,39.65,32.22,38.94,38.94,34.12,29.75,44.65,38.79,42.44,33.51,52.97,30.7,29.14,58.68,43.19,47.89,35.63,NaN,36.78,50.02,34.4,42.73,41.74,41.84,39.52,39.1,NaN,33.06,30.85,36.25,35.4,37.26,44.79,43.12,37.41,36.21,37.13,42.23,27.46,48.0,41.98,44.82,39.39,35.18,41.25,36.35,39.44,46.78,40.11,37.05,34.89,47.43,36.33,37.75,40.31,33.37,49.44,40.36,46.07,60.35,28.9,36.14,50.82,40.23,34.36,36.47,41.32,40.8,46.7,38.03,43.03,33.85
2015-02-19,25.83,29.67,22.62,28.42,26.93,24.53,21.24,24.29,24.79,24.69,21.24,34.83,21.99,20.13,43.23,28.34,32.47,23.12,NaN,27.92,35.93,27.91,26.77,30.09,27.19,34.0,26.21,NaN,24.28,23.45,24.31,24.23,25.32,29.69,35.1,25.86,26.17,27.3,33.21,20.97,28.59,23.5,32.15,31.51,28.96,32.82,31.41,30.88,31.89,31.42,28.51,25.84,33.75,26.26,30.07,31.09,25.29,33.58,31.51,35.36,48.52,20.12,27.87,36.6,26.77,24.86,25.36,31.77,31.57,33.68,29.15,30.52,23.24
2015-02-26,32.54,30.48,23.11,30.2,29.41,26.34,22.53,24.48,24.87,25.94,23.44,38.77,22.49,18.96,41.54,30.39,29.77,24.65,NaN,26.68,33.72,27.5,27.93,30.37,27.47,30.33,28.34,NaN,22.59,21.4,24.01,24.24,24.79,32.31,33.96,25.04,28.51,27.99,32.57,24.93,29.74,26.7,32.22,30.8,26.15,29.16,29.95,27.24,30.88,25.78,25.74,23.48,30.09,22.97,25.74,28.03,23.96,31.23,27.99,34.77,39.55,17.55,27.7,39.14,28.99,25.15,26.71,29.09,29.42,35.88,26.39,30.88,24.43
2015-03-05,35.42,28.87,18.93,28.57,29.03,24.0,19.24,22.76,24.41,21.37,18.67,46.8,23.92,20.23,45.21,31.26,34.64,30.41,NaN,29.77,35.92,31.38,29.57,33.53,31.04,35.61,32.21,NaN,25.64,24.25,27.64,27.08,27.84,39.26,37.9,26.68,29.21,28.71,35.57,25.25,27.84,27.84,32.07,34.21,32.98,36.54,29.31,24.73,34.87,25.28,27.73,22.63,30.16,22.27,24.25,27.21,22.91,35.17,27.18,38.21,53.15,18.66,24.81,36.66,26.71,24.54,23.02,28.37,28.16,35.37,25.63,29.75,18.58
