日期,竹山,忠明,二林,沙鹿,豐原,西屯,彰化,埔里,南投,線西,大里,大同,三重,古亭,中山,基隆,萬里,觀音,平鎮,新店,永和,淡水,龍潭,陽明,菜寮,中壢,林口,士林,土城,板橋,桃園,汐止,松山,新莊,大園,萬華,苗栗,三義,湖口,頭份,新竹,竹東,冬山,宜蘭,臺東,關山,花蓮,林園,復興,恆春,美濃,潮州,鳳山,前鎮,前金,屏東,小港,楠梓,大寮,橋頭,左營,仁武,臺西,崙背,臺南,嘉義,新港,麥寮,斗六,新營,安南,朴子,善化
2016-01-01,15.4,14.5,24.61,23.49,18.95,22.1,17.7,13.63,14.72,25.07,15.83,NaN,NaN,13.79,12.06,17.79,30.17,29.79,17.61,14.16,13.95,23.35,18.53,39.01,14.15,15.98,25.57,20.44,15.32,15.11,19.54,15.38,12.82,16.66,25.23,13.25,17.24,22.9,27.01,21.08,22.02,19.75,18.22,21.08,27.26,23.41,22.2,19.44,15.44,39.87,20.84,21.48,16.2,15.68,20.62,21.58,11.42,18.28,16.68,17.85,20.03,15.21,33.15,21.31,19.35,15.49,22.8,29.53,15.53,19.47,20.36,25.99,18.73
2016-01-08,19.98,20.15,31.52,30.51,27.07,29.26,23.96,20.32,19.39,32.15,20.94,NaN,NaN,22.01,18.6,31.67,43.6,36.7,24.13,23.85,23.27,32.73,27.2,44.59,19.67,21.53,34.85,30.21,25.67,21.69,26.63,26.4,22.75,23.38,30.14,20.67,26.72,30.3,36.52,31.28,31.06,28.5,26.97,28.66,31.43,27.74,25.35,22.8,19.35,43.61,23.11,25.15,20.14,19.8,24.88,25.01,17.24,22.22,18.68,21.47,23.8,18.3,38.55,27.44,25.83,21.08,29.7,35.43,23.56,25.13,26.09,31.07,24.36
2016-01-15,17.93,15.13,27.28,25.35,21.93,23.4,18.92,22.37,15.1,28.11,14.83,NaN,NaN,20.52,15.8,30.45,42.68,35.14,24.94,21.85,20.67,30.64,25.55,44.04,17.4,21.85,33.31,27.16,22.95,20.71,26.14,23.39,19.66,22.19,29.03,17.14,22.35,26.26,34.66,25.65,27.41,24.92,26.27,25.77,28.19,22.25,20.62,23.52,17.57,44.56,23.02,26.62,17.72,18.35,22.85,23.71,16.14,19.24,18.79,18.29,20.55,16.28,36.02,22.41,19.64,16.9,24.74,31.87,19.21,19.53,20.64,26.28,19.19
2016-01-22,20.68,17.87,30.18,28.79,25.91,26.76,22.09,17.58,18.38,30.79,20.07,NaN,NaN,20.61,18.91,32.72,37.85,29.3,19.73,22.55,19.7,28.22,22.93,35.38,17.75,17.47,28.57,28.04,23.07,21.0,23.71,26.81,22.75,22.26,25.39,18.81,22.64,28.56,29.56,24.91,24.59,25.24,27.22,28.41,26.95,24.34,23.66,22.71,19.2,41.32,23.67,23.92,20.51,19.64,25.75,24.24,16.45,22.57,18.57,21.83,25.17,21.31,35.1,25.66,26.45,20.69,28.66,33.07,22.83,24.62,26.67,30.71,24.81
2016-01-29,17.02,18.39,30.32,28.3,24.59,26.81,22.09,16.23,16.17,30.27,18.88,NaN,NaN,20.48,16.9,33.3,41.98,36.14,22.45,21.58,21.3,31.02,26.0,41.52,20.97,21.38,32.54,29.56,24.3,19.78,24.94,28.52,21.33,21.34,28.26,18.17,22.18,26.01,35.9,28.97,30.19,25.97,28.92,27.26,29.24,27.79,24.18,18.12,15.71,42.8,17.95,22.21,15.68,15.18,20.38,19.79,13.94,17.96,15.82,16.22,19.48,17.65,35.32,25.92,21.52,17.67,27.98,32.86,20.27,22.49,22.02,28.77,21.55
2016-02-05,36.88,36.04,43.9,42.6,45.09,40.44,37.83,29.43,32.55,44.69,35.4,NaN,NaN,29.68,27.23,41.58,48.62,45.07,33.9,29.54,23.67,34.9,36.49,51.7,30.77,29.96,46.88,38.17,28.76,29.94,35.72,34.96,32.18,32.3,36.89,26.89,36.13,46.42,44.87,40.08,38.62,38.75,39.35,41.05,37.38,34.31,37.63,40.15,33.11,51.92,37.55,37.77,35.14,34.19,39.67,37.67,32.63,38.21,35.59,36.97,39.52,37.87,46.55,38.68,39.89,37.58,44.51,47.73,40.31,39.84,38.9,45.54,38.07
2016-02-12,17.77,19.09,24.58,24.43,21.99,23.17,20.5,19.33,17.21,25.05,17.63,NaN,NaN,23.35,17.67,24.8,34.31,26.3,22.1,23.28,22.67,21.99,25.02,38.45,21.87,19.76,28.95,27.8,24.57,21.38,24.8,21.8,19.96,22.67,23.25,18.24,21.13,25.14,30.75,25.15,25.2,23.89,26.84,28.07,27.2,24.49,24.46,18.0,14.75,39.73,20.37,21.34,14.7,15.34,19.27,18.82,12.63,17.79,16.28,17.93,18.18,17.63,29.54,21.1,18.96,16.8,22.39,25.65,19.79,18.86,18.13,23.2,17.95
2016-02-19,22.46,24.51,33.32,31.41,26.55,30.6,25.49,26.34,21.35,33.29,21.97,NaN,NaN,31.09,23.15,40.77,47.93,38.53,28.52,29.59,27.42,39.5,32.66,47.37,31.07,27.33,42.17,38.35,32.71,29.69,33.28,33.34,29.37,32.13,32.15,25.91,29.26,31.25,39.61,33.99,35.29,31.61,34.68,35.67,36.05,33.31,35.93,31.6,25.69,49.89,30.97,32.55,23.73,25.75,31.57,30.69,21.44,28.64,24.51,26.5,30.69,28.15,40.94,32.24,29.8,24.59,32.63,35.12,26.9,29.07,29.56,34.09,27.72
2016-02-26,29.39,27.63,36.84,32.94,33.78,32.59,29.28,30.7,24.41,36.01,24.46,NaN,NaN,34.03,25.94,38.23,48.32,36.51,33.61,30.98,30.61,34.3,36.17,51.55,30.18,29.3,43.89,35.51,33.44,30.7,36.89,30.59,29.52,33.11,28.17,28.19,28.51,38.05,41.94,34.11,34.64,34.94,34.82,34.82,38.11,35.2,35.03,38.77,31.92,52.82,37.72,42.17,30.7,32.54,38.67,36.68,27.25,35.08,33.91,30.24,37.54,33.94,48.24,36.09,35.03,30.41,35.41,44.54,30.89,33.51,35.45,39.79,32.03
2016-03-04,23.49,22.17,28.38,27.13,28.41,26.12,23.06,25.13,20.96,29.39,21.97,NaN,NaN,21.37,14.97,22.36,31.5,29.76,21.63,20.13,17.52,23.26,22.93,43.88,18.03,17.12,26.58,21.84,20.96,18.35,18.35,23.02,19.98,17.81,20.86,17.54,20.25,30.6,28.91,24.43,22.76,23.47,25.47,28.71,23.5,21.56,26.5,33.25,23.39,37.83,31.98,38.64,24.53,23.72,30.21,28.93,19.06,24.19,26.78,22.9,29.39,26.17,34.25,28.72,24.26,22.44,26.66,30.96,25.23,23.3,23.3,29.51,22.46
2016-03-11,15.27,17.5,28.36,25.8,21.61,23.75,18.55,16.69,12.82,28.64,14.85,NaN,NaN,23.56,18.38,30.22,43.98,34.56,26.98,21.01,21.7,25.83,25.86,49.15,21.61,19.53,34.16,27.61,23.96,21.94,26.26,27.15,22.64,22.63,26.77,19.38,19.88,29.08,33.29,24.1,24.51,22.61,31.44,32.13,31.07,28.5,29.77,23.45,14.92,48.04,20.83,23.48,16.15,16.26,19.67,20.01,13.15,17.48,16.55,17.83,19.84,17.08,33.81,28.13,20.67,15.52,24.88,30.76,18.64,19.81,20.96,27.59,19.57
