日期,南投,線西,二林,大里,西屯,埔里,竹山,彰化,沙鹿,豐原,忠明,觀音,菜寮,中壢,新莊,新店,古亭,松山,陽明,板橋,永和,三重,土城,大園,士林,萬里,大同,平鎮,桃園,富貴角,林口,萬華,基隆,汐止,淡水,中山,龍潭,湖口,頭份,新竹,竹東,三義,苗栗,宜蘭,冬山,臺東,花蓮,關山,美濃,左營,前鎮,復興,橋頭,前金,楠梓,恆春,鳳山,潮州,大寮,屏東,林園,仁武,小港,麥寮,新港,崙背,朴子,安南,善化,新營,斗六,臺南,嘉義,臺西
2017-01-01,20.12,27.78,26.21,19.83,23.82,27.99,25.76,20.45,24.72,25.11,21.58,31.16,23.95,17.97,22.94,25.65,23.56,21.96,41.91,20.35,21.18,NaN,22.76,28.33,30.05,32.27,NaN,24.93,23.02,NaN,27.44,19.79,26.54,20.61,25.74,18.97,24.37,30.39,22.4,22.37,20.42,28.27,20.9,26.71,21.44,23.16,25.72,20.2,31.8,34.0,28.95,30.3,27.69,34.72,27.51,42.76,24.46,36.0,27.65,33.59,35.17,29.09,26.43,33.33,27.69,28.32,32.52,29.46,27.11,26.32,27.25,31.4,25.03,37.64
2017-01-08,19.67,28.64,28.58,19.37,29.57,25.86,22.34,23.57,30.09,25.46,24.38,35.86,30.56,23.41,29.5,31.93,29.69,27.31,43.89,25.1,30.08,NaN,31.01,34.41,35.87,44.82,NaN,30.51,29.85,NaN,32.97,25.7,38.3,31.72,33.69,23.62,30.28,37.47,29.22,29.75,28.56,29.32,26.28,31.95,30.36,27.68,31.0,26.54,31.63,29.98,28.15,28.24,25.75,32.13,28.1,46.89,24.93,36.38,29.92,33.86,36.25,28.07,26.18,31.79,26.95,27.29,30.41,26.57,24.62,23.76,23.3,27.52,21.09,38.36
2017-01-15,18.22,30.89,29.81,20.94,29.7,26.19,20.57,24.08,30.35,25.65,24.78,35.69,26.88,21.61,27.68,28.82,26.08,23.39,40.88,24.7,24.84,NaN,27.51,32.31,32.18,41.67,NaN,28.69,28.4,NaN,30.8,21.48,31.79,26.25,31.92,20.27,28.04,35.67,30.13,28.81,27.31,28.82,27.62,30.98,30.3,28.19,28.39,26.75,27.8,26.92,23.83,23.42,23.7,27.62,24.5,44.37,20.52,35.26,24.86,28.99,29.89,24.27,21.63,31.96,28.19,28.21,30.1,25.38,21.86,24.44,22.66,25.88,21.42,37.93
2017-01-22,22.58,35.23,34.19,26.56,35.56,28.31,28.16,28.89,36.24,31.83,30.2,42.27,35.18,30.16,35.17,38.23,36.41,32.9,48.11,32.47,35.94,NaN,37.46,40.74,41.82,47.62,NaN,38.12,36.41,NaN,40.35,30.92,37.99,31.46,37.91,29.06,35.77,42.78,36.85,36.65,34.46,36.14,31.33,35.47,35.01,32.11,32.15,31.34,34.52,32.77,28.95,29.06,28.85,33.51,30.17,50.24,23.28,40.72,29.95,34.31,37.21,28.66,29.17,38.18,32.7,33.4,36.39,31.93,28.99,30.3,29.34,32.51,26.4,41.91
2017-01-29,23.28,35.21,32.08,26.15,33.76,28.17,26.31,27.9,35.05,29.96,28.77,34.71,27.68,24.96,27.22,29.81,27.42,24.43,41.52,25.01,26.52,NaN,27.59,31.86,31.24,34.12,NaN,31.73,28.34,NaN,31.61,23.57,28.7,24.49,28.62,21.83,29.75,35.83,32.9,30.09,27.64,32.12,31.0,30.26,30.36,28.04,32.26,28.1,32.41,30.93,25.52,26.01,26.91,31.59,29.24,45.17,23.09,36.6,27.51,31.77,32.54,27.81,25.76,35.29,30.76,31.78,33.64,29.58,26.87,27.98,28.29,30.41,26.34,36.68
2017-02-05,25.49,37.87,36.49,28.9,37.67,27.92,25.2,31.38,37.69,34.6,32.02,40.91,37.12,28.8,37.72,36.59,35.32,35.13,45.9,34.69,33.47,NaN,36.49,41.1,40.81,45.63,NaN,37.37,36.9,NaN,40.85,32.88,39.4,35.56,37.07,30.41,34.97,43.65,37.84,35.43,33.21,36.03,34.5,38.07,34.06,32.19,35.81,33.76,31.65,29.14,24.4,24.6,25.08,28.69,25.05,50.76,21.06,32.94,26.0,30.25,30.41,24.67,25.85,38.25,33.17,35.72,37.28,30.32,26.77,29.53,27.94,30.88,24.81,43.41
2017-02-12,27.48,37.17,35.82,26.31,34.35,33.91,34.76,27.6,36.3,36.37,28.34,38.94,33.41,30.0,32.81,39.79,36.75,29.15,52.1,30.28,34.0,NaN,35.9,40.7,37.99,48.03,NaN,40.49,35.52,53.45,39.66,29.44,36.84,28.54,33.27,27.93,41.04,43.43,38.91,36.27,34.85,38.35,30.31,37.29,32.62,30.48,32.54,30.59,40.96,37.86,30.83,30.8,30.58,37.53,33.46,49.88,29.56,45.82,33.09,38.27,45.83,31.77,31.19,39.74,36.11,37.4,39.82,33.71,31.47,32.95,32.94,36.42,30.18,45.38
2017-02-19,20.48,32.81,31.68,22.99,29.66,23.87,22.71,25.34,31.6,29.39,24.52,37.66,24.87,22.24,24.17,28.06,24.97,25.67,44.53,22.98,24.21,NaN,25.52,36.76,27.63,41.34,NaN,30.03,28.38,45.74,33.7,20.58,34.25,26.6,31.64,19.58,30.91,37.41,31.91,29.1,25.67,30.75,28.37,32.46,30.26,26.84,31.07,28.59,30.03,28.02,24.21,24.21,24.03,27.51,25.42,43.61,21.4,33.42,22.66,28.6,30.41,26.24,23.73,32.55,29.18,29.97,32.77,27.94,24.88,25.61,25.73,29.35,23.26,36.54
2017-02-26,26.34,40.99,41.6,28.33,38.44,33.52,29.55,32.51,39.63,35.71,31.47,40.5,33.03,24.69,32.81,37.36,26.21,30.68,56.74,30.25,30.85,NaN,33.07,40.14,38.16,52.7,NaN,36.52,34.55,56.71,40.48,27.68,40.49,32.15,33.42,25.79,39.26,42.21,36.16,34.06,31.96,38.31,32.49,39.73,39.28,36.57,36.13,35.5,43.03,40.28,36.37,36.72,34.09,40.91,37.18,56.95,29.91,46.55,36.57,41.99,42.33,37.53,36.1,41.88,39.74,42.99,43.77,39.76,35.08,35.64,33.77,39.52,31.94,47.97
2017-03-05,23.79,40.38,38.28,29.82,34.68,28.37,26.53,30.75,37.13,35.18,29.73,44.31,36.72,30.26,38.25,41.11,36.3,32.05,61.09,33.76,34.75,NaN,39.33,45.05,42.15,50.54,NaN,42.81,40.0,59.87,44.09,31.66,37.47,33.6,33.76,29.38,42.29,47.3,35.79,35.36,31.27,35.56,31.58,41.62,40.0,32.62,36.88,36.06,30.36,30.12,26.78,26.9,24.94,31.4,27.13,55.72,22.99,33.02,24.15,28.67,32.4,28.26,26.0,38.07,35.73,37.34,39.35,34.16,29.45,31.07,32.18,35.75,29.46,43.65
