日期,西屯,大里,沙鹿,南投,彰化,忠明,竹山,豐原,二林,線西,埔里,板橋,觀音,龍潭,林口,萬華,永和,淡水,士林,平鎮,桃園,三重,古亭,大同,大園,松山,汐止,中山,土城,新店,基隆,中壢,萬里,陽明,富貴角,新莊,菜寮,頭份,三義,湖口,苗栗,竹東,新竹,宜蘭,冬山,花蓮,臺東,關山,復興,林園,前鎮,美濃,大寮,恆春,橋頭,楠梓,前金,小港,鳳山,潮州,屏東,左營,仁武,新營,新港,臺西,斗六,麥寮,崙背,臺南,嘉義,安南,朴子,善化
2018-01-01,22.9,14.84,22.61,14.04,17.53,17.81,19.11,22.77,22.51,23.77,20.06,27.08,28.03,28.52,35.33,18.24,28.45,27.88,34.88,26.97,27.73,NaN,28.89,NaN,31.17,25.38,31.48,22.52,28.54,32.45,32.89,18.22,38.84,39.08,41.27,29.56,26.15,24.7,29.73,31.51,19.3,24.27,24.63,29.36,25.07,24.61,24.47,23.29,20.94,29.36,23.44,24.68,21.18,42.64,21.06,22.96,27.28,22.17,19.66,29.56,24.62,26.58,24.6,19.92,23.1,30.49,20.11,25.94,25.22,24.52,18.2,24.18,27.64,19.3
2018-01-08,33.22,21.53,31.35,17.34,26.01,25.48,22.53,31.25,29.77,30.55,22.69,23.59,28.82,31.27,32.53,17.57,24.16,23.87,28.74,25.83,23.49,NaN,24.25,NaN,30.3,23.25,24.73,19.01,27.33,28.12,30.96,16.99,41.33,39.97,43.26,23.45,21.82,31.2,35.04,32.47,26.92,32.18,28.19,33.95,30.59,30.77,30.72,29.01,20.96,25.79,23.01,23.85,22.88,44.48,23.96,25.74,26.92,21.83,18.7,24.55,22.83,27.48,24.02,25.21,29.66,34.17,24.15,29.45,30.79,27.63,22.25,28.33,32.63,25.04
2018-01-15,26.68,17.24,30.46,16.03,22.33,20.92,21.28,21.34,27.1,30.65,22.78,26.65,33.06,30.32,32.48,22.85,27.97,25.52,32.82,26.12,25.9,NaN,28.29,NaN,34.98,24.52,28.61,23.27,28.65,31.22,30.49,18.79,40.44,45.86,45.07,29.2,24.86,27.09,28.25,35.61,23.18,24.31,26.22,33.68,29.3,24.47,26.6,20.75,21.27,33.97,22.61,29.69,26.78,41.82,23.61,26.59,28.89,20.06,19.24,35.78,30.99,27.54,26.35,21.89,27.65,42.73,24.14,35.24,29.79,26.12,20.93,26.77,33.15,21.94
2018-01-22,32.91,19.4,32.41,17.32,24.68,25.47,23.79,24.74,29.53,33.33,25.17,30.63,33.19,34.63,36.22,25.6,32.04,30.63,37.28,31.98,30.77,NaN,29.59,NaN,36.12,27.18,30.73,25.33,32.15,34.52,36.98,24.6,43.59,41.98,44.41,33.26,29.38,33.48,31.03,38.51,26.65,30.63,32.3,37.34,34.87,31.56,31.09,28.37,21.77,33.12,26.54,30.11,29.33,44.68,24.27,28.21,27.47,25.49,20.3,36.79,32.38,27.82,27.35,25.24,29.89,41.47,24.25,34.44,32.04,29.08,22.07,29.19,33.65,22.65
2018-01-29,32.12,21.57,31.53,17.28,24.38,24.69,19.89,26.78,28.84,31.63,16.37,24.4,33.94,32.46,36.04,20.12,26.79,29.43,33.12,27.32,29.32,NaN,25.93,NaN,36.29,26.85,33.29,22.34,26.1,29.54,40.16,21.46,45.69,41.66,30.59,27.31,24.54,33.0,30.63,37.67,26.29,31.39,29.92,35.99,36.98,31.06,32.36,31.93,17.68,20.07,19.5,19.26,18.64,44.33,19.96,22.81,22.44,19.05,16.5,22.29,20.0,21.28,21.78,22.7,28.61,36.62,23.79,30.0,30.97,24.89,20.83,25.68,32.24,21.48
2018-02-05,31.14,18.66,30.29,14.4,23.43,23.29,17.42,25.89,28.04,31.04,18.18,23.35,35.23,33.58,36.97,18.41,25.08,29.95,31.62,30.08,28.5,NaN,23.8,NaN,38.49,21.77,25.03,20.12,23.9,27.55,33.35,19.91,46.56,45.21,8.57,25.55,23.53,31.71,32.33,38.13,25.66,30.18,29.51,32.8,34.07,26.3,29.66,28.26,15.45,20.92,17.37,20.11,20.19,45.05,17.93,20.99,20.55,17.97,14.69,23.19,21.09,20.42,19.69,22.06,28.22,39.3,21.42,30.7,30.33,23.92,18.2,24.6,31.57,20.35
2018-02-12,37.49,27.41,39.13,23.97,32.09,30.81,30.76,35.72,35.0,39.32,30.16,31.68,36.94,36.62,38.44,26.72,30.26,30.33,37.03,34.35,30.27,NaN,33.85,NaN,39.53,28.52,29.19,25.71,31.89,38.24,33.64,23.62,42.51,49.8,15.78,33.31,28.75,36.26,41.14,40.44,32.2,32.14,33.76,39.2,35.87,34.66,32.09,29.29,26.07,34.1,28.27,30.49,28.93,46.61,29.16,33.02,33.27,28.36,24.46,28.47,30.86,34.26,32.44,30.89,37.3,47.61,33.87,38.09,40.32,34.56,30.99,33.82,40.24,30.14
2018-02-19,30.26,19.0,29.73,19.13,22.92,21.27,24.9,26.92,28.23,31.67,27.01,27.74,39.53,31.15,37.93,23.51,24.95,30.01,31.14,26.01,27.23,NaN,27.66,NaN,41.76,24.86,29.69,22.52,27.57,29.48,31.85,20.11,42.83,44.38,34.25,30.97,26.11,29.7,29.82,38.56,23.51,24.44,28.48,36.64,33.4,33.51,28.81,26.35,25.49,32.42,24.53,29.66,27.81,44.99,24.85,29.91,29.95,26.6,23.85,30.34,29.48,30.72,29.73,26.36,30.74,44.2,26.55,34.29,32.93,30.28,24.44,28.56,34.52,24.61
2018-02-26,25.53,22.49,27.5,19.32,22.19,21.69,28.58,26.9,26.97,31.18,27.09,20.71,30.48,26.4,30.88,16.83,18.86,24.3,26.59,13.64,21.56,NaN,21.83,NaN,35.17,20.15,21.37,16.62,22.55,26.27,28.89,16.55,37.06,42.18,27.66,21.64,19.18,27.72,32.93,32.1,23.38,21.92,23.32,35.64,29.31,30.79,24.96,22.15,24.95,34.36,25.43,32.52,25.65,35.71,25.05,29.47,28.8,25.64,21.68,30.5,31.9,31.7,31.38,26.03,29.81,39.36,27.12,32.89,33.29,29.45,25.26,27.53,32.74,24.36
2018-03-05,36.63,26.98,34.35,22.46,28.75,30.37,26.56,33.01,33.08,34.56,27.83,30.59,36.31,36.75,39.37,26.67,30.92,30.89,38.43,30.97,30.62,NaN,31.4,NaN,40.66,28.07,30.98,26.07,33.0,34.87,35.64,22.73,43.99,42.33,19.78,33.26,29.32,34.28,36.92,40.88,29.86,32.45,31.79,39.53,35.45,34.74,32.16,30.04,27.68,31.11,28.48,29.69,26.87,42.48,28.49,31.98,32.6,28.04,24.15,29.85,31.26,33.24,31.89,28.56,33.55,40.69,30.38,33.3,34.78,30.64,27.5,31.07,35.52,26.78
