日期,大里,彰化,沙鹿,二林,竹山,埔里,南投,豐原,線西,西屯,忠明,菜寮,富貴角,大同,觀音,士林,龍潭,萬里,陽明,板橋,林口,平鎮,汐止,基隆,永和,古亭,三重,松山,淡水,土城,中山,新莊,大園,中壢,新店,萬華,桃園,三義,頭份,竹東,湖口,新竹,苗栗,宜蘭,冬山,臺東,關山,花蓮,左營,復興,前金,仁武,鳳山,潮州,小港,橋頭,屏東,美濃,林園,恆春,楠梓,前鎮,大寮,麥寮,善化,斗六,臺西,新港,嘉義,臺南,朴子,安南,崙背,新營
2019-01-01,14.41,19.77,23.58,21.94,18.11,19.47,13.8,16.74,26.06,22.12,19.18,18.95,36.96,NaN,29.9,27.74,26.71,37.02,36.74,22.3,29.43,25.78,26.8,29.45,23.83,23.6,NaN,22.79,30.29,23.74,20.38,25.56,31.16,17.73,22.23,20.29,21.99,22.93,21.52,18.84,30.32,22.56,16.43,27.89,25.34,20.53,21.67,24.35,23.36,16.94,23.16,20.72,18.19,26.25,17.82,19.46,27.87,23.89,24.87,38.73,20.95,18.28,21.37,28.33,20.56,20.8,35.59,22.08,18.62,23.05,24.33,26.42,24.22,18.59
2019-01-08,15.19,20.76,25.18,22.57,19.94,26.88,15.65,18.39,26.28,22.83,19.88,18.16,36.97,NaN,29.85,25.58,26.09,34.85,35.9,21.61,28.31,22.95,22.06,23.77,22.24,22.49,NaN,21.22,30.8,24.59,19.33,24.53,30.51,14.63,23.65,19.39,20.51,23.49,20.87,19.18,28.6,20.56,15.08,27.33,25.04,21.78,19.87,26.2,30.48,24.6,31.92,28.13,25.94,37.37,24.74,25.15,36.56,30.77,39.32,37.78,28.13,25.91,29.61,27.93,25.56,22.11,34.02,23.85,20.97,26.89,26.72,29.21,25.83,20.71
2019-01-15,23.15,28.53,35.01,31.8,23.72,23.91,18.64,26.71,37.36,30.33,26.21,22.46,45.91,NaN,39.17,37.08,33.25,45.18,43.61,25.59,38.39,29.57,29.87,37.22,28.48,29.11,NaN,27.24,42.35,29.54,23.56,28.9,41.37,20.23,27.43,24.01,25.71,30.78,30.15,27.85,38.81,31.03,26.13,38.03,35.68,27.16,28.73,35.87,27.98,23.29,28.89,26.01,24.9,27.64,23.66,25.66,31.93,25.75,32.25,45.9,26.88,24.52,26.93,36.04,28.07,27.77,43.72,32.34,25.27,31.29,32.87,34.29,35.4,26.27
2019-01-22,24.83,31.84,39.84,34.37,31.09,31.09,21.35,34.74,39.41,36.48,31.8,33.67,55.07,NaN,43.98,49.09,42.16,54.44,50.59,34.18,45.04,38.9,32.51,43.81,38.17,39.41,NaN,35.23,43.23,40.38,32.06,37.4,46.85,27.44,37.87,33.13,34.58,39.26,32.28,30.31,46.24,35.61,26.44,38.66,39.41,30.62,30.53,36.17,35.93,28.48,35.87,31.67,30.14,37.49,27.7,31.03,38.46,34.06,37.68,49.48,32.32,29.54,32.21,39.68,34.55,31.06,52.32,36.12,28.64,37.19,40.06,40.1,39.82,31.1
2019-01-29,24.8,27.76,34.13,27.73,32.04,33.0,20.95,32.74,33.69,29.89,26.75,28.98,41.8,NaN,32.02,35.43,35.22,39.56,46.27,27.08,38.28,30.04,26.45,31.08,28.38,30.29,NaN,27.31,35.94,30.59,25.2,28.76,35.31,19.82,33.12,26.12,24.55,36.43,25.34,25.7,34.51,24.6,21.72,34.49,31.2,23.72,24.13,32.46,38.81,30.88,38.51,36.0,36.91,38.96,33.29,33.29,40.77,36.04,42.3,45.7,34.86,31.73,34.43,31.95,32.47,33.08,40.01,29.52,28.49,33.53,32.89,34.91,32.74,27.13
2019-02-05,25.24,28.95,33.56,26.84,25.65,29.6,20.24,29.8,33.41,31.45,24.7,29.32,40.42,NaN,34.76,33.57,33.77,40.54,38.58,27.95,36.18,31.35,31.95,33.9,30.41,32.03,NaN,30.16,37.81,33.35,26.68,30.27,39.89,20.99,31.35,26.92,25.2,31.63,28.51,24.74,37.8,28.89,23.06,33.39,33.43,22.58,24.32,31.28,34.69,29.83,34.63,34.24,32.53,33.63,32.65,34.82,35.78,28.73,35.82,41.0,33.12,31.75,32.79,30.14,31.02,31.12,36.78,28.52,28.16,33.39,29.24,34.38,31.79,26.59
2019-02-12,20.21,25.16,30.13,26.06,27.83,34.52,18.84,22.96,31.97,27.5,19.14,28.92,42.74,NaN,35.66,31.95,30.74,42.67,37.27,27.03,34.92,27.68,29.49,33.5,28.08,30.06,NaN,28.19,34.85,31.93,24.62,29.25,37.9,19.0,29.15,24.38,24.12,26.49,24.63,20.44,36.99,26.8,20.06,31.94,30.67,21.15,23.31,26.55,32.61,27.82,32.25,30.26,27.25,34.01,27.01,32.84,35.57,31.63,34.52,35.34,30.34,29.62,30.77,30.15,30.86,28.91,36.87,28.51,26.7,31.74,31.07,33.32,31.49,25.37
2019-02-19,20.18,24.54,29.25,26.37,23.51,30.11,19.04,24.68,31.42,27.44,20.04,29.96,45.36,NaN,36.48,32.22,33.11,46.3,42.28,27.99,34.87,28.62,31.37,39.49,27.98,30.96,NaN,28.78,36.39,32.91,25.42,30.53,35.84,19.08,30.42,24.59,25.11,28.46,26.19,24.08,36.8,28.98,21.34,34.81,34.94,23.12,23.75,29.05,31.41,23.86,29.03,26.27,21.89,30.66,23.73,28.79,30.13,25.8,31.3,40.46,26.09,24.3,25.99,28.61,28.86,26.96,36.34,27.04,25.37,28.72,29.97,30.46,30.28,24.89
2019-02-26,27.62,30.18,33.83,30.99,32.39,37.02,23.92,30.23,37.01,32.72,24.6,33.48,50.69,NaN,44.15,36.78,34.31,49.61,44.09,30.82,39.1,34.0,32.03,38.36,30.98,33.82,NaN,31.82,39.5,32.31,29.6,34.81,44.07,21.84,31.41,29.33,27.65,32.84,27.66,22.47,42.14,32.06,23.28,35.81,31.09,24.34,26.47,33.49,39.55,32.29,40.06,36.22,34.81,37.69,33.41,39.24,42.13,34.78,40.73,43.13,35.95,34.86,35.58,36.0,37.4,36.96,43.89,33.52,33.34,39.42,37.6,40.98,38.13,30.5
2019-03-05,20.44,25.67,34.63,30.06,23.76,25.48,17.88,32.16,36.85,31.16,22.21,33.93,52.69,NaN,40.97,43.99,39.83,52.18,50.2,30.77,42.51,36.72,32.53,42.08,32.13,34.21,NaN,30.07,42.51,36.29,27.63,36.12,42.07,24.39,34.86,28.12,29.39,35.26,30.09,27.25,42.29,32.64,25.03,43.61,39.07,29.17,33.09,35.17,27.26,22.06,27.23,23.76,24.78,26.79,22.04,26.03,28.5,22.21,28.37,52.75,23.95,23.1,24.35,32.6,29.3,27.38,40.3,29.61,24.37,28.72,32.14,30.86,34.13,24.48
