日期,竹山,忠明,二林,沙鹿,豐原,西屯,彰化,埔里,南投,線西,大里,大同,三重,古亭,中山,基隆,萬里,觀音,平鎮,新店,永和,淡水,龍潭,陽明,菜寮,中壢,林口,士林,土城,板橋,桃園,汐止,松山,新莊,大園,萬華,苗栗,三義,湖口,頭份,新竹,竹東,冬山,宜蘭,臺東,關山,花蓮,林園,復興,恆春,美濃,潮州,鳳山,前鎮,前金,屏東,小港,楠梓,大寮,橋頭,左營,仁武,臺西,崙背,臺南,嘉義,新港,麥寮,斗六,新營,安南,朴子,善化
2016-01-01,55.14,48.86,65.48,56.92,36.15,49.08,52.11,29.85,56.96,60.17,55.65,60.24,62.96,51.26,45.17,32.37,45.39,64.24,56.71,40.05,40.57,45.71,51.04,8.86,46.69,65.79,45.76,37.68,42.34,55.61,46.08,43.63,40.39,48.47,54.76,42.84,62.28,35.96,49.0,57.27,52.89,43.4,31.63,36.75,16.64,14.88,22.47,46.6,78.97,21.31,49.16,62.92,98.06,69.13,84.03,61.12,79.74,87.23,69.95,83.93,78.34,95.17,54.33,62.31,68.28,75.11,73.86,76.98,60.59,76.59,74.21,75.24,64.18
2016-01-08,52.86,33.3,49.77,43.75,24.69,37.47,44.18,33.14,53.72,46.56,33.58,54.17,53.0,39.08,35.99,31.67,52.55,55.52,44.5,32.64,33.36,35.44,44.2,10.78,34.26,51.03,38.74,28.28,35.37,42.13,33.95,35.13,35.0,36.64,46.05,35.25,50.8,32.17,39.8,37.61,40.99,35.57,32.26,37.03,14.94,16.63,24.54,44.03,70.92,22.46,46.19,55.45,80.03,63.23,73.56,54.35,66.73,77.84,62.34,70.44,70.48,80.65,47.7,46.93,52.78,58.41,57.16,66.26,45.42,58.17,57.19,61.12,51.8
2016-01-15,53.72,34.2,45.69,44.85,26.2,39.22,42.34,37.15,55.34,50.12,40.08,60.71,59.08,37.34,44.49,31.95,49.87,57.56,46.43,32.8,34.66,37.14,45.54,14.04,39.17,52.41,40.26,36.77,37.22,44.56,37.83,38.52,36.72,38.47,48.31,40.48,51.12,32.46,39.53,42.49,42.78,35.61,29.4,36.88,19.23,21.63,28.48,46.99,78.42,27.66,52.22,68.57,88.98,68.05,76.85,60.17,77.2,83.24,70.22,79.65,78.34,87.11,49.35,50.15,58.38,64.2,58.88,67.44,47.52,62.96,60.99,64.71,60.52
2016-01-22,44.83,34.91,39.8,36.64,28.46,38.72,40.77,29.76,49.88,41.78,41.81,51.15,53.45,34.1,36.84,25.87,43.32,47.17,40.84,29.48,32.4,36.13,38.56,13.48,35.76,47.86,35.29,29.8,33.02,38.61,31.26,30.33,31.85,35.83,42.95,34.6,43.71,27.28,33.51,36.1,37.18,31.36,29.31,31.91,13.18,16.84,24.26,38.67,66.42,20.3,41.34,49.98,71.66,56.94,60.99,51.49,59.36,68.17,55.44,57.87,60.63,69.89,40.68,43.26,48.12,54.76,50.88,54.43,43.1,53.1,49.38,56.41,47.81
2016-01-29,38.64,21.57,26.61,29.54,17.92,27.73,30.54,27.07,39.56,33.15,26.22,36.89,38.71,18.54,19.83,15.91,38.39,35.86,28.2,14.48,16.03,20.28,27.59,4.14,20.76,36.99,20.73,15.78,16.44,23.47,18.44,14.56,20.27,19.39,31.46,19.53,35.12,18.58,23.05,29.05,25.42,20.62,16.43,22.01,12.36,12.75,17.06,39.83,59.7,18.36,42.87,60.66,66.84,52.73,59.79,48.19,60.15,63.76,51.68,56.83,57.45,60.57,32.31,34.65,40.48,43.34,40.71,47.18,33.13,44.45,41.67,47.96,37.85
2016-02-05,62.04,56.93,70.38,64.96,48.21,64.73,63.25,44.76,64.22,69.22,66.28,68.83,75.24,51.01,57.68,41.83,59.14,70.66,68.27,50.39,51.57,56.9,64.92,27.51,56.39,71.61,53.11,46.92,53.97,60.92,55.8,48.12,54.17,52.37,67.96,55.43,70.27,49.18,58.74,59.89,58.82,53.7,48.3,55.23,31.58,38.23,43.06,50.21,74.19,39.42,55.43,68.95,79.02,68.4,74.94,62.94,69.09,76.41,60.21,65.99,74.37,71.2,68.22,84.39,77.2,76.85,85.71,89.92,69.94,89.9,82.79,96.53,71.53
2016-02-12,49.89,31.31,40.17,34.08,22.12,38.47,37.52,38.43,51.37,38.59,42.09,44.5,49.4,29.38,33.66,24.3,40.49,43.69,37.66,24.7,25.85,35.19,39.89,12.06,33.36,46.49,34.48,26.62,30.78,37.37,31.21,31.81,29.53,31.79,40.12,32.44,41.12,26.4,34.36,35.87,32.11,29.72,22.77,24.05,17.96,20.05,22.37,39.28,58.65,19.57,42.16,63.45,68.81,53.12,64.1,53.3,58.83,65.27,54.11,55.06,57.67,60.56,40.49,44.36,47.72,55.23,51.16,57.15,41.6,55.02,55.2,57.36,46.35
2016-02-19,79.4,56.98,66.53,58.36,34.81,61.15,61.91,56.86,77.9,60.79,61.52,70.11,75.55,50.87,58.53,47.66,67.55,63.49,56.52,45.76,47.22,51.52,41.59,26.07,53.53,65.36,49.5,51.64,49.49,54.71,49.18,52.61,58.05,49.02,57.54,54.5,63.4,41.14,55.98,52.41,52.6,44.17,42.38,41.26,28.83,28.56,39.99,57.18,92.95,31.91,71.53,96.96,101.61,78.82,97.14,85.72,92.43,100.9,80.69,90.43,90.57,94.75,70.65,78.61,78.85,93.61,86.87,90.61,68.68,89.66,83.87,97.4,79.43
2016-02-26,78.84,57.02,63.42,59.8,41.75,61.79,63.68,60.86,77.48,65.29,60.11,55.21,56.33,35.95,38.64,28.68,39.19,58.22,45.71,32.57,32.54,39.79,48.69,21.27,37.56,59.26,39.89,34.64,37.4,44.12,38.37,34.46,40.73,38.26,50.15,37.3,61.44,47.58,46.79,51.44,47.93,42.87,37.01,40.65,26.86,28.26,34.86,55.28,95.79,31.47,71.97,82.78,98.95,81.16,93.08,83.06,87.18,103.46,78.1,90.94,90.91,97.8,51.19,70.91,81.0,89.03,83.46,91.24,73.7,91.11,83.4,100.37,81.51
2016-03-04,58.48,55.73,61.76,60.02,28.67,59.05,61.38,49.85,63.28,60.9,53.26,54.62,64.71,37.38,42.32,26.16,39.29,55.28,55.76,30.86,32.93,47.01,56.34,18.82,45.34,71.45,43.28,44.0,47.79,55.17,51.23,32.71,35.71,47.92,51.79,40.58,60.73,38.43,43.74,54.21,47.58,48.42,30.06,30.08,14.98,17.5,25.01,43.48,70.38,21.78,46.27,68.0,78.03,59.28,71.01,64.82,71.08,80.52,63.05,64.47,68.33,73.25,50.39,60.62,57.5,65.38,64.78,71.19,61.22,69.55,61.37,74.25,58.43
2016-03-11,47.57,34.98,42.08,39.2,18.79,39.29,39.75,27.19,55.89,40.24,36.5,50.31,54.2,34.01,35.08,27.57,40.03,45.52,41.57,30.59,31.99,35.84,42.99,10.42,38.07,51.51,32.61,31.16,35.52,42.45,34.05,31.81,35.64,36.97,40.69,34.52,44.44,23.1,33.09,38.27,36.52,28.55,28.1,29.46,17.21,18.26,23.32,40.57,68.23,20.52,44.45,65.04,84.46,57.94,64.46,59.14,69.04,77.9,58.37,62.27,64.03,68.77,45.29,45.88,48.81,55.82,58.12,58.52,49.31,53.97,52.09,61.12,51.29
2016-03-18,66.41,52.46,58.74,58.33,30.52,52.41,52.43,43.8,72.55,58.75,61.55,60.82,67.62,45.64,49.62,34.56,54.27,51.75,48.72,43.36,43.04,47.47,47.7,15.91,48.11,58.16,43.5,38.48,47.86,56.79,42.23,44.44,47.79,46.65,49.53,45.07,60.05,33.24,38.69,47.45,46.17,43.52,40.01,40.42,24.51,24.79,38.44,40.92,62.89,34.18,46.59,65.11,84.19,57.54,69.25,61.12,68.3,87.03,62.69,65.51,72.02,77.25,65.08,59.24,60.54,71.58,74.41,72.88,61.03,71.61,68.13,76.85,61.4
