日期,南投,線西,二林,大里,西屯,埔里,竹山,彰化,沙鹿,豐原,忠明,觀音,菜寮,中壢,新莊,新店,古亭,松山,陽明,板橋,永和,三重,土城,大園,士林,萬里,大同,平鎮,桃園,富貴角,林口,萬華,基隆,汐止,淡水,中山,龍潭,湖口,頭份,新竹,竹東,三義,苗栗,宜蘭,冬山,臺東,花蓮,關山,美濃,左營,前鎮,復興,橋頭,前金,楠梓,恆春,鳳山,潮州,大寮,屏東,林園,仁武,小港,麥寮,新港,崙背,朴子,安南,善化,新營,斗六,臺南,嘉義,臺西
2017-01-01,81.77,76.64,78.12,84.35,73.42,57.39,77.19,69.94,74.92,58.29,69.68,49.6,37.96,53.9,43.79,28.84,38.36,35.75,13.26,50.84,34.86,53.88,39.21,50.53,32.07,39.26,49.76,47.92,42.47,NaN,60.3,39.01,24.4,37.4,38.52,36.39,49.37,55.73,59.78,60.39,45.78,56.67,67.92,35.09,35.78,25.21,24.47,17.16,69.77,97.67,95.9,88.18,95.26,84.43,108.39,22.23,113.16,86.09,90.02,83.66,56.46,104.96,95.81,88.84,91.79,78.26,84.99,89.52,84.05,96.47,81.32,84.83,93.95,63.99
2017-01-08,60.42,54.96,55.34,50.99,45.21,53.72,67.95,43.0,44.93,35.33,39.42,48.55,36.14,42.04,38.35,32.64,33.7,38.5,11.07,45.76,34.45,51.94,36.89,46.81,32.07,62.63,54.16,39.82,39.21,NaN,51.09,37.04,28.55,35.93,35.78,36.84,39.06,40.02,45.43,42.83,34.58,37.78,51.19,40.79,44.23,27.69,31.35,24.58,73.46,93.08,96.71,88.77,94.33,87.39,104.56,28.57,108.44,93.3,94.42,85.9,60.75,99.77,95.02,91.91,69.82,57.13,79.47,77.26,72.68,77.8,56.78,69.11,74.12,53.03
2017-01-15,53.75,42.57,41.61,37.33,36.95,46.59,57.46,39.25,35.48,29.11,31.62,39.71,29.44,40.1,31.13,24.68,27.17,29.44,9.54,35.2,26.24,45.68,29.4,37.06,25.27,48.74,44.04,37.96,30.71,NaN,40.23,30.43,20.38,25.03,27.41,27.95,36.0,31.64,37.76,36.46,31.44,26.44,42.35,31.57,33.02,20.48,24.71,19.95,59.37,85.09,85.03,78.96,78.93,78.89,92.68,20.56,97.18,91.62,77.93,69.64,53.83,85.79,80.86,89.01,60.87,49.72,72.27,69.52,63.0,66.13,48.95,65.03,63.55,38.24
2017-01-22,56.32,54.63,54.76,47.63,45.53,49.78,63.03,50.53,43.12,32.92,36.81,49.36,33.97,42.25,34.43,31.24,27.32,32.99,15.51,39.17,29.61,51.19,35.29,51.3,31.23,54.25,51.51,43.24,36.27,NaN,45.05,37.33,26.88,30.4,33.38,33.15,45.75,38.2,41.01,42.54,34.2,32.84,49.61,35.99,33.39,26.48,28.17,25.98,70.25,95.29,93.16,86.1,83.56,86.25,98.49,24.67,106.94,105.73,84.1,82.14,61.53,91.63,91.05,110.13,69.87,60.76,85.0,77.14,70.61,75.9,58.94,68.49,70.95,48.62
2017-01-29,50.65,51.88,52.43,38.46,42.37,43.93,55.57,43.25,40.3,28.49,32.36,50.08,34.25,35.22,34.51,23.89,25.28,31.65,8.21,43.84,28.93,49.41,37.27,47.27,29.47,47.95,49.25,38.07,36.23,NaN,45.23,34.34,26.54,28.04,34.66,31.08,42.6,39.57,40.3,44.0,31.47,30.42,45.7,28.78,24.57,20.99,18.89,18.0,67.27,86.49,86.3,78.47,79.59,77.59,92.46,19.41,96.67,98.85,78.19,76.67,55.09,80.69,81.9,103.41,72.6,59.45,86.81,75.22,65.84,75.92,52.72,65.04,65.61,50.66
2017-02-05,72.13,68.38,73.34,62.97,61.87,58.83,74.15,55.62,52.8,44.16,47.91,61.13,46.25,51.02,49.03,47.19,41.14,45.95,24.41,55.9,48.18,67.15,49.13,58.85,43.64,68.55,60.48,51.56,44.06,NaN,55.3,48.17,36.84,44.57,44.92,48.18,56.46,47.09,52.93,56.72,48.11,43.01,60.46,48.29,51.29,36.34,39.48,37.78,78.69,105.48,101.56,94.17,95.77,90.71,110.69,36.73,118.56,107.75,91.69,86.13,64.38,99.5,99.49,127.85,86.46,75.84,102.14,89.72,80.31,91.18,72.74,80.18,78.1,72.61
2017-02-12,65.03,69.19,73.62,70.63,67.8,47.83,66.93,61.07,55.14,45.21,59.31,56.86,39.39,46.21,44.69,32.42,26.9,36.62,17.29,45.26,32.87,55.98,36.84,53.85,34.8,43.7,54.17,53.06,41.01,NaN,51.13,37.85,27.26,34.49,35.26,37.19,53.86,47.56,51.36,54.52,42.42,41.5,61.15,37.43,40.37,28.23,31.52,26.3,55.9,91.19,90.34,83.75,87.22,96.87,100.87,28.49,102.72,69.44,79.37,67.77,52.91,91.5,85.71,87.28,84.76,68.29,87.68,85.1,77.89,91.05,74.51,77.29,80.06,56.4
2017-02-19,62.23,58.85,59.05,54.0,49.61,54.47,68.62,49.21,44.92,35.02,45.9,47.69,32.57,36.31,35.46,26.01,23.09,29.77,9.67,40.66,28.59,48.85,30.63,47.36,28.88,45.33,48.59,38.13,32.73,NaN,41.44,30.59,23.08,25.51,31.1,32.64,37.72,38.17,41.99,43.56,35.22,31.7,47.32,30.09,29.69,22.42,25.21,20.19,64.44,82.18,78.36,71.26,81.18,81.65,97.34,23.94,94.33,84.0,81.66,72.63,51.21,88.36,81.83,81.63,74.23,60.85,81.88,78.6,72.29,85.91,64.6,65.79,74.14,55.52
2017-02-26,65.34,65.23,63.48,59.03,52.86,58.53,72.62,52.59,48.59,43.53,48.36,59.69,49.07,47.41,49.95,45.14,50.96,47.98,24.78,56.72,44.29,68.03,47.47,56.83,41.99,57.02,59.94,54.8,46.05,NaN,60.86,46.17,33.21,42.05,43.73,48.73,55.19,52.19,53.64,57.99,46.9,40.12,58.31,45.73,44.68,30.88,38.11,30.98,70.18,95.24,94.7,87.74,94.61,95.96,107.5,32.98,106.11,96.41,87.03,77.7,60.89,98.33,90.82,95.16,75.64,67.39,86.03,80.42,77.57,86.43,66.02,73.25,81.64,58.23
2017-03-05,66.42,63.31,60.68,57.6,54.57,60.67,67.76,51.49,51.14,40.78,48.16,54.82,43.51,57.84,43.05,38.64,49.29,40.69,20.32,51.86,37.57,60.88,37.23,51.43,37.02,56.62,58.39,46.16,42.34,NaN,51.78,41.15,29.73,37.23,39.94,41.62,51.26,46.06,50.16,49.14,40.86,42.36,54.26,34.25,31.66,24.86,27.94,22.24,57.98,77.44,81.89,71.13,80.32,80.98,92.94,26.35,92.04,86.79,78.31,68.35,47.43,81.95,74.76,80.88,69.89,61.94,73.93,72.04,61.93,74.91,61.92,63.6,71.31,62.34
2017-03-12,68.19,57.69,54.56,59.87,53.37,60.82,69.47,49.36,48.89,42.71,48.05,47.78,33.86,46.55,35.48,28.72,22.8,30.6,10.58,42.42,32.65,49.78,31.94,43.51,29.75,43.39,50.47,43.16,34.82,NaN,37.92,34.57,21.99,28.54,31.9,31.36,48.9,41.02,50.78,46.93,43.87,37.38,56.86,29.73,29.06,21.6,26.39,20.62,65.84,73.0,72.39,66.0,82.71,71.58,90.24,25.22,87.45,84.34,68.97,68.52,41.71,76.12,69.41,72.96,71.86,59.13,76.15,73.43,69.42,81.42,62.21,64.0,72.08,52.67
2017-03-19,61.46,54.97,56.18,52.74,47.99,56.47,75.04,45.97,44.93,41.42,41.58,39.42,28.41,46.9,30.05,22.55,29.62,24.77,8.84,35.41,28.24,43.64,28.7,36.27,24.12,37.88,43.47,34.08,29.4,NaN,34.55,27.54,19.13,25.76,26.18,26.54,42.22,33.5,39.25,37.3,37.61,36.37,46.98,29.27,28.21,17.84,26.65,17.22,60.51,73.77,70.36,65.59,83.55,75.54,93.4,24.02,88.33,74.3,71.58,68.61,43.39,79.41,72.94,80.4,73.13,59.73,77.42,75.36,66.86,82.15,66.77,64.94,76.1,44.95
2017-03-26,65.02,87.51,87.92,70.97,68.96,47.49,66.93,65.58,70.26,52.4,58.95,81.87,68.78,87.47,70.06,56.41,57.32,61.49,38.94,74.52,61.84,87.21,64.31,81.42,60.75,69.26,88.47,77.65,70.07,NaN,81.19,63.14,48.72,58.94,65.83,67.19,71.89,76.1,66.24,66.75,58.16,54.1,72.48,53.71,54.38,41.65,45.72,39.13,54.72,71.56,71.66,66.64,79.83,73.25,85.21,41.5,80.28,70.93,65.42,61.57,43.78,75.27,64.54,104.56,87.18,77.54,96.87,80.91,69.36,83.96,70.19,67.54,72.06,78.35
2017-04-02,66.91,68.05,71.15,66.72,60.55,52.13,67.12,58.34,58.87,49.58,51.62,65.02,50.92,69.64,54.75,40.38,43.0,48.88,27.35,59.5,48.48,68.31,48.75,67.0,44.76,45.23,64.51,60.64,56.85,NaN,65.56,46.48,34.41,46.08,49.84,49.46,60.7,56.99,54.18,53.73,50.0,51.5,60.41,46.23,48.29,36.98,39.46,33.19,51.91,60.47,59.37,54.81,63.74,61.18,77.31,40.13,69.62,66.47,61.97,57.4,41.25,63.93,59.86,82.51,70.58,70.81,76.25,62.55,57.36,66.91,63.09,54.61,63.22,67.68
2017-04-09,51.19,54.46,46.43,51.71,44.19,32.14,54.18,45.54,41.46,35.58,38.46,53.2,47.0,54.13,51.69,36.97,39.17,44.56,16.84,49.5,44.56,63.74,41.14,45.77,40.45,54.02,60.2,43.86,44.79,NaN,56.14,42.36,29.17,41.37,46.06,44.42,46.22,39.26,42.9,41.45,38.63,34.18,46.88,38.94,39.7,26.67,33.39,24.05,32.72,52.55,41.32,40.71,50.49,51.33,62.6,23.33,61.04,52.76,52.12,42.58,28.45,57.61,53.25,60.64,51.35,48.38,55.19,49.83,46.97,54.75,46.55,45.87,54.07,45.63
2017-04-16,41.96,48.07,45.01,43.45,44.16,35.22,43.01,44.28,39.7,33.38,37.81,51.82,43.55,57.27,46.3,35.81,38.07,37.88,17.94,42.89,42.06,62.57,39.98,49.86,39.56,45.86,57.61,51.11,48.19,NaN,63.14,39.22,29.47,38.97,48.33,40.37,50.63,40.54,54.77,43.81,42.31,35.41,44.5,36.04,40.45,30.64,33.76,27.2,33.78,40.56,34.82,31.86,37.63,39.52,51.88,25.9,48.54,48.61,43.94,38.22,23.2,44.54,40.88,54.7,46.41,43.41,54.57,44.29,40.19,49.72,43.16,35.69,43.98,43.18
2017-04-23,60.16,60.71,61.87,60.83,51.26,35.22,60.83,55.05,46.15,37.79,45.7,55.85,40.99,54.12,45.23,34.87,35.81,39.01,18.39,44.1,40.43,60.17,36.6,48.25,37.0,47.08,53.43,48.48,44.1,NaN,57.25,40.04,29.11,35.56,39.31,42.36,49.47,43.19,51.79,46.95,38.92,33.46,45.65,35.77,36.77,28.09,31.98,24.93,45.34,62.18,55.39,50.35,62.15,58.92,78.49,26.33,67.86,64.98,59.74,55.68,35.02,65.11,56.45,72.97,68.82,61.49,70.84,63.61,56.65,73.18,63.9,54.28,65.92,56.72
2017-04-30,55.33,58.74,63.14,56.58,54.75,44.28,52.14,56.35,48.96,40.85,48.26,55.95,41.57,61.46,47.03,36.88,36.96,37.83,21.87,47.89,41.74,59.91,41.0,48.99,36.34,40.62,54.29,51.06,49.67,NaN,65.08,39.59,26.89,36.39,42.79,42.32,53.13,47.21,49.62,48.19,50.01,43.0,50.99,33.6,33.75,28.58,26.9,25.21,49.74,61.83,54.62,51.32,62.27,55.95,79.54,26.92,64.74,58.84,60.81,54.23,36.96,62.13,60.17,73.24,63.0,58.19,67.47,56.86,50.57,62.14,56.56,50.49,55.45,58.27
2017-05-07,54.29,61.59,60.58,54.99,53.23,38.81,52.6,54.03,48.43,39.95,45.81,58.77,47.65,62.45,51.37,42.1,40.52,42.49,19.04,50.99,46.17,69.05,46.03,53.42,41.83,48.47,62.92,54.77,51.47,NaN,64.34,47.72,33.85,43.53,43.94,51.02,53.44,45.21,51.46,48.11,46.17,38.58,52.2,39.39,37.87,28.39,28.29,22.28,39.88,49.41,40.89,35.1,48.21,44.53,63.21,25.95,56.3,53.35,50.12,42.95,28.49,53.62,47.48,70.46,62.0,55.78,65.25,54.78,46.09,62.24,58.82,45.14,55.78,56.05
