日期,大里,彰化,沙鹿,二林,竹山,埔里,南投,豐原,線西,西屯,忠明,菜寮,富貴角,大同,觀音,士林,龍潭,萬里,陽明,板橋,林口,平鎮,汐止,基隆,永和,古亭,三重,松山,淡水,土城,中山,新莊,大園,中壢,新店,萬華,桃園,三義,頭份,竹東,湖口,新竹,苗栗,宜蘭,冬山,臺東,關山,花蓮,左營,復興,前金,仁武,鳳山,潮州,小港,橋頭,屏東,美濃,林園,恆春,楠梓,前鎮,大寮,麥寮,善化,斗六,臺西,新港,嘉義,臺南,朴子,安南,崙背,新營
2019-01-01,31.73,30.85,28.11,57.05,58.33,47.13,44.03,29.61,34.36,34.92,25.19,14.87,30.52,20.49,21.3,14.47,20.47,34.09,6.71,17.63,14.12,19.37,14.76,19.07,18.17,21.08,34.66,22.08,8.98,17.25,21.5,13.63,18.86,21.65,9.65,18.07,18.38,18.51,24.51,20.74,20.02,23.39,26.98,15.08,12.85,11.19,9.39,17.14,60.89,75.56,63.62,62.89,68.1,76.6,67.58,66.5,71.67,61.0,80.28,7.79,63.86,72.87,68.54,49.63,62.86,47.57,38.76,53.71,53.41,60.22,60.74,59.45,47.54,52.35
2019-01-08,40.13,39.32,32.35,69.65,66.06,46.87,49.19,34.42,46.09,41.82,33.8,27.69,36.05,30.93,33.24,26.32,35.34,38.33,7.96,32.03,23.03,32.18,18.5,23.36,27.95,32.45,41.35,32.23,20.28,30.95,33.44,31.12,31.43,35.12,18.75,27.77,28.27,23.91,40.91,32.88,33.52,42.55,41.65,14.72,17.0,10.85,12.3,17.85,76.44,89.9,79.65,77.34,81.78,88.93,83.72,82.25,87.72,76.25,98.67,8.1,76.79,88.04,82.58,69.45,86.16,61.58,42.49,70.97,71.29,79.02,71.85,81.76,59.26,74.62
2019-01-15,46.71,50.97,50.02,79.32,61.32,39.69,48.15,35.16,60.91,53.34,44.31,32.5,45.57,36.34,47.06,27.79,42.39,50.06,15.54,35.23,36.57,45.09,29.63,35.21,32.25,35.67,52.67,38.88,29.18,33.47,36.96,38.78,43.63,46.22,26.13,33.54,35.89,31.15,52.77,32.82,46.98,49.56,51.64,21.95,28.23,15.14,16.36,22.49,69.6,79.69,70.85,67.48,73.19,82.63,72.65,73.54,72.35,73.02,84.56,12.87,67.83,75.58,72.65,76.08,82.57,66.75,61.94,76.5,73.24,79.76,84.5,80.37,69.87,74.5
2019-01-22,51.21,50.37,47.53,80.0,62.6,53.72,57.18,42.0,61.47,53.47,44.06,42.41,53.78,47.33,51.03,39.35,47.78,58.44,32.45,42.6,45.02,48.32,37.74,39.41,37.98,43.67,59.66,44.42,35.16,41.51,45.07,48.37,46.15,48.83,36.36,43.56,44.01,38.22,45.97,39.84,48.33,48.97,47.22,37.69,39.92,23.29,28.88,31.78,88.99,97.82,91.0,86.88,88.33,87.27,93.53,93.46,82.08,77.6,98.06,22.26,87.29,97.77,90.25,95.67,98.26,72.55,62.01,83.21,82.45,91.69,84.71,87.11,73.14,80.11
2019-01-29,54.75,55.37,54.91,92.92,62.65,49.05,59.66,44.92,65.76,61.23,50.96,40.91,48.14,43.7,58.69,39.5,43.78,47.25,17.35,44.7,39.97,51.98,31.29,38.08,36.24,40.18,57.75,36.78,33.86,42.75,44.1,47.31,56.63,51.72,27.82,40.72,49.44,39.86,54.18,41.72,53.39,53.65,52.91,24.94,26.83,16.8,20.55,19.39,66.83,75.91,69.19,66.33,66.79,68.14,67.36,73.66,68.45,70.36,75.26,20.27,66.62,70.3,67.18,92.98,83.19,67.81,74.07,84.67,72.63,77.6,80.87,78.62,77.52,74.69
2019-02-05,41.62,39.72,36.43,64.75,53.89,47.12,52.6,33.99,41.46,45.16,35.47,28.52,41.5,30.68,37.46,27.86,34.65,41.95,12.02,25.51,30.42,37.92,21.91,31.57,25.11,27.14,43.56,28.57,22.57,23.79,30.45,28.69,36.01,37.67,17.71,28.25,30.03,31.48,41.14,31.93,37.92,40.01,43.06,24.74,21.1,16.92,17.37,21.35,54.36,62.5,56.68,53.63,57.72,58.11,55.82,57.49,55.14,50.63,63.44,18.97,52.63,61.04,49.91,62.42,62.92,51.65,49.28,61.61,54.27,57.88,56.98,61.37,50.08,56.4
2019-02-12,40.12,35.84,29.88,57.94,56.44,46.6,45.61,31.32,36.33,39.54,29.12,20.87,28.25,25.45,24.17,20.91,32.21,36.03,7.57,22.25,16.96,28.74,16.57,21.95,20.32,23.25,35.77,23.34,14.28,22.79,24.77,26.77,21.45,29.59,15.38,22.69,24.57,23.08,32.2,28.68,27.09,31.04,35.38,17.67,19.38,11.75,11.84,16.15,51.61,64.92,57.84,53.92,59.33,57.26,57.61,60.18,57.28,68.03,63.39,9.26,57.06,60.49,53.14,61.79,64.82,55.9,35.98,60.28,56.14,52.88,55.02,60.3,47.8,56.29
2019-02-19,44.94,38.74,33.27,59.56,65.19,51.99,56.09,34.69,40.87,42.51,33.19,26.1,32.52,31.63,29.08,25.7,39.35,41.89,13.24,27.9,23.92,34.4,20.26,26.56,26.55,29.66,42.0,27.0,18.81,25.83,28.9,33.45,29.18,34.97,19.27,28.24,31.44,23.94,36.1,33.59,33.2,38.19,39.42,22.86,26.24,19.93,16.1,22.95,39.85,49.39,48.32,42.95,48.82,50.02,46.8,49.77,45.61,47.47,53.72,15.21,47.17,48.87,44.14,58.07,65.3,60.57,41.78,63.91,61.26,55.33,58.09,64.93,50.66,57.75
2019-02-26,54.2,53.79,53.64,81.1,71.27,56.32,64.53,43.99,60.36,58.91,45.32,43.34,48.04,48.14,50.61,42.73,57.36,56.98,18.46,47.64,40.6,48.94,43.72,41.84,43.31,45.42,61.79,48.61,31.11,40.36,49.2,45.54,45.85,50.72,33.53,47.53,48.05,36.94,51.86,40.94,52.57,53.39,54.81,39.58,38.35,19.24,18.46,26.1,56.41,63.85,60.78,52.54,61.69,61.17,59.58,58.67,61.88,59.64,69.08,17.63,60.02,62.55,54.53,69.74,71.44,67.23,50.55,75.4,69.05,61.08,64.82,68.14,64.28,61.61
2019-03-05,26.59,24.84,21.01,45.86,37.75,32.87,34.59,17.58,26.48,30.51,20.27,29.68,39.55,33.56,35.62,27.27,31.08,41.97,12.63,29.81,27.55,29.64,26.29,30.2,31.08,32.76,39.12,32.59,17.68,28.93,33.26,32.39,28.09,31.28,21.75,32.44,30.08,17.51,24.86,23.23,29.28,32.44,24.26,24.77,25.47,16.28,16.39,19.34,41.69,45.32,44.07,41.15,45.99,42.82,47.48,46.5,41.76,40.27,45.79,14.69,43.58,47.51,41.96,39.16,52.39,35.99,30.74,41.18,43.08,48.95,41.51,53.59,35.21,43.3
