日期,埔里,線西,大里,二林,沙鹿,彰化,忠明,豐原,西屯,竹山,南投,萬里,菜寮,中壢,陽明,龍潭,士林,永和,三重,松山,林口,汐止,新店,淡水,桃園,大園,土城,大同,萬華,中山,板橋,古亭,新莊,基隆,觀音,平鎮,頭份,新竹,湖口,苗栗,三義,竹東,宜蘭,冬山,關山,臺東,花蓮,楠梓,屏東,橋頭,大寮,小港,林園,前鎮,仁武,前金,鳳山,美濃,左營,潮州,恆春,復興,新營,臺西,新港,崙背,斗六,安南,臺南,麥寮,善化,朴子,嘉義
2015-01-01,46.48,39.78,43.53,50.7,33.73,40.26,41.04,25.62,39.72,56.01,41.98,20.45,27.91,27.27,13.31,31.01,21.51,23.78,21.9,21.4,26.99,27.41,26.02,17.71,29.39,28.32,35.02,21.3,22.24,24.43,22.36,25.88,30.84,22.68,30.1,28.33,31.53,34.96,29.77,31.34,29.65,30.03,20.89,20.4,15.33,13.97,13.75,48.2,45.67,48.71,44.16,46.12,45.83,38.46,45.81,44.4,43.26,36.73,50.72,40.41,13.29,52.07,47.47,46.04,44.38,53.36,49.67,44.84,44.85,48.59,48.53,41.28,48.23
2015-01-08,36.01,28.04,33.11,35.28,21.55,29.12,30.22,22.61,30.62,47.39,36.9,19.33,20.85,20.54,16.37,22.81,20.23,19.68,18.2,20.38,23.84,20.9,23.66,14.72,21.56,22.64,24.25,19.32,21.36,21.71,22.36,23.87,21.11,20.73,21.55,21.92,20.66,23.45,19.23,22.7,22.73,18.77,22.78,23.82,16.75,14.51,14.74,41.96,39.54,43.22,42.17,41.61,40.45,31.74,39.27,37.68,37.8,36.19,43.25,42.36,18.59,45.24,38.84,28.91,34.69,38.01,42.7,33.6,34.22,30.89,41.2,28.93,39.27
2015-01-15,42.39,36.44,39.84,45.8,29.07,38.02,36.05,31.45,35.52,54.91,41.85,27.24,29.97,28.1,24.24,32.49,28.73,28.26,28.16,27.93,32.75,28.33,31.58,23.02,31.49,30.07,32.45,27.33,30.43,31.45,30.63,32.69,30.95,30.62,29.17,30.41,33.32,34.41,28.5,36.13,30.3,32.2,29.01,31.13,21.93,21.2,21.23,53.68,51.27,53.45,51.05,54.58,52.09,50.09,50.21,49.02,48.45,47.41,53.58,50.17,19.71,57.12,47.26,41.6,42.68,47.8,48.68,46.21,46.04,42.94,53.35,43.24,42.87
2015-01-22,40.18,44.86,45.83,53.1,40.57,42.11,42.22,31.08,42.76,59.32,50.04,28.3,35.8,35.17,18.64,34.46,29.48,33.89,29.08,30.36,37.62,31.53,34.15,28.09,38.14,37.53,39.11,30.37,32.55,31.48,36.18,35.66,39.23,31.66,36.78,35.71,37.02,35.87,32.95,40.26,31.34,29.06,29.97,28.28,19.07,18.7,17.87,53.98,51.19,56.43,55.3,56.92,51.0,50.69,53.25,52.56,49.99,41.81,56.17,47.25,17.78,57.89,59.04,50.54,53.28,59.9,56.97,53.46,53.27,51.87,59.32,50.64,55.89
2015-01-29,32.58,17.73,17.46,18.01,9.91,14.4,17.45,14.06,14.81,35.24,23.53,9.34,11.57,11.03,2.0,12.28,8.61,10.18,6.1,8.5,14.0,11.42,14.17,7.87,9.88,13.52,15.23,7.76,10.24,9.72,11.58,11.34,10.01,11.08,11.04,10.58,15.82,14.44,10.45,19.07,13.54,12.06,12.36,7.8,6.69,6.01,2.83,33.2,35.98,36.33,40.72,39.63,37.46,31.96,32.3,34.03,33.02,33.55,34.79,39.53,7.38,41.9,24.48,14.71,22.76,22.59,26.54,23.11,24.84,20.72,30.13,20.71,28.33
2015-02-05,53.65,32.48,33.25,35.34,23.57,34.34,32.58,25.09,32.11,53.94,39.35,20.93,24.78,37.03,15.15,27.83,22.36,25.15,20.29,21.99,27.21,23.01,27.89,18.44,27.46,26.96,28.49,21.71,24.53,23.8,25.3,25.87,26.91,21.01,24.43,26.95,28.02,30.28,25.98,30.25,24.37,27.32,22.15,18.77,16.54,13.66,9.19,51.45,56.89,49.52,56.86,59.56,53.77,50.95,53.47,51.5,50.46,48.38,57.47,58.45,17.21,58.84,42.49,34.32,38.15,43.67,43.72,39.25,43.35,36.82,49.55,36.56,50.42
2015-02-12,52.59,54.42,52.38,58.01,41.71,48.43,51.46,32.49,51.31,59.53,51.07,30.45,37.59,32.77,24.97,40.06,34.41,37.36,31.55,32.81,39.78,34.24,36.42,30.6,40.28,38.77,40.67,33.63,36.76,36.12,35.44,37.58,38.61,36.88,35.32,39.03,41.17,42.05,40.15,40.69,32.5,36.1,36.48,32.54,22.73,23.96,23.58,52.53,53.0,56.31,54.87,55.67,58.22,48.58,53.96,48.97,51.12,41.87,55.47,49.16,24.7,56.21,56.41,53.24,58.21,66.77,65.02,51.91,55.01,52.9,61.96,55.37,63.18
2015-02-19,45.05,35.56,35.56,40.05,26.0,28.62,33.65,23.13,31.29,52.63,42.99,18.51,31.0,21.38,12.84,25.81,22.18,28.07,20.92,22.25,30.75,23.31,28.83,18.76,27.62,22.91,33.67,21.89,24.23,24.84,27.97,27.46,30.41,21.6,21.38,24.02,31.61,33.2,21.85,30.48,23.48,29.73,24.31,16.05,12.57,13.25,9.57,31.78,33.88,37.57,32.1,38.73,35.44,31.83,33.75,34.93,33.36,25.66,36.2,32.68,16.24,40.48,34.7,35.4,36.21,41.64,43.95,29.33,33.31,36.16,40.69,32.99,42.82
2015-02-26,43.72,30.99,31.32,34.96,24.5,25.89,28.37,21.54,26.91,48.59,37.3,17.78,24.24,19.8,7.41,20.91,17.52,20.45,15.72,17.58,24.73,21.58,21.88,12.71,21.62,21.73,27.36,17.57,18.88,20.05,22.53,20.43,22.95,19.32,20.54,21.25,24.51,27.18,18.26,23.99,21.87,23.13,18.02,14.24,8.11,7.9,5.76,35.11,38.07,39.26,37.66,36.56,34.02,37.81,35.46,36.55,35.14,27.71,35.77,35.4,8.98,43.04,32.73,32.57,31.85,36.51,38.74,28.74,32.38,34.55,37.9,32.45,38.05
2015-03-05,57.77,23.18,25.91,27.6,15.31,18.35,23.69,17.65,21.55,46.16,35.12,11.83,14.19,11.69,5.15,14.81,11.08,13.74,9.53,11.71,15.87,15.55,15.66,6.22,12.23,12.69,19.6,12.52,11.4,13.16,13.64,13.49,15.55,11.76,10.87,14.57,17.11,20.98,10.77,17.05,13.37,14.84,13.39,9.78,7.43,6.48,6.39,35.56,43.65,43.34,42.04,42.61,41.63,41.89,42.11,40.89,41.21,37.05,39.85,43.3,11.48,49.61,31.07,20.05,27.77,29.4,34.81,27.29,29.94,27.99,38.06,25.57,36.05
