日期,西屯,大里,沙鹿,南投,彰化,忠明,竹山,豐原,二林,線西,埔里,板橋,觀音,龍潭,林口,萬華,永和,淡水,士林,平鎮,桃園,三重,古亭,大同,大園,松山,汐止,中山,土城,新店,基隆,中壢,萬里,陽明,富貴角,新莊,菜寮,頭份,三義,湖口,苗栗,竹東,新竹,宜蘭,冬山,花蓮,臺東,關山,復興,林園,前鎮,美濃,大寮,恆春,橋頭,楠梓,前金,小港,鳳山,潮州,屏東,左營,仁武,新營,新港,臺西,斗六,麥寮,崙背,臺南,嘉義,安南,朴子,善化
2018-01-01,25.97,21.7,21.94,34.72,27.11,24.92,43.9,21.39,22.75,25.2,27.84,13.41,16.86,13.17,10.45,10.37,11.81,8.42,9.17,11.2,10.76,10.46,9.64,12.23,9.26,11.91,15.14,11.1,11.73,12.67,9.44,9.65,12.22,5.59,15.02,9.01,10.91,19.77,22.36,13.14,22.37,19.55,17.3,12.02,8.51,9.33,9.22,9.37,44.78,33.71,44.07,31.88,44.29,9.12,42.04,42.63,44.38,42.78,38.22,49.59,42.18,38.56,37.49,29.95,27.03,20.45,32.81,22.54,28.97,30.66,37.2,31.89,23.68,29.35
2018-01-08,14.21,10.57,12.57,19.02,16.66,13.76,23.79,11.33,20.03,19.74,15.29,14.99,17.14,13.52,10.64,12.09,12.91,11.17,10.65,12.61,13.27,11.22,10.41,14.79,12.04,11.94,15.25,12.22,11.75,12.31,11.46,13.06,12.62,8.77,15.93,10.65,11.22,11.7,13.54,11.15,15.6,14.27,12.46,12.63,9.32,10.81,11.5,13.88,28.39,24.12,27.33,17.73,30.25,9.74,25.99,27.98,25.05,25.18,22.87,25.89,24.61,26.28,22.33,19.88,20.19,19.07,19.47,18.11,22.35,20.86,21.39,20.27,16.57,20.78
2018-01-15,27.5,24.31,26.4,36.96,27.54,27.72,46.05,21.48,36.02,30.25,26.58,19.17,26.44,18.47,17.04,14.81,16.53,13.67,11.42,18.28,16.64,13.64,12.94,17.02,18.51,14.15,21.51,15.35,17.66,13.8,15.37,16.77,16.19,4.31,19.86,15.52,16.28,21.63,20.55,19.53,25.4,20.0,21.09,12.75,11.11,10.4,8.77,9.85,59.45,43.9,62.06,38.28,49.94,7.7,53.4,62.43,61.59,56.81,54.6,47.57,52.29,57.2,56.06,44.52,37.96,27.94,37.12,29.92,40.41,48.18,47.22,48.71,36.16,48.41
2018-01-22,13.99,12.5,11.78,23.43,14.15,14.76,31.88,15.61,18.48,17.66,23.4,13.0,16.37,10.45,10.31,11.35,11.55,9.34,7.77,11.74,9.43,9.5,9.99,12.64,10.24,10.22,14.56,11.82,11.07,9.8,9.58,9.2,11.81,3.08,15.25,8.68,9.73,10.94,15.03,9.56,14.53,14.41,11.09,10.71,7.4,8.79,8.13,8.06,41.6,33.47,40.54,28.27,38.05,9.01,38.97,41.88,38.61,40.75,40.29,43.89,36.59,37.7,33.54,22.59,20.73,18.16,22.53,18.91,22.21,27.12,27.31,23.69,19.81,25.19
2018-01-29,16.0,8.99,15.94,18.37,16.12,14.45,27.38,11.26,21.01,18.38,16.3,17.12,23.2,15.72,14.6,13.7,14.5,14.99,13.68,17.96,14.35,11.66,10.527142857142858,14.91,18.46,12.67,16.58,13.92,14.47,13.51,12.6,14.75,16.37,3.58,24.85,12.82,12.74,16.09,14.3,18.09,19.03,14.82,20.01,9.17,5.04,6.55,6.85,7.73,37.07,24.12,35.42,26.8,35.68,8.04,32.32,35.75,33.25,34.26,39.49,36.38,31.4,32.79,36.05,23.7,23.75,18.99,19.77,19.1,21.89,24.74,24.38,22.96,19.86,26.22
2018-02-05,22.09,17.22,22.89,27.55,24.52,21.29,35.01,14.88,27.18,25.6,14.69,22.38,25.53,16.77,14.86,24.55,20.19,16.06,17.64,18.05,18.04,18.15,11.064285714285717,21.34,20.16,16.86,20.58,18.43,19.93,18.19,16.36,17.88,16.95,7.96,22.29,17.27,17.27,19.13,16.08,20.24,21.22,17.67,22.74,12.46,9.19,8.16,8.95,9.83,44.49,26.6,40.82,28.84,39.65,8.21,42.92,44.6,41.1,40.58,45.69,35.8,31.77,42.19,42.74,33.07,30.61,26.17,29.13,27.34,32.59,34.24,37.03,33.2,30.82,32.5
2018-02-12,32.79,25.16,32.48,30.85,37.82,33.55,40.6,22.56,37.22,34.14,25.49,29.22,35.72,31.47,21.43,23.82,26.08,23.09,23.42,34.43,27.34,25.21,11.601428571428572,26.98,28.79,22.72,27.62,26.28,27.56,22.6,26.68,30.68,22.87,13.94,29.2,23.23,25.1,34.76,27.54,30.34,32.58,29.06,32.09,20.1,16.3,13.83,13.58,14.42,39.91,29.46,35.51,25.6,35.37,12.54,35.57,35.59,34.71,34.6,37.64,27.77,32.06,34.06,34.88,39.56,40.18,34.24,36.24,35.83,41.95,37.91,40.33,38.05,38.18,36.08
2018-02-19,27.29,20.2,29.96,30.06,30.89,27.48,38.0,18.47,32.23,31.74,22.71,24.96,27.71,21.36,16.11,19.44,23.98,19.42,18.3,22.27,23.88,18.43,12.13857142857143,22.65,21.73,20.43,24.15,21.7,24.26,22.27,19.43,22.54,19.34,6.82,23.23,18.69,20.85,26.53,19.6,25.76,29.58,23.09,27.99,13.2,10.12,7.48,9.77,10.0,47.71,28.71,45.57,30.88,41.29,10.33,45.0,41.35,44.39,42.74,48.98,32.28,37.52,40.07,45.87,38.59,33.59,32.31,34.67,32.87,37.37,38.09,39.98,33.0,33.35,37.01
2018-02-26,35.82,32.81,43.44,37.16,42.12,39.07,45.43,25.89,41.04,39.34,26.26,37.77,36.77,28.98,25.44,30.28,32.76,27.09,29.71,29.57,32.38,29.51,12.675714285714289,32.64,29.33,27.71,31.84,31.51,34.68,29.02,22.4,28.61,24.29,11.73,29.95,32.39,33.75,32.06,31.59,32.47,36.96,31.57,37.31,16.1,16.39,9.63,13.04,10.4,42.48,28.24,36.17,23.91,37.89,10.14,36.79,38.03,37.57,34.39,40.9,28.0,31.7,36.89,41.22,46.2,39.81,40.76,42.88,41.99,44.11,41.69,43.34,43.96,40.9,39.12
2018-03-05,19.04,12.98,18.28,19.08,19.09,17.41,27.34,14.21,22.33,20.91,20.72,16.48,20.6,16.67,16.23,13.7,14.17,15.3,14.82,17.34,15.48,12.53,13.212857142857144,16.36,14.58,13.33,17.15,15.98,14.65,13.51,12.61,13.56,17.82,7.97,23.16,12.75,13.61,17.53,17.5,18.07,21.71,16.73,19.68,13.12,10.84,8.15,10.19,10.54,33.1,25.2,34.75,24.22,35.37,9.29,31.57,31.68,31.23,32.52,31.89,28.22,31.74,30.24,32.42,23.91,22.63,21.03,22.34,21.93,24.31,26.4,23.17,25.77,22.41,22.94
2018-03-12,32.44,23.3,32.36,30.68,32.49,32.98,42.74,26.21,39.0,34.83,29.79,25.48,31.21,26.82,22.97,18.56,20.81,21.52,18.01,25.42,25.15,18.54,13.75,22.01,27.73,15.74,20.39,18.94,23.97,16.01,14.74,25.69,14.68,9.81,21.29,22.27,23.37,23.81,30.35,27.8,31.13,23.06,28.9,12.98,12.08,7.68,10.35,9.98,37.53,32.02,39.03,25.61,38.61,11.14,37.17,36.16,35.48,36.15,39.82,31.93,37.67,35.03,39.17,39.16,42.75,42.53,37.96,44.46,43.83,36.9,38.05,39.74,39.9,37.18
2018-03-19,26.14,16.78,23.04,25.9,27.14,26.54,34.48,20.33,28.32,27.11,25.66,20.29,23.23,22.17,18.42,16.35,17.85,19.17,17.76,18.65,20.52,14.77,14.287142857142856,19.89,20.13,15.73,20.31,18.01,18.81,19.6,15.4,19.43,16.15,14.52,20.73,17.11,17.67,19.43,26.27,22.63,26.43,21.89,23.74,16.27,14.7,12.53,13.29,14.21,27.9,24.51,28.38,21.17,28.87,13.42,27.78,28.83,26.26,25.48,24.24,24.66,27.1,24.71,27.31,28.33,30.19,32.28,28.31,32.72,32.08,25.65,25.83,27.65,27.94,26.06
