日期,埔里,線西,大里,二林,沙鹿,彰化,忠明,豐原,西屯,竹山,南投,萬里,菜寮,中壢,陽明,龍潭,士林,永和,三重,松山,林口,汐止,新店,淡水,桃園,大園,土城,大同,萬華,中山,板橋,古亭,新莊,基隆,觀音,平鎮,頭份,新竹,湖口,苗栗,三義,竹東,宜蘭,冬山,關山,臺東,花蓮,楠梓,屏東,橋頭,大寮,小港,林園,前鎮,仁武,前金,鳳山,美濃,左營,潮州,恆春,復興,新營,臺西,新港,崙背,斗六,安南,臺南,麥寮,善化,朴子,嘉義
2015-01-01,67.45,70.73,65.64,72.5,67.94,64.79,58.45,63.18,66.2,67.9,68.38,74.27,63.94,65.54,88.13,70.26,64.68,69.9,62.89,66.72,72.86,74.84,65.33,NaN,74.42,72.12,67.79,NaN,64.21,67.1,67.51,68.4,68.35,76.93,68.8,69.85,68.53,69.15,66.74,69.08,75.97,69.04,65.31,70.29,73.64,65.79,66.14,68.59,63.05,67.3,66.35,63.37,67.45,64.14,68.29,64.75,61.55,65.65,67.0,69.6,70.54,63.01,67.02,78.34,73.88,69.65,67.05,71.89,65.57,74.69,69.0,68.18,64.79
2015-01-08,66.49,68.83,64.21,71.73,67.55,65.28,59.15,64.1,66.16,67.98,67.81,68.05,61.11,64.55,93.84,69.65,61.79,68.18,60.79,62.33,71.83,68.95,63.11,NaN,71.45,60.92,63.54,NaN,62.5,65.3,61.8,66.43,64.17,68.4,60.98,68.4,64.72,65.45,63.18,67.28,76.46,67.85,71.71,75.23,75.51,68.32,71.88,70.36,64.52,68.61,67.68,65.24,67.65,66.52,68.77,67.34,63.95,66.27,68.89,70.95,72.55,65.41,68.6,78.17,74.45,69.78,68.11,73.12,68.18,74.16,69.15,68.44,67.31
2015-01-15,68.58,69.78,67.48,72.78,70.36,66.9,61.61,69.39,69.02,72.7,72.28,70.02,61.32,65.5,94.45,71.18,62.07,67.51,60.52,62.4,73.54,69.83,63.26,NaN,72.49,64.0,63.64,NaN,62.29,65.08,61.36,65.65,64.08,69.93,64.24,69.68,67.7,67.96,64.89,69.4,81.04,70.42,66.69,70.09,73.79,64.8,64.86,74.43,68.16,71.77,71.42,69.15,70.61,70.52,71.63,71.99,68.57,68.9,72.98,74.22,70.54,68.96,71.01,78.21,76.59,71.55,71.85,76.49,70.81,74.16,71.32,70.75,70.36
2015-01-22,66.8,72.08,67.05,74.95,68.59,66.2,59.44,64.2,66.65,70.28,71.73,77.64,67.58,69.18,85.58,72.38,67.66,74.36,66.57,70.08,76.92,77.65,68.02,NaN,75.4,75.72,71.08,NaN,68.55,70.75,68.53,73.15,72.66,80.03,72.96,73.2,68.55,68.82,68.68,71.01,74.7,66.15,69.28,73.99,73.78,67.43,66.77,66.68,60.42,65.77,60.87,61.62,64.77,62.65,62.98,63.68,59.7,65.65,64.86,70.85,70.62,61.45,68.18,79.23,76.48,72.6,70.42,73.27,65.77,75.8,68.83,70.41,67.93
2015-01-29,69.74,78.65,70.96,79.7,79.1,73.69,73.99,75.45,77.47,75.51,75.25,86.71,76.11,78.81,100.0,84.67,73.57,84.4,74.08,81.32,88.39,89.12,79.52,NaN,81.57,82.39,78.3,NaN,78.01,80.44,77.51,83.79,80.84,91.77,78.93,84.1,77.94,80.03,77.6,79.51,89.51,80.79,84.96,87.23,78.0,72.02,77.07,76.68,68.95,73.58,72.53,72.04,72.09,73.6,73.88,74.9,72.39,69.17,76.27,75.87,75.12,72.23,74.66,85.23,81.94,78.47,75.01,80.52,75.11,81.25,73.3,76.78,74.93
2015-02-05,69.27,67.89,64.5,70.5,67.37,63.41,65.09,66.92,67.23,68.8,68.61,75.63,67.47,72.3,95.85,79.29,67.08,76.15,67.47,69.89,79.22,77.55,69.13,NaN,77.69,69.73,72.68,NaN,68.52,72.23,77.12,74.53,72.0,79.08,66.52,76.48,69.65,72.2,69.31,69.65,83.01,74.67,73.68,74.88,76.47,66.33,69.64,70.0,63.9,67.53,65.96,64.64,66.74,65.76,66.22,66.39,63.18,66.75,67.6,72.02,70.97,64.86,67.45,77.1,73.29,67.58,67.19,71.86,66.86,72.12,68.9,66.15,65.58
2015-02-12,61.25,72.51,60.7,73.08,67.81,64.67,60.03,57.12,62.62,62.39,62.68,71.3,60.33,61.48,85.79,65.11,62.05,66.61,61.49,62.08,69.82,67.99,63.79,NaN,68.18,64.2,62.08,NaN,61.14,63.47,63.71,64.54,63.15,72.08,65.85,64.47,66.81,65.68,62.73,67.61,69.76,63.33,67.55,72.93,77.54,71.34,72.3,67.05,61.21,66.23,63.67,64.46,65.39,64.98,63.1,65.42,61.47,64.05,66.84,72.07,72.19,63.19,65.1,78.07,71.44,70.03,64.14,69.27,62.58,74.71,68.68,66.32,62.25
2015-02-19,71.95,80.95,72.69,82.14,80.06,76.43,75.39,77.77,78.44,75.36,76.09,85.01,75.31,79.51,96.31,82.9,75.1,80.21,74.03,74.58,86.46,79.49,78.17,NaN,81.43,84.26,76.3,NaN,75.46,77.58,76.72,78.88,80.57,85.22,81.62,84.39,81.15,80.66,78.76,81.64,85.93,83.9,79.48,82.52,78.9,75.93,80.26,78.41,70.77,76.1,76.43,75.3,74.9,75.66,75.05,77.4,72.6,70.74,77.78,76.83,77.82,73.66,77.11,86.51,85.07,81.89,76.72,81.4,76.14,84.29,77.35,80.67,77.68
2015-02-26,68.21,78.58,69.46,77.14,77.69,73.12,72.61,74.37,75.89,72.94,71.8,90.43,77.83,83.24,98.29,87.71,76.77,83.75,76.92,80.51,91.4,88.05,83.14,NaN,83.29,87.45,79.94,NaN,79.36,81.5,84.42,84.02,84.48,93.24,83.6,89.06,81.62,83.12,80.66,81.6,88.2,85.28,77.09,81.48,77.95,75.82,78.71,75.6,69.11,74.8,74.14,73.1,73.14,73.3,72.72,75.76,69.33,68.47,75.75,75.96,78.27,71.55,72.5,84.79,80.21,76.46,72.57,77.5,72.1,80.57,74.4,74.19,72.24
2015-03-05,71.99,78.9,71.16,78.82,78.52,74.12,74.74,76.02,77.5,75.15,74.76,88.84,79.64,83.35,99.7,88.4,76.84,82.25,78.61,82.96,91.55,89.74,86.21,NaN,84.73,87.47,81.93,NaN,81.85,84.49,86.16,88.89,86.2,92.12,83.01,88.55,80.26,82.45,80.18,81.31,91.47,86.39,83.71,87.24,79.75,73.46,80.7,75.04,67.38,72.39,70.44,70.09,69.95,71.21,71.51,74.55,68.08,68.12,74.13,72.12,75.55,69.7,73.96,85.1,81.42,77.09,74.55,76.96,71.76,80.82,74.71,75.32,74.19
