日期,竹山,忠明,二林,沙鹿,豐原,西屯,彰化,埔里,南投,線西,大里,大同,三重,古亭,中山,基隆,萬里,觀音,平鎮,新店,永和,淡水,龍潭,陽明,菜寮,中壢,林口,士林,土城,板橋,桃園,汐止,松山,新莊,大園,萬華,苗栗,三義,湖口,頭份,新竹,竹東,冬山,宜蘭,臺東,關山,花蓮,林園,復興,恆春,美濃,潮州,鳳山,前鎮,前金,屏東,小港,楠梓,大寮,橋頭,左營,仁武,臺西,崙背,臺南,嘉義,新港,麥寮,斗六,新營,安南,朴子,善化
2016-01-01,85.63,80.01,84.25,87.27,81.14,83.27,81.69,74.22,82.8,86.74,77.71,NaN,80.32,89.06,86.93,86.75,87.12,85.88,89.54,83.48,81.39,NaN,88.82,98.5,82.32,84.35,94.22,81.1,84.07,80.19,87.98,89.01,84.26,81.65,88.19,83.18,87.08,87.49,83.38,85.15,83.25,87.8,86.92,88.43,78.27,81.99,80.51,84.06,81.82,83.45,80.84,83.51,83.84,81.31,81.0,78.99,84.62,85.39,83.17,81.75,85.3,82.27,86.3,85.59,81.96,85.86,79.3,91.35,83.85,84.36,86.27,87.34,81.89
2016-01-08,82.74,76.74,80.07,83.19,77.55,80.8,77.54,81.75,80.73,82.62,73.71,NaN,75.37,87.38,83.27,84.14,82.79,80.9,85.8,81.89,79.59,NaN,87.81,99.29,76.93,81.32,91.53,75.35,80.88,76.34,86.08,87.64,80.73,78.3,82.95,78.32,82.02,88.01,79.53,79.48,79.69,84.49,83.07,83.92,74.45,82.86,79.08,80.27,77.42,79.84,79.38,81.93,78.58,76.28,76.78,76.95,78.77,82.14,79.92,79.03,78.78,78.7,82.4,78.9,78.69,81.45,76.37,83.01,80.64,81.59,80.07,82.12,80.02
2016-01-15,83.13,77.13,81.21,83.74,77.62,80.67,77.92,82.17,81.17,83.14,74.96,NaN,79.62,88.91,86.9,83.46,83.03,81.1,86.21,83.11,81.82,NaN,87.48,99.31,80.81,81.59,91.78,78.29,82.22,78.63,87.72,87.67,81.96,80.95,82.9,82.33,82.83,87.61,79.75,81.41,80.35,86.34,82.68,81.13,75.64,85.79,80.42,81.18,77.55,78.92,80.28,83.83,79.37,76.59,76.67,78.21,79.82,80.63,80.24,79.3,78.84,78.51,83.39,81.51,72.92,81.7,76.5,83.47,80.65,81.7,80.07,82.98,80.03
2016-01-22,77.82,72.14,76.57,78.21,72.6,75.63,72.67,81.69,78.46,77.71,71.08,NaN,69.61,78.08,76.43,70.4,73.75,72.54,79.29,75.03,72.17,NaN,80.93,93.73,70.52,74.95,82.02,70.07,73.0,68.25,80.41,76.43,70.42,72.85,75.51,70.81,77.61,81.82,74.49,78.01,76.94,80.1,72.98,75.35,76.27,83.11,76.11,78.45,72.92,83.68,78.71,83.1,74.27,71.47,70.17,75.27,73.9,71.32,75.89,74.17,72.47,72.54,78.8,74.98,54.76,76.35,71.33,77.55,76.18,76.8,73.21,75.04,74.98
2016-01-29,86.57,81.86,84.18,88.04,81.16,85.31,81.25,85.87,84.87,86.46,77.76,NaN,80.51,91.26,88.0,87.72,87.71,85.54,90.95,86.22,84.18,NaN,91.51,99.65,82.07,86.08,95.88,78.01,85.33,81.65,90.51,91.91,85.23,83.27,89.55,83.74,87.12,91.93,83.44,85.13,84.74,88.28,87.11,89.14,74.73,79.9,79.19,80.32,78.21,79.11,81.01,82.34,80.56,76.92,77.49,78.17,79.27,78.3,79.99,80.14,79.02,79.67,85.32,84.97,81.16,86.1,79.14,85.64,83.9,84.39,81.49,86.34,81.34
2016-02-05,65.9,58.13,68.08,64.02,57.49,62.05,61.01,69.94,65.83,68.72,62.13,NaN,59.85,68.28,64.12,61.28,63.99,60.27,62.93,67.86,62.68,NaN,64.98,74.25,60.85,60.35,64.73,61.14,66.49,59.18,68.38,66.23,60.42,63.95,64.13,61.18,65.23,64.79,63.6,65.8,65.81,65.21,64.19,65.68,67.41,74.27,65.93,66.64,58.39,72.54,66.3,70.24,58.36,56.43,55.98,61.87,58.54,57.61,61.77,61.6,58.16,58.14,72.49,65.7,61.49,61.79,63.24,70.52,64.85,67.16,64.27,65.48,69.1
2016-02-12,75.8,70.05,75.56,76.83,71.84,74.29,72.71,78.97,73.38,78.61,70.43,NaN,73.17,80.89,78.76,80.55,81.14,78.22,81.22,77.08,74.35,NaN,82.04,95.09,75.08,76.33,87.58,73.23,77.51,72.68,82.55,82.28,75.79,75.71,79.36,74.2,77.05,79.99,77.15,78.41,77.19,80.96,80.28,82.61,72.67,78.5,77.27,77.21,73.13,76.14,73.74,76.39,72.8,71.95,72.52,70.65,74.46,70.67,73.92,72.7,72.45,72.26,80.49,74.76,73.77,74.58,70.74,78.85,72.82,75.2,74.29,76.35,75.73
2016-02-19,77.88,71.52,74.9,79.02,75.54,76.08,72.78,82.22,76.36,78.67,71.14,NaN,73.27,82.08,80.54,75.48,77.15,78.19,84.77,77.95,75.53,NaN,85.56,97.9,74.85,79.21,87.83,72.55,77.19,73.32,83.84,81.48,75.46,74.64,80.56,75.42,78.9,85.85,78.22,78.31,78.0,81.65,77.23,79.7,69.14,75.43,71.71,74.41,71.3,75.98,72.38,75.67,71.11,69.74,70.45,70.26,71.66,67.93,72.56,71.04,71.54,71.45,79.82,74.51,71.12,74.7,71.1,78.07,74.83,75.48,72.35,74.65,74.69
2016-02-26,69.99,65.26,74.23,75.84,66.5,70.62,70.03,70.97,70.11,77.75,66.61,NaN,65.76,72.4,72.31,74.98,74.32,72.84,73.99,69.88,67.1,NaN,74.46,90.26,66.58,69.19,76.3,67.18,69.42,65.41,73.47,74.28,68.15,67.12,72.73,67.2,74.37,76.95,70.76,73.95,71.17,74.27,73.31,74.35,64.58,72.12,66.92,71.14,67.2,71.23,67.6,72.42,65.68,65.48,66.93,64.39,67.2,56.78,67.69,67.29,68.2,66.67,80.18,73.3,68.85,69.26,69.62,79.2,70.35,72.98,71.1,74.11,72.95
2016-03-04,75.85,71.28,79.53,82.83,71.66,76.23,76.3,76.06,73.64,84.87,71.22,NaN,74.8,78.98,78.39,87.11,85.39,87.82,86.3,74.78,72.74,NaN,80.9,92.02,76.84,80.71,89.06,76.8,77.62,72.84,82.88,81.25,74.83,74.68,90.22,75.04,82.98,78.32,82.21,84.0,81.22,81.65,80.42,81.68,77.45,79.89,78.44,76.29,71.04,82.3,69.76,74.64,69.29,69.95,70.77,68.2,72.61,58.62,73.11,70.7,72.16,70.89,82.86,79.39,69.97,74.57,73.62,83.74,75.68,75.3,73.59,78.74,76.22
