日期,南投,線西,二林,大里,西屯,埔里,竹山,彰化,沙鹿,豐原,忠明,觀音,菜寮,中壢,新莊,新店,古亭,松山,陽明,板橋,永和,三重,土城,大園,士林,萬里,大同,平鎮,桃園,富貴角,林口,萬華,基隆,汐止,淡水,中山,龍潭,湖口,頭份,新竹,竹東,三義,苗栗,宜蘭,冬山,臺東,花蓮,關山,美濃,左營,前鎮,復興,橋頭,前金,楠梓,恆春,鳳山,潮州,大寮,屏東,林園,仁武,小港,麥寮,新港,崙背,朴子,安南,善化,新營,斗六,臺南,嘉義,臺西
2017-01-01,79.75,86.43,85.81,76.54,80.02,74.23,82.35,80.13,84.62,78.98,78.52,86.92,75.18,79.25,69.82,74.54,76.88,77.25,93.77,73.22,75.17,71.61,77.13,83.9,74.8,83.96,NaN,82.14,78.54,NaN,84.32,76.15,87.19,80.74,79.52,79.56,80.58,83.97,85.21,80.79,80.78,89.48,85.35,87.39,84.58,70.58,62.16,78.06,77.02,79.89,74.55,76.53,78.54,77.26,76.78,79.79,75.98,79.71,78.75,73.13,78.01,78.05,77.23,86.23,84.77,91.21,87.64,83.15,83.32,82.7,81.01,78.08,77.09,83.65
2017-01-08,75.52,78.6,79.51,71.53,73.17,73.02,79.23,73.33,77.39,74.02,72.25,80.45,74.91,77.84,70.86,76.4,79.45,77.93,98.32,76.5,77.86,72.42,76.73,79.7,74.35,80.45,NaN,80.15,78.79,NaN,84.07,76.39,85.96,82.41,79.52,81.2,80.2,78.91,77.34,75.29,76.53,89.95,78.87,85.86,84.48,72.76,79.55,83.67,75.32,75.4,70.84,73.29,73.88,73.94,73.25,80.73,71.72,79.93,75.33,70.8,75.5,74.72,73.51,80.49,77.5,81.69,79.4,77.58,78.92,76.42,77.15,72.76,72.42,80.4
2017-01-15,76.15,77.2,77.55,71.27,73.17,74.21,78.43,72.29,76.9,75.42,72.63,79.72,75.14,79.07,71.35,76.49,78.31,77.01,98.18,73.3,76.98,72.68,76.62,79.42,78.08,79.44,NaN,81.18,80.2,NaN,85.93,75.79,85.46,80.84,79.52,80.95,81.91,79.67,78.41,76.51,77.84,91.16,78.93,84.88,83.64,70.15,79.4,80.94,74.01,72.34,68.35,70.85,70.81,71.12,70.14,80.67,69.26,77.27,72.75,69.18,73.11,71.48,70.3,78.29,75.71,77.98,76.24,74.93,76.6,74.7,75.47,70.91,70.77,78.83
2017-01-22,67.79,71.23,71.89,63.6,63.62,65.15,68.65,65.3,69.46,65.2,63.4,70.7,65.62,70.98,63.08,69.71,70.58,69.49,92.55,64.74,69.88,64.52,68.19,69.67,69.87,73.27,NaN,72.68,71.33,NaN,75.07,65.9,79.07,74.12,79.52,72.77,73.77,71.98,69.93,68.58,68.49,82.14,69.89,81.41,79.3,64.46,73.43,75.48,69.26,67.75,64.11,66.85,66.37,66.68,65.64,75.52,64.48,74.87,68.64,64.22,69.14,66.79,66.2,74.19,69.88,69.53,70.73,69.77,72.16,69.83,68.76,65.2,64.61,74.65
2017-01-29,70.6,79.18,78.94,68.48,69.33,68.58,74.3,71.37,76.32,70.77,68.21,82.88,73.27,75.71,69.4,74.63,78.36,77.49,93.33,72.74,76.54,70.65,76.26,80.57,75.71,67.29,NaN,77.68,76.92,NaN,81.96,75.61,87.82,82.66,79.52,80.18,77.79,78.81,77.24,75.1,75.02,83.17,76.43,87.39,87.41,70.12,75.65,79.91,72.51,71.99,67.65,69.96,70.7,70.5,69.59,81.8,67.89,76.71,72.07,67.93,72.49,70.88,69.76,80.68,76.33,80.04,78.04,75.61,76.76,75.43,73.85,71.16,70.11,80.04
2017-02-05,67.4,68.39,69.32,62.76,61.58,71.63,72.77,63.0,66.18,65.44,61.75,69.1,62.33,68.38,59.97,67.08,66.24,63.09,91.9,60.46,66.07,61.27,64.65,67.97,66.84,70.52,NaN,69.9,68.4,NaN,73.28,61.96,71.82,66.28,79.52,69.11,71.64,70.19,67.32,66.87,67.56,79.57,67.64,70.24,69.74,69.11,71.23,78.1,71.1,68.43,64.7,67.54,67.61,67.19,67.49,76.17,66.22,74.66,69.88,66.33,68.93,68.29,67.07,71.93,69.2,67.79,69.3,70.27,73.63,70.7,68.76,66.52,65.49,72.46
2017-02-12,64.42,71.09,72.9,62.76,60.85,62.79,66.49,64.49,67.14,63.18,60.89,66.12,58.23,62.86,56.48,61.75,61.42,60.74,83.36,57.37,61.58,57.48,61.27,63.55,63.53,67.7,NaN,64.15,63.52,67.11,65.92,59.2,71.45,64.78,79.52,63.09,64.73,67.35,67.55,64.48,63.12,75.43,68.6,74.51,74.63,63.45,71.31,73.99,65.97,65.49,61.0,63.84,64.04,63.61,62.52,74.4,60.31,71.88,64.42,59.82,64.83,63.42,62.64,74.1,70.2,70.12,70.44,69.26,73.42,69.36,66.36,63.49,63.02,73.13
2017-02-19,78.27,82.14,82.45,74.29,76.69,74.71,81.77,77.15,80.55,77.22,75.55,86.94,79.24,82.15,74.57,78.19,81.52,79.99,94.29,76.04,80.03,76.25,79.55,88.12,82.44,84.63,NaN,84.23,82.65,89.46,88.21,79.36,89.82,84.38,79.52,84.52,82.18,84.69,84.37,81.48,80.6,86.56,84.6,85.93,86.14,75.03,81.27,84.48,72.93,73.58,70.38,72.75,71.08,72.94,70.91,83.33,70.78,77.27,75.47,70.46,74.82,73.08,73.84,80.82,79.4,81.49,80.3,75.9,77.72,77.4,78.41,70.76,73.71,79.98
2017-02-26,69.35,72.51,72.55,65.17,64.31,72.14,72.04,66.32,71.3,68.03,64.28,73.88,70.54,73.99,67.12,72.0,74.08,71.53,89.76,68.8,73.24,68.8,72.85,72.4,73.5,74.61,NaN,75.32,75.89,75.0,77.58,71.71,79.37,75.33,79.52,76.68,75.85,74.57,74.85,71.74,73.16,81.13,75.02,78.26,75.45,68.26,77.99,80.57,66.05,64.85,61.05,63.76,62.59,63.42,62.11,76.27,61.25,70.52,65.44,60.95,65.27,63.84,63.29,73.28,69.82,67.93,69.44,67.49,70.72,68.67,68.69,62.13,63.12,72.56
2017-03-05,77.78,78.83,80.28,73.01,74.36,77.61,81.52,74.98,78.54,76.73,73.26,81.01,77.44,79.67,73.05,78.62,81.07,79.49,95.0,75.23,79.52,75.14,79.43,80.51,78.61,83.77,NaN,80.99,81.26,82.95,85.41,79.52,89.35,83.51,79.52,83.51,82.35,81.25,82.94,78.2,82.54,90.18,83.01,89.34,86.35,75.15,84.92,85.09,75.85,73.3,70.37,72.33,71.96,71.85,71.31,80.02,71.55,77.91,76.06,71.07,74.17,73.02,73.64,78.14,76.31,78.93,77.12,75.3,78.21,75.85,77.13,70.3,72.1,77.16
