日期,西屯,大里,沙鹿,南投,彰化,忠明,竹山,豐原,二林,線西,埔里,板橋,觀音,龍潭,林口,萬華,永和,淡水,士林,平鎮,桃園,三重,古亭,大同,大園,松山,汐止,中山,土城,新店,基隆,中壢,萬里,陽明,富貴角,新莊,菜寮,頭份,三義,湖口,苗栗,竹東,新竹,宜蘭,冬山,花蓮,臺東,關山,復興,林園,前鎮,美濃,大寮,恆春,橋頭,楠梓,前金,小港,鳳山,潮州,屏東,左營,仁武,新營,新港,臺西,斗六,麥寮,崙背,臺南,嘉義,安南,朴子,善化
2018-01-01,78.84,82.52,83.89,81.27,85.96,80.35,85.66,83.13,87.94,86.21,86.77,75.13,81.92,81.47,88.56,76.72,78.31,76.17,77.3,80.47,84.21,72.94,81.45,NaN,80.77,77.55,83.51,83.82,78.74,78.97,80.53,80.41,78.51,98.3,81.94,72.32,76.74,84.25,92.6,80.86,81.55,81.59,80.32,84.25,85.62,83.66,81.08,84.3,78.1,80.01,76.69,82.59,78.92,80.72,84.06,81.89,80.34,79.2,76.7,86.11,78.68,82.29,81.69,84.07,81.34,85.71,81.94,85.46,84.53,85.68,86.03,82.6,87.81,83.12
2018-01-08,62.04,69.54,71.86,73.55,68.41,62.3,74.99,69.28,72.96,70.69,82.33,62.05,65.4,68.98,72.44,63.04,69.81,71.25,68.61,66.58,75.55,62.46,69.49,NaN,66.13,64.24,71.31,67.52,67.66,70.69,62.98,68.26,64.3,88.4,64.36,62.77,63.78,67.64,80.74,68.04,65.63,66.8,66.92,65.09,67.48,70.41,71.77,78.9,65.71,70.44,65.42,76.96,68.69,73.61,69.86,69.04,66.79,63.94,63.99,80.0,70.38,68.15,68.72,72.34,67.16,71.83,71.14,68.46,64.32,71.33,71.69,66.66,69.75,73.37
2018-01-15,74.52,79.29,85.01,76.23,84.38,73.43,80.73,77.25,87.64,87.08,81.77,76.37,88.48,80.78,88.8,77.65,79.62,77.04,77.66,81.68,84.36,72.58,78.55,NaN,87.07,80.4,87.95,82.36,80.14,78.51,88.29,80.73,85.77,92.49,89.58,72.79,76.48,84.83,88.96,82.95,81.79,78.03,81.28,83.66,88.53,81.01,79.15,81.69,75.08,75.58,75.63,75.57,73.46,81.52,74.53,76.65,78.65,75.63,70.94,80.68,71.26,81.14,77.23,80.21,79.92,86.85,77.8,86.74,86.58,81.54,80.85,79.47,84.9,79.84
2018-01-22,73.91,76.77,81.79,76.38,80.72,72.53,79.94,78.14,82.28,81.56,79.58,74.82,80.22,79.68,88.73,76.92,79.48,74.75,75.71,78.93,82.2,71.47,78.35,NaN,80.23,79.21,87.85,83.1,77.66,76.92,84.15,78.51,82.14,99.59,84.09,71.42,74.78,78.49,91.36,78.54,76.98,77.58,76.69,83.11,88.95,80.35,78.11,81.33,71.81,73.4,72.08,74.91,71.68,79.02,74.49,74.94,75.21,70.2,68.35,78.9,70.68,76.29,75.38,77.03,76.15,83.5,77.26,82.2,81.09,78.57,78.64,76.36,81.45,78.19
2018-01-29,77.9,82.02,84.17,82.82,81.77,76.98,86.61,86.67,83.34,81.85,93.38,82.71,85.58,95.67,97.69,81.62,87.58,88.43,80.0,87.56,93.41,82.75,87.82,NaN,89.85,84.78,93.28,90.73,90.09,88.68,86.65,88.18,83.08,100.0,85.14,81.0,82.46,86.11,98.33,85.86,83.58,86.73,85.52,82.74,86.49,76.99,72.01,79.2,73.96,76.51,75.18,82.3,75.9,76.21,81.01,77.33,76.27,74.12,72.96,79.37,77.39,77.14,77.44,80.23,77.35,80.47,79.35,78.41,81.54,80.55,83.3,77.1,80.04,79.68
2018-02-05,73.9,80.02,81.45,83.03,79.25,73.72,86.98,82.95,81.67,78.66,92.61,78.23,77.66,91.14,89.53,78.55,84.17,80.43,79.24,85.63,89.0,81.17,83.15,NaN,79.86,80.61,87.62,86.72,85.79,85.27,79.72,82.51,75.69,97.84,77.9,76.84,79.23,82.14,93.88,79.96,79.34,82.83,80.23,80.29,81.82,80.95,76.83,83.27,73.82,75.17,74.89,81.14,74.36,77.2,81.92,78.1,76.49,73.06,73.08,75.8,75.49,77.73,77.46,81.76,76.51,80.07,79.63,77.32,75.74,81.52,83.89,77.62,79.75,74.71
2018-02-12,63.74,67.93,74.49,67.47,71.91,62.31,73.14,68.49,75.77,76.29,77.67,63.29,74.28,73.01,73.54,63.87,67.7,71.08,69.71,75.93,73.58,65.98,64.29,NaN,73.03,66.27,73.44,69.08,68.76,67.51,72.87,70.15,72.23,82.58,74.92,61.0,63.97,73.32,75.61,72.09,69.79,69.48,70.09,70.78,75.43,74.6,74.15,79.33,69.03,72.0,70.15,72.61,70.15,78.19,73.99,70.29,70.69,68.21,64.41,71.49,67.82,71.67,70.55,72.93,68.79,79.2,68.91,76.54,70.2,72.68,70.0,70.05,72.47,71.71
2018-02-19,74.17,76.26,82.34,75.26,81.36,71.51,79.82,76.93,83.82,83.3,80.06,78.12,89.85,90.43,93.39,79.29,81.61,82.22,81.97,90.95,87.33,81.06,80.79,NaN,90.41,81.27,88.84,85.68,81.65,80.88,88.35,85.35,85.48,93.32,88.76,75.51,79.89,85.83,90.39,84.95,82.53,83.76,83.51,79.12,84.53,80.36,78.2,82.68,70.71,73.14,72.2,74.9,71.38,79.53,77.35,74.89,75.07,69.71,67.86,69.12,70.68,77.08,74.8,79.7,76.58,84.54,76.29,83.2,82.89,78.38,77.85,77.24,82.49,79.46
2018-02-26,74.06,76.92,81.99,73.85,82.35,72.17,79.54,76.1,84.61,85.15,81.31,75.96,87.78,84.49,90.01,76.97,77.33,79.52,80.82,85.46,84.06,79.23,76.05,NaN,82.84,77.19,83.68,83.45,75.39,79.55,81.57,81.22,81.34,93.11,84.97,73.08,78.39,86.68,83.43,82.44,81.51,83.39,81.89,79.26,84.35,79.93,77.11,81.55,71.45,74.94,73.4,72.02,72.75,82.39,76.07,73.05,74.65,71.36,66.96,68.8,69.01,76.76,74.04,77.86,76.38,84.43,75.81,83.5,82.04,76.58,76.58,75.21,81.64,77.55
2018-03-05,67.74,70.33,75.86,71.35,74.42,65.47,76.68,72.33,76.14,76.64,82.56,66.64,74.22,77.31,80.67,67.03,71.36,70.44,68.64,75.29,75.5,67.6,69.96,NaN,73.29,70.13,78.18,73.32,68.47,76.39,73.26,72.57,71.28,92.11,73.71,63.91,65.93,71.88,83.32,72.05,72.36,72.29,71.7,68.65,73.86,71.61,72.17,77.32,69.54,73.95,71.13,73.86,76.4,75.32,74.35,71.77,72.19,69.68,66.7,70.73,70.41,73.34,72.39,74.64,70.27,78.17,71.42,75.63,73.7,73.66,72.02,70.74,74.45,74.35
