日期,大里,彰化,沙鹿,二林,竹山,埔里,南投,豐原,線西,西屯,忠明,菜寮,富貴角,大同,觀音,士林,龍潭,萬里,陽明,板橋,林口,平鎮,汐止,基隆,永和,古亭,三重,松山,淡水,土城,中山,新莊,大園,中壢,新店,萬華,桃園,三義,頭份,竹東,湖口,新竹,苗栗,宜蘭,冬山,臺東,關山,花蓮,左營,復興,前金,仁武,鳳山,潮州,小港,橋頭,屏東,美濃,林園,恆春,楠梓,前鎮,大寮,麥寮,善化,斗六,臺西,新港,嘉義,臺南,朴子,安南,崙背,新營
2019-01-01,78.36,75.96,83.01,85.88,83.77,77.76,77.68,83.56,85.15,80.18,77.82,82.74,90.45,NaN,93.48,81.63,91.09,91.43,98.71,82.71,92.86,88.88,92.18,92.86,86.14,87.73,82.77,87.95,90.69,83.24,91.8,77.48,89.4,86.32,81.78,84.07,88.68,94.84,76.66,84.63,82.7,83.04,86.17,90.72,91.81,81.73,86.94,83.95,81.53,77.93,80.02,80.32,77.47,81.12,76.21,78.38,78.1,78.41,78.58,84.17,81.04,75.5,82.75,86.19,78.53,79.02,84.8,81.94,79.26,80.95,86.4,80.77,87.43,79.05
2019-01-08,74.93,75.03,82.74,86.17,80.28,72.38,74.19,80.83,84.71,78.08,75.07,77.4,87.15,NaN,91.38,79.27,88.14,89.11,98.96,77.62,90.86,87.51,87.85,91.39,81.79,81.04,77.7,82.54,86.7,77.4,85.23,71.61,86.62,84.38,78.32,78.63,85.61,97.94,75.32,82.61,80.95,81.64,85.58,84.1,87.98,77.63,81.45,79.61,80.55,75.77,78.21,78.14,72.67,79.01,73.03,75.84,75.07,74.25,77.65,86.97,78.15,73.83,79.85,87.7,77.57,76.71,84.83,81.88,77.67,79.8,86.7,79.92,88.08,78.2
2019-01-15,76.33,74.8,81.27,85.33,84.04,78.29,77.52,83.4,82.99,77.87,75.26,72.18,79.26,NaN,86.86,73.51,85.17,81.45,94.08,72.44,85.9,82.66,82.98,80.73,77.87,77.55,72.56,77.39,84.21,75.28,80.43,69.35,87.05,80.42,76.08,72.42,81.36,98.0,74.67,79.28,78.74,79.54,83.32,75.74,79.14,76.05,81.95,71.15,79.64,76.31,77.7,79.11,74.85,81.6,75.51,77.77,77.89,77.78,76.45,81.98,79.86,73.5,80.7,85.05,78.18,78.82,87.84,82.26,80.43,80.71,85.43,79.79,88.79,78.82
2019-01-22,66.89,64.08,71.4,74.44,72.09,67.43,68.4,73.31,71.32,65.94,62.93,61.58,67.11,NaN,72.14,64.95,74.21,70.91,95.86,62.0,73.54,69.99,70.92,68.68,69.58,66.4,62.62,66.01,73.22,65.2,69.94,58.79,68.43,68.41,67.83,61.83,70.66,84.63,63.95,71.73,66.84,67.86,71.24,69.62,71.67,72.31,78.48,71.85,71.45,68.6,69.53,70.07,64.34,72.65,62.55,69.3,68.01,69.71,68.62,79.48,70.87,65.09,71.3,75.78,70.79,69.57,81.4,72.58,70.09,71.52,74.95,69.74,74.04,71.46
2019-01-29,68.21,69.28,74.95,81.27,72.51,67.97,67.53,72.99,79.12,69.01,65.95,68.17,82.27,NaN,83.02,71.9,76.73,81.9,91.07,68.03,77.57,76.76,78.27,79.98,73.57,71.92,68.65,72.32,79.79,70.85,75.26,64.54,79.06,73.41,71.38,68.63,75.61,76.73,72.7,76.22,76.02,76.97,78.6,77.24,80.54,77.8,82.21,76.36,72.02,68.88,70.18,70.18,64.04,69.91,65.98,69.4,68.04,69.7,70.6,81.35,70.21,66.07,73.14,82.33,73.05,69.81,86.89,75.66,69.9,73.64,79.98,73.53,80.69,72.51
2019-02-05,70.76,68.98,75.78,79.63,75.62,67.49,70.58,77.18,77.75,73.82,70.44,76.01,90.18,NaN,86.3,78.75,88.34,92.21,96.88,76.52,91.77,86.79,88.79,92.98,82.29,81.55,76.01,82.08,86.24,77.56,84.17,72.49,90.04,83.93,79.54,77.61,84.83,85.67,74.8,82.86,81.33,81.79,81.14,79.59,82.35,78.72,80.82,77.26,76.23,71.97,74.27,74.38,68.24,67.0,69.46,71.64,70.9,71.11,71.98,80.25,74.08,69.9,75.33,80.23,75.89,71.53,86.46,75.12,71.65,74.33,80.16,72.39,81.31,74.05
2019-02-12,72.11,71.36,76.68,81.01,76.46,69.07,71.27,77.38,80.54,74.92,71.43,79.79,93.37,NaN,89.58,81.36,90.8,95.48,96.68,79.52,93.13,89.14,92.56,96.37,84.86,83.93,79.47,85.51,87.95,78.74,85.56,74.29,90.2,85.96,80.82,80.98,86.35,87.63,76.76,85.7,83.33,83.97,83.7,83.35,86.47,78.14,78.67,80.68,77.21,72.51,75.7,74.95,69.65,66.05,69.3,71.78,71.64,71.43,72.9,81.37,74.53,70.45,76.52,82.85,76.44,73.54,89.35,77.33,73.43,75.16,81.57,72.38,84.24,74.76
2019-02-19,76.29,76.38,79.2,86.01,82.8,74.67,76.05,82.71,83.7,79.52,76.11,81.55,88.22,NaN,88.6,82.97,91.11,90.01,94.99,79.89,93.35,88.95,89.74,91.39,84.82,84.11,81.3,84.84,89.08,80.52,86.63,75.49,85.95,86.26,81.75,81.3,86.86,88.65,78.61,87.64,82.52,83.74,87.54,82.48,84.49,76.73,81.15,82.22,77.07,73.85,76.68,75.57,70.73,66.56,74.28,74.7,73.17,73.07,72.02,79.01,75.85,71.85,78.99,85.72,78.61,78.64,89.33,81.97,78.5,78.33,86.48,77.52,88.24,78.6
2019-02-26,72.95,74.58,75.76,82.63,80.11,72.94,72.93,78.65,80.86,75.43,71.85,77.14,86.08,NaN,85.27,79.61,87.61,87.41,95.52,76.3,88.94,85.61,85.97,88.21,81.51,79.85,76.93,81.01,85.99,77.06,82.57,71.98,82.71,82.76,79.12,77.48,83.58,84.77,75.17,84.89,80.92,81.05,82.56,80.4,83.77,76.8,80.83,78.88,77.4,72.69,75.33,75.27,69.75,66.97,70.68,72.9,72.3,71.52,69.62,80.94,74.99,70.84,77.86,83.43,77.85,74.77,88.67,78.42,75.78,75.74,82.69,75.94,86.2,75.82
2019-03-05,83.76,80.58,81.63,89.58,90.44,84.11,85.3,87.52,83.88,83.85,82.24,80.57,83.42,NaN,85.38,80.61,90.3,84.74,95.07,79.36,90.54,87.29,87.13,86.0,83.96,84.13,80.73,83.24,NaN,80.79,86.31,75.85,83.7,85.43,81.38,80.1,87.24,91.66,78.76,88.68,82.29,83.93,88.3,78.61,81.76,83.79,87.97,84.4,82.05,78.03,80.64,81.17,77.15,72.26,82.2,80.89,80.01,83.41,76.58,81.23,82.68,76.05,85.11,86.39,84.04,84.15,88.31,85.82,85.68,84.34,90.61,85.04,89.15,83.65
