region,year,week,value
中彰投,2016,1,19.84
北北基桃竹苗,2016,1,18.81
宜花東,2016,1,21.12
雲嘉南,2016,1,20.5
高屏,2016,1,21.94
中彰投,2016,2,17.16
北北基桃竹苗,2016,2,15.84
宜花東,2016,2,18.25
雲嘉南,2016,2,18.04
高屏,2016,2,19.34
中彰投,2016,3,16.9
北北基桃竹苗,2016,3,15.5
宜花東,2016,3,17.91
雲嘉南,2016,3,17.83
高屏,2016,3,19.49
中彰投,2016,4,12.92
北北基桃竹苗,2016,4,12.09
宜花東,2016,4,14.35
雲嘉南,2016,4,13.87
高屏,2016,4,15.33
中彰投,2016,5,16.01
北北基桃竹苗,2016,5,14.87
宜花東,2016,5,17.98
雲嘉南,2016,5,16.76
高屏,2016,5,19.05
中彰投,2016,6,14.8
北北基桃竹苗,2016,6,14.13
宜花東,2016,6,16.59
雲嘉南,2016,6,15.57
高屏,2016,6,17.45
中彰投,2016,7,17.82
北北基桃竹苗,2016,7,15.78
宜花東,2016,7,18.08
雲嘉南,2016,7,18.66
高屏,2016,7,20.08
中彰投,2016,8,16.43
北北基桃竹苗,2016,8,14.44
宜花東,2016,8,17.77
雲嘉南,2016,8,17.71
高屏,2016,8,19.83
中彰投,2016,9,17.25
北北基桃竹苗,2016,9,15.91
宜花東,2016,9,18.0
雲嘉南,2016,9,18.21
高屏,2016,9,20.01
中彰投,2016,10,20.31
北北基桃竹苗,2016,10,18.97
宜花東,2016,10,21.11
雲嘉南,2016,10,21.44
高屏,2016,10,23.13
中彰投,2016,11,15.99
北北基桃竹苗,2016,11,14.76
宜花東,2016,11,17.6
雲嘉南,2016,11,17.41
高屏,2016,11,19.79
中彰投,2016,12,19.13
北北基桃竹苗,2016,12,17.62
宜花東,2016,12,20.34
雲嘉南,2016,12,20.57
高屏,2016,12,22.9
中彰投,2016,13,17.37
北北基桃竹苗,2016,13,15.65
宜花東,2016,13,17.56
雲嘉南,2016,13,18.34
高屏,2016,13,19.68
中彰投,2016,14,24.43
北北基桃竹苗,2016,14,23.32
宜花東,2016,14,24.3
雲嘉南,2016,14,25.43
高屏,2016,14,26.08
中彰投,2016,15,23.66
北北基桃竹苗,2016,15,21.78
宜花東,2016,15,24.11
雲嘉南,2016,15,24.87
高屏,2016,15,25.99
中彰投,2016,16,24.28
北北基桃竹苗,2016,16,22.99
宜花東,2016,16,24.79
雲嘉南,2016,16,25.6
高屏,2016,16,27.09
中彰投,2016,17,25.92
北北基桃竹苗,2016,17,24.99
宜花東,2016,17,26.06
雲嘉南,2016,17,27.17
高屏,2016,17,27.85
中彰投,2016,18,25.25
北北基桃竹苗,2016,18,24.8
宜花東,2016,18,25.34
雲嘉南,2016,18,26.62
高屏,2016,18,27.67
中彰投,2016,19,27.61
北北基桃竹苗,2016,19,26.56
宜花東,2016,19,27.12
雲嘉南,2016,19,28.61
高屏,2016,19,28.79
中彰投,2016,20,25.91
北北基桃竹苗,2016,20,24.43
宜花東,2016,20,25.48
雲嘉南,2016,20,26.9
高屏,2016,20,27.83
中彰投,2016,21,26.8
北北基桃竹苗,2016,21,25.79
宜花東,2016,21,26.31
雲嘉南,2016,21,27.62
高屏,2016,21,27.91
中彰投,2016,22,29.82
北北基桃竹苗,2016,22,29.57
宜花東,2016,22,29.32
雲嘉南,2016,22,30.17
高屏,2016,22,30.42
中彰投,2016,23,28.47
北北基桃竹苗,2016,23,28.23
宜花東,2016,23,28.17
雲嘉南,2016,23,28.98
高屏,2016,23,29.14
中彰投,2016,24,27.24
北北基桃竹苗,2016,24,27.83
宜花東,2016,24,27.34
雲嘉南,2016,24,27.47
高屏,2016,24,27.27
中彰投,2016,25,29.28
北北基桃竹苗,2016,25,29.4
宜花東,2016,25,29.22
雲嘉南,2016,25,29.86
高屏,2016,25,30.0
中彰投,2016,26,29.69
北北基桃竹苗,2016,26,29.68
宜花東,2016,26,29.72
雲嘉南,2016,26,30.57
高屏,2016,26,30.8
中彰投,2016,27,29.17
北北基桃竹苗,2016,27,29.56
宜花東,2016,27,29.88
雲嘉南,2016,27,29.93
高屏,2016,27,30.43
中彰投,2016,28,28.65
北北基桃竹苗,2016,28,29.13
宜花東,2016,28,28.37
雲嘉南,2016,28,28.13
高屏,2016,28,28.01
中彰投,2016,29,29.51
北北基桃竹苗,2016,29,29.79
宜花東,2016,29,29.92
雲嘉南,2016,29,29.99
高屏,2016,29,29.75
中彰投,2016,30,30.26
北北基桃竹苗,2016,30,30.32
宜花東,2016,30,30.13
雲嘉南,2016,30,30.86
高屏,2016,30,30.36
中彰投,2016,31,29.6
北北基桃竹苗,2016,31,30.22
宜花東,2016,31,29.19
雲嘉南,2016,31,29.87
高屏,2016,31,29.29
中彰投,2016,32,29.42
北北基桃竹苗,2016,32,29.53
宜花東,2016,32,29.47
雲嘉南,2016,32,29.86
高屏,2016,32,29.2
中彰投,2016,33,27.93
北北基桃竹苗,2016,33,28.91
宜花東,2016,33,28.22
雲嘉南,2016,33,28.27
高屏,2016,33,27.3
中彰投,2016,34,29.49
北北基桃竹苗,2016,34,29.6
宜花東,2016,34,29.22
雲嘉南,2016,34,29.82
高屏,2016,34,29.11
中彰投,2016,35,28.77
北北基桃竹苗,2016,35,28.27
宜花東,2016,35,27.84
雲嘉南,2016,35,29.2
高屏,2016,35,28.73
中彰投,2016,36,27.66
北北基桃竹苗,2016,36,28.33
宜花東,2016,36,27.87
雲嘉南,2016,36,27.07
高屏,2016,36,27.01
中彰投,2016,37,27.96
北北基桃竹苗,2016,37,27.59
宜花東,2016,37,27.33
雲嘉南,2016,37,28.23
高屏,2016,37,28.92
中彰投,2016,38,27.52
北北基桃竹苗,2016,38,26.52
宜花東,2016,38,26.8
雲嘉南,2016,38,28.08
高屏,2016,38,28.5
中彰投,2016,39,27.77
北北基桃竹苗,2016,39,27.19
宜花東,2016,39,27.32
雲嘉南,2016,39,27.97
高屏,2016,39,28.32
中彰投,2016,40,28.18
北北基桃竹苗,2016,40,27.76
宜花東,2016,40,27.11
雲嘉南,2016,40,28.06
高屏,2016,40,27.8
中彰投,2016,41,25.77
北北基桃竹苗,2016,41,24.52
宜花東,2016,41,25.32
雲嘉南,2016,41,26.18
高屏,2016,41,26.54
中彰投,2016,42,28.03
北北基桃竹苗,2016,42,27.59
宜花東,2016,42,27.04
雲嘉南,2016,42,28.11
高屏,2016,42,28.19
中彰投,2016,43,28.04
北北基桃竹苗,2016,43,27.64
宜花東,2016,43,27.49
雲嘉南,2016,43,28.78
高屏,2016,43,28.91
中彰投,2016,44,24.84
北北基桃竹苗,2016,44,22.99
宜花東,2016,44,24.45
雲嘉南,2016,44,25.52
高屏,2016,44,26.67
中彰投,2016,45,23.66
北北基桃竹苗,2016,45,22.06
宜花東,2016,45,22.99
雲嘉南,2016,45,24.47
高屏,2016,45,25.2
中彰投,2016,46,24.31
北北基桃竹苗,2016,46,23.65
宜花東,2016,46,23.9
雲嘉南,2016,46,24.92
高屏,2016,46,25.75
中彰投,2016,47,23.52
北北基桃竹苗,2016,47,22.27
宜花東,2016,47,23.35
雲嘉南,2016,47,24.42
高屏,2016,47,25.53
中彰投,2016,48,21.38
北北基桃竹苗,2016,48,20.39
宜花東,2016,48,21.27
雲嘉南,2016,48,21.83
高屏,2016,48,22.95
中彰投,2016,49,21.8
北北基桃竹苗,2016,49,20.4
宜花東,2016,49,22.05
雲嘉南,2016,49,22.08
高屏,2016,49,23.59
中彰投,2016,50,20.68
北北基桃竹苗,2016,50,19.13
宜花東,2016,50,20.58
雲嘉南,2016,50,21.27
高屏,2016,50,22.51
中彰投,2016,51,20.12
北北基桃竹苗,2016,51,19.85
宜花東,2016,51,20.41
雲嘉南,2016,51,20.78
高屏,2016,51,21.82
中彰投,2016,52,18.87
北北基桃竹苗,2016,52,17.87
宜花東,2016,52,19.31
雲嘉南,2016,52,19.28
高屏,2016,52,20.66
中彰投,2017,1,20.73
北北基桃竹苗,2017,1,21.03
宜花東,2017,1,22.06
雲嘉南,2017,1,21.13
高屏,2017,1,22.32
中彰投,2017,2,19.1
北北基桃竹苗,2017,2,17.74
宜花東,2017,2,19.33
雲嘉南,2017,2,19.98
高屏,2017,2,21.74
中彰投,2017,3,17.37
北北基桃竹苗,2017,3,16.11
宜花東,2017,3,18.07
雲嘉南,2017,3,18.46
高屏,2017,3,20.25
中彰投,2017,4,16.91
北北基桃竹苗,2017,4,15.9
宜花東,2017,4,17.55
雲嘉南,2017,4,17.88
高屏,2017,4,19.5
中彰投,2017,5,18.83
北北基桃竹苗,2017,5,17.78
宜花東,2017,5,19.39
雲嘉南,2017,5,19.36
高屏,2017,5,20.81
中彰投,2017,6,16.3
北北基桃竹苗,2017,6,15.05
宜花東,2017,6,17.06
雲嘉南,2017,6,17.11
高屏,2017,6,18.74
中彰投,2017,7,17.66
北北基桃竹苗,2017,7,17.37
宜花東,2017,7,18.08
雲嘉南,2017,7,18.37
高屏,2017,7,19.85
中彰投,2017,8,18.69
北北基桃竹苗,2017,8,17.25
宜花東,2017,8,20.01
雲嘉南,2017,8,20.17
高屏,2017,8,22.72
中彰投,2017,9,17.06
北北基桃竹苗,2017,9,15.48
宜花東,2017,9,17.68
雲嘉南,2017,9,18.57
高屏,2017,9,20.65
中彰投,2017,10,18.52
北北基桃竹苗,2017,10,16.61
宜花東,2017,10,18.55
雲嘉南,2017,10,19.9
高屏,2017,10,21.64
中彰投,2017,11,19.6
北北基桃竹苗,2017,11,17.46
宜花東,2017,11,20.03
雲嘉南,2017,11,21.41
高屏,2017,11,22.83
中彰投,2017,12,21.7
北北基桃竹苗,2017,12,19.44
宜花東,2017,12,21.77
雲嘉南,2017,12,23.23
高屏,2017,12,24.81
中彰投,2017,13,19.78
北北基桃竹苗,2017,13,18.56
宜花東,2017,13,19.7
雲嘉南,2017,13,21.34
高屏,2017,13,22.07
中彰投,2017,14,22.12
北北基桃竹苗,2017,14,21.67
宜花東,2017,14,21.89
雲嘉南,2017,14,23.42
高屏,2017,14,23.95
中彰投,2017,15,23.86
北北基桃竹苗,2017,15,22.53
宜花東,2017,15,23.2
雲嘉南,2017,15,24.65
高屏,2017,15,25.54
中彰投,2017,16,25.73
北北基桃竹苗,2017,16,24.56
宜花東,2017,16,25.23
雲嘉南,2017,16,26.86
高屏,2017,16,27.1
中彰投,2017,17,22.35
北北基桃竹苗,2017,17,20.88
宜花東,2017,17,21.77
雲嘉南,2017,17,23.52
高屏,2017,17,24.45
中彰投,2017,18,26.0
北北基桃竹苗,2017,18,25.07
宜花東,2017,18,25.35
雲嘉南,2017,18,27.21
高屏,2017,18,27.61
中彰投,2017,19,27.69
北北基桃竹苗,2017,19,26.17
宜花東,2017,19,27.06
雲嘉南,2017,19,28.69
高屏,2017,19,28.89
中彰投,2017,20,25.43
北北基桃竹苗,2017,20,24.43
宜花東,2017,20,24.34
雲嘉南,2017,20,26.27
高屏,2017,20,26.72
中彰投,2017,21,26.77
北北基桃竹苗,2017,21,24.83
宜花東,2017,21,25.08
雲嘉南,2017,21,27.79
高屏,2017,21,27.82
中彰投,2017,22,26.97
北北基桃竹苗,2017,22,26.44
宜花東,2017,22,25.89
雲嘉南,2017,22,27.73
高屏,2017,22,28.0
中彰投,2017,23,28.46
北北基桃竹苗,2017,23,28.02
宜花東,2017,23,27.84
雲嘉南,2017,23,29.39
高屏,2017,23,29.31
中彰投,2017,24,27.2
北北基桃竹苗,2017,24,25.97
宜花東,2017,24,27.13
雲嘉南,2017,24,28.4
高屏,2017,24,28.43
