region,year,week,value
中彰投,2016,1,120.87
北北基桃竹苗,2016,1,134.85
宜花東,2016,1,75.7
雲嘉南,2016,1,119.05
高屏,2016,1,114.13
中彰投,2016,2,106.74
北北基桃竹苗,2016,2,111.24
宜花東,2016,2,72.47
雲嘉南,2016,2,109.71
高屏,2016,2,113.72
中彰投,2016,3,126.92
北北基桃竹苗,2016,3,121.71
宜花東,2016,3,79.86
雲嘉南,2016,3,134.38
高屏,2016,3,127.54
中彰投,2016,4,109.8
北北基桃竹苗,2016,4,114.24
宜花東,2016,4,70.88
雲嘉南,2016,4,105.26
高屏,2016,4,118.18
中彰投,2016,5,107.68
北北基桃竹苗,2016,5,108.86
宜花東,2016,5,71.46
雲嘉南,2016,5,107.41
高屏,2016,5,115.17
中彰投,2016,6,94.58
北北基桃竹苗,2016,6,111.42
宜花東,2016,6,62.7
雲嘉南,2016,6,95.77
高屏,2016,6,90.48
中彰投,2016,7,103.13
北北基桃竹苗,2016,7,109.14
宜花東,2016,7,64.97
雲嘉南,2016,7,114.12
高屏,2016,7,104.98
中彰投,2016,8,122.84
北北基桃竹苗,2016,8,103.21
宜花東,2016,8,67.12
雲嘉南,2016,8,119.12
高屏,2016,8,122.05
中彰投,2016,9,129.33
北北基桃竹苗,2016,9,124.4
宜花東,2016,9,64.04
雲嘉南,2016,9,116.16
高屏,2016,9,112.5
中彰投,2016,10,122.79
北北基桃竹苗,2016,10,145.01
宜花東,2016,10,62.73
雲嘉南,2016,10,113.97
高屏,2016,10,110.32
中彰投,2016,11,145.85
北北基桃竹苗,2016,11,150.04
宜花東,2016,11,78.26
雲嘉南,2016,11,138.01
高屏,2016,11,127.46
中彰投,2016,12,129.02
北北基桃竹苗,2016,12,138.74
宜花東,2016,12,73.58
雲嘉南,2016,12,112.4
高屏,2016,12,105.62
中彰投,2016,13,119.73
北北基桃竹苗,2016,13,153.45
宜花東,2016,13,71.31
雲嘉南,2016,13,112.52
高屏,2016,13,109.69
中彰投,2016,14,97.01
北北基桃竹苗,2016,14,139.94
宜花東,2016,14,63.12
雲嘉南,2016,14,81.68
高屏,2016,14,80.77
中彰投,2016,15,101.06
北北基桃竹苗,2016,15,129.05
宜花東,2016,15,66.57
雲嘉南,2016,15,80.06
高屏,2016,15,82.36
中彰投,2016,16,96.18
北北基桃竹苗,2016,16,127.27
宜花東,2016,16,60.02
雲嘉南,2016,16,77.58
高屏,2016,16,72.05
中彰投,2016,17,80.35
北北基桃竹苗,2016,17,106.35
宜花東,2016,17,52.38
雲嘉南,2016,17,69.16
高屏,2016,17,64.93
中彰投,2016,18,88.9
北北基桃竹苗,2016,18,119.57
宜花東,2016,18,55.51
雲嘉南,2016,18,77.73
高屏,2016,18,65.99
中彰投,2016,19,78.17
北北基桃竹苗,2016,19,103.8
宜花東,2016,19,47.25
雲嘉南,2016,19,68.44
高屏,2016,19,57.56
中彰投,2016,20,82.66
北北基桃竹苗,2016,20,92.09
宜花東,2016,20,46.19
雲嘉南,2016,20,76.07
高屏,2016,20,70.28
中彰投,2016,21,94.19
北北基桃竹苗,2016,21,120.27
宜花東,2016,21,52.65
雲嘉南,2016,21,72.11
高屏,2016,21,62.82
中彰投,2016,22,48.77
北北基桃竹苗,2016,22,84.1
宜花東,2016,22,42.88
雲嘉南,2016,22,43.9
高屏,2016,22,45.49
中彰投,2016,23,56.71
北北基桃竹苗,2016,23,90.85
宜花東,2016,23,42.77
雲嘉南,2016,23,47.69
高屏,2016,23,48.22
中彰投,2016,24,50.55
北北基桃竹苗,2016,24,76.64
宜花東,2016,24,47.12
雲嘉南,2016,24,51.97
高屏,2016,24,52.85
中彰投,2016,25,53.8
北北基桃竹苗,2016,25,87.4
宜花東,2016,25,37.68
雲嘉南,2016,25,52.99
高屏,2016,25,45.65
中彰投,2016,26,55.18
北北基桃竹苗,2016,26,89.71
宜花東,2016,26,37.25
雲嘉南,2016,26,49.99
高屏,2016,26,38.21
中彰投,2016,27,58.6
北北基桃竹苗,2016,27,72.96
宜花東,2016,27,34.7
雲嘉南,2016,27,52.62
高屏,2016,27,48.24
中彰投,2016,28,42.06
北北基桃竹苗,2016,28,75.8
宜花東,2016,28,38.11
雲嘉南,2016,28,38.96
高屏,2016,28,41.18
中彰投,2016,29,48.75
北北基桃竹苗,2016,29,83.36
宜花東,2016,29,41.07
雲嘉南,2016,29,42.72
高屏,2016,29,44.35
中彰投,2016,30,55.06
北北基桃竹苗,2016,30,92.45
宜花東,2016,30,38.89
雲嘉南,2016,30,43.96
高屏,2016,30,50.58
中彰投,2016,31,62.6
北北基桃竹苗,2016,31,81.14
宜花東,2016,31,39.39
雲嘉南,2016,31,54.72
高屏,2016,31,49.5
中彰投,2016,32,61.95
北北基桃竹苗,2016,32,82.29
宜花東,2016,32,39.06
雲嘉南,2016,32,52.0
高屏,2016,32,54.03
中彰投,2016,33,61.91
北北基桃竹苗,2016,33,81.71
宜花東,2016,33,41.68
雲嘉南,2016,33,56.84
高屏,2016,33,51.59
中彰投,2016,34,58.66
北北基桃竹苗,2016,34,84.91
宜花東,2016,34,41.65
雲嘉南,2016,34,48.95
高屏,2016,34,56.6
中彰投,2016,35,73.84
北北基桃竹苗,2016,35,101.6
宜花東,2016,35,49.56
雲嘉南,2016,35,62.69
高屏,2016,35,63.32
中彰投,2016,36,61.39
北北基桃竹苗,2016,36,91.66
宜花東,2016,36,46.0
雲嘉南,2016,36,55.86
高屏,2016,36,61.86
中彰投,2016,37,66.16
北北基桃竹苗,2016,37,80.17
宜花東,2016,37,37.2
雲嘉南,2016,37,51.77
高屏,2016,37,47.4
中彰投,2016,38,75.18
北北基桃竹苗,2016,38,73.17
宜花東,2016,38,42.86
雲嘉南,2016,38,70.34
高屏,2016,38,64.89
中彰投,2016,39,73.27
北北基桃竹苗,2016,39,68.67
宜花東,2016,39,37.02
雲嘉南,2016,39,60.92
高屏,2016,39,60.83
中彰投,2016,40,86.18
北北基桃竹苗,2016,40,79.33
宜花東,2016,40,43.03
雲嘉南,2016,40,77.12
高屏,2016,40,76.32
中彰投,2016,41,73.9
北北基桃竹苗,2016,41,80.38
宜花東,2016,41,46.09
雲嘉南,2016,41,76.85
高屏,2016,41,71.79
中彰投,2016,42,97.77
北北基桃竹苗,2016,42,68.74
宜花東,2016,42,42.62
雲嘉南,2016,42,83.4
高屏,2016,42,83.68
中彰投,2016,43,94.35
北北基桃竹苗,2016,43,110.62
宜花東,2016,43,47.5
雲嘉南,2016,43,70.38
高屏,2016,43,67.61
中彰投,2016,44,85.82
北北基桃竹苗,2016,44,77.87
宜花東,2016,44,46.32
雲嘉南,2016,44,90.5
高屏,2016,44,96.32
中彰投,2016,45,108.27
北北基桃竹苗,2016,45,108.89
宜花東,2016,45,55.28
雲嘉南,2016,45,98.2
高屏,2016,45,94.69
中彰投,2016,46,128.87
北北基桃竹苗,2016,46,122.84
宜花東,2016,46,60.48
雲嘉南,2016,46,113.99
高屏,2016,46,105.48
中彰投,2016,47,116.04
北北基桃竹苗,2016,47,119.19
宜花東,2016,47,60.19
雲嘉南,2016,47,113.48
高屏,2016,47,116.41
中彰投,2016,48,109.63
北北基桃竹苗,2016,48,91.96
宜花東,2016,48,65.56
雲嘉南,2016,48,108.24
高屏,2016,48,107.79
中彰投,2016,49,114.45
北北基桃竹苗,2016,49,93.69
宜花東,2016,49,66.08
雲嘉南,2016,49,116.43
高屏,2016,49,126.48
中彰投,2016,50,115.4
北北基桃竹苗,2016,50,99.0
宜花東,2016,50,64.95
雲嘉南,2016,50,118.92
高屏,2016,50,119.26
中彰投,2016,51,130.3
北北基桃竹苗,2016,51,123.88
宜花東,2016,51,68.1
雲嘉南,2016,51,125.83
高屏,2016,51,129.29
中彰投,2016,52,115.79
北北基桃竹苗,2016,52,96.12
宜花東,2016,52,64.97
雲嘉南,2016,52,120.57
高屏,2016,52,120.58
中彰投,2017,1,115.75
北北基桃竹苗,2017,1,121.27
宜花東,2017,1,62.6
雲嘉南,2017,1,105.08
高屏,2017,1,110.03
中彰投,2017,2,118.31
北北基桃竹苗,2017,2,99.88
宜花東,2017,2,69.04
雲嘉南,2017,2,117.9
高屏,2017,2,125.28
中彰投,2017,3,100.35
北北基桃竹苗,2017,3,97.55
宜花東,2017,3,65.32
雲嘉南,2017,3,105.2
高屏,2017,3,120.91
中彰投,2017,4,104.06
北北基桃竹苗,2017,4,83.91
宜花東,2017,4,62.43
雲嘉南,2017,4,104.28
高屏,2017,4,120.22
中彰投,2017,5,81.86
北北基桃竹苗,2017,5,86.27
宜花東,2017,5,51.57
雲嘉南,2017,5,79.77
高屏,2017,5,102.55
中彰投,2017,6,97.31
北北基桃竹苗,2017,6,85.51
宜花東,2017,6,59.53
雲嘉南,2017,6,100.95
高屏,2017,6,115.79
中彰投,2017,7,123.13
北北基桃竹苗,2017,7,117.94
宜花東,2017,7,64.26
雲嘉南,2017,7,107.29
高屏,2017,7,112.86
中彰投,2017,8,113.51
北北基桃竹苗,2017,8,120.05
宜花東,2017,8,69.48
雲嘉南,2017,8,104.95
高屏,2017,8,109.57
中彰投,2017,9,115.65
北北基桃竹苗,2017,9,126.75
宜花東,2017,9,66.94
雲嘉南,2017,9,105.05
高屏,2017,9,107.09
中彰投,2017,10,124.49
北北基桃竹苗,2017,10,135.21
宜花東,2017,10,76.18
雲嘉南,2017,10,115.16
高屏,2017,10,116.21
中彰投,2017,11,113.32
北北基桃竹苗,2017,11,114.44
宜花東,2017,11,62.11
雲嘉南,2017,11,104.72
高屏,2017,11,98.22
中彰投,2017,12,107.79
北北基桃竹苗,2017,12,113.53
宜花東,2017,12,58.2
雲嘉南,2017,12,94.16
高屏,2017,12,85.7
中彰投,2017,13,110.99
北北基桃竹苗,2017,13,131.26
宜花東,2017,13,62.33
雲嘉南,2017,13,103.75
高屏,2017,13,91.72
中彰投,2017,14,98.52
北北基桃竹苗,2017,14,124.91
宜花東,2017,14,56.24
雲嘉南,2017,14,85.22
高屏,2017,14,76.08
中彰投,2017,15,107.12
北北基桃竹苗,2017,15,125.15
宜花東,2017,15,60.32
雲嘉南,2017,15,92.3
高屏,2017,15,84.24
中彰投,2017,16,72.54
北北基桃竹苗,2017,16,106.27
宜花東,2017,16,48.9
雲嘉南,2017,16,63.11
高屏,2017,16,62.36
中彰投,2017,17,106.7
