region,year,week,value
中彰投,2016,1,172.0
北北基桃竹苗,2016,1,214.92
宜花東,2016,1,107.31
雲嘉南,2016,1,153.79
高屏,2016,1,150.45
中彰投,2016,2,128.1
北北基桃竹苗,2016,2,149.89
宜花東,2016,2,94.06
雲嘉南,2016,2,126.89
高屏,2016,2,140.26
中彰投,2016,3,158.57
北北基桃竹苗,2016,3,165.65
宜花東,2016,3,107.27
雲嘉南,2016,3,161.61
高屏,2016,3,162.28
中彰投,2016,4,145.09
北北基桃竹苗,2016,4,187.82
宜花東,2016,4,100.78
雲嘉南,2016,4,127.47
高屏,2016,4,146.32
中彰投,2016,5,138.13
北北基桃竹苗,2016,5,153.93
宜花東,2016,5,95.86
雲嘉南,2016,5,128.08
高屏,2016,5,147.22
中彰投,2016,6,113.15
北北基桃竹苗,2016,6,145.67
宜花東,2016,6,79.04
雲嘉南,2016,6,108.99
高屏,2016,6,107.43
中彰投,2016,7,128.6
北北基桃竹苗,2016,7,154.03
宜花東,2016,7,86.36
雲嘉南,2016,7,139.95
高屏,2016,7,134.58
中彰投,2016,8,147.31
北北基桃竹苗,2016,8,139.12
宜花東,2016,8,84.59
雲嘉南,2016,8,136.5
高屏,2016,8,142.51
中彰投,2016,9,156.07
北北基桃竹苗,2016,9,163.71
宜花東,2016,9,81.11
雲嘉南,2016,9,134.04
高屏,2016,9,130.55
中彰投,2016,10,150.75
北北基桃竹苗,2016,10,211.87
宜花東,2016,10,84.67
雲嘉南,2016,10,135.32
高屏,2016,10,133.42
中彰投,2016,11,187.41
北北基桃竹苗,2016,11,228.88
宜花東,2016,11,105.07
雲嘉南,2016,11,166.75
高屏,2016,11,165.67
中彰投,2016,12,163.83
北北基桃竹苗,2016,12,217.57
宜花東,2016,12,100.88
雲嘉南,2016,12,133.14
高屏,2016,12,129.13
中彰投,2016,13,136.27
北北基桃竹苗,2016,13,197.63
宜花東,2016,13,87.6
雲嘉南,2016,13,126.28
高屏,2016,13,128.05
中彰投,2016,14,115.56
北北基桃竹苗,2016,14,186.88
宜花東,2016,14,80.11
雲嘉南,2016,14,95.78
高屏,2016,14,96.86
中彰投,2016,15,119.31
北北基桃竹苗,2016,15,168.04
宜花東,2016,15,83.55
雲嘉南,2016,15,93.83
高屏,2016,15,100.63
中彰投,2016,16,113.34
北北基桃竹苗,2016,16,174.7
宜花東,2016,16,78.73
雲嘉南,2016,16,93.74
高屏,2016,16,93.31
中彰投,2016,17,96.22
北北基桃竹苗,2016,17,143.84
宜花東,2016,17,70.37
雲嘉南,2016,17,83.57
高屏,2016,17,81.39
中彰投,2016,18,105.59
北北基桃竹苗,2016,18,151.34
宜花東,2016,18,71.35
雲嘉南,2016,18,93.61
高屏,2016,18,82.58
中彰投,2016,19,95.19
北北基桃竹苗,2016,19,141.91
宜花東,2016,19,63.2
雲嘉南,2016,19,82.91
高屏,2016,19,75.5
中彰投,2016,20,96.3
北北基桃竹苗,2016,20,117.22
宜花東,2016,20,60.31
雲嘉南,2016,20,88.05
高屏,2016,20,84.14
中彰投,2016,21,110.68
北北基桃竹苗,2016,21,160.9
宜花東,2016,21,69.66
雲嘉南,2016,21,85.59
高屏,2016,21,76.4
中彰投,2016,22,62.56
北北基桃竹苗,2016,22,119.61
宜花東,2016,22,59.21
雲嘉南,2016,22,56.53
高屏,2016,22,62.72
中彰投,2016,23,71.01
北北基桃竹苗,2016,23,127.17
宜花東,2016,23,58.07
雲嘉南,2016,23,59.91
高屏,2016,23,63.9
中彰投,2016,24,65.43
北北基桃竹苗,2016,24,125.72
宜花東,2016,24,67.12
雲嘉南,2016,24,69.86
高屏,2016,24,76.42
中彰投,2016,25,69.66
北北基桃竹苗,2016,25,124.64
宜花東,2016,25,57.28
雲嘉南,2016,25,69.89
高屏,2016,25,66.43
中彰投,2016,26,71.4
北北基桃竹苗,2016,26,126.66
宜花東,2016,26,57.48
雲嘉南,2016,26,67.26
高屏,2016,26,58.35
中彰投,2016,27,72.83
北北基桃竹苗,2016,27,109.34
宜花東,2016,27,55.18
雲嘉南,2016,27,68.52
高屏,2016,27,64.85
中彰投,2016,28,56.31
北北基桃竹苗,2016,28,109.44
宜花東,2016,28,55.48
雲嘉南,2016,28,51.48
高屏,2016,28,56.7
中彰投,2016,29,64.99
北北基桃竹苗,2016,29,123.2
宜花東,2016,29,59.37
雲嘉南,2016,29,58.0
高屏,2016,29,62.02
中彰投,2016,30,68.97
北北基桃竹苗,2016,30,123.29
宜花東,2016,30,55.43
雲嘉南,2016,30,56.58
高屏,2016,30,67.25
中彰投,2016,31,75.81
北北基桃竹苗,2016,31,109.47
宜花東,2016,31,55.97
雲嘉南,2016,31,67.08
高屏,2016,31,64.66
中彰投,2016,32,74.95
北北基桃竹苗,2016,32,116.25
宜花東,2016,32,54.23
雲嘉南,2016,32,63.08
高屏,2016,32,68.26
中彰投,2016,33,77.57
北北基桃竹苗,2016,33,113.32
宜花東,2016,33,57.72
雲嘉南,2016,33,70.76
高屏,2016,33,68.94
中彰投,2016,34,69.71
北北基桃竹苗,2016,34,117.01
宜花東,2016,34,58.36
雲嘉南,2016,34,61.38
高屏,2016,34,73.43
中彰投,2016,35,83.75
北北基桃竹苗,2016,35,126.15
宜花東,2016,35,63.29
雲嘉南,2016,35,71.12
高屏,2016,35,77.0
中彰投,2016,36,76.33
北北基桃竹苗,2016,36,127.35
宜花東,2016,36,64.9
雲嘉南,2016,36,72.05
高屏,2016,36,84.0
中彰投,2016,37,90.12
北北基桃竹苗,2016,37,121.36
宜花東,2016,37,57.06
雲嘉南,2016,37,69.57
高屏,2016,37,66.95
中彰投,2016,38,91.42
