region,year,week,value
中彰投,2016,1,131.39
北北基桃竹苗,2016,1,140.31
宜花東,2016,1,152.91
雲嘉南,2016,1,144.34
高屏,2016,1,154.96
中彰投,2016,2,175.08
北北基桃竹苗,2016,2,201.74
宜花東,2016,2,188.6
雲嘉南,2016,2,184.92
高屏,2016,2,179.59
中彰投,2016,3,148.15
北北基桃竹苗,2016,3,184.2
宜花東,2016,3,166.01
雲嘉南,2016,3,153.27
高屏,2016,3,174.08
中彰投,2016,4,165.63
北北基桃竹苗,2016,4,177.5
宜花東,2016,4,174.33
雲嘉南,2016,4,181.36
高屏,2016,4,177.33
中彰投,2016,5,157.54
北北基桃竹苗,2016,5,189.69
宜花東,2016,5,181.16
雲嘉南,2016,5,164.13
高屏,2016,5,154.42
中彰投,2016,6,270.51
北北基桃竹苗,2016,6,263.59
宜花東,2016,6,258.34
雲嘉南,2016,6,283.87
高屏,2016,6,276.11
中彰投,2016,7,146.33
北北基桃竹苗,2016,7,171.78
宜花東,2016,7,172.56
雲嘉南,2016,7,141.21
高屏,2016,7,151.03
中彰投,2016,8,190.15
北北基桃竹苗,2016,8,235.55
宜花東,2016,8,237.38
雲嘉南,2016,8,209.53
高屏,2016,8,225.4
中彰投,2016,9,218.7
北北基桃竹苗,2016,9,243.62
宜花東,2016,9,247.66
雲嘉南,2016,9,245.86
高屏,2016,9,269.39
中彰投,2016,10,177.2
北北基桃竹苗,2016,10,164.37
宜花東,2016,10,174.75
雲嘉南,2016,10,179.92
高屏,2016,10,212.85
中彰投,2016,11,143.67
北北基桃竹苗,2016,11,185.53
宜花東,2016,11,198.04
雲嘉南,2016,11,154.09
高屏,2016,11,166.05
中彰投,2016,12,159.74
北北基桃竹苗,2016,12,216.82
宜花東,2016,12,208.33
雲嘉南,2016,12,169.27
高屏,2016,12,180.66
中彰投,2016,13,309.01
北北基桃竹苗,2016,13,285.31
宜花東,2016,13,293.78
雲嘉南,2016,13,317.87
高屏,2016,13,298.81
中彰投,2016,14,213.58
