region,year,week,value
中彰投,2016,1,365.03
北北基桃竹苗,2016,1,332.04
宜花東,2016,1,200.73
雲嘉南,2016,1,485.63
高屏,2016,1,426.88
中彰投,2016,2,298.23
北北基桃竹苗,2016,2,272.55
宜花東,2016,2,197.23
雲嘉南,2016,2,386.85
高屏,2016,2,378.82
中彰投,2016,3,307.85
北北基桃竹苗,2016,3,285.22
宜花東,2016,3,220.85
雲嘉南,2016,3,417.0
高屏,2016,3,429.05
中彰投,2016,4,276.77
北北基桃竹苗,2016,4,246.91
宜花東,2016,4,182.84
雲嘉南,2016,4,349.34
高屏,2016,4,337.32
中彰投,2016,5,209.2
北北基桃竹苗,2016,5,165.17
宜花東,2016,5,140.74
雲嘉南,2016,5,289.2
高屏,2016,5,332.59
中彰投,2016,6,435.61
北北基桃竹苗,2016,6,399.46
宜花東,2016,6,317.09
雲嘉南,2016,6,554.93
高屏,2016,6,433.4
中彰投,2016,7,278.16
北北基桃竹苗,2016,7,232.96
宜花東,2016,7,183.26
雲嘉南,2016,7,354.57
高屏,2016,7,344.66
中彰投,2016,8,442.57
北北基桃竹苗,2016,8,363.63
宜花東,2016,8,297.03
雲嘉南,2016,8,587.74
高屏,2016,8,543.17
中彰投,2016,9,449.51
北北基桃竹苗,2016,9,309.12
宜花東,2016,9,275.46
雲嘉南,2016,9,580.22
高屏,2016,9,526.72
中彰投,2016,10,390.26
北北基桃竹苗,2016,10,322.43
宜花東,2016,10,203.66
雲嘉南,2016,10,443.23
高屏,2016,10,395.03
中彰投,2016,11,276.42
北北基桃竹苗,2016,11,247.9
宜花東,2016,11,189.64
雲嘉南,2016,11,372.67
高屏,2016,11,375.13
中彰投,2016,12,392.15
北北基桃竹苗,2016,12,320.83
宜花東,2016,12,260.87
雲嘉南,2016,12,471.12
高屏,2016,12,407.02
中彰投,2016,13,441.31
北北基桃竹苗,2016,13,430.74
宜花東,2016,13,321.75
雲嘉南,2016,13,538.36
高屏,2016,13,421.95
中彰投,2016,14,506.85
北北基桃竹苗,2016,14,457.48
宜花東,2016,14,321.71
雲嘉南,2016,14,496.74
高屏,2016,14,392.32
中彰投,2016,15,334.24
北北基桃竹苗,2016,15,286.73
宜花東,2016,15,228.39
雲嘉南,2016,15,348.95
高屏,2016,15,255.55
中彰投,2016,16,330.7
北北基桃竹苗,2016,16,302.26
宜花東,2016,16,227.75
雲嘉南,2016,16,344.41
高屏,2016,16,288.12
中彰投,2016,17,298.28
北北基桃竹苗,2016,17,329.19
宜花東,2016,17,239.33
雲嘉南,2016,17,307.34
高屏,2016,17,244.38
中彰投,2016,18,380.33
北北基桃竹苗,2016,18,419.81
宜花東,2016,18,335.01
雲嘉南,2016,18,443.95
高屏,2016,18,382.73
中彰投,2016,19,264.22
北北基桃竹苗,2016,19,277.64
宜花東,2016,19,204.21
雲嘉南,2016,19,278.78
高屏,2016,19,214.21
中彰投,2016,20,315.61
北北基桃竹苗,2016,20,251.3
宜花東,2016,20,183.11
雲嘉南,2016,20,378.69
高屏,2016,20,303.69
中彰投,2016,21,318.04
北北基桃竹苗,2016,21,270.82
宜花東,2016,21,178.52
雲嘉南,2016,21,340.55
高屏,2016,21,239.91
中彰投,2016,22,204.3
北北基桃竹苗,2016,22,230.18
宜花東,2016,22,190.97
雲嘉南,2016,22,220.74
高屏,2016,22,193.83
中彰投,2016,23,190.53
北北基桃竹苗,2016,23,221.92
宜花東,2016,23,161.98
雲嘉南,2016,23,208.38
高屏,2016,23,190.95
中彰投,2016,24,153.1
北北基桃竹苗,2016,24,167.61
宜花東,2016,24,165.27
雲嘉南,2016,24,180.2
高屏,2016,24,180.03
中彰投,2016,25,199.88
北北基桃竹苗,2016,25,201.86
宜花東,2016,25,157.8
雲嘉南,2016,25,226.77
高屏,2016,25,189.98
中彰投,2016,26,205.37
北北基桃竹苗,2016,26,204.65
宜花東,2016,26,157.03
雲嘉南,2016,26,227.52
高屏,2016,26,202.5
中彰投,2016,27,223.33
北北基桃竹苗,2016,27,190.56
宜花東,2016,27,148.11
雲嘉南,2016,27,240.98
高屏,2016,27,229.09
中彰投,2016,28,140.59
北北基桃竹苗,2016,28,181.3
宜花東,2016,28,185.47
雲嘉南,2016,28,158.55
高屏,2016,28,199.21
中彰投,2016,29,199.81
北北基桃竹苗,2016,29,224.88
宜花東,2016,29,198.52
雲嘉南,2016,29,217.2
高屏,2016,29,219.21
中彰投,2016,30,241.71
北北基桃竹苗,2016,30,255.78
宜花東,2016,30,185.05
雲嘉南,2016,30,219.48
高屏,2016,30,205.59
中彰投,2016,31,253.11
北北基桃竹苗,2016,31,220.69
宜花東,2016,31,200.81
雲嘉南,2016,31,248.52
高屏,2016,31,216.96
中彰投,2016,32,238.96
北北基桃竹苗,2016,32,189.72
宜花東,2016,32,165.76
雲嘉南,2016,32,236.9
高屏,2016,32,208.82
中彰投,2016,33,197.13
北北基桃竹苗,2016,33,182.31
宜花東,2016,33,151.51
雲嘉南,2016,33,195.07
高屏,2016,33,160.9
中彰投,2016,34,312.97
北北基桃竹苗,2016,34,259.25
宜花東,2016,34,205.64
雲嘉南,2016,34,299.32
高屏,2016,34,263.29
中彰投,2016,35,398.22
北北基桃竹苗,2016,35,331.47
宜花東,2016,35,266.07
雲嘉南,2016,35,389.43
高屏,2016,35,319.65
中彰投,2016,36,170.26
北北基桃竹苗,2016,36,195.7
宜花東,2016,36,177.52
雲嘉南,2016,36,154.34
高屏,2016,36,139.66
中彰投,2016,37,203.27
北北基桃竹苗,2016,37,183.3
宜花東,2016,37,146.43
雲嘉南,2016,37,213.41
高屏,2016,37,188.48
中彰投,2016,38,290.16
北北基桃竹苗,2016,38,235.47
宜花東,2016,38,204.82
雲嘉南,2016,38,339.33
高屏,2016,38,295.72
中彰投,2016,39,293.52
北北基桃竹苗,2016,39,221.26
宜花東,2016,39,254.61
雲嘉南,2016,39,355.21
高屏,2016,39,351.62
中彰投,2016,40,349.96
北北基桃竹苗,2016,40,226.5
宜花東,2016,40,179.95
雲嘉南,2016,40,354.6
高屏,2016,40,291.17
中彰投,2016,41,212.64
北北基桃竹苗,2016,41,165.82
宜花東,2016,41,123.39
雲嘉南,2016,41,267.21
高屏,2016,41,254.71
中彰投,2016,42,533.51
北北基桃竹苗,2016,42,243.41
宜花東,2016,42,205.42
雲嘉南,2016,42,499.81
高屏,2016,42,451.03
中彰投,2016,43,361.36
北北基桃竹苗,2016,43,311.98
宜花東,2016,43,199.01
雲嘉南,2016,43,342.34
高屏,2016,43,305.21
中彰投,2016,44,343.92
北北基桃竹苗,2016,44,253.97
宜花東,2016,44,269.53
雲嘉南,2016,44,493.76
高屏,2016,44,488.9
中彰投,2016,45,360.46
北北基桃竹苗,2016,45,260.93
宜花東,2016,45,223.36
雲嘉南,2016,45,438.88
高屏,2016,45,416.41
中彰投,2016,46,517.58
