region,year,week,value
中彰投,2016,1,198.22
北北基桃竹苗,2016,1,174.13
宜花東,2016,1,92.63
雲嘉南,2016,1,265.98
高屏,2016,1,239.06
中彰投,2016,2,162.66
北北基桃竹苗,2016,2,142.5
宜花東,2016,2,99.26
雲嘉南,2016,2,210.34
高屏,2016,2,211.38
中彰投,2016,3,179.76
北北基桃竹苗,2016,3,153.72
宜花東,2016,3,116.58
雲嘉南,2016,3,248.1
高屏,2016,3,247.15
中彰投,2016,4,136.08
北北基桃竹苗,2016,4,111.75
宜花東,2016,4,87.33
雲嘉南,2016,4,178.04
高屏,2016,4,188.22
中彰投,2016,5,106.38
北北基桃竹苗,2016,5,65.92
宜花東,2016,5,65.07
雲嘉南,2016,5,140.78
高屏,2016,5,180.15
中彰投,2016,6,257.3
北北基桃竹苗,2016,6,217.99
宜花東,2016,6,167.53
雲嘉南,2016,6,320.04
高屏,2016,6,250.82
中彰投,2016,7,157.54
北北基桃竹苗,2016,7,119.06
宜花東,2016,7,93.1
雲嘉南,2016,7,181.14
高屏,2016,7,190.38
中彰投,2016,8,241.52
北北基桃竹苗,2016,8,150.25
宜花東,2016,8,131.44
雲嘉南,2016,8,292.64
高屏,2016,8,300.76
中彰投,2016,9,231.29
北北基桃竹苗,2016,9,145.35
宜花東,2016,9,119.81
雲嘉南,2016,9,282.78
高屏,2016,9,275.51
中彰投,2016,10,235.0
北北基桃竹苗,2016,10,180.5
宜花東,2016,10,98.1
雲嘉南,2016,10,263.62
高屏,2016,10,225.7
中彰投,2016,11,165.17
北北基桃竹苗,2016,11,130.77
宜花東,2016,11,93.86
雲嘉南,2016,11,225.25
高屏,2016,11,212.79
中彰投,2016,12,227.65
北北基桃竹苗,2016,12,167.99
宜花東,2016,12,133.72
雲嘉南,2016,12,267.76
高屏,2016,12,239.32
中彰投,2016,13,258.33
北北基桃竹苗,2016,13,232.69
宜花東,2016,13,164.92
雲嘉南,2016,13,322.06
高屏,2016,13,236.26
中彰投,2016,14,309.7
北北基桃竹苗,2016,14,277.47
宜花東,2016,14,168.12
雲嘉南,2016,14,299.85
高屏,2016,14,218.89
中彰投,2016,15,199.58
北北基桃竹苗,2016,15,164.4
宜花東,2016,15,111.33
雲嘉南,2016,15,194.64
高屏,2016,15,128.11
中彰投,2016,16,177.66
北北基桃竹苗,2016,16,151.43
宜花東,2016,16,96.94
雲嘉南,2016,16,172.95
高屏,2016,16,142.25
中彰投,2016,17,159.93
北北基桃竹苗,2016,17,182.49
宜花東,2016,17,112.3
雲嘉南,2016,17,151.95
高屏,2016,17,112.32
中彰投,2016,18,219.75
北北基桃竹苗,2016,18,238.72
宜花東,2016,18,159.91
雲嘉南,2016,18,251.17
高屏,2016,18,203.14
中彰投,2016,19,135.96
北北基桃竹苗,2016,19,140.9
宜花東,2016,19,76.78
雲嘉南,2016,19,125.39
高屏,2016,19,76.36
中彰投,2016,20,161.54
北北基桃竹苗,2016,20,119.7
宜花東,2016,20,75.01
雲嘉南,2016,20,179.71
高屏,2016,20,138.09
中彰投,2016,21,177.45
北北基桃竹苗,2016,21,149.23
宜花東,2016,21,79.41
雲嘉南,2016,21,170.41
高屏,2016,21,106.32
中彰投,2016,22,83.12
北北基桃竹苗,2016,22,97.96
宜花東,2016,22,71.68
雲嘉南,2016,22,71.8
高屏,2016,22,61.82
中彰投,2016,23,89.34
北北基桃竹苗,2016,23,99.88
宜花東,2016,23,65.12
雲嘉南,2016,23,75.52
高屏,2016,23,62.86
中彰投,2016,24,58.91
北北基桃竹苗,2016,24,60.04
宜花東,2016,24,54.52
雲嘉南,2016,24,57.31
高屏,2016,24,50.6
中彰投,2016,25,83.48
北北基桃竹苗,2016,25,84.81
宜花東,2016,25,57.68
雲嘉南,2016,25,81.19
高屏,2016,25,59.11
中彰投,2016,26,93.45
北北基桃竹苗,2016,26,91.6
宜花東,2016,26,53.14
雲嘉南,2016,26,83.88
高屏,2016,26,49.38
中彰投,2016,27,105.08
北北基桃竹苗,2016,27,75.44
宜花東,2016,27,49.0
雲嘉南,2016,27,93.48
高屏,2016,27,74.57
中彰投,2016,28,57.19
北北基桃竹苗,2016,28,67.7
宜花東,2016,28,53.91
雲嘉南,2016,28,52.71
高屏,2016,28,49.3
中彰投,2016,29,93.31
北北基桃竹苗,2016,29,96.41
宜花東,2016,29,73.74
雲嘉南,2016,29,84.7
高屏,2016,29,74.69
中彰投,2016,30,132.41
北北基桃竹苗,2016,30,134.9
宜花東,2016,30,83.53
雲嘉南,2016,30,105.23
高屏,2016,30,86.49
中彰投,2016,31,130.82
北北基桃竹苗,2016,31,99.23
宜花東,2016,31,69.56
雲嘉南,2016,31,117.2
高屏,2016,31,87.57
中彰投,2016,32,122.04
北北基桃竹苗,2016,32,80.31
宜花東,2016,32,69.24
雲嘉南,2016,32,114.34
高屏,2016,32,84.24
中彰投,2016,33,90.16
北北基桃竹苗,2016,33,72.41
宜花東,2016,33,50.58
雲嘉南,2016,33,79.2
高屏,2016,33,41.82
中彰投,2016,34,164.67
北北基桃竹苗,2016,34,117.41
宜花東,2016,34,89.1
雲嘉南,2016,34,154.87
高屏,2016,34,116.67
中彰投,2016,35,224.08
北北基桃竹苗,2016,35,166.44
宜花東,2016,35,120.65
雲嘉南,2016,35,225.74
高屏,2016,35,163.03
中彰投,2016,36,78.87
北北基桃竹苗,2016,36,85.74
宜花東,2016,36,69.28
雲嘉南,2016,36,62.5
高屏,2016,36,45.83
中彰投,2016,37,88.53
北北基桃竹苗,2016,37,68.73
宜花東,2016,37,47.74
雲嘉南,2016,37,84.75
高屏,2016,37,67.41
中彰投,2016,38,128.85
北北基桃竹苗,2016,38,85.54
宜花東,2016,38,76.12
雲嘉南,2016,38,155.88
高屏,2016,38,127.7
中彰投,2016,39,131.97
北北基桃竹苗,2016,39,91.13
宜花東,2016,39,85.16
雲嘉南,2016,39,154.78
高屏,2016,39,165.69
中彰投,2016,40,191.01
北北基桃竹苗,2016,40,96.18
宜花東,2016,40,69.07
雲嘉南,2016,40,190.3
高屏,2016,40,132.72
中彰投,2016,41,97.46
北北基桃竹苗,2016,41,59.92
宜花東,2016,41,43.63
雲嘉南,2016,41,110.84
高屏,2016,41,92.56
中彰投,2016,42,300.12
北北基桃竹苗,2016,42,109.59
宜花東,2016,42,73.95
雲嘉南,2016,42,260.94
高屏,2016,42,215.48
中彰投,2016,43,188.37
北北基桃竹苗,2016,43,152.37
宜花東,2016,43,67.39
雲嘉南,2016,43,163.84
高屏,2016,43,120.16
中彰投,2016,44,158.04
北北基桃竹苗,2016,44,96.4
宜花東,2016,44,74.85
雲嘉南,2016,44,215.07
高屏,2016,44,226.39
中彰投,2016,45,187.99
北北基桃竹苗,2016,45,118.34
宜花東,2016,45,77.0
雲嘉南,2016,45,210.53
高屏,2016,45,198.83
中彰投,2016,46,281.32
北北基桃竹苗,2016,46,159.61
宜花東,2016,46,118.26
雲嘉南,2016,46,345.81
高屏,2016,46,301.18
中彰投,2016,47,169.47
北北基桃竹苗,2016,47,94.02
宜花東,2016,47,76.46
雲嘉南,2016,47,242.19
高屏,2016,47,252.66
中彰投,2016,48,135.47
北北基桃竹苗,2016,48,99.54
宜花東,2016,48,82.75
雲嘉南,2016,48,159.29
高屏,2016,48,169.14
中彰投,2016,49,190.17
北北基桃竹苗,2016,49,123.22
宜花東,2016,49,115.16
雲嘉南,2016,49,248.78
高屏,2016,49,288.77
中彰投,2016,50,184.75
北北基桃竹苗,2016,50,118.61
宜花東,2016,50,94.63
雲嘉南,2016,50,230.82
高屏,2016,50,234.33
中彰投,2016,51,241.29
北北基桃竹苗,2016,51,140.54
宜花東,2016,51,103.96
雲嘉南,2016,51,298.11
高屏,2016,51,276.21
中彰投,2016,52,196.29
北北基桃竹苗,2016,52,130.8
宜花東,2016,52,113.4
雲嘉南,2016,52,235.22
高屏,2016,52,240.29
中彰投,2017,1,280.92
北北基桃竹苗,2017,1,163.38
宜花東,2017,1,104.65
雲嘉南,2017,1,322.14
高屏,2017,1,290.09
中彰投,2017,2,198.47
北北基桃竹苗,2017,2,145.12
宜花東,2017,2,124.7
雲嘉南,2017,2,255.82
高屏,2017,2,282.43
中彰投,2017,3,146.54
北北基桃竹苗,2017,3,92.17
宜花東,2017,3,87.75
雲嘉南,2017,3,191.43
高屏,2017,3,230.2
中彰投,2017,4,182.69
北北基桃竹苗,2017,4,118.49
宜花東,2017,4,108.52
雲嘉南,2017,4,217.7
高屏,2017,4,245.34
中彰投,2017,5,146.77
北北基桃竹苗,2017,5,120.66
宜花東,2017,5,83.58
雲嘉南,2017,5,198.51
高屏,2017,5,228.83
中彰投,2017,6,232.8
北北基桃竹苗,2017,6,176.72
宜花東,2017,6,155.16
雲嘉南,2017,6,283.13
高屏,2017,6,291.55
中彰投,2017,7,226.89
北北基桃竹苗,2017,7,151.38
宜花東,2017,7,119.24
雲嘉南,2017,7,274.38
高屏,2017,7,239.2
中彰投,2017,8,203.92
北北基桃竹苗,2017,8,126.82
宜花東,2017,8,101.31
雲嘉南,2017,8,252.38
高屏,2017,8,228.23
中彰投,2017,9,217.94
北北基桃竹苗,2017,9,169.44
宜花東,2017,9,142.66
雲嘉南,2017,9,266.32
高屏,2017,9,269.77
中彰投,2017,10,244.81
北北基桃竹苗,2017,10,167.49
宜花東,2017,10,124.67
雲嘉南,2017,10,271.44
高屏,2017,10,254.95
中彰投,2017,11,226.96
北北基桃竹苗,2017,11,128.14
宜花東,2017,11,102.54
雲嘉南,2017,11,258.13
高屏,2017,11,238.16
中彰投,2017,12,204.53
北北基桃竹苗,2017,12,110.53
宜花東,2017,12,96.1
雲嘉南,2017,12,241.03
高屏,2017,12,207.77
中彰投,2017,13,245.06
北北基桃竹苗,2017,13,227.14
宜花東,2017,13,151.85
雲嘉南,2017,13,272.92
高屏,2017,13,207.47
中彰投,2017,14,243.66
北北基桃竹苗,2017,14,205.3
宜花東,2017,14,143.11
雲嘉南,2017,14,237.04
高屏,2017,14,186.75
中彰投,2017,15,169.32
北北基桃竹苗,2017,15,148.62
宜花東,2017,15,109.0
雲嘉南,2017,15,182.29
高屏,2017,15,145.98
中彰投,2017,16,158.28
北北基桃竹苗,2017,16,158.43
宜花東,2017,16,107.74
雲嘉南,2017,16,156.67
高屏,2017,16,116.93
中彰投,2017,17,188.73
北北基桃竹苗,2017,17,131.77
宜花東,2017,17,101.37
雲嘉南,2017,17,234.9
高屏,2017,17,183.56
中彰投,2017,18,204.17
北北基桃竹苗,2017,18,175.51
宜花東,2017,18,107.83
雲嘉南,2017,18,213.64
高屏,2017,18,179.75
中彰投,2017,19,164.19
北北基桃竹苗,2017,19,139.04
宜花東,2017,19,87.47
雲嘉南,2017,19,171.45
高屏,2017,19,131.03
中彰投,2017,20,119.75
北北基桃竹苗,2017,20,94.99
宜花東,2017,20,76.76
雲嘉南,2017,20,152.32
高屏,2017,20,131.86
中彰投,2017,21,129.35
北北基桃竹苗,2017,21,91.25
宜花東,2017,21,61.84
雲嘉南,2017,21,139.34
高屏,2017,21,104.76
中彰投,2017,22,101.58
北北基桃竹苗,2017,22,79.69
宜花東,2017,22,62.19
雲嘉南,2017,22,104.91
高屏,2017,22,101.35
中彰投,2017,23,101.44
北北基桃竹苗,2017,23,128.12
宜花東,2017,23,64.35
雲嘉南,2017,23,101.33
高屏,2017,23,70.5
中彰投,2017,24,53.95
北北基桃竹苗,2017,24,59.02
宜花東,2017,24,47.89
雲嘉南,2017,24,53.8
高屏,2017,24,57.08
中彰投,2017,25,67.61
北北基桃竹苗,2017,25,72.08
