region,year,week,value
中彰投,2016,1,19.85
北北基桃竹苗,2016,1,21.16
宜花東,2016,1,14.4
雲嘉南,2016,1,20.85
高屏,2016,1,23.45
中彰投,2016,2,18.4
北北基桃竹苗,2016,2,18.4
宜花東,2016,2,12.54
雲嘉南,2016,2,20.95
高屏,2016,2,21.62
中彰投,2016,3,19.07
北北基桃竹苗,2016,3,16.9
宜花東,2016,3,14.61
雲嘉南,2016,3,22.09
高屏,2016,3,24.53
中彰投,2016,4,18.25
北北基桃竹苗,2016,4,19.47
宜花東,2016,4,13.04
雲嘉南,2016,4,20.92
高屏,2016,4,19.88
中彰投,2016,5,16.35
北北基桃竹苗,2016,5,14.66
宜花東,2016,5,11.96
雲嘉南,2016,5,14.43
高屏,2016,5,16.49
中彰投,2016,6,21.27
北北基桃竹苗,2016,6,20.79
宜花東,2016,6,12.89
雲嘉南,2016,6,21.34
高屏,2016,6,19.19
中彰投,2016,7,18.19
北北基桃竹苗,2016,7,15.36
宜花東,2016,7,12.27
雲嘉南,2016,7,21.06
高屏,2016,7,19.98
中彰投,2016,8,18.51
北北基桃竹苗,2016,8,14.31
宜花東,2016,8,12.5
雲嘉南,2016,8,23.09
高屏,2016,8,23.01
中彰投,2016,9,21.8
北北基桃竹苗,2016,9,16.83
宜花東,2016,9,12.6
雲嘉南,2016,9,23.43
高屏,2016,9,23.55
中彰投,2016,10,22.72
北北基桃竹苗,2016,10,21.81
宜花東,2016,10,13.55
雲嘉南,2016,10,25.42
高屏,2016,10,26.58
中彰投,2016,11,18.44
北北基桃竹苗,2016,11,16.3
宜花東,2016,11,12.6
雲嘉南,2016,11,21.32
高屏,2016,11,23.73
中彰投,2016,12,18.23
北北基桃竹苗,2016,12,16.89
宜花東,2016,12,12.92
雲嘉南,2016,12,17.67
高屏,2016,12,20.44
中彰投,2016,13,22.95
北北基桃竹苗,2016,13,22.72
宜花東,2016,13,14.34
雲嘉南,2016,13,22.6
高屏,2016,13,23.61
中彰投,2016,14,22.09
北北基桃竹苗,2016,14,24.81
宜花東,2016,14,14.59
雲嘉南,2016,14,21.98
高屏,2016,14,25.57
中彰投,2016,15,21.04
北北基桃竹苗,2016,15,20.39
宜花東,2016,15,14.64
雲嘉南,2016,15,20.42
高屏,2016,15,24.89
中彰投,2016,16,19.3
北北基桃竹苗,2016,16,19.98
宜花東,2016,16,14.52
雲嘉南,2016,16,20.85
高屏,2016,16,22.62
中彰投,2016,17,20.71
北北基桃竹苗,2016,17,22.39
宜花東,2016,17,14.93
雲嘉南,2016,17,20.92
高屏,2016,17,22.64
中彰投,2016,18,20.75
北北基桃竹苗,2016,18,23.59
宜花東,2016,18,14.79
雲嘉南,2016,18,22.64
高屏,2016,18,24.25
中彰投,2016,19,21.31
北北基桃竹苗,2016,19,23.23
宜花東,2016,19,12.15
雲嘉南,2016,19,21.11
高屏,2016,19,22.85
中彰投,2016,20,20.9
北北基桃竹苗,2016,20,17.77
宜花東,2016,20,12.67
雲嘉南,2016,20,22.15
高屏,2016,20,22.72
中彰投,2016,21,22.09
北北基桃竹苗,2016,21,25.59
宜花東,2016,21,13.88
雲嘉南,2016,21,20.98
高屏,2016,21,21.24
中彰投,2016,22,16.2
北北基桃竹苗,2016,22,20.43
宜花東,2016,22,14.05
雲嘉南,2016,22,16.67
高屏,2016,22,20.52
中彰投,2016,23,18.04
北北基桃竹苗,2016,23,19.95
宜花東,2016,23,12.67
雲嘉南,2016,23,14.73
高屏,2016,23,17.21
中彰投,2016,24,14.21
北北基桃竹苗,2016,24,15.68
宜花東,2016,24,12.17
雲嘉南,2016,24,14.14
高屏,2016,24,18.09
中彰投,2016,25,18.86
北北基桃竹苗,2016,25,22.41
宜花東,2016,25,13.75
雲嘉南,2016,25,20.16
高屏,2016,25,21.0
中彰投,2016,26,18.72
北北基桃竹苗,2016,26,23.05
宜花東,2016,26,13.46
雲嘉南,2016,26,19.61
高屏,2016,26,20.82
中彰投,2016,27,19.22
北北基桃竹苗,2016,27,18.58
宜花東,2016,27,11.9
雲嘉南,2016,27,20.05
高屏,2016,27,23.35
中彰投,2016,28,14.65
北北基桃竹苗,2016,28,17.28
宜花東,2016,28,12.12
雲嘉南,2016,28,14.17
高屏,2016,28,17.95
中彰投,2016,29,16.91
北北基桃竹苗,2016,29,18.43
宜花東,2016,29,13.97
雲嘉南,2016,29,15.74
高屏,2016,29,19.34
中彰投,2016,30,20.06
北北基桃竹苗,2016,30,26.01
宜花東,2016,30,14.84
雲嘉南,2016,30,18.51
高屏,2016,30,22.48
中彰投,2016,31,19.3
北北基桃竹苗,2016,31,20.67
宜花東,2016,31,13.46
雲嘉南,2016,31,18.77
高屏,2016,31,19.36
中彰投,2016,32,19.6
北北基桃竹苗,2016,32,20.96
宜花東,2016,32,13.58
雲嘉南,2016,32,21.12
高屏,2016,32,19.74
中彰投,2016,33,17.86
北北基桃竹苗,2016,33,18.67
宜花東,2016,33,13.56
雲嘉南,2016,33,16.84
高屏,2016,33,19.36
中彰投,2016,34,20.14
北北基桃竹苗,2016,34,22.26
宜花東,2016,34,14.29
雲嘉南,2016,34,20.63
高屏,2016,34,19.92
中彰投,2016,35,21.29
北北基桃竹苗,2016,35,22.41
宜花東,2016,35,14.32
雲嘉南,2016,35,21.24
高屏,2016,35,20.66
中彰投,2016,36,15.07
北北基桃竹苗,2016,36,19.32
宜花東,2016,36,13.73
雲嘉南,2016,36,14.89
高屏,2016,36,16.65
中彰投,2016,37,17.42
北北基桃竹苗,2016,37,16.95
宜花東,2016,37,13.63
雲嘉南,2016,37,20.01
高屏,2016,37,17.61
中彰投,2016,38,18.23
北北基桃竹苗,2016,38,15.38
宜花東,2016,38,12.79
雲嘉南,2016,38,21.66
高屏,2016,38,20.7
中彰投,2016,39,18.36
北北基桃竹苗,2016,39,16.03
宜花東,2016,39,11.86
雲嘉南,2016,39,20.74
高屏,2016,39,21.62
中彰投,2016,40,21.31
北北基桃竹苗,2016,40,17.89
宜花東,2016,40,14.19
雲嘉南,2016,40,21.53
高屏,2016,40,24.11
中彰投,2016,41,15.99
北北基桃竹苗,2016,41,14.76
宜花東,2016,41,12.22
雲嘉南,2016,41,17.68
高屏,2016,41,18.29
中彰投,2016,42,25.46
北北基桃竹苗,2016,42,17.69
宜花東,2016,42,13.09
雲嘉南,2016,42,22.64
高屏,2016,42,24.63
中彰投,2016,43,24.31
北北基桃竹苗,2016,43,25.11
宜花東,2016,43,13.63
雲嘉南,2016,43,23.32
高屏,2016,43,23.95
中彰投,2016,44,18.17
北北基桃竹苗,2016,44,18.22
宜花東,2016,44,13.12
雲嘉南,2016,44,24.27
高屏,2016,44,26.56
中彰投,2016,45,21.67
北北基桃竹苗,2016,45,19.76
宜花東,2016,45,12.62
雲嘉南,2016,45,21.43
高屏,2016,45,22.48
中彰投,2016,46,23.83
北北基桃竹苗,2016,46,22.76
宜花東,2016,46,13.71
雲嘉南,2016,46,27.74
高屏,2016,46,28.62
中彰投,2016,47,20.79
北北基桃竹苗,2016,47,21.66
宜花東,2016,47,13.07
雲嘉南,2016,47,23.63
高屏,2016,47,25.29
中彰投,2016,48,17.25
北北基桃竹苗,2016,48,15.21
宜花東,2016,48,11.96
雲嘉南,2016,48,20.95
高屏,2016,48,20.04
中彰投,2016,49,20.96
北北基桃竹苗,2016,49,19.49
宜花東,2016,49,13.9
雲嘉南,2016,49,24.33
高屏,2016,49,25.01
中彰投,2016,50,19.32
北北基桃竹苗,2016,50,17.02
宜花東,2016,50,13.66
雲嘉南,2016,50,21.67
高屏,2016,50,25.27
中彰投,2016,51,21.82
北北基桃竹苗,2016,51,19.7
宜花東,2016,51,14.1
雲嘉南,2016,51,23.61
高屏,2016,51,26.28
中彰投,2016,52,18.3
北北基桃竹苗,2016,52,15.6
宜花東,2016,52,12.84
雲嘉南,2016,52,22.16
高屏,2016,52,21.82
中彰投,2017,1,19.53
北北基桃竹苗,2017,1,19.89
宜花東,2017,1,13.02
雲嘉南,2017,1,21.35
高屏,2017,1,21.48
中彰投,2017,2,19.49
北北基桃竹苗,2017,2,19.35
宜花東,2017,2,13.28
雲嘉南,2017,2,23.77
高屏,2017,2,25.09
中彰投,2017,3,17.27
北北基桃竹苗,2017,3,15.36
宜花東,2017,3,12.5
雲嘉南,2017,3,22.33
高屏,2017,3,22.32
中彰投,2017,4,18.42
北北基桃竹苗,2017,4,15.81
宜花東,2017,4,12.87
雲嘉南,2017,4,22.83
高屏,2017,4,24.47
中彰投,2017,5,16.49
北北基桃竹苗,2017,5,15.03
宜花東,2017,5,12.3
雲嘉南,2017,5,20.31
高屏,2017,5,23.87
中彰投,2017,6,18.86
北北基桃竹苗,2017,6,16.56
宜花東,2017,6,13.41
雲嘉南,2017,6,22.85
高屏,2017,6,23.67
中彰投,2017,7,21.5
北北基桃竹苗,2017,7,17.54
宜花東,2017,7,12.96
雲嘉南,2017,7,20.94
高屏,2017,7,23.79
中彰投,2017,8,17.19
北北基桃竹苗,2017,8,15.0
宜花東,2017,8,12.69
雲嘉南,2017,8,21.0
高屏,2017,8,23.51
中彰投,2017,9,20.33
北北基桃竹苗,2017,9,19.4
宜花東,2017,9,12.13
雲嘉南,2017,9,24.52
高屏,2017,9,25.65
中彰投,2017,10,19.68
北北基桃竹苗,2017,10,18.4
宜花東,2017,10,12.59
雲嘉南,2017,10,21.21
高屏,2017,10,21.84
中彰投,2017,11,19.13
北北基桃竹苗,2017,11,16.18
宜花東,2017,11,11.54
雲嘉南,2017,11,21.52
高屏,2017,11,24.61
中彰投,2017,12,19.28
北北基桃竹苗,2017,12,18.32
宜花東,2017,12,12.65
雲嘉南,2017,12,21.76
高屏,2017,12,23.95
中彰投,2017,13,20.64
北北基桃竹苗,2017,13,21.31
宜花東,2017,13,10.92
雲嘉南,2017,13,21.28
高屏,2017,13,21.44
中彰投,2017,14,21.15
北北基桃竹苗,2017,14,21.75
宜花東,2017,14,13.04
雲嘉南,2017,14,22.41
高屏,2017,14,20.38
中彰投,2017,15,18.97
北北基桃竹苗,2017,15,21.07
宜花東,2017,15,13.02
雲嘉南,2017,15,21.44
高屏,2017,15,21.34
中彰投,2017,16,17.96
北北基桃竹苗,2017,16,18.76
宜花東,2017,16,14.15
雲嘉南,2017,16,19.14
高屏,2017,16,19.96
中彰投,2017,17,21.27
北北基桃竹苗,2017,17,19.06
宜花東,2017,17,12.77
雲嘉南,2017,17,22.8
高屏,2017,17,23.73
中彰投,2017,18,21.48
北北基桃竹苗,2017,18,24.2
宜花東,2017,18,12.54
雲嘉南,2017,18,22.27
高屏,2017,18,24.73
中彰投,2017,19,22.07
北北基桃竹苗,2017,19,22.24
宜花東,2017,19,15.3
雲嘉南,2017,19,22.21
高屏,2017,19,24.19
中彰投,2017,20,18.59
北北基桃竹苗,2017,20,18.47
宜花東,2017,20,14.56
雲嘉南,2017,20,21.21
高屏,2017,20,20.8
中彰投,2017,21,19.72
北北基桃竹苗,2017,21,20.37
宜花東,2017,21,12.33
雲嘉南,2017,21,21.47
高屏,2017,21,19.56
中彰投,2017,22,17.27
北北基桃竹苗,2017,22,16.12
宜花東,2017,22,12.77
雲嘉南,2017,22,16.14
高屏,2017,22,20.94
中彰投,2017,23,18.59
北北基桃竹苗,2017,23,22.05
宜花東,2017,23,14.0
雲嘉南,2017,23,20.28
高屏,2017,23,19.23
中彰投,2017,24,14.31
北北基桃竹苗,2017,24,16.02
宜花東,2017,24,12.13
雲嘉南,2017,24,14.05
高屏,2017,24,16.07
中彰投,2017,25,14.42
北北基桃竹苗,2017,25,19.22
宜花東,2017,25,15.77
雲嘉南,2017,25,16.66
高屏,2017,25,18.85
中彰投,2017,26,17.96
北北基桃竹苗,2017,26,21.96
宜花東,2017,26,17.21
雲嘉南,2017,26,14.63
高屏,2017,26,19.19
中彰投,2017,27,15.78
北北基桃竹苗,2017,27,18.89
宜花東,2017,27,14.89
雲嘉南,2017,27,18.08
高屏,2017,27,19.38
中彰投,2017,28,18.46
北北基桃竹苗,2017,28,21.6
宜花東,2017,28,15.23
雲嘉南,2017,28,20.21
高屏,2017,28,19.54
中彰投,2017,29,19.24
北北基桃竹苗,2017,29,21.9
宜花東,2017,29,15.3
雲嘉南,2017,29,20.74
高屏,2017,29,21.58
中彰投,2017,30,22.57
北北基桃竹苗,2017,30,21.04
宜花東,2017,30,14.29
雲嘉南,2017,30,20.97
高屏,2017,30,19.21
中彰投,2017,31,15.61
北北基桃竹苗,2017,31,19.26
宜花東,2017,31,14.37
雲嘉南,2017,31,14.0
