region,year,week,value
中彰投,2016,1,17.27
北北基桃竹苗,2016,1,19.26
宜花東,2016,1,10.81
雲嘉南,2016,1,17.01
高屏,2016,1,16.3
中彰投,2016,2,15.25
北北基桃竹苗,2016,2,15.89
宜花東,2016,2,10.35
雲嘉南,2016,2,15.67
高屏,2016,2,16.25
中彰投,2016,3,18.13
北北基桃竹苗,2016,3,17.39
宜花東,2016,3,11.41
雲嘉南,2016,3,19.2
高屏,2016,3,18.22
中彰投,2016,4,15.69
北北基桃竹苗,2016,4,16.32
宜花東,2016,4,10.12
雲嘉南,2016,4,15.04
高屏,2016,4,16.88
中彰投,2016,5,15.38
北北基桃竹苗,2016,5,15.55
宜花東,2016,5,10.21
雲嘉南,2016,5,15.34
高屏,2016,5,16.45
中彰投,2016,6,13.51
北北基桃竹苗,2016,6,15.92
宜花東,2016,6,8.96
雲嘉南,2016,6,13.68
高屏,2016,6,12.93
中彰投,2016,7,14.73
北北基桃竹苗,2016,7,15.59
宜花東,2016,7,9.28
雲嘉南,2016,7,16.3
高屏,2016,7,15.0
中彰投,2016,8,17.55
北北基桃竹苗,2016,8,14.74
宜花東,2016,8,9.59
雲嘉南,2016,8,17.02
高屏,2016,8,17.44
中彰投,2016,9,18.48
北北基桃竹苗,2016,9,17.77
宜花東,2016,9,9.15
雲嘉南,2016,9,16.59
高屏,2016,9,16.07
中彰投,2016,10,17.54
北北基桃竹苗,2016,10,20.72
宜花東,2016,10,8.96
雲嘉南,2016,10,16.28
高屏,2016,10,15.76
中彰投,2016,11,20.84
北北基桃竹苗,2016,11,21.43
宜花東,2016,11,11.18
雲嘉南,2016,11,19.72
高屏,2016,11,18.21
中彰投,2016,12,18.43
北北基桃竹苗,2016,12,19.82
宜花東,2016,12,10.51
雲嘉南,2016,12,16.06
高屏,2016,12,15.09
中彰投,2016,13,17.1
北北基桃竹苗,2016,13,21.92
宜花東,2016,13,10.19
雲嘉南,2016,13,16.07
高屏,2016,13,15.67
中彰投,2016,14,13.86
北北基桃竹苗,2016,14,19.99
宜花東,2016,14,9.02
雲嘉南,2016,14,11.67
高屏,2016,14,11.54
中彰投,2016,15,14.44
北北基桃竹苗,2016,15,18.44
宜花東,2016,15,9.51
雲嘉南,2016,15,11.44
高屏,2016,15,11.77
中彰投,2016,16,13.74
北北基桃竹苗,2016,16,18.18
宜花東,2016,16,8.57
雲嘉南,2016,16,11.08
高屏,2016,16,10.29
中彰投,2016,17,11.48
北北基桃竹苗,2016,17,15.19
宜花東,2016,17,7.48
雲嘉南,2016,17,9.88
高屏,2016,17,9.28
中彰投,2016,18,12.7
北北基桃竹苗,2016,18,17.08
宜花東,2016,18,7.93
雲嘉南,2016,18,11.1
高屏,2016,18,9.43
中彰投,2016,19,11.17
北北基桃竹苗,2016,19,14.83
宜花東,2016,19,6.75
雲嘉南,2016,19,9.78
高屏,2016,19,8.22
中彰投,2016,20,11.81
北北基桃竹苗,2016,20,13.16
宜花東,2016,20,6.6
雲嘉南,2016,20,10.87
高屏,2016,20,10.04
中彰投,2016,21,13.46
北北基桃竹苗,2016,21,17.18
宜花東,2016,21,7.52
雲嘉南,2016,21,10.3
高屏,2016,21,8.97
中彰投,2016,22,6.97
北北基桃竹苗,2016,22,12.01
宜花東,2016,22,6.12
雲嘉南,2016,22,6.27
高屏,2016,22,6.5
中彰投,2016,23,8.1
北北基桃竹苗,2016,23,12.98
宜花東,2016,23,6.11
雲嘉南,2016,23,6.81
高屏,2016,23,6.89
中彰投,2016,24,7.22
北北基桃竹苗,2016,24,10.95
宜花東,2016,24,6.73
雲嘉南,2016,24,7.42
高屏,2016,24,7.55
中彰投,2016,25,7.69
北北基桃竹苗,2016,25,12.49
宜花東,2016,25,5.38
雲嘉南,2016,25,7.57
高屏,2016,25,6.52
中彰投,2016,26,7.88
北北基桃竹苗,2016,26,12.82
宜花東,2016,26,5.32
雲嘉南,2016,26,7.14
高屏,2016,26,5.46
中彰投,2016,27,8.37
北北基桃竹苗,2016,27,10.42
宜花東,2016,27,4.96
雲嘉南,2016,27,7.52
高屏,2016,27,6.89
中彰投,2016,28,6.01
北北基桃竹苗,2016,28,10.83
宜花東,2016,28,5.44
雲嘉南,2016,28,5.57
高屏,2016,28,5.88
中彰投,2016,29,6.96
北北基桃竹苗,2016,29,11.91
宜花東,2016,29,5.87
雲嘉南,2016,29,6.1
高屏,2016,29,6.34
中彰投,2016,30,7.87
北北基桃竹苗,2016,30,13.21
宜花東,2016,30,5.56
雲嘉南,2016,30,6.28
高屏,2016,30,7.23
中彰投,2016,31,8.94
北北基桃竹苗,2016,31,11.59
宜花東,2016,31,5.63
雲嘉南,2016,31,7.82
高屏,2016,31,7.07
中彰投,2016,32,8.85
北北基桃竹苗,2016,32,11.76
宜花東,2016,32,5.58
雲嘉南,2016,32,7.43
高屏,2016,32,7.72
中彰投,2016,33,8.84
北北基桃竹苗,2016,33,11.67
宜花東,2016,33,5.95
雲嘉南,2016,33,8.12
高屏,2016,33,7.37
中彰投,2016,34,8.38
北北基桃竹苗,2016,34,12.13
宜花東,2016,34,5.95
雲嘉南,2016,34,6.99
高屏,2016,34,8.09
中彰投,2016,35,10.55
北北基桃竹苗,2016,35,14.51
宜花東,2016,35,7.08
雲嘉南,2016,35,8.96
高屏,2016,35,9.05
中彰投,2016,36,8.77
北北基桃竹苗,2016,36,13.09
宜花東,2016,36,6.57
雲嘉南,2016,36,7.98
高屏,2016,36,8.84
中彰投,2016,37,9.45
北北基桃竹苗,2016,37,11.45
宜花東,2016,37,5.31
雲嘉南,2016,37,7.4
高屏,2016,37,6.77
中彰投,2016,38,10.74
北北基桃竹苗,2016,38,10.45
宜花東,2016,38,6.12
雲嘉南,2016,38,10.05
高屏,2016,38,9.27
中彰投,2016,39,10.47
北北基桃竹苗,2016,39,9.81
宜花東,2016,39,5.29
雲嘉南,2016,39,8.7
高屏,2016,39,8.69
中彰投,2016,40,12.31
北北基桃竹苗,2016,40,11.33
宜花東,2016,40,6.15
雲嘉南,2016,40,11.02
高屏,2016,40,10.9
中彰投,2016,41,10.56
北北基桃竹苗,2016,41,11.48
宜花東,2016,41,6.58
雲嘉南,2016,41,10.98
高屏,2016,41,10.26
中彰投,2016,42,13.97
北北基桃竹苗,2016,42,9.82
宜花東,2016,42,6.09
雲嘉南,2016,42,11.91
高屏,2016,42,11.95
中彰投,2016,43,13.48
北北基桃竹苗,2016,43,15.8
宜花東,2016,43,6.79
雲嘉南,2016,43,10.05
高屏,2016,43,9.66
中彰投,2016,44,12.26
北北基桃竹苗,2016,44,11.12
宜花東,2016,44,6.62
雲嘉南,2016,44,12.93
高屏,2016,44,13.76
中彰投,2016,45,15.47
北北基桃竹苗,2016,45,15.56
宜花東,2016,45,7.9
雲嘉南,2016,45,14.03
高屏,2016,45,13.53
中彰投,2016,46,18.41
北北基桃竹苗,2016,46,17.55
宜花東,2016,46,8.64
雲嘉南,2016,46,16.28
高屏,2016,46,15.07
中彰投,2016,47,16.58
北北基桃竹苗,2016,47,17.03
宜花東,2016,47,8.6
雲嘉南,2016,47,16.21
高屏,2016,47,16.63
中彰投,2016,48,15.66
北北基桃竹苗,2016,48,13.14
宜花東,2016,48,9.37
雲嘉南,2016,48,15.46
高屏,2016,48,15.4
中彰投,2016,49,16.35
北北基桃竹苗,2016,49,13.38
宜花東,2016,49,9.44
雲嘉南,2016,49,16.63
高屏,2016,49,18.07
中彰投,2016,50,16.49
北北基桃竹苗,2016,50,14.14
宜花東,2016,50,9.28
雲嘉南,2016,50,16.99
高屏,2016,50,17.04
中彰投,2016,51,18.61
北北基桃竹苗,2016,51,17.7
宜花東,2016,51,9.73
雲嘉南,2016,51,17.98
高屏,2016,51,18.47
中彰投,2016,52,16.54
北北基桃竹苗,2016,52,13.73
宜花東,2016,52,9.28
雲嘉南,2016,52,17.22
高屏,2016,52,17.23
中彰投,2017,1,16.54
北北基桃竹苗,2017,1,17.32
宜花東,2017,1,8.94
雲嘉南,2017,1,15.01
高屏,2017,1,15.72
中彰投,2017,2,16.9
北北基桃竹苗,2017,2,14.27
宜花東,2017,2,9.86
雲嘉南,2017,2,16.84
高屏,2017,2,17.9
中彰投,2017,3,14.34
北北基桃竹苗,2017,3,13.94
宜花東,2017,3,9.33
雲嘉南,2017,3,15.03
高屏,2017,3,17.27
中彰投,2017,4,14.87
北北基桃竹苗,2017,4,11.99
宜花東,2017,4,8.92
雲嘉南,2017,4,14.9
高屏,2017,4,17.17
中彰投,2017,5,11.69
北北基桃竹苗,2017,5,12.32
宜花東,2017,5,7.37
雲嘉南,2017,5,11.4
高屏,2017,5,14.65
中彰投,2017,6,13.9
北北基桃竹苗,2017,6,12.22
宜花東,2017,6,8.5
雲嘉南,2017,6,14.42
高屏,2017,6,16.54
中彰投,2017,7,17.59
北北基桃竹苗,2017,7,16.85
宜花東,2017,7,9.18
雲嘉南,2017,7,15.33
高屏,2017,7,16.12
中彰投,2017,8,16.22
北北基桃竹苗,2017,8,17.15
宜花東,2017,8,9.93
