region,year,week,value
中彰投,2016,1,7.28
北北基桃竹苗,2016,1,11.49
宜花東,2016,1,4.53
雲嘉南,2016,1,5.07
高屏,2016,1,5.17
中彰投,2016,2,3.06
北北基桃竹苗,2016,2,5.53
宜花東,2016,2,3.09
雲嘉南,2016,2,2.54
高屏,2016,2,3.81
中彰投,2016,3,4.49
北北基桃竹苗,2016,3,6.28
宜花東,2016,3,3.99
雲嘉南,2016,3,3.89
高屏,2016,3,4.99
中彰投,2016,4,5.11
北北基桃竹苗,2016,4,10.51
宜花東,2016,4,4.38
雲嘉南,2016,4,3.16
高屏,2016,4,4.04
中彰投,2016,5,4.39
北北基桃竹苗,2016,5,6.49
宜花東,2016,5,3.49
雲嘉南,2016,5,3.01
高屏,2016,5,4.56
中彰投,2016,6,2.75
北北基桃竹苗,2016,6,4.92
宜花東,2016,6,2.47
雲嘉南,2016,6,1.95
高屏,2016,6,2.44
中彰投,2016,7,3.69
北北基桃竹苗,2016,7,6.41
宜花東,2016,7,3.1
雲嘉南,2016,7,3.72
高屏,2016,7,4.24
中彰投,2016,8,3.46
北北基桃竹苗,2016,8,5.17
宜花東,2016,8,2.56
雲嘉南,2016,8,2.53
高屏,2016,8,3.03
中彰投,2016,9,3.8
北北基桃竹苗,2016,9,5.6
宜花東,2016,9,2.59
雲嘉南,2016,9,2.67
高屏,2016,9,2.66
中彰投,2016,10,4.0
北北基桃竹苗,2016,10,9.57
宜花東,2016,10,3.19
雲嘉南,2016,10,3.08
高屏,2016,10,3.36
中彰投,2016,11,6.01
北北基桃竹苗,2016,11,11.26
宜花東,2016,11,3.91
雲嘉南,2016,11,4.16
高屏,2016,11,5.52
中彰投,2016,12,4.98
北北基桃竹苗,2016,12,11.28
宜花東,2016,12,3.89
雲嘉南,2016,12,2.99
高屏,2016,12,3.4
中彰投,2016,13,2.36
北北基桃竹苗,2016,13,6.33
宜花東,2016,13,2.29
雲嘉南,2016,13,1.96
高屏,2016,13,2.64
中彰投,2016,14,2.65
北北基桃竹苗,2016,14,6.69
宜花東,2016,14,2.41
雲嘉南,2016,14,2.03
高屏,2016,14,2.24
中彰投,2016,15,2.63
北北基桃竹苗,2016,15,5.63
宜花東,2016,15,2.56
雲嘉南,2016,15,1.99
高屏,2016,15,2.66
中彰投,2016,16,2.5
北北基桃竹苗,2016,16,6.82
宜花東,2016,16,2.83
雲嘉南,2016,16,2.26
高屏,2016,16,3.07
中彰投,2016,17,2.22
北北基桃竹苗,2016,17,5.41
宜花東,2016,17,2.59
雲嘉南,2016,17,2.03
高屏,2016,17,2.34
中彰投,2016,18,2.46
北北基桃竹苗,2016,18,4.53
宜花東,2016,18,2.36
雲嘉南,2016,18,2.05
高屏,2016,18,2.26
中彰投,2016,19,2.51
北北基桃竹苗,2016,19,5.38
宜花東,2016,19,2.3
雲嘉南,2016,19,2.03
高屏,2016,19,2.51
中彰投,2016,20,1.99
北北基桃竹苗,2016,20,3.64
宜花東,2016,20,2.05
雲嘉南,2016,20,1.76
高屏,2016,20,2.02
中彰投,2016,21,2.38
北北基桃竹苗,2016,21,5.84
宜花東,2016,21,2.54
雲嘉南,2016,21,1.97
高屏,2016,21,1.99
中彰投,2016,22,1.99
北北基桃竹苗,2016,22,5.12
宜花東,2016,22,2.35
雲嘉南,2016,22,1.95
高屏,2016,22,2.48
中彰投,2016,23,2.1
北北基桃竹苗,2016,23,5.19
宜花東,2016,23,2.25
雲嘉南,2016,23,1.88
高屏,2016,23,2.33
中彰投,2016,24,2.16
北北基桃竹苗,2016,24,7.04
宜花東,2016,24,3.57
雲嘉南,2016,24,2.64
高屏,2016,24,3.48
中彰投,2016,25,2.28
北北基桃竹苗,2016,25,5.34
宜花東,2016,25,2.75
雲嘉南,2016,25,2.41
高屏,2016,25,3.06
中彰投,2016,26,2.24
北北基桃竹苗,2016,26,5.26
宜花東,2016,26,2.79
雲嘉南,2016,26,2.5
高屏,2016,26,2.93
中彰投,2016,27,2.0
北北基桃竹苗,2016,27,5.2
宜花東,2016,27,2.88
雲嘉南,2016,27,2.2
高屏,2016,27,2.28
中彰投,2016,28,2.12
北北基桃竹苗,2016,28,4.88
宜花東,2016,28,2.49
雲嘉南,2016,28,1.86
高屏,2016,28,2.19
中彰投,2016,29,2.25
北北基桃竹苗,2016,29,5.75
宜花東,2016,29,2.68
雲嘉南,2016,29,2.17
高屏,2016,29,2.55
中彰投,2016,30,2.0
北北基桃竹苗,2016,30,4.4
宜花東,2016,30,2.39
雲嘉南,2016,30,1.9
高屏,2016,30,2.36
中彰投,2016,31,2.01
北北基桃竹苗,2016,31,4.06
宜花東,2016,31,2.37
雲嘉南,2016,31,1.95
高屏,2016,31,2.15
中彰投,2016,32,1.94
北北基桃竹苗,2016,32,4.83
宜花東,2016,32,2.35
雲嘉南,2016,32,1.85
高屏,2016,32,2.02
中彰投,2016,33,2.26
北北基桃竹苗,2016,33,4.54
宜花東,2016,33,2.5
雲嘉南,2016,33,2.07
高屏,2016,33,2.44
中彰投,2016,34,1.66
北北基桃竹苗,2016,34,4.57
宜花東,2016,34,2.38
雲嘉南,2016,34,1.81
高屏,2016,34,2.38
中彰投,2016,35,1.33
北北基桃竹苗,2016,35,3.57
宜花東,2016,35,2.15
雲嘉南,2016,35,1.34
高屏,2016,35,2.09
中彰投,2016,36,2.15
北北基桃竹苗,2016,36,5.13
宜花東,2016,36,2.71
雲嘉南,2016,36,2.35
高屏,2016,36,3.19
中彰投,2016,37,3.51
北北基桃竹苗,2016,37,5.88
宜花東,2016,37,2.74
雲嘉南,2016,37,2.41
高屏,2016,37,2.82
中彰投,2016,38,2.21
北北基桃竹苗,2016,38,4.36
宜花東,2016,38,2.48
雲嘉南,2016,38,2.07
高屏,2016,38,2.25
中彰投,2016,39,2.55
北北基桃竹苗,2016,39,3.81
宜花東,2016,39,2.27
雲嘉南,2016,39,1.85
高屏,2016,39,2.0
中彰投,2016,40,2.81
北北基桃竹苗,2016,40,5.88
宜花東,2016,40,2.92
雲嘉南,2016,40,2.11
高屏,2016,40,2.61
中彰投,2016,41,3.07
北北基桃竹苗,2016,41,5.66
宜花東,2016,41,3.39
雲嘉南,2016,41,2.3
高屏,2016,41,3.26
中彰投,2016,42,2.14
北北基桃竹苗,2016,42,4.78
宜花東,2016,42,3.2
雲嘉南,2016,42,2.1
高屏,2016,42,2.86
中彰投,2016,43,2.96
北北基桃竹苗,2016,43,5.41
宜花東,2016,43,2.59
雲嘉南,2016,43,2.23
高屏,2016,43,2.38
中彰投,2016,44,1.92
北北基桃竹苗,2016,44,3.54
宜花東,2016,44,2.11
雲嘉南,2016,44,2.11
高屏,2016,44,2.39
中彰投,2016,45,2.44
北北基桃竹苗,2016,45,5.33
宜花東,2016,45,2.48
雲嘉南,2016,45,2.19
高屏,2016,45,2.25
中彰投,2016,46,3.38
北北基桃竹苗,2016,46,5.82
宜花東,2016,46,2.55
雲嘉南,2016,46,2.48
高屏,2016,46,2.2
中彰投,2016,47,4.55
北北基桃竹苗,2016,47,7.24
宜花東,2016,47,3.23
雲嘉南,2016,47,3.53
高屏,2016,47,3.74
中彰投,2016,48,3.12
北北基桃竹苗,2016,48,4.5
宜花東,2016,48,2.8
雲嘉南,2016,48,2.87
高屏,2016,48,3.35
中彰投,2016,49,2.82
北北基桃竹苗,2016,49,3.91
宜花東,2016,49,2.53
雲嘉南,2016,49,2.67
高屏,2016,49,3.34
中彰投,2016,50,4.28
北北基桃竹苗,2016,50,5.04
宜花東,2016,50,2.66
雲嘉南,2016,50,3.67
高屏,2016,50,2.97
中彰投,2016,51,4.01
北北基桃竹苗,2016,51,7.66
宜花東,2016,51,3.3
雲嘉南,2016,51,3.15
高屏,2016,51,3.2
中彰投,2016,52,3.99
北北基桃竹苗,2016,52,4.64
宜花東,2016,52,2.68
雲嘉南,2016,52,3.49
高屏,2016,52,4.03
中彰投,2017,1,4.68
北北基桃竹苗,2017,1,6.69
宜花東,2017,1,2.96
雲嘉南,2017,1,3.61
高屏,2017,1,3.15
中彰投,2017,2,3.64
北北基桃竹苗,2017,2,4.28
宜花東,2017,2,2.5
雲嘉南,2017,2,3.22
高屏,2017,2,3.36
中彰投,2017,3,3.53
北北基桃竹苗,2017,3,5.2
宜花東,2017,3,2.81
雲嘉南,2017,3,2.98
高屏,2017,3,3.06
中彰投,2017,4,2.64
北北基桃竹苗,2017,4,3.92
宜花東,2017,4,2.34
雲嘉南,2017,4,2.62
高屏,2017,4,2.83
中彰投,2017,5,2.15
北北基桃竹苗,2017,5,4.58
宜花東,2017,5,2.22
雲嘉南,2017,5,2.15
高屏,2017,5,2.16
中彰投,2017,6,2.26
北北基桃竹苗,2017,6,3.93
宜花東,2017,6,2.4
雲嘉南,2017,6,2.44
高屏,2017,6,2.93
中彰投,2017,7,3.8
北北基桃竹苗,2017,7,5.82
宜花東,2017,7,2.59
雲嘉南,2017,7,3.14
高屏,2017,7,2.83
中彰投,2017,8,3.83
北北基桃竹苗,2017,8,6.43
宜花東,2017,8,2.79
雲嘉南,2017,8,2.92
高屏,2017,8,3.17
中彰投,2017,9,2.38
北北基桃竹苗,2017,9,6.21
宜花東,2017,9,2.21
雲嘉南,2017,9,2.01
高屏,2017,9,2.04
中彰投,2017,10,3.34
北北基桃竹苗,2017,10,5.88
宜花東,2017,10,2.47
雲嘉南,2017,10,2.33
高屏,2017,10,3.19
中彰投,2017,11,2.53
北北基桃竹苗,2017,11,4.68
宜花東,2017,11,2.59
雲嘉南,2017,11,2.18
高屏,2017,11,2.5
中彰投,2017,12,2.31
北北基桃竹苗,2017,12,5.11
宜花東,2017,12,2.33
雲嘉南,2017,12,1.98
高屏,2017,12,2.02
中彰投,2017,13,2.62
北北基桃竹苗,2017,13,5.1
宜花東,2017,13,2.31
雲嘉南,2017,13,2.0
高屏,2017,13,1.84
中彰投,2017,14,1.91
北北基桃竹苗,2017,14,5.21
宜花東,2017,14,1.91
雲嘉南,2017,14,1.73
高屏,2017,14,1.61
中彰投,2017,15,3.31
北北基桃竹苗,2017,15,6.1
宜花東,2017,15,2.48
雲嘉南,2017,15,2.27
高屏,2017,15,2.93
中彰投,2017,16,2.2
北北基桃竹苗,2017,16,6.04
宜花東,2017,16,2.64
雲嘉南,2017,16,1.93
高屏,2017,16,2.13
中彰投,2017,17,2.09
北北基桃竹苗,2017,17,5.75
宜花東,2017,17,2.39
雲嘉南,2017,17,1.97
高屏,2017,17,1.83
中彰投,2017,18,2.59
北北基桃竹苗,2017,18,5.06
宜花東,2017,18,2.27
雲嘉南,2017,18,1.82
高屏,2017,18,1.69
中彰投,2017,19,2.18
北北基桃竹苗,2017,19,4.72
宜花東,2017,19,2.36
雲嘉南,2017,19,1.91
高屏,2017,19,2.1
中彰投,2017,20,2.0
北北基桃竹苗,2017,20,3.38
宜花東,2017,20,2.11
雲嘉南,2017,20,1.58
高屏,2017,20,1.85
中彰投,2017,21,2.01
北北基桃竹苗,2017,21,4.04
宜花東,2017,21,2.28
雲嘉南,2017,21,1.85
高屏,2017,21,1.72
中彰投,2017,22,1.89
北北基桃竹苗,2017,22,4.27
宜花東,2017,22,2.45
雲嘉南,2017,22,1.78
高屏,2017,22,1.99
中彰投,2017,23,2.47
北北基桃竹苗,2017,23,5.16
宜花東,2017,23,2.93
雲嘉南,2017,23,2.1
高屏,2017,23,2.38
中彰投,2017,24,2.3
北北基桃竹苗,2017,24,6.07
宜花東,2017,24,2.82
雲嘉南,2017,24,2.15
高屏,2017,24,2.62
中彰投,2017,25,2.75
北北基桃竹苗,2017,25,8.06
宜花東,2017,25,3.2
雲嘉南,2017,25,2.35
高屏,2017,25,2.7
中彰投,2017,26,1.98
北北基桃竹苗,2017,26,4.7
宜花東,2017,26,2.59
雲嘉南,2017,26,1.95
高屏,2017,26,2.31
中彰投,2017,27,2.2
北北基桃竹苗,2017,27,5.79
宜花東,2017,27,3.32
雲嘉南,2017,27,2.28
高屏,2017,27,2.56
中彰投,2017,28,1.81
北北基桃竹苗,2017,28,5.31
宜花東,2017,28,2.75
雲嘉南,2017,28,1.96
高屏,2017,28,2.12
中彰投,2017,29,1.81
北北基桃竹苗,2017,29,4.55
宜花東,2017,29,2.76
雲嘉南,2017,29,1.78
高屏,2017,29,1.89
中彰投,2017,30,1.4
北北基桃竹苗,2017,30,4.25
宜花東,2017,30,2.46
雲嘉南,2017,30,1.49
高屏,2017,30,1.97
中彰投,2017,31,1.78
北北基桃竹苗,2017,31,5.17
宜花東,2017,31,2.5
雲嘉南,2017,31,1.8
高屏,2017,31,2.03
中彰投,2017,32,1.72
北北基桃竹苗,2017,32,4.64
宜花東,2017,32,2.15
雲嘉南,2017,32,1.89
高屏,2017,32,2.01
中彰投,2017,33,2.28
北北基桃竹苗,2017,33,4.6
宜花東,2017,33,2.28
雲嘉南,2017,33,2.0
高屏,2017,33,1.81
中彰投,2017,34,2.14
北北基桃竹苗,2017,34,4.48
宜花東,2017,34,2.48
雲嘉南,2017,34,1.73
高屏,2017,34,1.8
中彰投,2017,35,1.92
北北基桃竹苗,2017,35,3.85
宜花東,2017,35,2.62
雲嘉南,2017,35,1.83
高屏,2017,35,1.94
中彰投,2017,36,1.65
北北基桃竹苗,2017,36,4.84
宜花東,2017,36,2.11
雲嘉南,2017,36,1.78
高屏,2017,36,1.72
中彰投,2017,37,2.33
北北基桃竹苗,2017,37,4.96
宜花東,2017,37,2.38
雲嘉南,2017,37,1.99
高屏,2017,37,1.55
中彰投,2017,38,1.25
北北基桃竹苗,2017,38,3.54
宜花東,2017,38,2.08
雲嘉南,2017,38,1.41
高屏,2017,38,1.13
中彰投,2017,39,1.98
北北基桃竹苗,2017,39,4.31
宜花東,2017,39,2.32
雲嘉南,2017,39,1.84
高屏,2017,39,1.75
中彰投,2017,40,1.8
北北基桃竹苗,2017,40,3.15
宜花東,2017,40,1.71
雲嘉南,2017,40,1.21
高屏,2017,40,1.18
中彰投,2017,41,2.14
北北基桃竹苗,2017,41,3.73
宜花東,2017,41,2.65
雲嘉南,2017,41,1.96
高屏,2017,41,2.05
中彰投,2017,42,2.14
北北基桃竹苗,2017,42,5.85
宜花東,2017,42,2.41
雲嘉南,2017,42,1.92
高屏,2017,42,2.01
中彰投,2017,43,1.4
北北基桃竹苗,2017,43,3.84
宜花東,2017,43,1.85
雲嘉南,2017,43,1.63
高屏,2017,43,1.54
中彰投,2017,44,1.97
北北基桃竹苗,2017,44,4.24
宜花東,2017,44,2.0
雲嘉南,2017,44,1.94
高屏,2017,44,1.62
中彰投,2017,45,2.16
北北基桃竹苗,2017,45,3.85
宜花東,2017,45,2.28
雲嘉南,2017,45,1.82
高屏,2017,45,2.07
中彰投,2017,46,3.31
北北基桃竹苗,2017,46,4.99
宜花東,2017,46,2.59
雲嘉南,2017,46,2.65
高屏,2017,46,2.57
中彰投,2017,47,2.36
北北基桃竹苗,2017,47,4.85
宜花東,2017,47,2.56
雲嘉南,2017,47,1.93
高屏,2017,47,2.4
中彰投,2017,48,2.69
北北基桃竹苗,2017,48,5.2
宜花東,2017,48,2.16
雲嘉南,2017,48,1.94
高屏,2017,48,2.23
中彰投,2017,49,3.08
北北基桃竹苗,2017,49,4.97
宜花東,2017,49,2.4
雲嘉南,2017,49,2.3
高屏,2017,49,2.45
中彰投,2017,50,4.38
北北基桃竹苗,2017,50,5.48
宜花東,2017,50,2.48
雲嘉南,2017,50,3.41
高屏,2017,50,2.98
中彰投,2017,51,2.9
北北基桃竹苗,2017,51,5.15
宜花東,2017,51,2.02
雲嘉南,2017,51,2.17
高屏,2017,51,2.25
中彰投,2017,52,3.09
北北基桃竹苗,2017,52,3.85
宜花東,2017,52,1.71
雲嘉南,2017,52,2.26
高屏,2017,52,1.94
中彰投,2018,1,4.78
北北基桃竹苗,2018,1,5.06
宜花東,2018,1,2.71
雲嘉南,2018,1,3.21
高屏,2018,1,3.71
中彰投,2018,2,3.43
北北基桃竹苗,2018,2,6.29
宜花東,2018,2,2.42
雲嘉南,2018,2,2.8
高屏,2018,2,2.97
中彰投,2018,3,4.25
北北基桃竹苗,2018,3,7.12
宜花東,2018,3,2.95
雲嘉南,2018,3,2.82
高屏,2018,3,3.14
中彰投,2018,4,2.73
北北基桃竹苗,2018,4,3.76
宜花東,2018,4,1.8
雲嘉南,2018,4,2.26
高屏,2018,4,2.49
中彰投,2018,5,2.58
北北基桃竹苗,2018,5,4.06
宜花東,2018,5,2.11
雲嘉南,2018,5,2.42
高屏,2018,5,3.09
中彰投,2018,6,5.4
北北基桃竹苗,2018,6,7.43
宜花東,2018,6,3.25
