region,year,week,value
中彰投,2016,1,24.57
北北基桃竹苗,2016,1,30.7
宜花東,2016,1,15.33
雲嘉南,2016,1,21.97
高屏,2016,1,21.49
中彰投,2016,2,18.3
北北基桃竹苗,2016,2,21.41
宜花東,2016,2,13.44
雲嘉南,2016,2,18.13
高屏,2016,2,20.04
中彰投,2016,3,22.65
北北基桃竹苗,2016,3,23.66
宜花東,2016,3,15.32
雲嘉南,2016,3,23.09
高屏,2016,3,23.18
中彰投,2016,4,20.73
北北基桃竹苗,2016,4,26.83
宜花東,2016,4,14.4
雲嘉南,2016,4,18.21
高屏,2016,4,20.9
中彰投,2016,5,19.73
北北基桃竹苗,2016,5,21.99
宜花東,2016,5,13.69
雲嘉南,2016,5,18.3
高屏,2016,5,21.03
中彰投,2016,6,16.16
北北基桃竹苗,2016,6,20.81
宜花東,2016,6,11.29
雲嘉南,2016,6,15.57
高屏,2016,6,15.35
中彰投,2016,7,18.37
北北基桃竹苗,2016,7,22.0
宜花東,2016,7,12.34
雲嘉南,2016,7,19.99
高屏,2016,7,19.23
中彰投,2016,8,21.04
北北基桃竹苗,2016,8,19.87
宜花東,2016,8,12.08
雲嘉南,2016,8,19.5
高屏,2016,8,20.36
中彰投,2016,9,22.3
北北基桃竹苗,2016,9,23.39
宜花東,2016,9,11.59
雲嘉南,2016,9,19.15
高屏,2016,9,18.65
中彰投,2016,10,21.54
北北基桃竹苗,2016,10,30.27
宜花東,2016,10,12.1
雲嘉南,2016,10,19.33
高屏,2016,10,19.06
中彰投,2016,11,26.77
北北基桃竹苗,2016,11,32.7
宜花東,2016,11,15.01
雲嘉南,2016,11,23.82
高屏,2016,11,23.67
中彰投,2016,12,23.4
北北基桃竹苗,2016,12,31.08
宜花東,2016,12,14.41
雲嘉南,2016,12,19.02
高屏,2016,12,18.45
中彰投,2016,13,19.47
北北基桃竹苗,2016,13,28.23
宜花東,2016,13,12.51
雲嘉南,2016,13,18.04
高屏,2016,13,18.29
中彰投,2016,14,16.51
北北基桃竹苗,2016,14,26.7
宜花東,2016,14,11.44
雲嘉南,2016,14,13.68
高屏,2016,14,13.84
中彰投,2016,15,17.04
北北基桃竹苗,2016,15,24.01
宜花東,2016,15,11.94
雲嘉南,2016,15,13.4
高屏,2016,15,14.38
中彰投,2016,16,16.19
北北基桃竹苗,2016,16,24.96
宜花東,2016,16,11.25
雲嘉南,2016,16,13.39
高屏,2016,16,13.33
中彰投,2016,17,13.75
北北基桃竹苗,2016,17,20.55
宜花東,2016,17,10.05
雲嘉南,2016,17,11.94
高屏,2016,17,11.63
中彰投,2016,18,15.08
北北基桃竹苗,2016,18,21.62
宜花東,2016,18,10.19
雲嘉南,2016,18,13.37
高屏,2016,18,11.8
中彰投,2016,19,13.6
北北基桃竹苗,2016,19,20.27
宜花東,2016,19,9.03
雲嘉南,2016,19,11.84
高屏,2016,19,10.79
中彰投,2016,20,13.76
北北基桃竹苗,2016,20,16.75
宜花東,2016,20,8.62
雲嘉南,2016,20,12.58
高屏,2016,20,12.02
中彰投,2016,21,15.81
北北基桃竹苗,2016,21,22.99
宜花東,2016,21,9.95
雲嘉南,2016,21,12.23
高屏,2016,21,10.91
中彰投,2016,22,8.94
北北基桃竹苗,2016,22,17.09
宜花東,2016,22,8.46
雲嘉南,2016,22,8.08
高屏,2016,22,8.96
中彰投,2016,23,10.14
北北基桃竹苗,2016,23,18.17
宜花東,2016,23,8.3
雲嘉南,2016,23,8.56
高屏,2016,23,9.13
中彰投,2016,24,9.35
北北基桃竹苗,2016,24,17.96
宜花東,2016,24,9.59
雲嘉南,2016,24,9.98
高屏,2016,24,10.92
中彰投,2016,25,9.95
北北基桃竹苗,2016,25,17.81
宜花東,2016,25,8.18
雲嘉南,2016,25,9.98
高屏,2016,25,9.49
中彰投,2016,26,10.2
北北基桃竹苗,2016,26,18.09
宜花東,2016,26,8.21
雲嘉南,2016,26,9.61
高屏,2016,26,8.34
中彰投,2016,27,10.4
北北基桃竹苗,2016,27,15.62
宜花東,2016,27,7.88
雲嘉南,2016,27,9.79
高屏,2016,27,9.26
中彰投,2016,28,8.04
北北基桃竹苗,2016,28,15.63
宜花東,2016,28,7.93
雲嘉南,2016,28,7.35
高屏,2016,28,8.1
中彰投,2016,29,9.28
