region,year,week,value
中彰投,2016,1,18.77
北北基桃竹苗,2016,1,20.04
宜花東,2016,1,21.84
雲嘉南,2016,1,20.62
高屏,2016,1,22.14
中彰投,2016,2,25.01
北北基桃竹苗,2016,2,28.82
宜花東,2016,2,26.94
雲嘉南,2016,2,26.42
高屏,2016,2,25.66
中彰投,2016,3,21.16
北北基桃竹苗,2016,3,26.31
宜花東,2016,3,23.72
雲嘉南,2016,3,21.9
高屏,2016,3,24.87
中彰投,2016,4,23.66
北北基桃竹苗,2016,4,25.36
宜花東,2016,4,24.9
雲嘉南,2016,4,25.91
高屏,2016,4,25.33
中彰投,2016,5,22.51
北北基桃竹苗,2016,5,27.1
宜花東,2016,5,25.88
雲嘉南,2016,5,23.45
高屏,2016,5,22.06
中彰投,2016,6,38.64
北北基桃竹苗,2016,6,37.66
宜花東,2016,6,36.91
雲嘉南,2016,6,40.55
高屏,2016,6,39.44
中彰投,2016,7,20.9
北北基桃竹苗,2016,7,24.54
宜花東,2016,7,24.65
雲嘉南,2016,7,20.17
高屏,2016,7,21.58
中彰投,2016,8,27.16
北北基桃竹苗,2016,8,33.65
宜花東,2016,8,33.91
雲嘉南,2016,8,29.93
高屏,2016,8,32.2
中彰投,2016,9,31.24
北北基桃竹苗,2016,9,34.8
宜花東,2016,9,35.38
雲嘉南,2016,9,35.12
高屏,2016,9,38.48
中彰投,2016,10,25.31
北北基桃竹苗,2016,10,23.48
宜花東,2016,10,24.96
雲嘉南,2016,10,25.7
高屏,2016,10,30.41
中彰投,2016,11,20.52
北北基桃竹苗,2016,11,26.5
宜花東,2016,11,28.29
雲嘉南,2016,11,22.01
高屏,2016,11,23.72
中彰投,2016,12,22.82
北北基桃竹苗,2016,12,30.97
宜花東,2016,12,29.76
雲嘉南,2016,12,24.18
高屏,2016,12,25.81
中彰投,2016,13,44.14
北北基桃竹苗,2016,13,40.76
宜花東,2016,13,41.97
雲嘉南,2016,13,45.41
高屏,2016,13,42.69
中彰投,2016,14,30.51
北北基桃竹苗,2016,14,27.34
宜花東,2016,14,28.65
雲嘉南,2016,14,30.43
高屏,2016,14,29.63
中彰投,2016,15,27.74
北北基桃竹苗,2016,15,25.84
宜花東,2016,15,26.35
雲嘉南,2016,15,29.03
高屏,2016,15,29.12
中彰投,2016,16,29.42
北北基桃竹苗,2016,16,31.91
宜花東,2016,16,29.06
雲嘉南,2016,16,29.41
高屏,2016,16,27.84
中彰投,2016,17,26.16
北北基桃竹苗,2016,17,28.48
宜花東,2016,17,25.14
雲嘉南,2016,17,25.77
高屏,2016,17,24.58
中彰投,2016,18,33.53
北北基桃竹苗,2016,18,39.73
宜花東,2016,18,35.18
雲嘉南,2016,18,33.36
高屏,2016,18,36.56
中彰投,2016,19,27.54
北北基桃竹苗,2016,19,28.89
宜花東,2016,19,24.27
雲嘉南,2016,19,25.21
高屏,2016,19,22.29
中彰投,2016,20,38.26
北北基桃竹苗,2016,20,36.04
宜花東,2016,20,31.65
雲嘉南,2016,20,40.09
高屏,2016,20,41.15
中彰投,2016,21,28.19
北北基桃竹苗,2016,21,24.38
宜花東,2016,21,23.87
雲嘉南,2016,21,29.49
高屏,2016,21,29.81
中彰投,2016,22,21.62
北北基桃竹苗,2016,22,22.67
宜花東,2016,22,20.49
雲嘉南,2016,22,18.63
高屏,2016,22,18.78
中彰投,2016,23,26.39
北北基桃竹苗,2016,23,26.0
宜花東,2016,23,21.86
雲嘉南,2016,23,23.69
高屏,2016,23,21.62
中彰投,2016,24,19.61
北北基桃竹苗,2016,24,19.36
宜花東,2016,24,16.37
雲嘉南,2016,24,19.21
高屏,2016,24,18.57
中彰投,2016,25,22.15
北北基桃竹苗,2016,25,22.79
