region,year,week,value
中彰投,2016,1,52.15
北北基桃竹苗,2016,1,47.43
宜花東,2016,1,28.68
雲嘉南,2016,1,69.38
高屏,2016,1,60.98
中彰投,2016,2,42.6
北北基桃竹苗,2016,2,38.94
宜花東,2016,2,28.18
雲嘉南,2016,2,55.26
高屏,2016,2,54.12
中彰投,2016,3,43.98
北北基桃竹苗,2016,3,40.75
宜花東,2016,3,31.55
雲嘉南,2016,3,59.57
高屏,2016,3,61.29
中彰投,2016,4,39.54
北北基桃竹苗,2016,4,35.27
宜花東,2016,4,26.12
雲嘉南,2016,4,49.91
高屏,2016,4,48.19
中彰投,2016,5,29.89
北北基桃竹苗,2016,5,23.6
宜花東,2016,5,20.11
雲嘉南,2016,5,41.31
高屏,2016,5,47.51
中彰投,2016,6,62.23
北北基桃竹苗,2016,6,57.07
宜花東,2016,6,45.3
雲嘉南,2016,6,79.28
高屏,2016,6,61.91
中彰投,2016,7,39.74
北北基桃竹苗,2016,7,33.28
宜花東,2016,7,26.18
雲嘉南,2016,7,50.65
高屏,2016,7,49.24
中彰投,2016,8,63.22
北北基桃竹苗,2016,8,51.95
宜花東,2016,8,42.43
雲嘉南,2016,8,83.96
高屏,2016,8,77.6
中彰投,2016,9,64.22
北北基桃竹苗,2016,9,44.16
宜花東,2016,9,39.35
雲嘉南,2016,9,82.89
高屏,2016,9,75.25
中彰投,2016,10,55.75
北北基桃竹苗,2016,10,46.06
宜花東,2016,10,29.09
雲嘉南,2016,10,63.32
高屏,2016,10,56.43
中彰投,2016,11,39.49
北北基桃竹苗,2016,11,35.41
宜花東,2016,11,27.09
雲嘉南,2016,11,53.24
高屏,2016,11,53.59
中彰投,2016,12,56.02
北北基桃竹苗,2016,12,45.83
宜花東,2016,12,37.27
雲嘉南,2016,12,67.3
高屏,2016,12,58.15
中彰投,2016,13,63.04
北北基桃竹苗,2016,13,61.53
宜花東,2016,13,45.96
雲嘉南,2016,13,76.91
高屏,2016,13,60.28
中彰投,2016,14,72.41
北北基桃竹苗,2016,14,65.35
宜花東,2016,14,45.96
雲嘉南,2016,14,70.96
高屏,2016,14,56.05
中彰投,2016,15,47.75
北北基桃竹苗,2016,15,40.96
宜花東,2016,15,32.63
雲嘉南,2016,15,49.85
高屏,2016,15,36.51
中彰投,2016,16,47.24
北北基桃竹苗,2016,16,43.18
宜花東,2016,16,32.54
雲嘉南,2016,16,49.2
高屏,2016,16,41.16
中彰投,2016,17,42.61
北北基桃竹苗,2016,17,47.03
宜花東,2016,17,34.19
雲嘉南,2016,17,43.91
高屏,2016,17,34.91
中彰投,2016,18,54.33
北北基桃竹苗,2016,18,59.97
宜花東,2016,18,47.86
雲嘉南,2016,18,63.42
高屏,2016,18,54.68
中彰投,2016,19,37.75
北北基桃竹苗,2016,19,39.66
宜花東,2016,19,29.17
雲嘉南,2016,19,39.83
