region,year,week,value
中彰投,2016,1,28.32
北北基桃竹苗,2016,1,24.88
宜花東,2016,1,13.23
雲嘉南,2016,1,38.0
高屏,2016,1,34.15
中彰投,2016,2,23.24
北北基桃竹苗,2016,2,20.36
宜花東,2016,2,14.18
雲嘉南,2016,2,30.05
高屏,2016,2,30.2
中彰投,2016,3,25.68
北北基桃竹苗,2016,3,21.96
宜花東,2016,3,16.65
雲嘉南,2016,3,35.44
高屏,2016,3,35.31
中彰投,2016,4,19.44
北北基桃竹苗,2016,4,15.96
宜花東,2016,4,12.48
雲嘉南,2016,4,25.43
高屏,2016,4,26.89
中彰投,2016,5,15.2
北北基桃竹苗,2016,5,9.42
宜花東,2016,5,9.3
雲嘉南,2016,5,20.11
高屏,2016,5,25.74
中彰投,2016,6,36.76
北北基桃竹苗,2016,6,31.14
宜花東,2016,6,23.93
雲嘉南,2016,6,45.72
高屏,2016,6,35.83
中彰投,2016,7,22.51
北北基桃竹苗,2016,7,17.01
宜花東,2016,7,13.3
雲嘉南,2016,7,25.88
高屏,2016,7,27.2
中彰投,2016,8,34.5
北北基桃竹苗,2016,8,21.46
宜花東,2016,8,18.78
雲嘉南,2016,8,41.81
高屏,2016,8,42.97
中彰投,2016,9,33.04
北北基桃竹苗,2016,9,20.76
宜花東,2016,9,17.12
雲嘉南,2016,9,40.4
高屏,2016,9,39.36
中彰投,2016,10,33.57
北北基桃竹苗,2016,10,25.79
宜花東,2016,10,14.01
雲嘉南,2016,10,37.66
高屏,2016,10,32.24
中彰投,2016,11,23.6
北北基桃竹苗,2016,11,18.68
宜花東,2016,11,13.41
雲嘉南,2016,11,32.18
高屏,2016,11,30.4
中彰投,2016,12,32.52
北北基桃竹苗,2016,12,24.0
宜花東,2016,12,19.1
雲嘉南,2016,12,38.25
高屏,2016,12,34.19
中彰投,2016,13,36.9
北北基桃竹苗,2016,13,33.24
宜花東,2016,13,23.56
雲嘉南,2016,13,46.01
高屏,2016,13,33.75
中彰投,2016,14,44.24
北北基桃竹苗,2016,14,39.64
宜花東,2016,14,24.02
雲嘉南,2016,14,42.84
高屏,2016,14,31.27
中彰投,2016,15,28.51
北北基桃竹苗,2016,15,23.49
宜花東,2016,15,15.9
雲嘉南,2016,15,27.81
高屏,2016,15,18.3
中彰投,2016,16,25.38
北北基桃竹苗,2016,16,21.63
宜花東,2016,16,13.85
雲嘉南,2016,16,24.71
高屏,2016,16,20.32
中彰投,2016,17,22.85
北北基桃竹苗,2016,17,26.07
宜花東,2016,17,16.04
雲嘉南,2016,17,21.71
高屏,2016,17,16.05
中彰投,2016,18,31.39
北北基桃竹苗,2016,18,34.1
宜花東,2016,18,22.84
雲嘉南,2016,18,35.88
高屏,2016,18,29.02
中彰投,2016,19,19.42
北北基桃竹苗,2016,19,20.13
宜花東,2016,19,10.97
雲嘉南,2016,19,17.91
高屏,2016,19,10.91
中彰投,2016,20,23.08
北北基桃竹苗,2016,20,17.1
宜花東,2016,20,10.72
雲嘉南,2016,20,25.67
高屏,2016,20,19.73
中彰投,2016,21,25.35
北北基桃竹苗,2016,21,21.32
宜花東,2016,21,11.34
雲嘉南,2016,21,24.34
高屏,2016,21,15.19
中彰投,2016,22,11.87
北北基桃竹苗,2016,22,13.99
宜花東,2016,22,10.24
雲嘉南,2016,22,10.26
高屏,2016,22,8.83
中彰投,2016,23,12.76
北北基桃竹苗,2016,23,14.27
宜花東,2016,23,9.3
雲嘉南,2016,23,10.79
高屏,2016,23,8.98
中彰投,2016,24,8.42
北北基桃竹苗,2016,24,8.58
宜花東,2016,24,7.79
雲嘉南,2016,24,8.19
高屏,2016,24,7.23
中彰投,2016,25,11.93
北北基桃竹苗,2016,25,12.12
宜花東,2016,25,8.24
雲嘉南,2016,25,11.6
高屏,2016,25,8.44
中彰投,2016,26,13.35
北北基桃竹苗,2016,26,13.09
宜花東,2016,26,7.59
雲嘉南,2016,26,11.98
高屏,2016,26,7.05
中彰投,2016,27,15.01
北北基桃竹苗,2016,27,10.78
宜花東,2016,27,7.0
雲嘉南,2016,27,13.35
高屏,2016,27,10.65
中彰投,2016,28,8.17
北北基桃竹苗,2016,28,9.67
宜花東,2016,28,7.7
雲嘉南,2016,28,7.53
高屏,2016,28,7.04
中彰投,2016,29,13.33
北北基桃竹苗,2016,29,13.77
宜花東,2016,29,10.53
雲嘉南,2016,29,12.1
高屏,2016,29,10.67
中彰投,2016,30,18.92
北北基桃竹苗,2016,30,19.27
宜花東,2016,30,11.93
雲嘉南,2016,30,15.03
高屏,2016,30,12.36
中彰投,2016,31,18.69
北北基桃竹苗,2016,31,14.18
宜花東,2016,31,9.94
雲嘉南,2016,31,16.74
高屏,2016,31,12.51
中彰投,2016,32,17.43
北北基桃竹苗,2016,32,11.47
宜花東,2016,32,9.89
雲嘉南,2016,32,16.33
高屏,2016,32,12.03
中彰投,2016,33,12.88
北北基桃竹苗,2016,33,10.34
宜花東,2016,33,7.23
雲嘉南,2016,33,11.31
高屏,2016,33,5.97
中彰投,2016,34,23.52
北北基桃竹苗,2016,34,16.77
宜花東,2016,34,12.73
雲嘉南,2016,34,22.12
高屏,2016,34,16.67
中彰投,2016,35,32.01
北北基桃竹苗,2016,35,23.78
宜花東,2016,35,17.24
雲嘉南,2016,35,32.25
高屏,2016,35,23.29
中彰投,2016,36,11.27
北北基桃竹苗,2016,36,12.25
宜花東,2016,36,9.9
雲嘉南,2016,36,8.93
高屏,2016,36,6.55
中彰投,2016,37,12.65
北北基桃竹苗,2016,37,9.82
宜花東,2016,37,6.82
雲嘉南,2016,37,12.11
高屏,2016,37,9.63
中彰投,2016,38,18.41
北北基桃竹苗,2016,38,12.22
宜花東,2016,38,10.88
雲嘉南,2016,38,22.27
高屏,2016,38,18.24
中彰投,2016,39,18.85
北北基桃竹苗,2016,39,13.02
宜花東,2016,39,12.17
雲嘉南,2016,39,22.11
高屏,2016,39,23.67
中彰投,2016,40,27.29
北北基桃竹苗,2016,40,13.74
宜花東,2016,40,9.87
雲嘉南,2016,40,27.19
高屏,2016,40,18.96
中彰投,2016,41,13.92
北北基桃竹苗,2016,41,8.56
宜花東,2016,41,6.23
雲嘉南,2016,41,15.83
高屏,2016,41,13.22
中彰投,2016,42,42.87
北北基桃竹苗,2016,42,15.66
宜花東,2016,42,10.56
雲嘉南,2016,42,37.28
高屏,2016,42,30.78
