region,year,week,value
中彰投,2016,1,82.55
北北基桃竹苗,2016,1,86.46
宜花東,2016,1,82.31
雲嘉南,2016,1,84.37
高屏,2016,1,82.45
中彰投,2016,2,80.18
北北基桃竹苗,2016,2,83.34
宜花東,2016,2,80.56
雲嘉南,2016,2,80.43
高屏,2016,2,79.48
中彰投,2016,3,80.7
北北基桃竹苗,2016,3,84.26
宜花東,2016,3,81.62
雲嘉南,2016,3,80.47
高屏,2016,3,79.88
中彰投,2016,4,76.4
北北基桃竹苗,2016,4,76.77
宜花東,2016,4,77.66
雲嘉南,2016,4,74.21
高屏,2016,4,77.13
中彰投,2016,5,84.24
北北基桃竹苗,2016,5,87.72
宜花東,2016,5,81.31
雲嘉南,2016,5,83.32
高屏,2016,5,80.01
中彰投,2016,6,64.68
北北基桃竹苗,2016,6,64.5
宜花東,2016,6,67.76
雲嘉南,2016,6,65.43
高屏,2016,6,64.62
中彰投,2016,7,74.79
北北基桃竹苗,2016,7,79.29
宜花東,2016,7,77.34
雲嘉南,2016,7,74.81
高屏,2016,7,74.02
中彰投,2016,8,76.46
北北基桃竹苗,2016,8,80.18
宜花東,2016,8,74.52
雲嘉南,2016,8,74.38
高屏,2016,8,72.72
中彰投,2016,9,71.15
北北基桃竹苗,2016,9,72.96
宜花東,2016,9,69.75
雲嘉南,2016,9,71.86
高屏,2016,9,68.09
中彰投,2016,10,76.48
北北基桃竹苗,2016,10,81.48
宜花東,2016,10,78.42
雲嘉南,2016,10,75.7
高屏,2016,10,72.6
中彰投,2016,11,86.71
北北基桃竹苗,2016,11,88.98
宜花東,2016,11,82.69
雲嘉南,2016,11,84.86
高屏,2016,11,81.62
中彰投,2016,12,87.3
北北基桃竹苗,2016,12,88.69
宜花東,2016,12,84.08
雲嘉南,2016,12,85.44
高屏,2016,12,81.25
中彰投,2016,13,65.64
北北基桃竹苗,2016,13,69.63
宜花東,2016,13,70.83
雲嘉南,2016,13,67.93
高屏,2016,13,69.69
中彰投,2016,14,76.95
北北基桃竹苗,2016,14,80.62
宜花東,2016,14,78.02
雲嘉南,2016,14,76.37
高屏,2016,14,73.8
中彰投,2016,15,81.06
北北基桃竹苗,2016,15,87.94
宜花東,2016,15,81.95
雲嘉南,2016,15,80.52
高屏,2016,15,76.81
中彰投,2016,16,80.26
北北基桃竹苗,2016,16,82.28
宜花東,2016,16,77.62
雲嘉南,2016,16,79.14
高屏,2016,16,74.68
中彰投,2016,17,77.44
北北基桃竹苗,2016,17,81.38
