region,year,week,value
中彰投,2016,1,2.84
北北基桃竹苗,2016,1,3.02
宜花東,2016,1,2.06
雲嘉南,2016,1,2.98
高屏,2016,1,3.35
中彰投,2016,2,2.63
北北基桃竹苗,2016,2,2.63
宜花東,2016,2,1.79
雲嘉南,2016,2,2.99
高屏,2016,2,3.09
中彰投,2016,3,2.72
北北基桃竹苗,2016,3,2.41
宜花東,2016,3,2.09
雲嘉南,2016,3,3.16
高屏,2016,3,3.5
中彰投,2016,4,2.61
北北基桃竹苗,2016,4,2.78
宜花東,2016,4,1.86
雲嘉南,2016,4,2.99
高屏,2016,4,2.84
中彰投,2016,5,2.34
北北基桃竹苗,2016,5,2.09
宜花東,2016,5,1.71
雲嘉南,2016,5,2.06
高屏,2016,5,2.36
中彰投,2016,6,3.04
北北基桃竹苗,2016,6,2.97
宜花東,2016,6,1.84
雲嘉南,2016,6,3.05
高屏,2016,6,2.74
中彰投,2016,7,2.6
北北基桃竹苗,2016,7,2.19
宜花東,2016,7,1.75
雲嘉南,2016,7,3.01
高屏,2016,7,2.85
中彰投,2016,8,2.64
北北基桃竹苗,2016,8,2.04
宜花東,2016,8,1.79
雲嘉南,2016,8,3.3
高屏,2016,8,3.29
中彰投,2016,9,3.11
北北基桃竹苗,2016,9,2.4
宜花東,2016,9,1.8
雲嘉南,2016,9,3.35
高屏,2016,9,3.36
中彰投,2016,10,3.25
北北基桃竹苗,2016,10,3.12
宜花東,2016,10,1.94
雲嘉南,2016,10,3.63
高屏,2016,10,3.8
中彰投,2016,11,2.63
北北基桃竹苗,2016,11,2.33
宜花東,2016,11,1.8
雲嘉南,2016,11,3.05
高屏,2016,11,3.39
中彰投,2016,12,2.6
北北基桃竹苗,2016,12,2.41
宜花東,2016,12,1.85
雲嘉南,2016,12,2.52
高屏,2016,12,2.92
中彰投,2016,13,3.28
北北基桃竹苗,2016,13,3.25
宜花東,2016,13,2.05
雲嘉南,2016,13,3.23
高屏,2016,13,3.37
中彰投,2016,14,3.16
北北基桃竹苗,2016,14,3.54
宜花東,2016,14,2.08
雲嘉南,2016,14,3.14
高屏,2016,14,3.65
中彰投,2016,15,3.01
北北基桃竹苗,2016,15,2.91
宜花東,2016,15,2.09
雲嘉南,2016,15,2.92
高屏,2016,15,3.56
中彰投,2016,16,2.76
北北基桃竹苗,2016,16,2.85
宜花東,2016,16,2.07
雲嘉南,2016,16,2.98
高屏,2016,16,3.23
中彰投,2016,17,2.96
北北基桃竹苗,2016,17,3.2
宜花東,2016,17,2.13
雲嘉南,2016,17,2.99
高屏,2016,17,3.23
中彰投,2016,18,2.96
北北基桃竹苗,2016,18,3.37
宜花東,2016,18,2.11
雲嘉南,2016,18,3.23
高屏,2016,18,3.46
中彰投,2016,19,3.04
北北基桃竹苗,2016,19,3.32
宜花東,2016,19,1.74
雲嘉南,2016,19,3.02
高屏,2016,19,3.26
中彰投,2016,20,2.99
北北基桃竹苗,2016,20,2.54
宜花東,2016,20,1.81
雲嘉南,2016,20,3.16
高屏,2016,20,3.25
中彰投,2016,21,3.16
北北基桃竹苗,2016,21,3.66
宜花東,2016,21,1.98
雲嘉南,2016,21,3.0
高屏,2016,21,3.03
中彰投,2016,22,2.31
北北基桃竹苗,2016,22,2.92
宜花東,2016,22,2.01
雲嘉南,2016,22,2.38
高屏,2016,22,2.93
中彰投,2016,23,2.58
北北基桃竹苗,2016,23,2.85
宜花東,2016,23,1.81
雲嘉南,2016,23,2.1
高屏,2016,23,2.46
中彰投,2016,24,2.03
北北基桃竹苗,2016,24,2.24
宜花東,2016,24,1.74
雲嘉南,2016,24,2.02
高屏,2016,24,2.58
中彰投,2016,25,2.69
北北基桃竹苗,2016,25,3.2
宜花東,2016,25,1.96
雲嘉南,2016,25,2.88
高屏,2016,25,3.0
中彰投,2016,26,2.67
北北基桃竹苗,2016,26,3.29
宜花東,2016,26,1.92
雲嘉南,2016,26,2.8
高屏,2016,26,2.97
中彰投,2016,27,2.75
北北基桃竹苗,2016,27,2.65
宜花東,2016,27,1.7
雲嘉南,2016,27,2.86
高屏,2016,27,3.34
中彰投,2016,28,2.09
北北基桃竹苗,2016,28,2.47
宜花東,2016,28,1.73
雲嘉南,2016,28,2.02
高屏,2016,28,2.56
中彰投,2016,29,2.42
北北基桃竹苗,2016,29,2.63
宜花東,2016,29,2.0
雲嘉南,2016,29,2.25
高屏,2016,29,2.76
中彰投,2016,30,2.87
北北基桃竹苗,2016,30,3.72
宜花東,2016,30,2.12
雲嘉南,2016,30,2.64
高屏,2016,30,3.21
中彰投,2016,31,2.76
北北基桃竹苗,2016,31,2.95
宜花東,2016,31,1.92
雲嘉南,2016,31,2.68
高屏,2016,31,2.77
中彰投,2016,32,2.8
北北基桃竹苗,2016,32,2.99
宜花東,2016,32,1.94
雲嘉南,2016,32,3.02
高屏,2016,32,2.82
中彰投,2016,33,2.55
北北基桃竹苗,2016,33,2.67
宜花東,2016,33,1.94
雲嘉南,2016,33,2.41
高屏,2016,33,2.77
中彰投,2016,34,2.88
北北基桃竹苗,2016,34,3.18
宜花東,2016,34,2.04
雲嘉南,2016,34,2.95
高屏,2016,34,2.85
中彰投,2016,35,3.04
北北基桃竹苗,2016,35,3.2
宜花東,2016,35,2.05
雲嘉南,2016,35,3.03
高屏,2016,35,2.95
中彰投,2016,36,2.15
北北基桃竹苗,2016,36,2.76
宜花東,2016,36,1.96
雲嘉南,2016,36,2.13
高屏,2016,36,2.38
中彰投,2016,37,2.49
北北基桃竹苗,2016,37,2.42
宜花東,2016,37,1.95
雲嘉南,2016,37,2.86
高屏,2016,37,2.52
中彰投,2016,38,2.6
北北基桃竹苗,2016,38,2.2
宜花東,2016,38,1.83
雲嘉南,2016,38,3.09
高屏,2016,38,2.96
中彰投,2016,39,2.62
北北基桃竹苗,2016,39,2.29
宜花東,2016,39,1.69
雲嘉南,2016,39,2.96
高屏,2016,39,3.09
中彰投,2016,40,3.04
北北基桃竹苗,2016,40,2.56
宜花東,2016,40,2.03
雲嘉南,2016,40,3.08
高屏,2016,40,3.44
中彰投,2016,41,2.28
北北基桃竹苗,2016,41,2.11
宜花東,2016,41,1.75
雲嘉南,2016,41,2.53
高屏,2016,41,2.61
中彰投,2016,42,3.64
北北基桃竹苗,2016,42,2.53
宜花東,2016,42,1.87
雲嘉南,2016,42,3.23
高屏,2016,42,3.52
中彰投,2016,43,3.47
北北基桃竹苗,2016,43,3.59
宜花東,2016,43,1.95
雲嘉南,2016,43,3.33
高屏,2016,43,3.42
中彰投,2016,44,2.6
北北基桃竹苗,2016,44,2.6
宜花東,2016,44,1.88
雲嘉南,2016,44,3.47
高屏,2016,44,3.79
中彰投,2016,45,3.1
北北基桃竹苗,2016,45,2.82
宜花東,2016,45,1.8
雲嘉南,2016,45,3.06
高屏,2016,45,3.21
中彰投,2016,46,3.4
北北基桃竹苗,2016,46,3.25
宜花東,2016,46,1.96
雲嘉南,2016,46,3.96
高屏,2016,46,4.09
中彰投,2016,47,2.97
北北基桃竹苗,2016,47,3.09
宜花東,2016,47,1.87
雲嘉南,2016,47,3.38
高屏,2016,47,3.61
中彰投,2016,48,2.46
北北基桃竹苗,2016,48,2.17
宜花東,2016,48,1.71
雲嘉南,2016,48,2.99
高屏,2016,48,2.86
中彰投,2016,49,2.99
北北基桃竹苗,2016,49,2.78
宜花東,2016,49,1.99
雲嘉南,2016,49,3.48
高屏,2016,49,3.57
中彰投,2016,50,2.76
