region,year,week,case_c,pop_total,case_per_capita(‰),AMB_TEMP,NO,NO2,NOx,O3,PM10,PM25,RH,SO2
中彰投,2016,1,39,95914,0.41,19.84,50.99,120.87,172.0,131.39,365.03,198.22,82.55,19.85
中彰投,2016,2,541,293038,1.85,17.16,21.4,106.74,128.1,175.08,298.23,162.66,80.18,18.4
中彰投,2016,3,553,287546,1.92,16.9,31.42,126.92,158.57,148.15,307.85,179.76,80.7,19.07
中彰投,2016,4,514,291026,1.77,12.92,35.8,109.8,145.09,165.63,276.77,136.08,76.4,18.25
中彰投,2016,5,566,295215,1.92,16.01,30.72,107.68,138.13,157.54,209.2,106.38,84.24,16.35
中彰投,2016,6,786,298017,2.64,14.8,19.26,94.58,113.15,270.51,435.61,257.3,64.68,21.27
中彰投,2016,7,237,227389,1.04,17.82,25.84,103.13,128.6,146.33,278.16,157.54,74.79,18.19
中彰投,2016,8,761,303635,2.51,16.43,24.23,122.84,147.31,190.15,442.57,241.52,76.46,18.51
中彰投,2016,9,685,290484,2.36,17.25,26.6,129.33,156.07,218.7,449.51,231.29,71.15,21.8
中彰投,2016,10,754,306701,2.46,20.31,27.98,122.79,150.75,177.2,390.26,235.0,76.48,22.72
中彰投,2016,11,633,290959,2.18,15.99,42.04,145.85,187.41,143.67,276.42,165.17,86.71,18.44
中彰投,2016,12,668,300406,2.22,19.13,34.83,129.02,163.83,159.74,392.15,227.65,87.3,18.23
中彰投,2016,13,654,281074,2.33,17.37,16.54,119.73,136.27,309.01,441.31,258.33,65.64,22.95
中彰投,2016,14,692,296002,2.34,24.43,18.53,97.01,115.56,213.58,506.85,309.7,76.95,22.09
中彰投,2016,15,547,281913,1.94,23.66,18.44,101.06,119.31,194.18,334.24,199.58,81.06,21.04
中彰投,2016,16,631,287123,2.2,24.28,17.48,96.18,113.34,205.93,330.7,177.66,80.26,19.3
中彰投,2016,17,585,285679,2.05,25.92,15.55,80.35,96.22,183.09,298.28,159.93,77.44,20.71
中彰投,2016,18,609,288026,2.11,25.25,17.21,88.9,105.59,234.73,380.33,219.75,75.24,20.75
