ID,town
301,臺中市豐原區
302,臺中市東勢區
303,臺中市大甲區
304,臺中市清水區
305,臺中市沙鹿區
306,臺中市梧棲區
307,臺中市后里區
308,臺中市神岡區
309,臺中市潭子區
310,臺中市大雅區
311,臺中市新社區
312,臺中市石岡區
313,臺中市外埔區
314,臺中市大安區
315,臺中市烏日區
316,臺中市大肚區
317,臺中市龍井區
318,臺中市霧峰區
319,臺中市太平區
320,臺中市大里區
323,臺中市東區
324,臺中市西區
327,臺中市西屯區
328,臺中市南屯區
329,臺中市北屯區
1102,基隆市七堵區
1103,基隆市暖暖區
1104,基隆市仁愛區
1106,基隆市安樂區
1107,基隆市信義區
1201,新竹市東區
1202,新竹市北區
1203,新竹市香山區
3110,新北市淡水區
3112,新北市瑞芳區
3122,新北市石門區
3123,新北市八里區
3127,新北市金山區
3128,新北市萬里區
3204,桃園市楊梅區
3206,桃園市大園區
3209,桃園市龍潭區
3211,桃園市新屋區
3212,桃園市觀音區
3301,新竹縣關西鎮
3302,新竹縣新埔鎮
3303,新竹縣竹東鎮
3305,新竹縣竹北市
3306,新竹縣湖口鄉
3307,新竹縣橫山鄉
3308,新竹縣新豐鄉
3309,新竹縣芎林鄉
3310,新竹縣寶山鄉
3311,新竹縣北埔鄉
3312,新竹縣峨眉鄉
3404,宜蘭縣頭城鎮
3501,苗栗縣苗栗市
3502,苗栗縣苑裡鎮
3503,苗栗縣通霄鎮
3504,苗栗縣竹南鎮
3505,苗栗縣頭份市
3506,苗栗縣後龍鎮
3507,苗栗縣卓蘭鎮
3508,苗栗縣大湖鄉
3509,苗栗縣公館鄉
3510,苗栗縣銅鑼鄉
3512,苗栗縣頭屋鄉
3513,苗栗縣三義鄉
3514,苗栗縣西湖鄉
3515,苗栗縣造橋鄉
3516,苗栗縣三灣鄉
3517,苗栗縣獅潭鄉
3701,彰化縣彰化市
3802,南投縣埔里鎮
3809,南投縣魚池鄉
3810,南投縣國姓鄉
